EmpiricalD2Arithmetic,ReturnStepMaxmin,InitialBound,VarianceInitializer,TimestepsSoFar,InitialReturnMean,OptimizationReturnMax,WReturnMean,EpLenMean,MinTargetPdf,OptimizationReturnMin,EmpiricalD2Harmonic,MinBehavPdf,Penalization,TimeElapsed,InitialReturnMax,InitialReturnMin,MeanIW,EpRewMean,MeanEntropy,EpisodesSoFar,Bound,Inner Iteration,InitialReturnStd,ESSRenyiHarmonic,StdIW,MinIW,ESSRenyiArithmetic,LearnableVariance,ReturnMeanIW,MaxIW,MeanD2-0,Epsilon,StdWReturnMean,OptimizationReturnMean,DivergenceHarmonic,ReturnStepMax,Iteration,EpThisIter
296938.9,9.999993,-inf,-1.0,25097,280.63968,809.65283,106689.85,29.08,-40.737854,,296938.9,-31.577168,True,24.851351499557495,829.6149,19.962112,3.5575488,280.63966376664973,0.4189424,1350,-inf,7,223.34515,0.00016838481,14.027841,4.7751855e-11,0.00016838481,,106689.85,85.65494,296938.9,1.0,,260.67755,inf,9.999993,3,50
52580830.0,9.999996,-inf,-1.0,26973,365.0215,1199.8541,138637.75,37.52,-56.334297,,52580830.0,-41.507805,True,26.156238079071045,1209.8401,9.985986,4.3557143,365.0215112652089,0.4189424,1400,-inf,8,270.5968,9.5091684e-07,17.369925,1.3239525e-13,9.5091684e-07,,138637.75,120.906235,52580830.0,1.0,,355.03552,inf,9.999996,3,50
288290.47,9.999996,-inf,-1.0,28190,233.26138,709.7056,93817.51,24.34,-41.0143,,288290.47,-29.883661,True,27.38178777694702,719.6874,9.981729,5.146353,233.2613839909752,0.4189424,1450,-inf,9,192.58154,0.00017343619,20.77451,9.147251e-11,0.00017343619,,93817.51,144.43076,288290.47,1.0,,223.27965,inf,9.999996,3,50
4521328.5,9.999999,-inf,-1.0,30127,377.20255,1019.67957,43934.258,38.74,-58.207764,,4521328.5,-43.334114,True,28.2327721118927,1029.6638,9.984279,5.4180164,377.20254219120346,0.4189424,1500,-inf,10,225.85385,1.1058696e-05,30.578737,1.204792e-13,1.1058696e-05,,43934.258,215.85866,4521328.5,1.0,,367.2183,inf,9.999999,3,50
1.0,9.999997,-284502.47,-1.0,31781,320.6217,1159.6877,170879.7,33.08,-44.521893,,1.0,-44.521893,True,29.397992610931396,1179.6553,19.967548,63525.797,320.62169967030945,0.4189424,1550,-3.2887152e+17,1,260.92422,50.0,230632.19,0.3625651,50.0,,14457492000.0,1196952.0,1.0,1.0,,300.65417,8.3776695e+24,9.999997,4,50
242054630000.0,10.0,-inf,-1.0,34518,537.17017,1909.6176,136381.66,54.74,-84.02248,,242054610000.0,-75.899895,True,30.73517370223999,1919.5979,9.980296,9.667774,537.17016709972,0.4189424,1600,-inf,2,424.4254,2.0656496e-10,61.83644,4.6200614e-13,2.0656495e-10,,136381.66,441.81946,242054630000.0,1.0,,527.1898,inf,10.0,4,50
971861250.0,9.999999,-inf,-1.0,37088,503.7817,1949.553,101133.98,51.4,-88.58163,,971861250.0,-76.90328,True,32.106871128082275,1949.553,,1.0097669,503.78171254822905,0.4189424,1650,-inf,3,403.71866,5.1447675e-08,2.377459,1.5276913e-11,5.1447675e-08,,101133.98,13.652128,971861250.0,1.0,,503.7817,inf,9.999999,4,50
23540.553,9.999995,-6.092003e+21,-1.0,39554,482.9562,1039.8196,59082.668,49.32,-46.532646,,23540.553,-43.083855,True,33.6347017288208,1069.7805,29.96097,9.151935,482.95618053863586,0.4189424,1700,-6.092003e+21,4,228.06584,0.0021239943,61.418453,1.7454076e-07,0.0021239943,,59082.668,438.98325,23540.553,1.0,,452.9952,4.2504284e+33,9.999995,4,50
212103680.0,10.0,-inf,-1.0,42261,531.175,1709.4344,63377.44,54.14,-101.5202,,212103680.0,-87.34039,True,34.774630308151245,1719.4171,9.982683,1.3908048,531.1749891036851,0.4189424,1750,-inf,5,374.10214,2.3573376e-07,4.3885016,4.8258505e-13,2.3573376e-07,,63377.44,26.962807,212103680.0,1.0,,521.1923,inf,10.0,4,50
1083048.4,10.0,-inf,-1.0,44715,480.60306,1269.5936,57103920.0,49.08,-78.070724,,1083048.4,-64.510544,True,36.86588168144226,1289.5614,19.96778,156.84125,480.6030026952109,0.4189424,1800,-inf,6,322.5772,4.616599e-05,988.6994,1.6663902e-12,4.616599e-05,,57103920.0,7064.0776,1083048.4,1.0,,460.63528,inf,10.0,4,50
