BatchSize,AvgRet,MinVanillaIw,AvgNormIw,MaxNormIw,J,ESSRenyi,VarRet,AvgVanillaIw,AvgDiscRet,SamplesThisIter,EpsThisIter,AvgEpLen,VanillaAvgRet,MaxVanillaIw,VarNormIw,renyi2,VarVanillaIw,ESSClassic,delta,MinNormIw,VarDiscRet,IterType,VarJ,Bound
100,46.6153312666,,6.29311e-07,0.0611278,40744.5,nan,2852.54342157,1.13202e+08,46.6153312666,50000,8828,5.66379700952,46.6153312666,1.09958e+13,2.83198e-08,nan,9.16357e+20,5.71778426775,0.6,,2852.54342157,1,11852.9,396.356
100,50.1878811236,,6.69022e-07,0.0877998,34165.5,nan,4131.37795489,3.51876e+07,50.1878811236,50000,8304,6.02119460501,50.1878811236,4.61788e+12,4.42245e-08,nan,1.22338e+20,7.50861281191,0.6,,4131.37795489,1,32364.5,319.362
100,62.943167121,,8.10793e-07,0.111387,59338.5,nan,7264.61768124,6871.85,62.943167121,50000,6852,7.29713952131,62.943167121,9.44055e+08,8.07366e-08,nan,5.79959e+12,7.98083263694,0.6,,7264.61768124,1,20539.9,523.895
100,71.7207724155,,9.08364e-07,0.118796,73751.1,nan,11608.8987839,5.34079e+09,71.7207724155,50000,6116,8.17527795945,71.7207724155,6.98472e+14,1.02783e-07,nan,3.55316e+24,7.9821747715,0.6,,11608.8987839,1,29643.4,1127.89
100,101.065826081,,1.23457e-06,0.124969,121398.0,nan,20349.7161029,1.46538e+12,101.065826081,50000,4500,11.1111111111,101.065826081,1.48332e+17,1.54243e-07,nan,2.17306e+29,7.99999963429,0.6,,20349.7161029,1,275120.0,630.103
100,83.6013824277,,1.04037e-06,0.0569896,nan,nan,40511.3801705,4.75035e+09,83.6013824277,50000,5340,9.36329588015,83.6013824277,2.60217e+14,4.9029e-08,nan,1.02219e+24,4.41546367746,0.6,,40511.3801705,1,nan,nan
100,65.8201672962,,8.42772e-07,0.13103,81272.6,nan,12001.950038,3.16212e+10,65.8201672962,50000,6592,7.58495145631,65.8201672962,4.9163e+15,1.0436e-07,nan,1.46917e+26,2.21840161422,0.6,,12001.950038,1,55304.1,893.162
100,66.845360635,,8.54175e-07,0.243479,nan,nan,22192.1221544,9.10516e+12,66.845360635,50000,6504,7.68757687577,66.845360635,2.59539e+18,2.0259e-07,nan,2.30197e+31,3.99918080574,0.6,,22192.1221544,1,nan,nan
100,67.7057685011,,8.63737e-07,0.164535,217793.0,nan,12168.2365003,1.96363e+16,67.7057685011,50000,6432,7.7736318408,67.7057685011,3.74056e+21,1.18766e-07,nan,inf,3.15007164519,0.6,,12168.2365003,1,33558.6,1621.12
100,75.7012884889,,9.52599e-07,0.140658,121981.0,nan,15289.4094559,9.44067e+08,75.7012884889,50000,5832,8.57338820302,75.7012884889,1.39399e+14,8.83102e-08,nan,8.67356e+22,3.54475428495,0.6,,15289.4094559,1,93543.9,935.813
100,113.716706651,,1.37514e-06,0.146445,178855.0,nan,35097.089341,5.46822e+06,113.716706651,50000,4040,12.3762376238,113.716706651,5.82338e+11,1.59922e-07,nan,2.52876e+18,2.97857866183,0.6,,35097.089341,1,35605.3,1259.04
100,181.965704314,,2.13347e-06,0.242633,416491.0,nan,113273.997321,1.7772e+11,181.965704314,50000,2604,19.2012288786,181.965704314,2.02115e+16,5.02589e-07,nan,3.48748e+27,3.99843475176,0.6,,113273.997321,1,76202.2,2958.29
100,446.139788935,,5.06894e-06,0.222115,552392.0,nan,443463.653582,5.48144e+06,446.139788935,50000,1096,45.6204379562,446.139788935,2.4019e+11,1.00766e-06,nan,1.17834e+18,4.17936343316,0.6,,443463.653582,1,42482.9,3483.53
100,582.531208137,,6.58241e-06,0.124122,587151.0,nan,760532.902368,2697.59,582.531208137,50000,844,59.2417061611,582.531208137,5.08675e+07,4.44194e-07,nan,7.46028e+10,4.13298999253,0.6,,760532.902368,1,57677.0,4006.63
