eRenyi2,MaxVanillaIw,AvgDiscRet,AvgRet,Bound,VanillaAvgRet,ESSClassic,VarNormIw,AvgEpLen,MinNormIw,J,MaxNormIw,VarDiscRet,VarVanillaIw,AvgVanillaIw,BatchSize,AvgNormIw,ESSRenyi,VarRet,MinVanillaIw,VarJ
43.78724,100.148415,34.07641874443197,34.07641874443197,69.35116,34.07641874443197,1.161895834285067,0.008592551,4.41,,78.2665,0.92609733,256.62887337303863,100.48397,1.0814027,100,0.01,2.2837703886601823,256.62887337303863,,18.78011
60.86657,171.57884,61.262798100329256,61.262798100329256,148.52576,61.262798100329256,1.0948378106654872,0.009125025,7.13,,175.32195,0.9555378,1667.800995922319,294.21567,1.7956259,100,0.01,1.6429380001235914,1667.800995922319,,48.176277
47.537342,237.11041,80.25135339121022,80.25135339121022,132.9248,80.25135339121022,1.32836419772362,0.007503088,9.03,1.3887231e-16,153.50745,0.8658025,1259.9244430456458,562.73444,2.73862,100,0.009999998,2.1036094077267107,1259.9244430456458,3.8031847e-14,60.197422
126.73354,118.540054,91.84941930872536,91.84941930872536,202.16615,91.84941930872536,1.0725039956362126,0.0093171485,10.19,,236.3155,0.9654295,1300.919315200115,140.46628,1.2278479,100,0.01,0.789057082445304,1300.919315200115,,39.077236
55.48778,90.2074,100.04650912543333,100.04650912543333,171.02069,100.04650912543333,1.0705356995583961,0.009334463,11.01,,196.21916,0.9663729,1617.8120193194381,81.33625,0.9334637,100,0.01,1.802198560696845,1617.8120193194381,,39.21145
46.4091,111.47342,93.55005076580738,93.55005076580738,160.56674,93.55005076580738,1.1094447231561488,0.009003555,10.36,1.7923684e-33,185.59819,0.9491935,1908.7348307561167,124.1787,1.1744015,100,0.01,2.154749842325253,1908.7348307561167,2.10496e-31,44.08829
43.66613,107.70635,92.54818281975568,92.54818281975568,241.38219,92.54818281975568,1.0388514253382408,0.0096222395,10.26,,267.3046,0.9810729,2175.620446002858,115.97279,1.0978425,100,0.01,2.290104477979637,2175.620446002858,,28.727255
60.278137,103.422356,82.94633550528486,82.94633550528486,194.33119,82.94633550528486,1.0540219992135098,0.009482294,9.3,,216.46477,0.97399634,1149.0001132545221,106.91231,1.0618352,100,0.010000002,1.658976282836015,1149.0001132545221,,35.977676
88.246666,34.848427,88.547981246949,88.547981246949,186.66478,88.547981246949,1.0709774354413664,0.0093305735,9.86,,215.78166,0.9661651,1358.215157057274,12.138694,0.3606881,100,0.01,1.133187287228032,1358.215157057274,,44.92885
62.12488,202.58945,92.74763174555767,92.74763174555767,163.03383,92.74763174555767,1.1299165399688278,0.0088386,10.28,,194.44519,0.94050723,2245.3544517066866,410.1028,2.1540444,100,0.009999999,1.6096610116934127,2245.3544517066866,,55.49952
110.85323,180.49602,89.64801771964535,89.64801771964535,318.58463,89.64801771964535,1.0764534682267788,0.00928259,9.97,,361.2788,0.96365446,2324.694204155448,325.65802,1.8730366,100,0.010000002,0.9020936691637265,2324.694204155448,,92.02927
32.81737,56.226086,85.74733816178697,85.74733816178697,122.75309,85.74733816178697,1.248785835357386,0.007987656,9.58,,138.10277,0.8931742,1015.0133912455981,31.653559,0.6295086,100,0.01,3.047166662966354,1015.0133912455981,,18.082388
57.420105,200.28136,91.04823130061857,91.04823130061857,195.33798,91.04823130061857,1.1356905491016902,0.008793149,10.11,,231.53896,0.93778217,3226.659812239978,401.0713,2.1356916,100,0.010000002,1.7415502816307051,3226.659812239978,,89.09216
4.1888185,17.371994,90.84792264721116,90.84792264721116,100.42232,90.84792264721116,18.715340238151793,0.00043870806,10.09,4.2532857e-08,107.42974,0.17891267,1657.304401432619,4.1361165,0.9709762,100,0.01,23.8730804594273,1657.304401432619,4.129839e-06,101.436264
1.0,1.0,88.44639862116718,88.44639862116718,85.16694,88.44639862116718,100.0,3.5044917e-18,9.85,0.01,88.4464,0.01,1520.4858430801037,,1.0,100,0.009999998,100.0,1520.4858430801037,1.0,38.79795
1.0,1.0,85.04810037306923,85.04810037306923,82.1823,85.04810037306923,100.0,3.5044917e-18,9.51,0.01,85.0481,0.01,1161.1016754261973,,1.0,100,0.009999998,100.0,1161.1016754261973,1.0,33.904137
1.0,1.0,83.94802548348929,83.94802548348929,81.24802,83.94802548348929,100.0,3.5044917e-18,9.4,0.01,83.94803,0.01,1030.6429416881233,,1.0,100,0.009999998,100.0,1030.6429416881233,1.0,31.942705
1.0,1.0,89.24904269117678,89.24904269117678,86.11923,89.24904269117678,100.0,3.5044917e-18,9.93,0.01,89.24905,0.01,1384.8827752892294,,1.0,100,0.009999998,100.0,1384.8827752892294,1.0,37.027477
1.0,1.0,94.05072677727873,94.05072677727873,90.57718,94.05072677727873,100.0,3.5044917e-18,10.41,0.01,94.05073,0.01,1705.782330847607,,1.0,100,0.009999998,100.0,1705.782330847607,1.0,41.094093
1.0,1.0,98.0487050500174,98.0487050500174,94.296974,98.0487050500174,100.0,3.5044917e-18,10.81,0.01,98.0487,0.01,1989.9380541322369,,1.0,100,0.009999998,100.0,1989.9380541322369,1.0,44.385117
1.0,1.0,92.24922561263247,92.24922561263247,89.16639,92.24922561263247,100.0,3.5044917e-18,10.23,0.01,92.24923,0.01,1343.6270987332782,,1.0,100,0.009999998,100.0,1343.6270987332782,1.0,36.471783
1.0,1.0,88.54912595378455,88.54912595378455,85.20573,88.54912595378455,100.0,3.5044917e-18,9.86,0.01,88.54912,0.01,1580.3405005510792,,1.0,100,0.009999998,100.0,1580.3405005510792,1.0,39.55423
1.0,1.0,88.54650428390627,88.54650428390627,85.798805,88.54650428390627,100.0,3.5044917e-18,9.86,0.01,88.54651,0.01,1067.3726553487415,,1.0,100,0.009999998,100.0,1067.3726553487415,1.0,32.50691
1.0,1.0000143,90.94937927463887,90.94937927463887,86.68472,90.94937927463887,99.99998474121735,5.0547914e-16,10.1,0.009999911,90.9494,0.01000014,2571.281545014476,5.037246e-12,1.0000004,100,0.01,100.0,2571.281545014476,0.9999914,50.453705
1.0,1.0,88.74836093153304,88.74836093153304,85.797134,88.74836093153304,100.0,3.5044917e-18,9.88,0.01,88.74835,0.01,1231.3470394306232,,1.0,100,0.009999998,100.0,1231.3470394306232,1.0,34.91466
1.0,1.0,94.4486828281942,94.4486828281942,89.91611,94.4486828281942,100.0,3.5044917e-18,10.45,0.01,94.44868,0.01,2904.463763875863,,1.0,100,0.009999998,100.0,2904.463763875863,1.0,53.622932
1.0,1.0,86.0478952161489,86.0478952161489,83.29038,86.0478952161489,100.0,3.5044917e-18,9.61,0.01,86.0479,0.01,1075.010535352482,,1.0,100,0.009999998,100.0,1075.010535352482,1.0,32.623005
1.0,1.0,90.64800388340382,90.64800388340382,86.72216,90.64800388340382,100.0,3.5044917e-18,10.07,0.01,90.648,0.01,2178.9254903034985,,1.0,100,0.009999998,100.0,2178.9254903034985,1.0,46.44498
