MinNormIw,AvgEpLen,ESSRenyi,ESSClassic,VanillaAvgRet,MinVanillaIw,VarDiscRet,VarVanillaIw,MaxNormIw,AvgRet,MaxVanillaIw,AvgDiscRet,VarRet,Bound,BatchSize,eRenyi2,AvgVanillaIw,AvgNormIw,J,VarNormIw,VarJ
1.07108e-05,200.0,141.237788439,148.422561603,-7.92084017064,0.00220252,54.8438964912,0.369209,0.00901799,-7.92084017064,1.85442,-7.92084017064,54.8438964912,-9.11554,200,1.41605,1.02818,0.005,-7.46556,8.73126e-06,8.05703
0.00449153,200.0,192.970121244,194.929318542,-6.92982989182,0.883164,43.7201567963,0.0252697,0.0108947,-6.92982989182,2.1422,-6.92982989182,43.7201567963,-8.27081,200,1.03643,0.983144,0.005,-6.8722,6.53592e-07,6.58372
0.0042926,200.0,184.811075876,187.916415769,-7.60060745291,0.850583,44.6336612808,0.0634366,0.0159928,-7.60060745291,3.16899,-7.60060745291,44.6336612808,-8.89568,200,1.08219,0.990755,0.005,-7.47992,1.61565e-06,6.86822
3.89406e-05,200.0,172.058816139,171.150353214,-7.69444529929,0.0080036,45.0694600732,0.178914,0.00705542,-7.69444529929,1.45012,-7.69444529929,45.0694600732,-8.88659,200,1.16239,1.02767,0.005,-7.41053,4.23526e-06,7.13462
0.000644081,200.0,105.770898656,104.397842094,-8.08380712863,0.127369,45.2564387273,0.899793,0.0418467,-8.08380712863,8.27535,-8.08380712863,45.2564387273,-9.06736,200,1.89088,0.988769,0.005,-7.20015,2.30087e-05,9.23703
0.000935869,200.0,174.511933011,173.549663518,-8.18416451986,0.19071,55.750261308,0.159016,0.00856833,-8.18416451986,1.74604,-8.18416451986,55.750261308,-9.42982,200,1.14605,1.01889,0.005,-7.95587,3.82934e-06,8.01939
0.00454951,200.0,193.835404123,195.560515397,-7.41391486521,0.895534,45.292312226,0.0221006,0.0088054,-7.41391486521,1.73327,-7.41391486521,45.292312226,-8.71772,200,1.0318,0.984209,0.005,-7.36336,5.70387e-07,6.80733
0.00415425,200.0,180.504321095,187.041125905,-8.13441595651,0.834462,48.7105154822,0.0702385,0.0132068,-8.13441595651,2.65284,-8.13441595651,48.7105154822,-9.42122,200,1.10801,1.00435,0.005,-7.96735,1.74079e-06,7.2279
0.00246126,200.0,192.810447601,192.743773782,-8.15156604992,0.504119,48.6510952995,0.0396827,0.00697264,-8.15156604992,1.42815,-8.15156604992,48.6510952995,-9.50622,200,1.03729,1.02411,0.005,-8.09896,9.45908e-07,7.10567
0.00472922,200.0,199.956974704,199.96285152,-7.21747504957,0.946396,40.9118814015,0.000186978,0.00505787,-7.21747504957,1.01216,-7.21747504957,40.9118814015,-8.58856,200,1.00022,1.00058,0.005,-7.21728,4.66901e-09,6.38388
0.00337169,200.0,195.693674814,195.886997676,-8.27498397732,0.675129,49.2982664603,0.0211519,0.00731415,-8.27498397732,1.46455,-8.27498397732,49.2982664603,-9.62757,200,1.02201,1.00117,0.005,-8.24654,5.27558e-07,7.04111
,200.0,42.0173813528,33.0277645979,-7.87146844281,,50.3986727507,3.13835,0.042652,-7.87146844281,6.70423,-7.87146844281,50.3986727507,-8.49314,200,4.75993,0.785922,0.005,-5.51037,0.000127023,14.673
,200.0,45.9656704945,44.7065198374,-7.69452613187,,42.5983238922,3.51103,0.0305091,-7.69452613187,6.11924,-7.69452613187,42.5983238922,-8.01816,200,4.35107,1.00285,0.005,-5.15895,8.72769e-05,9.59813
4.40996e-26,200.0,64.6666528421,62.9330793736,-7.56248513813,8.41121e-24,48.5370109919,1.99076,0.0228829,-7.56248513813,4.36451,-7.56248513813,48.5370109919,-8.36741,200,3.09278,0.95366,0.005,-5.9376,5.47231e-05,11.5913
1.08828e-09,200.0,142.920902047,142.921595983,-7.11884989339,2.1947e-07,40.0803527327,0.408092,0.00904646,-7.11884989339,1.82437,-7.11884989339,40.0803527327,-8.16785,200,1.39938,1.00833,0.005,-6.59436,1.00344e-05,7.10617
0.00174726,200.0,176.173744958,172.460226997,-7.95942777872,0.353068,47.8389876579,0.163829,0.0115931,-7.95942777872,2.34262,-7.95942777872,47.8389876579,-9.22595,200,1.13524,1.01035,0.005,-7.78162,4.01225e-06,7.41302
0.00363026,200.0,162.671261002,164.667419933,-6.72064469655,0.728003,45.8282341442,0.216809,0.0224493,-6.72064469655,4.50192,-6.72064469655,45.8282341442,-7.94372,200,1.22947,1.00269,0.005,-6.41343,5.39119e-06,7.09456
3.4933e-26,200.0,72.6491019505,76.6117969806,-7.67669260948,7.28891e-24,45.7725254559,1.76177,0.0183409,-7.67669260948,3.82691,-7.67669260948,45.7725254559,-8.63708,200,2.75296,1.04327,0.005,-6.34701,4.04664e-05,9.03648
1.59307e-06,200.0,69.2050518006,76.4319698352,-7.46792286076,0.000380384,46.1036002332,2.31591,0.0306644,-7.46792286076,7.32186,-7.46792286076,46.1036002332,-8.29437,200,2.88996,1.19387,0.005,-5.94166,4.06208e-05,8.52667
8.49166e-26,200.0,60.549764719,54.7078669706,-7.77875235535,1.68069e-23,46.4726292602,2.61398,0.0233683,-7.77875235535,4.62512,-7.77875235535,46.4726292602,-8.49153,200,3.30307,0.989615,0.005,-6.10031,6.67282e-05,11.7974
1.91502e-32,200.0,65.0082044823,67.4120529432,-7.55629626389,4.04365e-30,43.9587247398,2.20335,0.02051,-7.55629626389,4.33078,-7.55629626389,43.9587247398,-8.09761,200,3.07653,1.05577,0.005,-5.72751,4.94178e-05,10.2209
1.49244e-07,200.0,149.476891074,148.376509463,-7.97209900728,2.97885e-05,46.6133529135,0.34826,0.0086619,-7.97209900728,1.72888,-7.97209900728,46.6133529135,-8.98783,200,1.338,0.997981,0.005,-7.40588,8.74177e-06,7.67733
2.0561e-05,200.0,176.064590957,171.76399331,-7.46745495401,0.00395493,43.0242401522,0.15282,0.00717086,-7.46745495401,1.37933,-7.46745495401,43.0242401522,-8.63749,200,1.13595,0.961758,0.005,-7.17279,4.13036e-06,6.89074
1.46241e-14,200.0,92.4847272896,87.893068747,-7.47537749723,2.78017e-12,48.0581315921,1.15824,0.0155526,-7.47537749723,2.95668,-7.47537749723,48.0581315921,-7.73194,200,2.16252,0.950542,0.005,-5.70266,3.20475e-05,9.37749
1.37305e-14,200.0,101.946628707,100.775269873,-6.93504817682,2.72101e-12,46.6033976255,0.971561,0.0131596,-6.93504817682,2.60788,-6.93504817682,46.6033976255,-8.19595,200,1.96181,0.990863,0.005,-6.27303,2.4739e-05,8.01524
0.00309126,200.0,286.020776033,293.574001525,-8.07030177272,0.876486,50.1777605245,0.0196176,0.00855717,-8.07030177272,2.42627,-8.07030177272,50.1777605245,-9.18272,300,1.04887,0.945122,0.00333333,-8.02378,2.44021e-07,7.10182
1.73046e-19,200.0,138.071778954,134.896202768,-8.28897856959,5.14175e-17,50.1218628495,1.20466,0.00990523,-8.28897856959,2.94316,-8.28897856959,50.1218628495,-8.61336,300,2.17278,0.99044,0.00333333,-6.95157,1.36447e-05,9.45957
