ESSRenyi,MinVanillaIw,EpsThisIter,ESSClassic,MaxVanillaIw,VarDiscRet,VarRet,AvgNormIw,AvgDiscRet,J,MinNormIw,VanillaAvgRet,BatchSize,AvgVanillaIw,VarNormIw,MaxNormIw,IterType,AvgRet,eRenyi2,AvgEpLen,Bound,VarJ,Delta,VarVanillaIw
91.4723084605,0.209451,100,89.27363263,1.63606,4581.01101113,4581.01101113,0.01,-128.287298725,-117.609,0.00219758,-128.287298725,100,0.953099,1.21365e-05,0.0171656,1,-128.287298725,1.09323,61.44,-221.159,29.8148,0.2,0.110248
94.4426424685,0.257295,100,94.4176014324,1.40522,3301.96418024,3301.96418024,0.01,-124.436789269,-118.055,0.00258445,-124.436789269,100,0.99555,5.97216e-06,0.0141151,1,-124.436789269,1.05884,50.25,-220.654,34.6696,0.2,0.0591912
96.9268063846,0.504348,100,96.822668861,1.46647,1497.83303007,1497.83303007,0.01,-117.240464542,-114.43,0.00490569,-117.240464542,100,1.02809,3.31477e-06,0.0142641,1,-117.240464542,1.03171,32.27,-193.967,28.0926,0.2,0.035036
97.6404113543,0.516632,100,97.8556790967,1.33281,791.209124992,791.209124992,0.01,-113.021275422,-110.97,0.00505847,-113.021275422,100,1.02132,2.21345e-06,0.0130498,1,-113.021275422,1.02417,30.43,-182.467,15.1237,0.2,0.0230884
98.0500694705,0.527305,100,97.4264690626,1.50319,1972.49832539,1972.49832539,0.01,-115.577990509,-113.42,0.00540284,-115.577990509,100,0.975978,2.6682e-06,0.0154018,1,-115.577990509,1.01989,33.88,-213.723,30.1444,0.2,0.0254155
99.0924624665,0.519534,100,98.6705656862,1.10956,21.6874182808,21.6874182808,0.01,-108.911775765,-108.665,0.0052353,-108.911775765,100,0.992367,1.36097e-06,0.0111809,1,-108.911775765,1.00916,18.24,-134.556,4.17827,0.2,0.0134027
98.7529052475,0.556883,100,98.6916126764,1.16541,1427.81610508,1427.81610508,0.01,-112.449605549,-111.151,0.00558819,-112.449605549,100,0.996537,1.33911e-06,0.0116946,1,-112.449605549,1.01263,23.29,-208.498,26.3277,0.2,0.0132985
99.6767158023,0.905337,100,99.682865479,1.1777,13.4608731238,13.4608731238,0.01,-108.327438169,-108.246,0.008983,-108.327438169,100,1.00783,3.21341e-07,0.0116854,1,-108.327438169,1.00324,17.43,-132.664,3.56847,0.2,0.00326395
99.0068870185,0.501998,100,98.8884084349,1.13095,27.2549473377,27.2549473377,0.01,-108.049893702,-107.726,0.00495841,-108.049893702,100,1.01242,1.13543e-06,0.0111708,1,-108.049893702,1.01003,18.23,-135.587,3.90325,0.2,0.011638
99.1840609477,0.561332,100,98.8236700401,1.1743,26.3267543087,26.3267543087,0.01,-108.115456579,-107.9,0.00562742,-108.115456579,100,0.997495,1.20235e-06,0.0117725,1,-108.115456579,1.00823,19.12,-133.781,4.90213,0.2,0.0119634
98.944958484,0.700244,100,98.900608549,1.24114,26.3197187831,26.3197187831,0.01,-108.393963988,-108.109,0.00699895,-108.393963988,100,1.0005,1.12283e-06,0.0124052,1,-108.393963988,1.01066,18.01,-135.521,4.77386,0.2,0.0112395
97.8800722309,0.17981,100,96.8016128832,1.19365,1749.81258984,1749.81258984,0.01,-113.640129098,-110.727,0.00185846,-113.640129098,100,0.967522,3.33746e-06,0.0123372,1,-113.640129098,1.02166,28.66,-208.585,23.5628,0.2,0.0312419
99.8364267529,0.914225,100,99.8224250136,1.10177,9.15365034281,9.15365034281,0.01,-108.261776854,-108.223,0.00915449,-108.261776854,100,0.998663,1.79688e-07,0.0110324,1,-108.261776854,1.00164,18.11,-132.096,2.97253,0.2,0.00179208
99.81162338,0.831343,100,99.7760752952,1.10819,7.99215265581,7.99215265581,0.01,-107.929352469,-107.884,0.00837615,-107.929352469,100,0.992512,2.26703e-07,0.0111655,1,-107.929352469,1.00189,17.5,-131.236,2.77657,0.2,0.0022332
99.7983239665,0.829261,100,99.8528977967,1.06336,9.90541343559,9.90541343559,0.01,-107.583529633,-107.533,0.00825042,-107.583529633,100,1.00511,1.48794e-07,0.0105795,1,-107.583529633,1.00202,17.58,-132.086,3.00361,0.2,0.0015032
98.6567634436,0.571596,100,98.3080996397,1.16413,662.480269126,662.480269126,0.01,-110.662541506,-109.524,0.00578788,-110.662541506,100,0.987574,1.73844e-06,0.0117878,1,-110.662541506,1.01362,21.76,-182.6,15.1509,0.2,0.0169551
99.850817883,0.827973,100,99.8927886017,1.04655,10.6526122255,10.6526122255,0.01,-107.539524171,-107.503,0.00822546,-107.539524171,100,1.0066,1.0842e-07,0.0103969,1,-107.539524171,1.00149,16.64,-131.052,3.19776,0.2,0.00109856
99.6313030077,0.846689,100,99.5914725704,1.18262,10.0515537533,10.0515537533,0.01,-107.373865646,-107.288,0.00850634,-107.373865646,100,0.995362,4.14372e-07,0.0118813,1,-107.373865646,1.0037,17.57,-130.524,3.2333,0.2,0.00410537
99.525803647,0.721772,100,99.3580862705,1.16995,11.5958479259,11.5958479259,0.01,-107.362056929,-107.237,0.00717792,-107.362056929,100,1.00555,6.52599e-07,0.011635,1,-107.362056929,1.00476,16.08,-132.673,3.06229,0.2,0.00659857
