eRenyi2,VarJ,MinNormIw,VarNormIw,AvgRet,MinVanillaIw,BatchSize,ESSRenyi,VarVanillaIw,VarDiscRet,J,AvgVanillaIw,MaxVanillaIw,AvgEpLen,AvgDiscRet,MaxNormIw,AvgNormIw,VarRet,ESSClassic,VanillaAvgRet,Bound
2.792458,199.35196,8.685409e-16,0.00020689814,-2021.6253910733221,7.88075e-14,100,35.81074377639186,1.7033782,5071201.036102058,-74.78108,0.90735507,3.910751,200.0,-2021.6253910733221,0.043100562,0.01,5071201.036102058,32.805260333950955,-2021.6253910733221,-884.582
2.8681653,12.492763,4.5856117e-17,0.00020087315,-8.94299408366208,4.4870435e-15,100,34.86549453169284,1.9233036,79.00680710521988,-5.715534,0.9785049,3.9886074,200.0,-8.94299408366208,0.040762264,0.01,79.00680710521988,33.459990253812855,-8.94299408366208,-9.787639
1.1711017,7.844925,0.00656281,1.6904112e-05,-8.47981792502388,0.65185183,100,85.38968128076867,0.16676712,57.4374304167293,-8.1268,0.9932511,3.0472286,200.0,-8.47981792502388,0.030679338,0.010000002,57.4374304167293,85.6640647324177,-8.47981792502388,-10.613306
1.0163555,8.169409,0.0075096693,1.3266855e-06,-8.94941835589804,0.76007783,100,98.39076835884646,0.013590721,65.06649242227321,-8.917118,1.0121323,1.395751,200.0,-8.94941835589804,0.013790203,0.01,65.06649242227321,98.7035907016554,-8.94941835589804,-10.906007
2.4200597,10.631364,2.0698863e-17,0.00013183917,-8.21299771783633,2.1772796e-15,100,41.321295002613674,1.4587467,63.192638028916946,-6.15549,1.0518836,3.3497438,200.0,-8.21299771783633,0.031845193,0.01,63.192638028916946,43.38003573170562,-8.21299771783633,-9.307243
1.0384994,7.8727283,0.004233412,3.529824e-06,-8.689240358440987,0.42291754,100,96.29278967588368,0.035227623,59.70930595647349,-8.620175,0.99899924,1.2202027,200.0,-8.689240358440987,0.01221425,0.010000002,59.70930595647349,96.62347116024027,-8.689240358440987,-10.6295805
2.84513,11.706963,4.6311222e-20,0.00021143032,-8.969642738867803,4.3409462e-18,100,35.1477792470507,1.8576491,57.050935340894654,-7.02041,0.9373422,3.9951944,200.0,-8.969642738867803,0.04262258,0.01,57.050935340894654,32.329398470944305,-8.969642738867803,-10.397619
1.0455328,6.7441683,0.004123117,3.0178073e-06,-7.2760838561236305,0.42852184,100,95.6450126075116,0.032597635,45.84208234376664,-7.174103,1.0393152,1.1945487,200.0,-7.2760838561236305,0.011493613,0.01,45.84208234376664,97.09902958010666,-7.2760838561236305,-9.143154
5.34937,13.358487,,0.0005609335,-7.606842233200978,,100,18.69379010026526,3.9277306,49.39724121236694,-4.0430837,0.8367874,7.53145,200.0,-7.606842233200978,0.09000434,0.01,49.39724121236694,15.25962480547424,-7.606842233200978,-8.49172
6.4601507,11.506051,,0.0005280217,-8.105903214517527,,100,15.479515007398184,6.620302,53.90966137325841,-4.2996902,1.1197293,9.316715,200.0,-8.105903214517527,0.083205074,0.01,53.90966137325841,16.058028325166756,-8.105903214517527,-9.268551
1.083389,7.2839212,0.0012001119,7.6073597e-06,-9.481138789599115,0.124962635,100,92.30294562377327,0.0824804,51.70296063193888,-9.214987,1.0412582,1.2748802,200.0,-9.481138789599115,0.012243651,0.01,51.70296063193888,92.99618811264055,-9.481138789599115,-11.264126
1.1054403,6.441136,0.008417058,4.5633224e-06,-7.032626893307817,0.8365738,100,90.46169540838802,0.045078453,42.91239634118412,-6.757782,0.9939028,1.9003142,200.0,-7.032626893307817,0.019119719,0.01,42.91239634118412,95.67759977406175,-7.032626893307817,-8.7972355
1.3979679,6.5863204,0.00026868845,4.0505332e-05,-7.956037991705392,0.026882337,100,71.53239893732457,0.40546024,40.633840944040436,-7.3055186,1.0005021,2.4072597,200.0,-7.956037991705392,0.024060516,0.01,40.633840944040436,71.37744282004877,-7.956037991705392,-9.646599
1.1614997,7.1416807,0.0029085104,1.622359e-05,-8.818013270172434,0.2965018,100,86.0955854475753,0.16860107,53.97364199516429,-8.504957,1.0194284,2.2844975,200.0,-8.818013270172434,0.022409594,0.01,53.97364199516429,86.16133109682654,-8.818013270172434,-10.64124
2.31534,7.8822227,2.9524133e-14,0.0001003371,-7.699880358770588,3.5193207e-12,100,43.19020022159889,1.4256893,49.712510310937596,-5.728296,1.1920149,3.1995406,200.0,-7.699880358770588,0.026841447,0.009999999,49.712510310937596,50.16712072417536,-7.699880358770588,-8.753732
1.8575423,6.946841,0.00020782936,9.569147e-05,-7.2060947941636595,0.022546988,100,53.83457554180111,1.1262544,42.599518277164364,-5.597977,1.0848799,5.3316855,200.0,-7.2060947941636595,0.0491454,0.01,42.599518277164364,51.351953912006444,-7.2060947941636595,-8.313625
1.6474116,9.42737,0.0053292615,0.00026562065,-7.120686249033455,0.682402,100,60.70128492440749,4.355203,49.161031855569775,-5.7246222,1.2804815,18.462364,200.0,-7.120686249033455,0.144183,0.01,49.161031855569775,27.550904756651374,-7.120686249033455,-8.274433
1.5664265,8.35801,2.9668905e-09,8.556845e-05,-7.131451294178821,2.4921727e-07,100,63.839573069932754,0.6037636,43.82960194433482,-5.829445,0.8399948,2.084171,200.0,-7.131451294178821,0.024811713,0.01,43.82960194433482,54.13810576983051,-7.131451294178821,-8.310193
1.2585895,7.8431644,0.002641422,2.6963804e-05,-7.798272794354679,0.27721685,100,79.45402334233204,0.29699203,50.92089434649674,-7.324937,1.0494986,3.241139,200.0,-7.798272794354679,0.030882739,0.01,50.92089434649674,78.93022544452928,-7.798272794354679,-9.471821
