IterType,MaxVanillaIw,AvgDiscRet,VarDiscRet,VarVanillaIw,MaxNormIw,Bound,Delta,VarNormIw,AvgNormIw,AvgVanillaIw,VanillaAvgRet,VarJ,MinNormIw,VarRet,J,AvgRet,EpsThisIter,ESSRenyi,BatchSize,eRenyi2,ESSClassic,AvgEpLen,MinVanillaIw
1,1.63027,-1123.43267658,14656.0996064,0.0350021,0.0167736,-1634.38,0.1,3.7053e-06,0.01,0.971931,-1123.43267658,138.36,0.00467062,14656.0996064,-1108.97,-1123.43267658,100,97.1123105591,100,1.02974,96.4615716517,500.0,0.453952
1,1.82145,-1098.92364488,30350.3314995,0.0505463,0.0176785,-1678.82,0.1,4.76151e-06,0.01,1.03032,-1098.92364488,231.025,0.00702228,30350.3314995,-1081.38,-1098.92364488,100,96.8921899559,100,1.03207,95.4983546474,500.0,0.72352
1,1.29106,-1137.03063293,48137.5320045,0.021485,0.0130431,-1717.02,0.1,2.19283e-06,0.01,0.989841,-1137.03063293,171.885,0.00236204,48137.5320045,-1124.15,-1137.03063293,100,98.5809161038,100,1.0144,97.8752364744,500.0,0.233804
1,1.21922,-1121.94122292,12406.3831216,0.00856949,0.0123528,-1600.36,0.1,8.79672e-07,0.01,0.987,-1121.94122292,111.865,0.00732312,12406.3831216,-1117.96,-1121.94122292,100,99.1452591424,100,1.00862,99.1366296186,500.0,0.722792
1,1.18313,-1139.90106646,24699.1000372,0.00698538,0.0119372,-1725.91,0.1,7.111e-07,0.01,0.991127,-1139.90106646,137.818,0.00787912,24699.1000372,-1135.78,-1139.90106646,100,99.3415722755,100,1.00663,99.3009486734,500.0,0.780921
1,1.53507,-1095.49145077,36013.0559926,0.0363273,0.0147253,-1676.34,0.1,3.34273e-06,0.01,1.04248,-1095.49145077,201.368,0.00407331,36013.0559926,-1079.23,-1095.49145077,100,97.0288064911,100,1.03062,96.796700654,500.0,0.424633
1,1.27579,-1143.50559201,36529.9984166,0.0302753,0.0128155,-1721.76,0.1,3.05493e-06,0.01,0.995505,-1143.50559201,152.287,0.00370781,36529.9984166,-1126.76,-1143.50559201,100,97.5836307763,100,1.02476,97.0644052867,500.0,0.369114
1,5.10203,-1097.60637166,33226.9095726,0.238725,0.0480554,-1676.77,0.1,2.11786e-05,0.01,1.0617,-1097.60637166,309.681,0.00541885,33226.9095726,-1068.59,-1097.60637166,100,93.4055017064,100,1.0706,82.6673317019,500.0,0.575317
1,1.92692,-1082.50016886,28514.6031347,0.0788581,0.019099,-1657.23,0.1,7.74705e-06,0.01,1.00892,-1082.50016886,231.284,0.00496308,28514.6031347,-1053.03,-1082.50016886,100,94.4239962746,100,1.05905,92.8767624864,500.0,0.500733
1,1.44369,-1094.8316876,25310.845912,0.0284238,0.0147342,-1677.08,0.1,2.96066e-06,0.01,0.97982,-1094.8316876,181.588,0.00643166,25310.845912,-1081.57,-1094.8316876,100,97.5545221408,100,1.02507,97.152409521,500.0,0.630187
