BatchSize,ESSRenyi,MaxVanillaIw,Delta,AvgDiscRet,eRenyi2,Bound,MinVanillaIw,IterType,J,AvgVanillaIw,AvgEpLen,VarRet,VarDiscRet,AvgRet,VarNormIw,ESSClassic,EpsThisIter,MaxNormIw,VarJ,MinNormIw,VarVanillaIw,AvgNormIw,VanillaAvgRet
100,7.979620529386809,62.672173,0.5,108.8423725164873,12.531924,194.92715,1.614869e-11,1,499.31192,1.1559433,11.89,27085.56038992746,27085.56038992746,108.8423725164873,0.0030520537,3.2035529792793866,100,0.5421734,1024.221,1.397014e-13,40.781708,0.010000002,108.8423725164873
100,7.920238068801448,44.295624,0.5,407.2811030635454,12.625883,1374.9219,2.587801e-17,1,3151.554,1.2997934,41.72,586818.1379940172,586818.1379940172,407.2811030635454,0.0017436438,5.47583016263842,100,0.34078974,8009.371,1.9909325e-19,29.458216,0.01,407.2811030635454
100,13.685605880899223,18.607979,0.5,1625.8888620589296,7.306947,3269.224,1.9169097e-16,1,4620.7925,1.1872913,163.43,3255191.212107046,3255191.212107046,1625.8888620589296,0.00074922387,11.880269467595683,100,0.15672632,1364.5358,1.6145235e-18,10.561514,0.01,1625.8888620589296
100,48.36245459141934,4.2624493,0.5,4128.877575688462,2.0677197,4126.0825,1.3416534e-05,1,4845.061,1.0303161,413.24,2188889.6353446417,2188889.6353446417,4128.877575688462,0.00010163535,49.845726564003435,100,0.041370306,470.0484,1.3021764e-07,1.0789114,0.01,4128.877575688462
100,85.87197240830903,1.7447779,0.5,4814.118420836103,1.1645243,4420.674,0.013383807,1,4960.2393,0.9897558,481.51,615652.3627503451,615652.3627503451,4814.118420836103,2.0434489e-05,83.17379374296424,100,0.017628368,161.03923,0.00013522332,0.2001796,0.010000002,4814.118420836103
100,92.5503575695531,1.4296577,0.5,4916.969500911679,1.0804929,4456.373,0.15897761,1,4976.107,0.93058074,491.77,169390.70596216308,169390.70596216308,4916.969500911679,1.2652604e-05,88.86828074370277,100,0.01536307,117.099106,0.0017083699,0.10956909,0.010000002,4916.969500911679
100,97.973160710004,1.1337403,0.5,4958.162814211513,1.0206877,4489.802,0.08659735,1,4994.9473,1.0031979,495.85,161715.4672285493,161715.4672285493,4958.162814211513,2.5422767e-06,97.5449545525788,100,0.011301263,37.769558,0.0008632131,0.025585625,0.01,4958.162814211513
100,93.95961216803035,1.4131417,0.5,4924.587129323645,1.0642871,4467.3726,0.19083068,1,4983.194,1.0319364,492.49,284950.3419755981,284950.3419755981,4924.587129323645,6.842732e-06,93.65548619060992,100,0.013694078,119.145645,0.0018492484,0.07286775,0.01,4924.587129323645
100,99.88618943707472,1.0432315,0.5,4995.593813229209,1.0011394,4495.8867,0.8666115,1,4996.1714,1.0012134,499.58,1849.2610324355285,1849.2610324355285,4995.593813229209,1.0743031e-07,99.89374938308704,100,0.010419671,37.085526,0.008655612,0.0010769118,0.010000002,4995.593813229209
100,99.82504513102575,1.0568186,0.5,4995.792217854547,1.0017526,4496.302,0.7733461,1,4996.7397,1.0055461,499.6,1680.9709196379881,1680.9709196379881,4995.792217854547,1.2563102e-07,99.8757673673565,100,0.010509898,31.447382,0.007690808,0.0012702841,0.01,4995.792217854547
100,99.99995231630692,1.0016112,0.5,4999.912089708793,1.0000005,4499.9126,0.99787164,1,4999.9126,1.0000305,500.0,0.009684903436289869,0.009684903436289869,4999.912089708793,6.6697745e-11,99.99992370842658,100,0.010015807,0.097870216,0.009978412,6.670201e-07,0.01,4999.912089708793
100,100.0,1.0,0.5,4999.899555905522,1.0,4499.8994,1.0,1,4999.8994,1.0,500.0,0.013819487538841853,0.013819487538841853,4999.899555905522,3.5044917e-18,100.0,100,0.01,0.1169699,0.01,,0.009999998,4999.899555905522
100,99.95199363442026,1.0247238,0.5,4997.708187753018,1.0004803,4497.841,0.88819855,1,4997.961,1.0031942,499.79,483.9341612003341,483.9341612003341,4997.708187753018,3.471127e-08,99.96564519957636,100,0.01021461,19.401745,0.008853705,0.0003493336,0.01,4997.708187753018
100,100.0,1.0,0.5,4999.906703074904,1.0,4499.9067,1.0,1,4999.9067,1.0,500.0,0.012616952642486348,0.012616952642486348,4999.906703074904,3.5044917e-18,100.0,100,0.01,0.11175767,0.01,,0.009999998,4999.906703074904
100,100.0,1.0,0.5,4999.904718130883,1.0,4499.9043,1.0,1,4999.9043,1.0,500.0,0.008039337193005059,0.008039337193005059,4999.904718130883,3.5044917e-18,100.0,100,0.01,0.089180104,0.01,,0.009999998,4999.904718130883
100,98.39645807808861,1.1370511,0.5,4980.491443124311,1.0162967,4490.9097,0.25074378,1,4994.9673,0.9879252,498.07,37636.29209735345,37636.29209735345,4980.491443124311,2.295033e-06,97.77838663384681,100,0.011509486,49.36567,0.0025380848,0.022399435,0.009999999,4980.491443124311
100,100.0,1.0,0.5,4999.8962881077105,1.0,4499.8965,1.0,1,4999.8965,1.0,500.0,0.011703598187309252,0.011703598187309252,4999.8962881077105,3.5044917e-18,100.0,100,0.01,0.10764679,0.01,,0.009999998,4999.8962881077105
