IterType,EpsThisIter,ESSRenyi,MaxNormIw,VarRet,MaxVanillaIw,VarDiscRet,Bound,Delta,MinVanillaIw,AvgEpLen,AvgRet,ESSClassic,MinNormIw,VarNormIw,AvgDiscRet,eRenyi2,AvgVanillaIw,J,VarJ,VanillaAvgRet,VarVanillaIw,BatchSize,AvgNormIw
1,100,33.228321280159406,0.04876408,5241326.926508991,4.23978,5241326.926508991,-548.0641,0.8,4.5820002e-17,200.0,-2281.75755841767,29.213528457218132,5.2700147e-19,0.00024475474,-2281.75755841767,3.009481,0.86944735,-48.68795,107.650375,-2281.75755841767,1.8501956,100,0.009999998
1,100,81.79391436150426,0.016797138,815.8115282383204,1.5345018,815.8115282383204,-25.322365,0.8,0.0071104323,200.0,-13.839836620151265,78.10011355949358,7.783303e-05,2.8324046e-05,-13.839836620151265,1.2225848,0.9135495,-9.88372,9.272718,-13.839836620151265,0.2363847,100,0.01
1,100,15.178704164106305,0.12581049,62.14690056313747,9.293257,62.14690056313747,-7.1881547,0.8,,200.0,-8.221490920890096,11.936823910109428,,0.0007451956,-8.221490920890096,6.5881777,0.73867106,-2.68687,7.751078,-8.221490920890096,4.0660477,100,0.01
,100,nan,nan,62.14690056313747,inf,54.60286461806914,nan,0.8,0.107604906,200.0,-8.221490920890096,nan,nan,nan,-7.945900651466065,nan,inf,nan,nan,-8.221490920890096,nan,200,nan
1,100,14.605018594803761,0.1921764,72.13881326581532,19.174034,72.13881326581532,-7.486134,0.8,,200.0,-9.4896555174686,8.418148803255722,,0.00057181384,-9.4896555174686,13.693923,0.4988655,-2.8972955,10.831465,-9.4896555174686,5.6922183,200,0.005
2,100,200.0,0.01,45.62835285711362,1.0,45.62835285711362,-8.254462,0.8,1.0,200.0,-7.082606962896352,100.0,0.01,3.5044917e-18,-7.082606962896352,1.0,1.0,-7.082607,6.721017,-7.082606962896352,,200,0.009999998
1,100,120.21113954637627,0.011340421,43.93647528511371,2.3250082,43.93647528511371,-7.5886607,0.8,8.7171475e-07,200.0,-7.484329677779384,115.77181752438302,4.2518615e-09,1.8279801e-05,-7.484329677779384,1.6637393,1.0250978,-6.519848,7.926257,-7.484329677779384,0.7683553,200,0.005
2,100,200.0,0.01,53.88117755964817,1.0,53.88117755964817,-8.686072,0.8,1.0,200.0,-7.532746442129651,100.0,0.01,3.5044917e-18,-7.532746442129651,1.0,1.0,-7.532746,7.3035855,-7.532746442129651,,200,0.009999998
1,100,6.866963132941909,0.18308525,49.373026798930056,40.78569,49.373026798930056,-5.7690077,0.8,,200.0,-6.800733504395863,6.844153181671062,,0.00070909626,-6.800733504395863,29.124956,1.1138443,-1.3235598,6.7813745,-6.800733504395863,35.18958,200,0.005
2,100,200.0,0.01,47.578703481710924,1.0,47.578703481710924,-8.710073,0.8,1.0,200.0,-7.570125583847656,100.0,0.01,3.5044917e-18,-7.570125583847656,1.0,1.0,-7.5701246,6.8631563,-7.570125583847656,,200,0.009999998
