InitialReturnMean,InitialReturnStd,TimestepsSoFar,StdIWNorm,Weights,InitialReturnMin,StdIW,ReturnMeanIW,EpisodesSoFar,Bound,InitialReturnMax,MeanEntropy,ESSClassic,EpLenMean,MaxIW,MinIW,Iteration,ReturnStepMaxmin,EmpiricalD2,ReturnStepMax,MeanIWNorm,TimeElapsed,InitialBound,MaxIWNorm,MeanIW,EpThisIter,EntropyCoefficient,J_sample_variance,MinIWNorm,ESSRenyi,EpRewMean
3.7384034e-06,3.275067,1745,0.0069890027,[-0.689  0.919 -0.673  0.288  0.   ],-4.7708664,0.6989003,0.45461586,100,7.4829097,9.20005,1.4883833,69.07973,17.45,4.3138275,0.2722832,1,86.90667,1.7900528,100.0,0.010446454,6.086245775222778,6.7880616,0.043138273,1.0446454,100,4.997768,30.333069,0.002722832,55.864273,-108.67197648780628
6.1035155e-07,2.8323386,3460,0.0090746675,[-0.674  0.903 -0.648  0.24   0.07 ],-4.3945847,0.9074667,0.27877867,200,7.7313476,9.478233,1.577147,58.21927,17.15,7.421914,0.25170764,2,86.66951,1.8313341,100.0,0.010712137,14.86607050895691,7.125976,0.07421914,1.0712137,100,4.996441,14.821267,0.0025170764,54.605,-108.80288276074593
-3.6621093e-06,2.9376273,5145,0.005713562,[-0.673  0.852 -0.669  0.241  0.158],-4.4718704,0.5713562,0.02766768,300,7.7899494,9.559334,1.6219904,75.920876,16.85,4.413826,0.48442802,3,86.53163,1.1824211,100.0,0.010145358,22.351186275482178,7.5670867,0.04413826,1.0145358,100,4.9992733,9.0888815,0.00484428,84.57224,-108.1228744350117
-4.272461e-06,2.7991273,6888,0.003943205,[-0.688  0.849 -0.651  0.23   0.203],-3.9575195,0.3943205,0.027477644,400,7.992485,9.728554,1.6624162,86.6617,17.43,3.011691,0.5339942,4,86.84859,1.1426812,100.0,0.010051086,28.33205223083496,7.7856627,0.03011691,1.0051085,100,4.9997444,7.690177,0.005339942,87.513466,-109.58163358000138
-1.1444092e-06,3.1923034,8582,0.006879719,[-0.704  0.854 -0.631  0.215  0.243],-4.2169952,0.6879719,0.43631384,500,8.864847,9.1189575,1.776985,60.32351,16.94,4.396993,0.2510302,5,86.596245,2.1232963,100.0,0.00848296,35.538960218429565,8.008115,0.04396993,0.848296,100,4.9924207,20.206598,0.002510302,47.096584,-108.48708720866313
1.8310546e-06,3.0408268,10340,0.0056517045,[-0.722  0.866 -0.597  0.187  0.358],-3.7011337,0.56517047,0.1790171,600,8.989752,12.51265,1.864275,74.75083,17.58,3.2667365,0.3217824,6,86.96017,1.4838623,100.0,0.009724429,43.513800382614136,8.467838,0.032667365,0.9724429,100,4.9986224,12.696242,0.003217824,67.3917,-109.1483908671371
8.239746e-06,3.1607609,12105,0.02783071,[-0.718  0.862 -0.592  0.154  0.445],-4.628891,2.7830713,2.5247605,700,10.856274,9.5503845,1.8759555,15.992212,17.65,24.823133,0.012129751,7,87.079926,10.431445,100.0,0.012142798,51.150102615356445,9.0030365,0.24823134,1.2142799,100,4.9892974,496.37164,0.00012129751,9.586399,-108.67786885546768
-3.8146973e-07,3.1664624,13973,0.0061461437,[-0.643  0.834 -0.564  0.286  0.457],-4.8367233,0.61461437,-0.07105255,800,9.41562,8.753708,1.9723927,71.122856,18.68,3.9249325,0.27344966,8,87.587555,1.623563,100.0,0.009645622,61.591333866119385,9.087986,0.039249323,0.9645622,100,4.9982285,10.733443,0.0027344965,61.592926,-110.0306431525297
3.0517579e-06,3.3150074,15990,0.006961873,[-0.654  0.811 -0.583  0.271  0.553],-4.596489,0.6961873,0.43777394,900,10.225301,11.337418,2.0793333,61.048016,20.17,3.8505044,0.16839454,9,88.33882,2.4854662,100.0,0.008715597,69.30949902534485,9.484053,0.038505044,0.8715597,100,4.9935822,20.461246,0.0016839453,40.2339,-111.1991933457517
3.8146973e-06,3.5551689,18047,0.029351128,[-0.644  0.826 -0.608  0.249  0.66 ],-5.004341,2.935113,1.8634557,1000,11.128988,10.4496765,2.0664256,11.428167,20.57,26.042383,0.007253408,10,88.559685,9.278034,100.0,0.010543027,77.61927151679993,10.048347,0.26042384,1.0543027,100,4.997286,440.04,7.253408e-05,10.778145,-111.36827923200424
