EpLenMean,InitialBound,MaxIWNorm,Weights,ReturnStepMaxmin,MeanEntropy,EpRewMean,J_sample_variance,InitialReturnMax,ReturnStepMax,EmpiricalD2,InitialReturnMean,EpThisIter,ESSClassic,InitialReturnStd,TimeElapsed,StdIWNorm,StdIW,Bound,MinIWNorm,ESSRenyi,TimestepsSoFar,ReturnMeanIW,MeanIW,MeanIWNorm,MaxIW,EntropyCoefficient,EpisodesSoFar,InitialReturnMin,MinIW,Iteration
50.56,13.297112,0.18322846,[-0.719 -0.745 -0.195 -1.004  0.055],94.9839,1.4537657,-101.52689079834838,6474.4263,43.151592,100.0,5.5262322,1.5258789e-06,100,21.781452,12.837804,249.98606038093567,0.020666305,2.0666306,19.371267,0.0001418148,18.095512,69657,8.214959,1.0905646,0.010905648,18.322847,10.0,1600,-25.875603,0.01418148,16
48.77,13.337164,0.067681395,[-0.733 -0.796 -0.228 -0.991  0.035],94.86121,1.4329537,-100.9243188950707,204.83046,36.01478,100.0,1.7772293,-6.4849854e-07,100,48.037773,14.044564,267.34879970550537,0.009280683,0.9280683,14.726216,0.0013108902,56.26736,74534,1.9970891,0.892334,0.00892334,6.7681394,10.0,1700,-25.3134,0.13108902,17
50.89,12.933254,0.10944145,[-0.719 -0.778 -0.198 -0.962  0.014],95.00787,1.4706811,-101.5796762947643,2530.4138,41.888603,100.0,4.5850654,4.0817263e-06,100,28.986395,12.905248,287.2378730773926,0.018165912,1.8165913,19.484547,0.00017264325,21.80994,79623,7.7675705,1.1606026,0.011606026,10.944145,10.0,1800,-25.199684,0.017264325,18
50.13,12.936414,2.6916833,[-0.772 -0.79  -0.177 -0.992  0.052],94.98567,1.4371386,-100.61908235717605,2043929.8,53.1119,100.0,86.62689,-1.5258789e-07,100,1.814131,12.244587,304.3510367870331,0.26846096,26.846098,140.70456,1.0607863e-05,1.1543759,84636,142.81088,3.6491437,0.03649143,269.16833,10.0,1900,-25.236946,0.0010607863,19
55.58,12.433754,0.15084958,[-0.825 -0.869 -0.142 -1.033  0.018],95.41223,1.4534762,-99.70414877080266,1213.2935,58.12883,100.0,3.6251886,-3.7002565e-06,100,27.027718,12.914114,321.93180441856384,0.020345353,2.0345354,16.91509,0.00054170465,27.584772,90194,6.069559,1.2382004,0.012382004,15.084959,10.0,2000,-25.999207,0.054170467,20
59.36,12.643415,0.2651717,[-0.87  -0.902 -0.141 -1.03   0.035],95.64644,1.4436923,-99.53368515765104,22979.553,56.740417,100.0,4.525861,9.155273e-07,100,16.37148,12.555403,342.2444682121277,0.027457412,2.745741,26.371323,0.0001316454,22.095243,96130,15.958066,1.2148604,0.012148605,26.51717,10.0,2100,-23.959457,0.013164541,21
55.83,12.632309,65.114204,[-0.818 -0.884 -0.102 -1.046  0.025],95.44879,1.4047508,-99.13207933749695,1242645200.0,54.138275,100.0,9537.367,-4.310608e-06,100,1.0154804,14.118871,361.4365482330322,6.478319,647.832,3368.6108,1.0330916e-07,0.010485074,101713,3530.8003,65.616714,0.65616715,6511.421,10.0,2200,-25.765827,1.0330917e-05,22
58.38,12.896265,5.0601163,[-0.896 -0.796 -0.097 -0.903 -0.014],95.57977,1.251074,-99.836264401374,1088018.9,34.537285,100.0,187.70795,-6.8664554e-07,100,1.2617347,10.897607,384.592342376709,0.503127,50.3127,101.42601,2.1581351e-07,0.5327425,107551,104.68805,5.687467,0.05687467,506.01163,10.0,2300,-24.69249,2.1581352e-05,23
62.81,10.376617,0.23505454,[-0.974 -0.775 -0.069 -0.873 -0.168],95.78522,1.2093486,-100.96036302822341,3933.5862,64.02371,100.0,4.350705,1.4495849e-06,100,13.410072,13.909714,405.9426920413971,0.02723595,2.7235951,16.053905,0.00015005909,22.98478,113832,8.411849,1.0718262,0.010718262,23.505455,10.0,2400,-15.866077,0.015005909,24
64.72,10.854734,2.9727688,[-1.003 -0.803 -0.066 -0.869 -0.21 ],95.83347,1.2363262,-102.46883969016086,1113660.2,37.16242,100.0,423.8537,-4.043579e-06,100,1.8838358,12.340574,426.4258511066437,0.29572728,29.572733,95.99072,1.7339351e-05,0.23593046,120304,109.130424,4.097724,0.04097724,297.2769,10.0,2500,-12.219547,0.0017339352,25
71.38,10.742498,0.0354089,[-0.985 -0.879 -0.098 -0.886 -0.183],96.14102,1.2557324,-102.03715501394096,696.4022,48.6228,100.0,1.7820283,-3.4332274e-06,100,65.0655,14.78367,451.8996248245239,0.0073072575,0.73072577,13.692143,0.0011268426,56.11583,127442,3.2984145,0.99724686,0.009972469,3.54089,10.0,2600,-15.100487,0.11268426,26
67.54,11.168683,1.6547734,[-0.969 -0.831 -0.093 -0.851 -0.163],95.93168,1.1925087,-103.61722580899497,41379.23,41.65931,100.0,24.19193,2.5177003e-06,100,2.256769,11.819461,473.21155834198,0.16494304,16.494305,24.39043,1.5315707e-05,4.13361,134196,19.29543,2.5063066,0.025063066,165.47734,10.0,2700,-13.600727,0.0015315707,27
90.22,10.355786,1.2306606,[-1.027 -0.837 -0.104 -0.817 -0.226],96.67357,1.1644214,-104.94503188231077,247621.61,47.07895,100.0,37.939545,-2.0980835e-06,100,4.356368,16.869366,502.8751473426819,0.12993649,12.993648,58.894302,0.00013819107,2.6357722,143218,56.916195,2.773099,0.02773099,123.066055,10.0,2800,-18.966267,0.013819108,28
95.85,10.261405,0.087046795,[-1.065 -0.849 -0.124 -0.796 -0.255],96.789,1.1366907,-105.96187617786445,1280.6349,41.484154,100.0,2.2070954,-4.8065185e-06,100,47.47589,17.653503,532.0832171440125,0.010555755,1.0555755,12.758147,0.00016146086,45.30842,152803,3.4455767,1.0035673,0.010035673,8.7046795,10.0,2900,-20.979153,0.016146086,29
109.57,10.073951,1.4680955,[-1.058 -0.891 -0.118 -0.818 -0.282],97.03911,1.1391952,-107.42723995155875,40765.49,38.788727,100.0,64.744896,1.335144e-06,100,2.7076378,18.27083,562.4585747718811,0.14628829,14.628829,25.4142,4.95004e-06,1.5445232,163760,24.42593,2.4404252,0.02440425,146.80956,10.0,3000,-24.423126,0.000495004,30
92.75,9.856883,11.214246,[-1.059 -0.882 -0.149 -0.82  -0.28 ],96.72034,1.1406518,-105.71947045612258,20554202.0,46.05206,100.0,4565.157,-3.8146973e-07,100,1.2116643,16.526287,589.9605860710144,1.1151408,111.51408,362.27298,4.1874023e-07,0.02190505,173035,454.58484,12.350029,0.12350031,1121.4246,10.0,3100,-20.234451,4.1874024e-05,31
82.3,10.169481,0.18567087,[-1.064 -0.876 -0.108 -0.848 -0.278],96.423645,1.0947242,-106.01715890557229,3992.419,37.11108,100.0,4.6131525,3.8146972e-08,100,25.755278,15.684269,617.9964609146118,0.02036679,2.0366793,16.712025,0.00035425118,21.67715,181265,8.42172,1.1995627,0.011995628,18.567087,10.0,3200,-17.87925,0.03542512,32
97.11,9.685082,0.15846846,[-1.105 -0.89  -0.134 -0.839 -0.324],96.831314,1.097627,-105.3004335990443,5174.9795,37.864685,100.0,7.154816,-2.5939942e-06,100,17.455761,17.656929,645.8307676315308,0.020328624,2.0328624,18.600485,0.000119858734,13.9766,190976,11.000291,0.934833,0.00934833,15.846846,10.0,3300,-21.082382,0.011985874,33
101.13,9.509153,0.60638607,[-1.102 -0.894 -0.117 -0.826 -0.321],96.859085,1.096184,-108.25555292135601,11063.244,44.013603,100.0,7.209399,3.1280517e-06,100,7.1116824,18.59384,674.5247716903687,0.061637245,6.1637244,22.79721,0.0005287755,13.870781,201089,15.774637,1.7054887,0.017054884,60.63861,10.0,3400,-24.294552,0.05287755,34
128.89,9.358101,0.08602724,[-1.114 -0.867 -0.125 -0.788 -0.323],97.34781,1.1226743,-106.47566159722399,1896.2278,48.112133,100.0,2.3904607,-9.536743e-07,100,44.218292,22.152308,711.2437965869904,0.0135601135,1.3560114,14.717051,0.0005865202,41.83294,213978,5.969865,1.2073088,0.012073088,8.602724,10.0,3500,-27.898754,0.05865202,35
129.75,9.682483,14.12086,[-1.139 -0.871 -0.125 -0.8   -0.296],97.3914,1.1522326,-104.35741915819028,18739992.0,46.327713,100.0,3981.3447,-3.2615662e-06,100,1.1635301,20.730186,745.7339947223663,1.4042939,140.4294,336.58313,2.2555232e-06,0.025117142,226953,422.50018,15.236606,0.15236604,1412.086,10.0,3600,-29.06903,0.00022555233,36
113.45,9.92087,0.24551916,[-1.17  -0.84  -0.158 -0.795 -0.267],97.13816,1.164063,-105.61287495925632,8021.16,48.043713,100.0,5.6795783,9.918213e-07,100,18.875517,19.92302,781.4923989772797,0.026416458,2.6416457,18.693493,0.00013776783,17.606941,238298,10.869434,1.2742307,0.012742307,24.551916,10.0,3700,-26.023758,0.013776783,37
132.34,10.136971,0.09485759,[-1.19  -0.851 -0.144 -0.796 -0.255],97.424576,1.1688169,-104.24538617766737,2280.9363,45.10989,100.0,3.7277322,3.967285e-06,100,38.221455,21.092548,816.912978887558,0.013882855,1.3882856,15.340785,0.00042443848,26.825962,251532,6.5557885,1.0919772,0.010919772,9.485759,10.0,3800,-27.319641,0.04244385,38
178.06,10.388713,0.15503424,[-1.211 -0.848 -0.151 -0.779 -0.25 ],97.82768,1.1854184,-104.37142273836236,2363.4036,38.983696,100.0,5.9230304,2.670288e-07,100,19.90896,21.452576,865.6676943302155,0.024937736,2.4937737,15.921509,0.00037979396,16.88325,269338,7.2298493,1.2433385,0.012433385,15.503425,10.0,3900,-34.229187,0.037979398,39
180.8,10.464059,12.2977705,[-1.206 -0.827 -0.134 -0.763 -0.234],97.85362,1.187955,-103.63240414687996,11063438.0,41.703724,100.0,212.61775,-1.5258789e-07,100,1.2912949,22.460173,914.8886106014252,1.2229915,122.299164,336.88452,3.0864944e-06,0.47032762,287418,345.27496,13.9880905,0.13988088,1229.7771,10.0,4000,-34.206806,0.00030864944,40
