J_sample_variance,Weights,ReturnStepMaxmin,ReturnMeanIW,MaxIW,StdIW,InitialReturnMin,EmpiricalD2,EpLenMean,ESSRenyi,MeanIWNorm,MinIW,ESSClassic,MinIWNorm,TimestepsSoFar,EpRewMean,Iteration,InitialBound,InitialReturnStd,MaxIWNorm,EpisodesSoFar,InitialReturnMean,Bound,EpThisIter,MeanEntropy,EntropyCoefficient,InitialReturnMax,MeanIW,TimeElapsed,ReturnStepMax,StdIWNorm
7.534811,[ 0.579 -0.554  0.227  0.402  0.   ],93.845825,-0.0067790076,3.0678277,0.5589582,-2.4639435,1.548596,46.09,64.57462,0.010022295,0.26219147,76.27497,0.0026219147,4609,-141.8229098366061,1,13.9755535,2.1648557,0.030678276,100,-3.8146973e-07,14.405848,100,1.4678807,10.0,6.4169464,1.0022295,11.882425546646118,100.0,0.0055895816
4.770194,[ 0.58  -0.577  0.247  0.391  0.049],93.35043,-0.052477017,17.846214,1.8428528,-1.9538422,3.049793,41.47,32.789112,0.011733028,0.049537815,28.84377,0.00049537816,8756,-137.878769024755,2,14.504495,1.3876487,0.17846213,200,3.3569336e-06,15.043754,100,1.540065,10.0,5.2294846,1.1733029,24.858509063720703,100.0,0.018428527
4.701174,[ 0.587 -0.56   0.269  0.37   0.121],93.13493,-0.18138525,3.7460299,0.75067663,-2.2656937,1.5846866,39.43,63.10396,0.010290158,0.16666514,65.26633,0.0016666513,12699,-135.3447780785456,3,15.243499,1.5799059,0.037460297,300,-2.670288e-06,15.603114,100,1.5982325,10.0,4.714447,1.0290158,36.240254163742065,100.0,0.0075067664
3.4762762,[ 0.592 -0.557  0.285  0.356  0.179],93.07773,-0.12743372,10.091011,1.4385754,-2.000145,3.276209,39.1,30.523083,0.009896163,0.051469844,32.121746,0.00051469845,16609,-135.33038645834165,4,15.783944,1.6176918,0.100910105,400,-3.8146973e-07,16.49515,100,1.6981659,10.0,5.951416,0.9896164,48.83582377433777,100.0,0.014385752
5.2968397,[ 0.599 -0.549  0.29   0.352  0.279],93.048645,-0.06496877,5.9830947,0.94399935,-2.309517,2.419912,38.72,41.323814,0.01037654,0.13211958,54.71555,0.0013211957,20481,-134.57819439730198,5,16.814894,1.6983967,0.059830945,500,8.31604e-06,17.53697,100,1.7861372,10.0,5.0032043,1.0376539,60.348790645599365,100.0,0.009439993
4930.041,[ 0.602 -0.545  0.275  0.333  0.367],92.7943,7.0890164,99.4256,10.034368,-2.5212326,59.555176,36.76,1.6791152,0.019603385,0.016821727,3.6763356,0.00016821727,24157,-132.44074197765124,6,17.626041,1.9427109,0.99425596,600,1.1901855e-05,24.074379,100,1.8801544,10.0,7.0602646,1.9603386,71.03697347640991,100.0,0.10034367
3.727898,[ 0.662 -0.573  0.211  0.19   0.461],94.00687,-0.076263785,5.4842625,0.62814033,-2.7939682,1.6059369,47.52,62.268948,0.009528744,0.1588296,69.708145,0.0015882959,28909,-142.39675433437097,7,18.564415,2.171049,0.054842625,700,3.1280517e-06,18.99824,100,1.9375011,10.0,7.113991,0.95287436,87.78497099876404,100.0,0.0062814034
25.530624,[ 0.649 -0.568  0.229  0.174  0.519],93.8627,0.45338616,6.089582,0.80953056,-3.0995865,1.8828391,45.74,53.111282,0.010237827,0.097352885,61.529156,0.00097352883,33483,-140.36006741004033,8,18.968554,2.6765354,0.06089582,800,1.7547608e-06,19.619585,100,1.9723929,10.0,12.193787,1.0237828,101.09345197677612,100.0,0.008095305
342.76886,[ 0.662 -0.577  0.18   0.151  0.553],93.68559,2.5038538,34.99337,4.1009088,-2.9824905,15.772303,43.87,6.3402286,0.014722278,0.013948734,11.416724,0.00013948734,37870,-138.50639053307705,9,19.444778,2.4763622,0.34993368,900,4.119873e-06,21.92237,100,2.052716,10.0,8.374626,1.4722278,114.88639187812805,100.0,0.04100909
69729.305,[ 0.677 -0.545  0.244  0.068  0.634],93.82358,34.134705,164.21667,16.797535,-3.9907837,60.861397,45.12,1.6430776,0.029885784,0.0012408396,3.0683417,1.2408395e-05,42382,-138.03021677994278,10,19.939785,4.1509056,1.6421667,1000,1.9073486e-06,49.793335,100,2.0240989,10.0,17.621353,2.988578,131.54272317886353,100.0,0.16797534
17033.285,[ 0.553 -0.685  0.229 -0.073  0.605],93.49039,13.5688305,67.36589,7.2055254,-5.2714615,18.838037,42.76,5.3084087,0.018860007,0.0060777497,6.4117107,6.0777496e-05,46658,-134.62497857680836,11,19.597103,4.9294286,0.6736589,1100,9.155274e-06,32.070534,100,2.1296387,10.0,19.316841,1.886001,147.95563387870789,100.0,0.07205526
