InitialReturnStd,MeanEntropy,InitialReturnMean,MinIWNorm,InitialReturnMax,MeanIWNorm,MaxIWNorm,J_sample_variance,MaxIW,MeanIW,EntropyCoefficient,TimestepsSoFar,ReturnStepMaxmin,ReturnMeanIW,ESSClassic,ReturnStepMax,Bound,StdIW,MinIW,TimeElapsed,InitialBound,EpRewMean,EpThisIter,ESSRenyi,EpisodesSoFar,InitialReturnMin,Iteration,Weights,EmpiricalD2,EpLenMean,StdIWNorm
12.837804,1.4537657,1.5258789e-06,0.0001418148,43.151592,0.010905648,0.18322846,6474.4263,18.322847,1.0905646,10.0,69657,94.9839,8.214959,21.781452,100.0,19.371267,2.0666306,0.01418148,247.9426712989807,13.297112,-101.52689079834838,100,18.095512,1600,-25.875603,16,[-0.719 -0.745 -0.195 -1.004  0.055],5.5262322,50.56,0.020666305
14.044564,1.4329537,-6.4849854e-07,0.0013108902,36.01478,0.00892334,0.067681395,204.83046,6.7681394,0.892334,10.0,74534,94.86121,1.9970891,48.037773,100.0,14.726216,0.9280683,0.13108902,265.81649827957153,13.337164,-100.9243188950707,100,56.26736,1700,-25.3134,17,[-0.733 -0.796 -0.228 -0.991  0.035],1.7772293,48.77,0.009280683
12.905248,1.4706811,4.0817263e-06,0.00017264325,41.888603,0.011606026,0.10944145,2530.4138,10.944145,1.1606026,10.0,79623,95.00787,7.7675705,28.986395,100.0,19.484547,1.8165913,0.017264325,285.3985059261322,12.933254,-101.5796762947643,100,21.80994,1800,-25.199684,18,[-0.719 -0.778 -0.198 -0.962  0.014],4.5850654,50.89,0.018165912
12.244587,1.4371386,-1.5258789e-07,1.0607863e-05,53.1119,0.03649143,2.6916833,2043929.8,269.16833,3.6491437,10.0,84636,94.98567,142.81088,1.814131,100.0,140.70456,26.846098,0.0010607863,302.7139222621918,12.936414,-100.61908235717605,100,1.1543759,1900,-25.236946,19,[-0.772 -0.79  -0.177 -0.992  0.052],86.62689,50.13,0.26846096
12.914114,1.4534762,-3.7002565e-06,0.00054170465,58.12883,0.012382004,0.15084958,1213.2935,15.084959,1.2382004,10.0,90194,95.41223,6.069559,27.027718,100.0,16.91509,2.0345354,0.054170467,321.65728211402893,12.433754,-99.70414877080266,100,27.584772,2000,-25.999207,20,[-0.825 -0.869 -0.142 -1.033  0.018],3.6251886,55.58,0.020345353
12.555403,1.4436923,9.155273e-07,0.0001316454,56.740417,0.012148605,0.2651717,22979.553,26.51717,1.2148604,10.0,96130,95.64644,15.958066,16.37148,100.0,26.371323,2.745741,0.013164541,340.83314299583435,12.643415,-99.53368515765104,100,22.095243,2100,-23.959457,21,[-0.87  -0.902 -0.141 -1.03   0.035],4.525861,59.36,0.027457412
14.118871,1.4047508,-4.310608e-06,1.0330916e-07,54.138275,0.65616715,65.114204,1242645200.0,6511.421,65.616714,10.0,101713,95.44879,3530.8003,1.0154804,100.0,3368.6108,647.832,1.0330917e-05,359.59143447875977,12.632309,-99.13207933749695,100,0.010485074,2200,-25.765827,22,[-0.818 -0.884 -0.102 -1.046  0.025],9537.367,55.83,6.478319
10.897607,1.251074,-6.8664554e-07,2.1581351e-07,34.537285,0.05687467,5.0601163,1088018.9,506.01163,5.687467,10.0,107551,95.57977,104.68805,1.2617347,100.0,101.42601,50.3127,2.1581352e-05,382.00795459747314,12.896265,-99.836264401374,100,0.5327425,2300,-24.69249,23,[-0.896 -0.796 -0.097 -0.903 -0.014],187.70795,58.38,0.503127
13.909714,1.2093486,1.4495849e-06,0.00015005909,64.02371,0.010718262,0.23505454,3933.5862,23.505455,1.0718262,10.0,113832,95.78522,8.411849,13.410072,100.0,16.053905,2.7235951,0.015005909,402.2282328605652,10.376617,-100.96036302822341,100,22.98478,2400,-15.866077,24,[-0.974 -0.775 -0.069 -0.873 -0.168],4.350705,62.81,0.02723595
12.340574,1.2363262,-4.043579e-06,1.7339351e-05,37.16242,0.04097724,2.9727688,1113660.2,297.2769,4.097724,10.0,120304,95.83347,109.130424,1.8838358,100.0,95.99072,29.572733,0.0017339352,423.11006450653076,10.854734,-102.46883969016086,100,0.23593046,2500,-12.219547,25,[-1.003 -0.803 -0.066 -0.869 -0.21 ],423.8537,64.72,0.29572728
