StdIWNorm,MaxIWNorm,InitialReturnMean,StdIW,ESSClassic,InitialReturnStd,MeanEntropy,ESSRenyi,InitialBound,TimestepsSoFar,Weights,InitialReturnMax,MinIW,EpThisIter,ReturnMeanIW,MeanIWNorm,EntropyCoefficient,EpisodesSoFar,InitialReturnMin,EpLenMean,ReturnStepMax,Bound,J_sample_variance,EmpiricalD2,MeanIW,TimeElapsed,Iteration,MaxIW,MinIWNorm,ReturnStepMaxmin,EpRewMean
0.1563152,1.2915581,1.2969971e-06,15.63152,3.8139582,8.854463,1.3100525,2.3323708,13.335144,4573,[-0.365 -0.68  -0.484 -0.253  0.   ],25.629276,0.00020449804,100,19.407494,0.031126704,10.0,100,-16.882248,45.73,100.0,26.914099,19040.984,42.874832,3.1126707,11.966212749481201,1,129.15582,2.0449804e-06,93.704056,-121.62483749719935
0.7799704,7.8408837,-4.653931e-06,77.99703,1.2560487,10.349439,1.1910439,0.16479981,11.47285,9606,[-0.399 -0.701 -0.449 -0.316 -0.109],48.83011,7.1458385e-07,100,77.096886,0.08796826,10.0,200,-19.151642,50.33,100.0,48.91252,575612.2,606.7968,8.796827,30.687243700027466,2,784.0884,7.145838e-09,94.23613,-119.88305729562762
0.01767883,0.12783906,2.2888183e-07,1.7678833,27.716997,10.050931,1.2168047,21.494017,10.908085,14268,[-0.381 -0.702 -0.449 -0.398 -0.228],30.070599,0.025708847,100,3.7785747,0.010947338,10.0,300,-19.164093,46.62,100.0,13.78459,863.35376,4.6524577,1.0947338,48.92790389060974,3,12.783906,0.00025708845,94.1381,-114.79234808683255
0.07334619,0.6950809,4.8065185e-06,7.334619,6.058654,11.222447,1.2445083,2.1040711,11.086611,19043,[-0.378 -0.743 -0.434 -0.441 -0.202],32.443245,0.0010757222,100,22.126324,0.018626757,10.0,400,-19.12387,47.75,100.0,27.115974,26061.191,47.52691,1.8626757,66.06526303291321,4,69.50809,1.0757221e-05,94.29048,-112.4402146065528
0.011754214,0.096396044,-2.0980835e-06,1.1754214,41.223953,11.398111,1.2366935,41.39327,11.221531,23919,[-0.406 -0.826 -0.451 -0.52  -0.174],36.70649,0.088957325,100,2.4871905,0.009843922,10.0,500,-23.349815,48.76,100.0,12.95236,301.298,2.4158518,0.98439234,82.93579864501953,5,9.639605,0.00088957325,94.447426,-110.99174916592855
0.009735443,0.057110127,-4.8065185e-06,0.9735443,50.34539,15.3268795,1.2103237,51.173775,10.809062,29560,[-0.448 -0.825 -0.433 -0.529 -0.182],46.73603,0.08875559,100,2.9911807,0.009802926,10.0,600,-22.72248,56.41,100.0,12.916674,698.20685,1.9541259,0.98029274,101.8879759311676,6,5.711013,0.0008875559,95.174225,-107.9060496403915
0.21526974,1.7269728,-7.6293944e-08,21.526974,2.7928724,13.670121,1.105471,0.29540214,10.863915,35133,[-0.457 -0.823 -0.409 -0.539 -0.209],37.179634,1.0398725e-05,100,56.382908,0.03648879,10.0,700,-20.664406,55.73,100.0,44.635403,184367.64,338.52158,3.648879,121.44601631164551,7,172.69728,1.0398725e-07,95.04036,-110.33540390951246
0.15503658,1.5230435,2.0599366e-06,15.503655,2.5530226,13.222838,1.0952512,0.8731867,9.777378,41901,[-0.505 -0.933 -0.408 -0.581 -0.313],38.320026,0.0018733671,100,37.787827,0.025094433,10.0,800,-25.889881,67.68,100.0,35.07089,90556.85,114.52304,2.5094428,144.0317258834839,8,152.30435,1.873367e-05,95.69681,-111.78019758340284
0.007847263,0.0401718,-7.858276e-06,0.7847263,68.40719,13.160706,1.092885,64.46577,9.516862,50022,[-0.541 -0.918 -0.369 -0.566 -0.324],43.06926,0.1077877,100,1.1443399,0.011547151,10.0,900,-23.89473,81.21,100.0,10.285132,337.8067,1.5512109,1.1547151,168.1848430633545,9,4.01718,0.001077877,96.212685,-113.17899346837058
0.02367783,0.21012919,-4.5776366e-07,2.367783,23.180166,16.335371,1.0834967,28.087326,9.102245,59595,[-0.545 -0.911 -0.36  -0.577 -0.326],54.798145,0.045084793,100,6.102883,0.013006592,10.0,1000,-32.028027,95.73,100.0,13.491261,840.524,3.5603247,1.3006592,193.70519614219666,10,21.012918,0.00045084793,96.65381,-112.3003227751869
