InitialReturnMean,StdIW,ReturnStepMax,InitialReturnMax,ESSRenyi,EpRewMean,Iteration,EpThisIter,InitialReturnStd,MeanEntropy,MaxIW,ESSClassic,TimestepsSoFar,EpLenMean,J_sample_variance,MinIW,EmpiricalD2,ReturnStepMaxmin,MaxIWNorm,ReturnMeanIW,MeanIWNorm,StdIWNorm,EpisodesSoFar,Weights,MinIWNorm,EntropyCoefficient,InitialBound,Bound,MeanIW,TimeElapsed,InitialReturnMin
1.2969971e-06,26.084238,100.0,25.629276,1.438373,-121.62483749719935,1,100,8.854463,1.2818571,251.52373,2.482043,4573,45.73,67787.12,6.0498987e-05,69.522995,93.704056,2.5152373,30.578915,0.0416141,0.26084238,100,[-0.365 -0.68  -0.484 -0.253  0.   ],6.0498985e-07,5.0,6.240418,29.864933,4.16141,12.63791537284851,-16.882248
4.53949e-06,8.972684,100.0,39.365562,3.1725047,-117.25514684141517,2,100,9.857714,1.2104167,90.120804,2.34603,9258,46.85,34926.49,9.23879e-05,31.520836,94.00852,0.90120804,18.670164,0.01390734,0.08972684,200,[-0.388 -0.698 -0.445 -0.32  -0.137],9.23879e-07,5.0,5.0971045,17.35519,1.3907344,29.70570683479309,-20.599022
5.8364867e-06,21.726154,100.0,35.087696,1.1132325,-122.43172353826363,3,100,10.255884,1.2573485,214.20364,2.4371426,15025,57.67,97094.96,0.005773454,89.8285,94.795296,2.1420364,40.696,0.034338478,0.21726154,300,[-0.4   -0.759 -0.427 -0.304 -0.209],5.7734538e-05,5.0,4.8824997,35.897614,3.4338484,48.510589599609375,-19.241547
-2.2888185e-06,3.5169802,100.0,22.308537,14.926756,-127.30638117520215,4,100,9.69875,1.2436845,32.122272,9.507003,22035,70.1,4080.987,0.008429602,6.6993794,95.3756,0.32122272,7.5479236,0.01139946,0.035169803,400,[-0.44  -0.754 -0.414 -0.258 -0.162],8.4296014e-05,5.0,5.5431223,11.841628,1.139946,71.98348140716553,-20.402428
2.670288e-06,21.189692,100.0,29.164047,0.85961425,-125.74554556273227,5,100,11.252924,1.2461255,213.01639,1.5731876,29397,73.62,168555.3,0.0016266677,116.33125,95.615166,2.130164,45.135887,0.0267891,0.21189691,500,[-0.474 -0.673 -0.387 -0.263 -0.175],1.6266677e-05,5.0,5.2462907,40.881363,2.6789103,94.49743032455444,-23.86422
3.8146972e-08,1.6654371,100.0,39.402275,29.90633,-134.88522826042413,6,100,16.169382,1.2530318,15.000952,28.241987,43508,141.11,2135.7488,0.09625822,3.3437736,97.08827,0.15000951,7.574445,0.01044818,0.016654372,600,[-0.484 -0.688 -0.338 -0.277 -0.173],0.0009625822,5.0,4.9172177,11.437905,1.0448182,134.64666962623596,-29.480022
1.8310546e-06,13.136002,100.0,39.109753,1.2296158,-144.43018595995542,7,100,17.003578,1.2606158,130.89343,2.3360014,63644,201.36,99381.336,0.0023426672,81.32622,97.56547,1.3089343,33.25306,0.020315738,0.13136001,700,[-0.495 -0.694 -0.329 -0.267 -0.166],2.3426672e-05,5.0,4.961502,27.79961,2.0315733,190.5173466205597,-37.78422
5.4359434e-06,114.41583,100.0,30.309696,0.095320985,-146.4625408348489,8,100,15.307921,1.210832,1150.3198,1.0791861,89142,254.98,11947629.0,4.6058965e-05,1049.0869,97.851204,11.503198,347.08646,0.11950623,1.1441584,800,[-0.491 -0.703 -0.326 -0.242 -0.158],4.6058963e-07,5.0,4.8893423,307.35007,11.950623,260.01712441444397,-42.412262
2.5177003e-06,12.340868,100.0,21.761272,4.937691,-128.85384188421895,9,100,12.073849,1.2132472,112.952545,4.7800984,127442,383.0,42710.61,0.003226548,20.25238,98.32713,1.1295254,20.279346,0.027650323,0.12340868,900,[-0.51  -0.662 -0.305 -0.237 -0.208],3.2265478e-05,5.0,4.883797,21.078629,2.7650328,361.6253716945648,-35.110962
-1.0108947e-06,1.1083477,100.0,30.637524,50.676197,-129.9708460235362,10,100,15.6245775,1.2034804,7.410089,45.83854,158278,308.36,502.147,0.09066646,1.9733131,98.15701,0.07410089,2.7175832,0.010196384,0.011083476,1000,[-0.523 -0.623 -0.319 -0.233 -0.206],0.0009066646,5.0,4.496294,6.529616,1.0196385,443.3588676452637,-47.09822
2.307892e-06,235.8239,100.0,32.93532,0.04317073,-126.34236667864772,11,100,17.941662,1.2142484,2370.3604,1.0213982,192375,340.97,4206145.5,0.00014825044,2316.3843,98.25893,23.703604,206.08778,0.2395602,2.3582394,1100,[-0.533 -0.631 -0.315 -0.234 -0.216],1.4825044e-06,5.0,4.506446,139.43842,23.956022,531.8060069084167,-45.328724
2.479553e-07,5.3339987,100.0,24.385794,10.009015,-110.55957957521649,12,100,9.304909,1.2000699,41.73925,9.226732,239734,473.59,548.15173,0.012318857,9.9909935,98.533104,0.4173925,5.3396955,0.017005835,0.053339988,1200,[-0.53  -0.613 -0.286 -0.216 -0.205],0.00012318857,5.0,5.19915,8.583489,1.7005833,651.9493455886841,-26.16277
1.2969971e-06,0.49946165,100.0,26.14146,81.16113,-93.8696437688243,13,100,10.680935,1.1939481,3.5641413,80.309525,286222,464.88,119.811646,0.3026249,1.2321168,98.59616,0.035641413,0.7236339,0.010086894,0.0049946164,1300,[-0.539 -0.591 -0.283 -0.223 -0.219],0.0030262491,5.0,5.066826,5.657155,1.0086894,769.7409694194794,-28.005745
-5.340576e-07,2.6080043,100.0,26.19372,19.968401,-105.78479405196566,14,100,11.120345,1.1601903,21.029667,16.498995,329568,433.46,1533.4446,0.0014052866,5.007912,98.5119,0.21029666,4.705832,0.011592874,0.02608004,1400,[-0.555 -0.584 -0.29  -0.217 -0.225],1.40528655e-05,5.0,4.9006777,8.114397,1.1592875,876.0258977413177,-32.07188
-9.727478e-07,2.1993337,100.0,22.578773,14.548009,-96.73421142554956,15,100,11.603599,1.1597736,13.718275,21.453028,370477,409.09,1114.8906,0.016105816,6.8737926,98.52707,0.13718274,5.808609,0.011493986,0.021993337,1500,[-0.559 -0.569 -0.295 -0.218 -0.259],0.00016105815,5.0,4.500245,8.197296,1.1493987,980.2721211910248,-39.02118
5.531311e-07,0.5676034,100.0,20.491756,71.42098,-101.64961726935177,16,100,10.105576,1.1597989,3.3831294,76.02586,416758,462.81,153.99414,0.22401148,1.4001487,98.56073,0.033831295,0.6198689,0.010107746,0.0056760344,1600,[-0.567 -0.571 -0.292 -0.205 -0.259],0.0022401148,5.0,4.531807,4.919575,1.0107747,1096.2923181056976,-38.011864
5.340576e-07,0.85665447,100.0,29.804209,47.318016,-94.58122396590775,17,100,12.565972,1.1566343,5.195448,54.911144,460387,436.29,248.82422,0.15489292,2.11336,98.56644,0.051954478,1.2025566,0.009453691,0.008566544,1700,[-0.569 -0.567 -0.296 -0.208 -0.259],0.0015489291,5.0,4.320347,4.836159,0.94536895,1204.1331598758698,-44.35942
