InitialReturnMean,Weights,TimestepsSoFar,MinIWNorm,EmpiricalD2,MeanIWNorm,InitialReturnMin,ESSRenyi,MeanEntropy,StdIWNorm,EpisodesSoFar,MinIW,MaxIWNorm,J_sample_variance,InitialReturnMax,InitialReturnStd,StdIW,ReturnStepMax,EntropyCoefficient,EpLenMean,ReturnMeanIW,ESSClassic,Iteration,ReturnStepMaxmin,MeanIW,EpThisIter,Bound,InitialBound,MaxIW,EpRewMean,TimeElapsed
-4.119873e-06,[-0.822 -0.493 -0.474 -0.749  0.   ],3509,1.9044178e-06,26.960518,0.013077004,-16.371025,3.7091277,1.3109188,0.06471508,100,0.00019044179,0.62793887,20152.285,33.495453,10.794412,6.471508,100.0,4.9846387,35.09,15.073407,3.9230592,1,92.833694,1.3077005,100,15.810524,5.9782066,62.793888,-108.1894935537418,9.296740055084229
-6.1035157e-06,[-0.863 -0.526 -0.495 -0.827 -0.108],7023,0.00018905025,3.429163,0.013233412,-17.389122,29.161634,1.3042297,0.02931365,200,0.018905025,0.2747795,827.3957,45.723255,13.927226,2.9313653,100.0,4.983859,35.14,4.160965,16.929716,2,92.91768,1.3233414,100,7.8387184,5.0304794,27.47795,-106.8664025669496,23.337347745895386
-5.683899e-06,[-0.889 -0.572 -0.486 -0.844 -0.115],10867,1.0866723e-06,316.90497,0.046357498,-18.461754,0.315552,1.3081036,0.37523878,300,0.00010866724,3.7679803,550860.3,38.13817,12.4176445,37.523876,100.0,4.8214774,38.44,76.33921,1.5033023,3,93.41118,4.6357503,100,60.015236,5.249871,376.79803,-107.41728296425464,37.88776707649231
-6.1416627e-06,[-0.861 -0.668 -0.458 -0.853 -0.111],15174,0.000193335,5.627051,0.01007345,-20.667793,17.771297,1.2237308,0.01774378,400,0.0193335,0.118327394,5949.2715,54.873466,15.86633,1.7743781,100.0,4.999633,43.07,8.604793,24.374369,4,94.12021,1.0073451,100,10.384077,4.711396,11.83274,-105.086241309471,54.92364859580994
3.013611e-06,[-0.871 -0.608 -0.419 -0.85  -0.195],19234,0.003400865,1.329215,0.010687354,-19.685066,75.23237,1.2280272,0.009416303,500,0.34008652,0.08375084,225.7339,48.964108,12.910056,0.94163036,100.0,4.9965644,40.6,0.8534913,56.297306,5,93.741196,1.0687354,100,5.107692,4.48652,8.375084,-106.75358252840817,70.30248689651489
-7.6293944e-08,[-0.878 -0.588 -0.4   -0.829 -0.191],23293,7.5358685e-06,368.94,0.04924501,-20.045624,0.2710468,1.2342515,0.44621146,600,0.0007535869,4.4883575,1109536.6,35.79937,12.353823,44.621143,100.0,4.8075757,40.59,105.27556,1.2033314,6,93.81627,4.9245,100,88.28839,4.946824,448.83575,-105.2037076080742,86.04281401634216
8.392334e-07,[-0.974 -0.701 -0.442 -0.884 -0.185],27984,2.2095428e-05,6.0014205,0.011103988,-22.658989,16.662722,1.2123941,0.024068445,700,0.0022095428,0.20396814,1191.804,30.74981,12.4696865,2.4068446,100.0,4.994483,46.91,4.365996,17.549183,7,94.48657,1.1103988,100,7.910269,5.1462646,20.396814,-105.86278210117753,103.76005673408508
3.7384034e-06,[-0.965 -0.781 -0.443 -0.925 -0.207],32651,1.6985356e-05,12.33533,0.018416535,-23.291039,8.106795,1.1732354,0.09498836,800,0.0016985356,0.9543419,24342.098,49.36014,14.149776,9.4988365,100.0,4.958094,46.67,15.565919,3.6228411,8,94.5464,1.8416537,100,15.604225,4.4166365,95.43419,-103.92472305724931,120.25920128822327
-9.07898e-06,[-1.044 -0.79  -0.435 -0.964 -0.246],37259,0.0006331949,2.5934188,0.009968146,-24.360756,38.55914,1.175652,0.010300062,900,0.0633195,0.068085976,478.16968,42.735443,14.223175,1.0300062,100.0,4.9998407,46.08,2.5891912,48.36282,9,94.52058,0.99681455,100,6.173212,4.4416533,6.8085976,-103.20610810855382,136.48371052742004
-7.5912476e-06,[-1.053 -0.813 -0.42  -0.965 -0.243],41497,2.3626526e-06,109.186005,0.15806136,-21.843422,0.9158683,1.1446377,1.5202726,1000,0.00023626526,15.284046,51704.863,45.104042,13.151012,152.02725,100.0,4.311891,42.38,26.135439,1.069398,10,94.08108,15.806139,100,15.360937,4.3747845,1528.4047,-104.2320302953289,151.00239849090576
