J_sample_variance,InitialReturnStd,TimestepsSoFar,ReturnStepMaxmin,InitialReturnMean,EpisodesSoFar,EmpiricalD2,InitialReturnMax,MaxIW,Bound,ESSClassic,MeanEntropy,MinIW,TimeElapsed,EpLenMean,MinIWNorm,StdIWNorm,InitialReturnMin,ReturnMeanIW,Weights,ReturnStepMax,Iteration,EpRewMean,MaxIWNorm,EntropyCoefficient,StdIW,ESSRenyi,EpThisIter,MeanIWNorm,InitialBound,MeanIW
31.44175,3.275067,1745,86.90667,3.7384034e-06,100,1.8499367,9.20005,4.505884,7.4859595,67.721886,1.4886906,0.25425807,5.576709032058716,17.45,0.0025425807,0.007206652,-4.7708664,0.45961356,[-0.689  0.919 -0.673  0.288  0.   ],100.0,1,-108.67197648780628,0.04505884,5.0,0.7206652,54.055904,100,0.010438637,6.7880616,1.0438638
24.869484,2.8288312,3460,86.669,-1.1444092e-06,200,4.89979,9.481483,15.510176,7.8495965,28.94861,1.6258781,0.1371269,14.21927523612976,17.15,0.0013712689,0.017072802,-4.3940277,0.41979596,[-0.673  0.903 -0.646  0.24   0.07 ],100.0,2,-108.80732035737554,0.15510175,5.0,1.7072802,20.409039,100,0.01089764,7.1274023,1.089764
22.717976,3.1682389,5193,86.85233,6.866455e-06,300,1.586766,11.33522,4.496344,8.186201,69.773994,1.691424,0.2746954,23.625829935073853,17.33,0.0027469539,0.0066018645,-4.309311,0.20503572,[-0.664  0.828 -0.681  0.251  0.207],100.0,3,-108.80938504846299,0.044963438,5.0,0.6601864,63.021263,100,0.010030511,7.751557,1.003051
13.837917,3.6037343,6947,87.03532,-1.1901855e-05,400,1.0661863,10.600258,1.6838245,8.1526985,96.234604,1.7051541,0.6589732,31.231881856918335,17.54,0.006589732,0.0020323289,-4.9948273,-0.008223772,[-0.665  0.84  -0.715  0.281  0.273],100.0,4,-108.31643599431928,0.016838245,5.0,0.20323288,93.79224,100,0.010274329,8.103766,1.0274329
1173.8341,3.324777,8687,86.91067,7.781982e-06,500,11.210274,11.174431,30.49279,10.775339,11.139052,1.8401698,0.06879886,38.40512132644653,17.4,0.0006879886,0.030631715,-4.281395,2.8216217,[-0.663  0.845 -0.716  0.26   0.286],100.0,5,-108.47895556646921,0.3049279,5.0,3.0631719,8.920389,100,0.01084526,8.153296,1.0845261
41.411533,3.0359173,10405,86.66621,-1.9836425e-06,600,2.3262405,13.805763,8.736541,9.497037,50.209827,1.936504,0.16302587,47.959755182266235,17.18,0.0016302586,0.010570337,-3.8438416,0.51640254,[-0.562  0.844 -0.751  0.332  0.421],100.0,6,-109.06393362098568,0.087365404,5.0,1.0570338,42.987816,100,0.010614791,8.740654,1.061479
133.34532,3.416354,12170,87.01473,1.2664795e-05,700,4.115171,10.643448,8.185612,10.738238,47.487522,2.057307,0.08274387,59.34903407096863,17.65,0.00082743866,0.01216014,-4.7950745,1.1714087,[-0.554  0.882 -0.693  0.255  0.517],100.0,7,-108.95307388492034,0.08185612,5.0,1.216014,24.300327,100,0.011563705,9.327751,1.1563705
13.919492,2.5158381,13925,86.88343,8.850097e-06,800,2.68286,8.590561,5.793974,10.736234,53.101864,2.1826766,0.18473065,67.37703943252563,17.55,0.0018473065,0.009385375,-3.702568,0.29187936,[-0.566  0.771 -0.739  0.21   0.638],100.0,8,-109.47866776235288,0.057939738,5.0,0.93853754,37.27366,100,0.009986853,10.000192,0.99868536
12.564399,2.977067,15771,87.47966,7.171631e-06,900,1.5732464,8.719543,3.6024776,10.871942,77.258865,2.2401798,0.20432748,73.6124484539032,18.46,0.0020432747,0.0052565723,-4.291725,0.035604343,[-0.585  0.769 -0.75   0.15   0.764],100.0,9,-109.7548447444522,0.036024775,5.0,0.52565724,63.562836,100,0.009688818,10.622738,0.9688818
20.242863,3.552529,17753,88.249275,7.2479247e-06,1000,2.371725,11.882233,6.251875,11.503719,55.842064,2.3556895,0.203612,80.50338196754456,19.82,0.00203612,0.008648377,-4.791565,0.33524188,[-0.577  0.755 -0.695  0.159  0.821],100.0,10,-111.05073004989383,0.062518746,5.0,0.8648377,42.163403,100,0.0097254785,10.804832,0.9725478
16.986006,3.1874251,19748,88.193665,-3.7384034e-06,1100,2.3569474,10.63485,5.263243,11.939904,56.055374,2.468504,0.120557524,87.32923603057861,19.95,0.0012055752,0.007887072,-4.996849,0.14161782,[-0.597  0.743 -0.667  0.164  0.937],100.0,11,-111.41179104054791,0.052632432,5.0,0.78870714,42.42776,100,0.008907824,11.423949,0.8907823
919.76373,3.8711445,21765,88.34407,-2.670288e-06,1200,13.198463,12.792435,34.707317,14.001563,11.8091755,2.4538534,0.0015352009,95.06071352958679,20.17,1.5352009e-05,0.038650785,-5.7889557,3.2814465,[-0.609  0.741 -0.723  0.159  1.049],100.0,12,-111.28287853932954,0.34707317,5.0,3.8650784,7.5766397,100,0.014143484,11.916102,1.4143485
1400.1564,3.6594598,23733,88.18948,-4.043579e-06,1300,21.001081,10.906891,122.71259,14.464667,2.8611214,2.4856088,0.010526432,105.79357981681824,19.68,0.00010526431,0.12186829,-4.6471024,3.7027209,[-0.544  0.829 -0.883  0.347  1.035],100.0,13,-110.98053558917529,1.2271259,5.0,12.18683,4.7616596,100,0.020915218,11.9057,2.0915215
5383.094,3.1040027,25675,88.04935,2.9754638e-06,1400,51.690617,7.6765137,102.74207,19.166698,2.9085906,2.647439,0.025276098,116.07562255859375,19.42,0.00025276098,0.10227623,-5.214676,7.7692094,[-0.731  0.904 -0.88   0.06   1.067],100.0,14,-109.84190888489879,1.0274208,5.0,10.227623,1.9345871,100,0.01770213,12.172163,1.7702131
9484.8545,3.7446291,27754,88.62152,3.0517577e-07,1500,92.829216,11.493233,95.267006,18.2928,2.7936134,2.4785285,1.4075949e-06,127.0881724357605,20.79,1.4075949e-08,0.095955566,-5.5205536,9.591323,[-0.701  0.83  -0.745 -0.042  1.228],100.0,15,-111.46344661302311,0.95267004,5.0,9.595557,1.077247,100,0.016266944,12.854088,1.6266943
502636030.0,4.763209,29947,89.093185,-2.5939942e-06,1600,208604.4,18.181633,12809.386,1975.3684,1.0076257,2.0344305,7.746114e-12,137.69691467285156,21.93,7.7461136e-14,12.744714,-6.202034,2242.001,[-0.964  0.752 -0.49  -0.278  1.06 ],100.0,16,-112.26882050587511,128.09386,5.0,1274.4711,0.00047937626,100,1.2858158,11.786586,128.58159
34.768005,4.6190257,31918,88.24041,-9.231568e-06,1700,2.0634027,14.56263,5.602391,10.547681,60.540226,2.1301682,0.30768892,149.42456984519958,19.71,0.003076889,0.007883788,-5.835045,0.5941256,[-1.169  0.57  -0.627 -0.208  0.616],100.0,17,-109.37447074223702,0.056023907,5.0,0.78837883,48.46364,100,0.009765167,9.686722,0.9765167
475.40433,4.548892,34082,89.03157,5.1879883e-06,1800,4.732303,19.072227,18.111547,12.334629,24.605265,2.2695842,0.12455314,158.42555499076843,21.64,0.0012455314,0.02014659,-6.840042,2.3696892,[-1.219  0.576 -0.593 -0.248  0.711],100.0,18,-111.30317223109478,0.18111546,5.0,2.0146592,21.13136,100,0.011509197,10.015105,1.1509197
99.67109,5.12599,36413,89.73376,6.2561035e-06,1900,2.5919988,17.228165,5.6272893,11.824193,55.42606,2.3454814,0.08038462,166.8872492313385,23.31,0.00080384617,0.008020519,-6.881592,1.0213453,[-1.264  0.58  -0.558 -0.277  0.851],100.0,19,-111.89527461240746,0.05627289,5.0,0.802052,38.580265,100,0.008943737,10.773655,0.89437366
7340.058,5.4389324,38788,89.9114,-1.8310546e-06,2000,23.033474,20.055046,95.52556,17.974277,4.3540535,2.4404337,0.02129269,176.67301440238953,23.75,0.0002129269,0.096680745,-7.7446213,8.980462,[-1.277  0.593 -0.466 -0.32   0.926],100.0,20,-111.7597218344794,0.95525557,5.0,9.668075,4.3415074,100,0.020627832,11.058904,2.0627832
