TimestepsSoFar,Weights,InitialReturnMin,EmpiricalD2,EpLenMean,MaxIW,EpRewMean,InitialBound,StdIW,Iteration,MaxIWNorm,ReturnMeanIW,InitialReturnMax,EpThisIter,ESSRenyi,Bound,ESSClassic,MeanIW,TimeElapsed,InitialReturnMean,J_sample_variance,ReturnStepMax,StdIWNorm,ReturnStepMaxmin,MeanIWNorm,MeanEntropy,EpisodesSoFar,EntropyCoefficient,MinIWNorm,InitialReturnStd,MinIW
4609,[ 0.579 -0.554  0.227  0.402  0.   ],-2.4639435,1.0,46.09,1.0006717,-141.8229098366061,6.8808274,0.00021612055,1,0.010006717,7.183105e-05,6.4169464,100,100.0,6.880901,99.999985,1.0000063,12.339009523391724,-3.8146973e-07,4.7345037,100.0,2.1612666e-06,93.845825,0.010000063,1.4189454,100,5.0,0.009995385,2.1648557,0.99953854
8773,[ 5.793e-01 -5.538e-01  2.275e-01  4.019e-01  9.328e-06],-2.0030975,3.6585526,41.64,9.369794,-137.96439870877012,6.86515,1.4756365,2,0.093697935,1.0065422,6.887184,100,27.333214,8.081954,41.16794,1.2343887,24.69751262664795,-4.4250487e-06,32.990086,100.0,0.014756366,93.373474,0.012343887,1.5029047,200,5.0,0.0012974758,1.6571784,0.12974758
13382,[ 0.57  -0.56   0.246  0.36   0.084],-2.1444778,1.0,46.09,1.0,-142.09427415489262,7.355563,,3,0.01,-6.5062195e-06,4.768608,100,100.0,7.355563,100.0,1.0,38.70909309387207,-6.4849855e-06,3.1581666,100.0,9.313226e-10,93.834045,0.009999999,1.5029047,300,5.0,0.01,1.7682153,1.0
17629,[ 0.57  -0.56   0.246  0.36   0.084],-2.074234,65.8312,42.47,386.816,-138.6663788371418,7.3105626,38.45051,4,3.86816,3.2112634,6.1189423,100,1.5190365,9.417695,1.566475,4.850565,50.65582346916199,3.967285e-06,824.03186,100.0,0.3845051,93.46991,0.04850565,1.5722657,400,5.0,0.00014698957,1.7386403,0.014698956
21464,[ 0.612 -0.491  0.228  0.227  0.153],-2.5689087,53.430733,38.35,72.97464,-134.0358946022778,7.6082964,7.205405,5,0.7297464,5.221901,7.591049,100,1.871582,11.541231,4.8766484,1.6314567,66.44555354118347,2.5939942e-06,3076.6997,100.0,0.07205405,93.00986,0.016314566,1.6337844,500,5.0,2.1806996e-05,2.0029023,0.0021806997
25069,[ 0.47  -0.461  0.258  0.231  0.215],-2.6949463,1.28467,36.05,2.8039742,-131.5279967205723,7.8869257,0.48840058,6,0.02803974,0.12121959,8.459824,100,77.841,8.129786,82.00762,1.0426995,81.08544301986694,-2.670288e-06,6.3224463,100.0,0.0048840055,92.70302,0.010426995,1.6656374,600,5.0,0.0015585407,1.9504789,0.15585408
28433,[ 0.466 -0.461  0.285  0.219  0.247],-2.5019073,2.2665625,33.64,11.220701,-129.10357062537688,8.140039,1.2177339,7,0.11220701,0.176985,5.644249,100,44.119675,8.588643,41.43074,1.0241861,91.62804841995239,-5.9509275e-06,6.895478,100.0,0.012177338,92.3244,0.010241861,1.7389814,700,5.0,0.0018477563,1.875686,0.18477564
31744,[ 0.493 -0.425  0.29   0.225  0.32 ],-2.2357407,75.29181,33.11,206.13028,-128.97448872845277,8.448752,20.480818,8,2.0613027,12.461026,7.384651,100,1.3281658,18.606367,1.5455794,2.5661101,101.55808901786804,6.8664554e-07,15438.143,100.0,0.20480819,92.209335,0.025661102,1.6562499,800,5.0,4.890357e-06,1.7089792,0.00048903574
35950,[ 0.389 -0.294  0.149  0.072  0.237],-3.5146942,2.5548723,42.06,5.7214537,-135.96361423106543,7.9961905,0.9019867,9,0.057214536,0.51656085,8.551514,100,39.1409,8.727577,58.9718,1.0813869,116.93037533760071,-7.93457e-06,19.231026,100.0,0.0090198675,93.534775,0.01081387,1.7333281,900,5.0,0.001787909,2.7359426,0.1787909
40620,[ 0.388 -0.308  0.128  0.046  0.314],-4.073555,5.924347,46.7,19.122013,-139.68630987922515,8.298347,2.5524087,10,0.19122012,2.406369,11.049004,100,16.879498,9.869205,15.851726,1.1078115,130.99766731262207,7.3242186e-06,484.14935,100.0,0.025524085,94.017715,0.011078115,1.6718558,1000,5.0,1.254726e-05,3.220236,0.001254726
45093,[ 0.414 -0.319  0.13  -0.061  0.253],-6.552841,3.2473948,44.73,14.998656,-134.4235488147454,7.573794,1.8906406,11,0.14998657,5.187199,23.56466,100,30.793915,12.412441,26.582716,1.1376522,147.8672423362732,4.119873e-06,1505.6228,100.0,0.018906407,93.80557,0.011376522,1.7281467,1100,5.0,0.00089725625,5.515381,0.08972563
49498,[ 0.328 -0.211  0.117 -0.091  0.309],-6.461418,5.8587794,44.05,13.380471,-133.67483230213548,7.899542,1.628152,12,0.13380471,4.0779424,22.235817,100,17.068401,10.946112,22.219973,0.8702273,163.37472343444824,1.9073486e-06,1065.5793,100.0,0.016281521,93.35987,0.008702273,1.7324446,1200,5.0,0.0003495761,5.668033,0.03495761
54075,[ 0.307 -0.29   0.12  -0.172  0.314],-10.801361,1.3504661,45.77,2.43778,-129.5191643692212,7.6320167,0.41743082,13,0.024377799,0.99296165,30.90599,100,74.04851,8.477522,82.99076,0.92205566,179.8626024723053,-6.5231325e-06,73.62294,100.0,0.004174308,93.6986,0.009220556,1.7363502,1300,5.0,0.0024839027,8.305445,0.24839027
59453,[ 0.293 -0.306  0.11  -0.202  0.317],-14.160721,4.9865003,53.78,14.345916,-129.92438021008456,7.2505784,1.5769147,14,0.14345916,8.062832,42.935287,100,20.054146,13.512929,23.192364,0.86651975,196.57356023788452,3.3950805e-06,3882.4548,100.0,0.015769146,94.27475,0.008665198,1.7291961,1400,5.0,8.021994e-05,12.09735,0.0080219945
66099,[ 0.25  -0.362  0.071 -0.228  0.31 ],-20.469406,22.7199,66.46,46.842716,-131.10505276476243,7.5168996,4.6960497,15,0.46842715,13.834479,33.87235,100,4.4014277,17.124187,4.684004,1.0410185,218.58412504196167,-2.9373168e-06,14573.674,100.0,0.0469605,95.05573,0.010410185,1.7343012,1500,5.0,2.4485238e-05,13.767666,0.0024485239
74593,[ 0.242 -0.433  0.032 -0.293  0.315],-25.308601,44.585037,84.94,94.91858,-132.18177330623612,7.0617723,9.478378,16,0.9491858,26.58578,48.29181,100,2.242905,24.103909,3.423846,1.7846627,243.9211926460266,-6.2942504e-06,59176.61,100.0,0.09478377,95.88765,0.01784663,1.6533208,1600,5.0,6.0477618e-05,16.57531,0.006047762
83261,[ 0.2   -0.437  0.029 -0.337  0.234],-32.29104,20.477358,86.68,116.62666,-123.15926386121264,6.7035217,11.593855,17,1.1662666,56.415764,46.892372,100,4.8834424,57.18758,2.1240935,1.7079564,269.26844358444214,-2.2506713e-06,299703.62,100.0,0.11593854,96.1583,0.017079564,1.5690095,1700,5.0,6.31056e-05,17.128677,0.0063105607
95515,[ 0.109 -0.444  0.027 -0.316  0.15 ],-39.71736,13.903063,122.54,29.475819,-129.32495291938412,6.4251795,3.3946965,18,0.29475817,12.77755,42.596104,100,7.19266,15.340134,11.858025,1.245133,305.45132207870483,1.5830993e-06,7645.0854,100.0,0.033946965,96.88927,0.01245133,1.5713655,1800,5.0,2.1679378e-05,18.78607,0.0021679378
110421,[ 0.106 -0.485 -0.005 -0.35   0.152],-42.23614,78985.84,149.06,7462.953,-121.50375595725804,6.3961897,742.4973,19,74.62953,1998.8093,43.81913,100,0.0012660497,1596.0757,1.0156572,75.21166,345.83469462394714,,398619070.0,100.0,7.4249725,97.369736,0.7521167,1.5540211,1900,5.0,3.2717985e-06,18.630455,0.00032717985
135957,[-0.026 -0.507  0.005 -0.366  0.135],-40.7688,113.88589,255.36,140.79362,-102.60692691565353,6.411147,16.085093,20,1.4079362,46.426983,35.102222,100,0.8780719,39.844856,4.0310903,3.2966251,415.02820587158203,1.6021728e-06,140809.47,100.0,0.16085093,98.19638,0.032966252,1.5840662,2000,5.0,1.7018554e-05,16.737453,0.0017018554
