InitialReturnStd,ReturnMeanIW,TimestepsSoFar,EmpiricalD2,InitialBound,EpisodesSoFar,StdIW,MaxIWNorm,ReturnStepMaxmin,EpLenMean,EpThisIter,StdIWNorm,MeanEntropy,J_sample_variance,InitialReturnMin,Bound,MaxIW,InitialReturnMean,Iteration,MeanIW,MinIWNorm,ReturnStepMax,EntropyCoefficient,ESSRenyi,ESSClassic,MinIW,MeanIWNorm,EpRewMean,TimeElapsed,InitialReturnMax,Weights
2.1648557,7.183105e-05,4609,1.0,6.8808274,100,0.00021612055,0.010006717,93.845825,46.09,100,2.1612666e-06,1.4189454,4.7345037,-2.4639435,6.8809004,1.0006717,-3.8146973e-07,1,1.0000063,0.009995385,100.0,4.9999995,100.0,99.999985,0.99953854,0.010000063,-141.8229098366061,12.563212871551514,6.4169464,[ 0.579 -0.554  0.227  0.402  0.   ]
1.6571784,1.0597023,8773,4.15146,6.86515,200,1.5930022,0.09800244,93.373474,41.64,100,0.015930021,1.506258,37.11891,-2.0030975,8.104435,9.800244,-4.4250487e-06,2,1.2499268,0.0013632501,100.0,4.9875193,24.08791,38.105553,0.13632502,0.012499267,-137.96439870877012,25.16560459136963,6.887184,[ 5.793e-01 -5.538e-01  2.275e-01  4.019e-01  9.328e-06]
1.8048358,1.5532161,12795,14.462434,7.355151,300,3.695198,0.2833521,93.22218,40.22,100,0.03695198,1.5575147,233.21944,-2.2632294,8.645456,28.33521,7.6293946e-07,3,1.3277539,0.0001777669,100.0,4.9836392,6.9144654,11.434667,0.01777669,0.013277539,-136.30195080243087,38.7474262714386,5.284195,[ 0.566 -0.565  0.244  0.356  0.087]
1.7954988,0.011841588,16632,1.903262,7.633581,400,0.91945153,0.063292876,93.00275,38.37,100,0.009194516,1.6064262,2.4491484,-2.172966,7.8283286,6.329288,4.272461e-06,4,0.960244,0.00032609815,100.0,4.9980125,52.541374,52.16915,0.032609817,0.00960244,-134.24218237806218,52.72384428977966,4.6198883,[ 0.635 -0.503  0.262  0.307  0.138]
1.719755,0.1466865,20610,1.543327,7.838169,500,0.8036138,0.055852383,93.181915,39.78,100,0.0080361385,1.6680588,5.330804,-2.308998,8.240532,5.5852385,-6.5612794e-06,5,1.0659236,0.0025174066,100.0,4.996705,64.79508,63.759853,0.25174066,0.010659236,-135.61180505486456,64.50394988059998,5.8186646,[ 0.654 -0.488  0.288  0.295  0.187]
1.978462,0.4842872,24363,2.671618,8.113344,600,0.78537965,0.044011593,92.90939,37.53,100,0.007853796,1.7291441,16.561808,-2.4431763,8.755634,4.4011593,-5.1879883e-06,6,1.0397046,0.0006031076,100.0,4.9980154,37.4305,63.669525,0.060310762,0.010397046,-133.055106100246,74.54877877235413,6.8083267,[ 0.653 -0.487  0.275  0.28   0.249]
1.8744344,0.27807486,28061,2.2194407,8.338106,700,0.98622376,0.09026233,92.823456,36.98,100,0.009862238,1.8047086,10.066117,-2.1975555,8.835602,9.026234,6.866455e-06,7,0.91430545,0.0006575515,100.0,4.995717,45.056396,46.221283,0.06575515,0.0091430545,-132.6944395641663,85.65868592262268,9.228622,[ 0.713 -0.459  0.254  0.229  0.31 ]
2.2639022,0.786821,31817,4.5205216,8.754119,800,1.5543393,0.1131489,92.93364,37.56,100,0.015543393,1.8727707,90.08368,-2.7020493,9.57319,11.31489,-5.1879883e-06,8,1.0497615,0.000648663,100.0,4.9975123,22.121342,31.324867,0.0648663,0.010497616,-132.70612920417204,97.87704968452454,8.082581,[ 0.714 -0.474  0.256  0.168  0.386]
2.4839375,15.032995,35788,194.1405,9.080008,900,21.822502,2.1941783,93.16939,39.71,100,0.21822502,1.7489492,21576.18,-2.7597656,19.683334,219.41785,-3.890991e-06,9,2.6081762,1.4282874e-09,100.0,4.920234,0.5150909,1.4083319,1.4282874e-07,0.02608176,-134.7600776137941,111.65379977226257,8.515274,[ 0.618 -0.524  0.265  0.207  0.454]
1.7960235,0.12880035,39239,1.417065,8.505836,1000,0.47985512,0.029116377,92.48064,34.51,100,0.004798551,1.8089422,5.5766997,-2.7163467,8.883297,2.9116378,-1.1291504e-05,10,0.9355513,0.0016117492,100.0,4.9967785,70.56839,79.17167,0.16117492,0.009355512,-129.74654978428623,125.89286541938782,7.1669693,[ 0.726 -0.344  0.298  0.238  0.33 ]
