MeanIWNorm,InitialBound,MeanIW,Iteration,J_sample_variance,EmpiricalD2,ReturnMeanIW,EpRewMean,InitialReturnMin,TimestepsSoFar,EpisodesSoFar,MinIWNorm,ESSClassic,ESSRenyi,StdIWNorm,Bound,TimeElapsed,MaxIWNorm,InitialReturnStd,MeanEntropy,StdIW,MaxIW,Weights,EpLenMean,ReturnStepMax,InitialReturnMax,MinIW,InitialReturnMean,ReturnStepMaxmin,EntropyCoefficient,EpThisIter
0.040188793,6.240418,4.0188794,1,58646.668,61.66987,28.869358,-121.62483749719935,-16.882248,4573,100,8.011703e-07,2.6367056,1.6215374,0.2442147,28.399878,12.203729629516602,2.3364203,8.854463,1.2861314,24.42147,233.64203,[-0.365 -0.68  -0.484 -0.253  0.   ],45.73,100.0,25.629276,8.011703e-05,1.2969971e-06,93.704056,4.8513117,100
0.011711649,5.4569592,1.1711648,2,1215.459,9.722626,6.8962445,-117.5079928778891,-18.264198,9296,200,1.5939399e-05,20.995617,10.285288,0.022718476,9.969757,30.54425048828125,0.13529786,8.757281,1.224015,2.2718477,13.529787,[-0.389 -0.698 -0.447 -0.32  -0.133],47.23,100.0,29.210907,0.0015939398,-7.2479247e-07,94.04045,4.9914494,100
0.020950105,5.1045156,2.0950105,3,3050.2842,22.98699,10.364784,-117.17181368369238,-17.93908,14524,300,0.00014886221,6.2926865,4.350287,0.08084532,11.739824,48.917173862457275,0.6660452,10.434298,1.2625765,8.084533,66.60452,[-0.391 -0.762 -0.441 -0.379 -0.195],52.28,100.0,30.466892,0.014886221,3.7765503e-06,94.51777,4.945548,100
0.019991342,5.342015,1.9991342,4,109892.44,78.00186,34.326263,-118.87536883697639,-21.264145,20137,400,5.303557e-05,2.9860506,1.2820207,0.113948986,32.437897,67.83798670768738,1.1372412,9.238667,1.3506808,11.394898,113.72413,[-0.435 -0.761 -0.42  -0.349 -0.156],56.13,100.0,29.126225,0.005303557,6.3705443e-06,94.76431,4.950292,100
0.032378048,4.8206058,3.2378047,5,120032.95,110.07266,36.074654,-118.50542004256731,-22.997192,26171,500,2.9168382e-06,1.9616714,0.9084908,0.22889452,22.14226,88.47196507453918,2.2746658,13.603922,1.2978452,22.889454,227.4666,[-0.405 -0.814 -0.409 -0.413 -0.068],60.34,100.0,57.98384,0.00029168383,-3.5858154e-06,95.07226,4.8893523,100
0.010065853,5.1934347,1.0065854,6,7064.244,5.163785,11.506722,-115.77373035950676,-29.286629,33759,600,0.00027374795,16.206121,19.36564,0.022888495,15.01197,112.09620451927185,0.2120841,15.348786,1.2900453,2.2888496,21.20841,[-0.445 -0.774 -0.352 -0.435 -0.121],75.88,100.0,38.87378,0.027374795,1.1444092e-06,95.94851,4.9996705,100
0.017649665,5.1238203,1.7649666,7,35438.0,13.603041,21.892124,-115.56990450613056,-28.942684,43053,700,0.0001335566,4.8955946,7.3512974,0.07779185,23.222414,140.31065607070923,0.5626202,15.635128,1.2540321,7.779185,56.262024,[-0.469 -0.766 -0.323 -0.437 -0.129],92.94,100.0,39.792168,0.01335566,-3.8146972e-08,96.513016,4.961898,100
0.010551692,5.0578866,1.0551692,8,526.9902,2.2430933,4.389892,-122.24941546434125,-33.969124,56827,800,0.0013038636,53.082523,44.581295,0.009920047,8.773853,178.13347864151,0.05095475,16.281734,1.2405999,0.99200475,5.095475,[-0.459 -0.777 -0.293 -0.422 -0.165],137.74,100.0,36.36821,0.13038637,-3.8146973e-07,97.22493,4.9972425,100
0.0120498715,4.5224648,1.2049872,9,2465.4194,3.105269,9.895816,-119.64110221691207,-37.74085,72084,900,0.0008489174,29.8119,32.20333,0.01848925,13.1401,219.57061052322388,0.13730234,16.185823,1.243683,1.8489251,13.730234,[-0.474 -0.764 -0.284 -0.428 -0.178],152.57,100.0,50.415997,0.084891744,-9.3460085e-07,97.431656,4.9897614,100
0.51218206,4.8021817,51.21821,10,10856946.0,3686.8772,354.20956,-118.02877147209958,-42.48703,94139,1000,2.6603464e-06,1.0669589,0.027123226,4.9319787,271.85587,278.1005280017853,49.571392,17.919024,1.2027429,493.19788,4957.139,[-0.495 -0.744 -0.273 -0.415 -0.175],220.55,100.0,31.93686,0.00026603465,1.2207031e-06,97.92969,3.0260432,100
0.09018262,4.746488,9.018264,11,3925544.8,1527.5848,190.8804,-94.68944057693344,-38.016808,129969,1100,6.796067e-06,1.1734332,0.06546281,0.8276193,147.09126,371.46825098991394,8.32391,14.16666,1.243749,82.76193,832.391,[-0.508 -0.722 -0.248 -0.386 -0.216],358.3,100.0,26.400602,0.0006796067,3.0517577e-07,98.47145,4.614739,100
0.010680884,4.81968,1.0680884,12,1183.1399,2.9511192,6.263314,-110.15932359067614,-41.971878,157204,1200,0.00014058255,33.42689,33.88545,0.015073311,9.958756,441.9800453186035,0.11413746,17.448805,1.2206043,1.5073311,11.413747,[-0.485 -0.693 -0.257 -0.37  -0.175],272.35,100.0,30.535404,0.014058256,-2.2506713e-06,98.19104,4.996597,100
0.011979464,4.600871,1.1979464,13,491.71857,1.5250375,1.8891351,-102.20443265297791,-45.06453,191102,1300,0.0016803036,58.944134,65.57216,0.0099978065,6.093236,527.180614233017,0.07373503,16.64527,1.21423,0.9997806,7.3735027,[-0.49  -0.714 -0.253 -0.375 -0.198],338.98,100.0,36.81296,0.16803037,3.8146973e-07,98.39699,4.9901123,100
