AvgRet,VarRet,AvgEpLen,EpsThisIter,AvgNormIw,BatchSize,IterType,Bound,AvgVanillaIw,ESSClassic,ESSRenyi,delta,VarVanillaIw,VarNormIw,MaxVanillaIw,renyi2,MaxNormIw,VarDiscRet,AvgDiscRet,J,MinVanillaIw,SamplesThisIter,VanillaAvgRet,VarJ,MinNormIw
47.770346295,3096.05716411,5.77767506355,8654,6.41964e-07,100,1,360.907,6.08243e+07,21.9999148372,nan,0.8,2.60329e+20,2.89995e-08,4.29335e+12,nan,0.0453138,3096.05716411,47.770346295,58351.5,,50000,47.770346295,3510.01,
53.205133015,6130.7595559,6.3211125158,7910,7.02346e-07,100,1,673.318,3.9694e+20,11.9999993397,nan,0.8,inf,5.85284e-08,4.70969e+25,nan,0.0833333,6130.7595559,53.205133015,80355.7,,50000,53.205133015,16066.6,
55.782073633,4934.66451961,6.57894736842,7600,7.30994e-07,100,1,523.303,9.40912e+08,6.38718507024,nan,0.8,3.03062e+22,1.8292e-08,4.03938e+13,nan,0.0313819,4934.66451961,55.782073633,74833.9,,50000,55.782073633,13379.8,
50.4983610703,5912.34523618,6.05033881897,8264,6.7226e-07,100,1,838.198,1.72037e+11,9.99448448446,nan,0.8,4.18381e+27,6.38857e-08,2.49402e+16,nan,0.0974576,5912.34523618,50.4983610703,125260.0,,50000,50.4983610703,18647.4,
56.1817070112,6768.70863534,6.61900979613,7554,7.35445e-07,100,1,898.191,1.14554e+11,11.9897864236,nan,0.8,1.35937e+27,5.60302e-08,1.24057e+16,nan,0.0796456,6768.70863534,56.1817070112,60870.4,,50000,56.1817070112,15160.6,
101.255934856,46061.9380826,11.1259457054,4494,1.23622e-06,100,1,2314.67,4.23295e+21,10.0000010539,nan,0.8,inf,1.23617e-07,3.42408e+26,nan,0.0999988,46061.9380826,101.255934856,411410.0,,50000,101.255934856,40522.3,
211.751274839,94623.3844121,22.1827861579,2254,2.46475e-06,100,1,2386.95,3.63119e+13,11.9999838362,nan,0.8,4.4472e+31,2.04897e-07,1.22623e+18,nan,0.0832332,94623.3844121,211.751274839,375065.0,,50000,211.751274839,16741.0,
260.542559748,131978.35635,27.0562770563,1848,3.00625e-06,100,1,1830.38,3.06074e+12,9.99958610701,nan,0.8,3.07138e+29,2.96299e-07,1.01077e+17,nan,0.0992771,131978.35635,260.542559748,231724.0,,50000,260.542559748,17703.6,
242.759351044,120328.217345,25.2780586451,1978,2.80867e-06,100,1,2668.38,1.67195e+10,9.65229661113,nan,0.8,7.15544e+24,2.01926e-07,4.95896e+14,nan,0.0833045,120328.217345,242.759351044,292201.0,,50000,242.759351044,26677.6,
46.9685090831,23987.438702,5.69735642662,8776,6.3304e-07,100,1,2289.66,1.87093e+11,11.2775739492,nan,0.8,1.03662e+27,1.18678e-08,9.97927e+15,nan,0.0337655,23987.438702,46.9685090831,210982.0,,50000,46.9685090831,31099.6,
95.3924560774,39284.0527299,10.5396290051,4744,1.17107e-06,100,1,1701.89,7.41912e+09,9.72735178135,nan,0.8,3.5306e+24,8.79653e-08,5.41544e+14,nan,0.0854799,39284.0527299,95.3924560774,263322.0,,50000,95.3924560774,24586.5,
192.427510192,87892.2224893,20.2429149798,2470,2.24921e-06,100,1,2017.5,3.56369e+13,9.89219824903,nan,0.8,4.67932e+31,1.864e-07,1.43459e+18,nan,0.0905439,87892.2224893,192.427510192,298955.0,,50000,192.427510192,24288.5,
1137.2602311,1530464.8097,114.678899083,436,1.27421e-05,100,1,nan,1.23054e+23,9.99999320125,nan,0.8,inf,1.2721e-06,9.64985e+26,nan,0.0999229,1530464.8097,1137.2602311,nan,,50000,1137.2602311,nan,
1273.49683496,2642797.19549,128.205128205,390,1.4245e-05,100,1,4619.8,718.562,7.49833508511,nan,0.8,2.48166e+08,9.75305e-08,823302.0,nan,0.0163214,2642797.19549,1273.49683496,704873.0,,50000,1273.49683496,25025.5,
1419.53733694,1915346.88265,142.857142857,350,1.5873e-05,100,1,4466.32,17480.7,5.82705724276,nan,0.8,2.09515e+11,1.72749e-07,2.29583e+07,nan,0.0208468,1915346.88265,1419.53733694,701079.0,,50000,1419.53733694,21498.1,
2129.26224159,3464480.09805,213.675213675,234,2.37417e-05,100,1,4633.86,8.38067,4.15653718505,nan,0.8,1199.09,9.62314e-09,1078.61,nan,0.00305559,3464480.09805,2129.26224159,767355.0,,50000,2129.26224159,17029.6,
2058.98613968,3393107.01554,206.611570248,242,2.29568e-05,100,1,4663.51,22.8095,6.40664776037,nan,0.8,13681.2,1.38585e-08,3595.7,nan,0.00361892,3393107.01554,2058.98613968,810391.0,,50000,2058.98613968,14514.7,
2681.8477393,3599175.22059,268.817204301,186,2.98686e-05,100,1,4663.81,11.7229,11.6837263773,nan,0.8,9084.66,5.89751e-08,4762.94,nan,0.0121354,3599175.22059,2681.8477393,828558.0,,50000,2681.8477393,12442.8,
1487.7575474,2027837.49993,149.700598802,334,1.66334e-05,100,1,4411.17,3.34726e+09,11.9999656247,nan,0.8,5.59372e+22,1.38128e-06,1.6742e+13,nan,0.0831955,2027837.49993,1487.7575474,697122.0,,50000,1487.7575474,21159.8,
2625.10710675,4126294.26972,263.157894737,190,2.92398e-05,100,1,4672.41,4.44551,7.15393815295,nan,0.8,184.975,8.00236e-09,493.076,nan,0.00324314,4126294.26972,2625.10710675,809847.0,,50000,2625.10710675,13786.9,
2128.27612275,3567101.3502,213.675213675,234,2.37417e-05,100,1,4534.53,49.0557,9.99666576964,nan,0.8,901849.0,2.11241e-07,51695.5,nan,0.0250193,3567101.3502,2128.27612275,773090.0,,50000,2128.27612275,14278.5,
1669.39849453,2577853.77547,167.785234899,298,1.86428e-05,100,1,4568.89,880.665,6.84035928044,nan,0.8,5.8435e+08,2.61863e-07,1.10023e+06,nan,0.0232907,2577853.77547,1669.39849453,718006.0,,50000,1669.39849453,19740.8,
2492.83752496,4455776.83741,250.0,200,2.77778e-05,100,1,nan,8.99783,12.7151447428,nan,0.8,7933.5,7.56109e-08,4580.72,nan,0.0141414,4455776.83741,2492.83752496,nan,,50000,2492.83752496,nan,
2308.49675351,4515546.06773,231.481481481,216,2.57202e-05,100,1,4690.18,8.84534,13.3912761517,nan,0.8,678.418,5.73609e-09,289.247,nan,0.000841063,4515546.06773,2308.49675351,783069.0,,50000,2308.49675351,17130.2,
2802.30538997,3068937.89666,280.898876404,178,3.1211e-05,100,1,4633.72,10.5471,7.07975740572,nan,0.8,1583.09,1.3863e-08,1485.66,nan,0.00439639,3068937.89666,2802.30538997,797238.0,,50000,2802.30538997,14386.2,
2351.09451191,3140365.97696,235.849056604,212,2.62055e-05,100,1,4611.34,18.5913,11.9914550651,nan,0.8,9710.34,1.92929e-08,4007.68,nan,0.00564904,3140365.97696,2351.09451191,766834.0,,50000,2351.09451191,16132.3,
2625.73064256,3292407.92053,263.157894737,190,2.92398e-05,100,1,4688.86,18.3424,11.996085223,nan,0.8,270211.0,6.86657e-07,27734.9,nan,0.0442124,3292407.92053,2625.73064256,778957.0,,50000,2625.73064256,17517.1,
3199.59509374,3674541.24965,320.512820513,156,3.56125e-05,100,1,4670.13,49.1683,10.0000290343,nan,0.8,5.46394e+06,2.86643e-06,123889.0,nan,0.0897324,3674541.24965,3199.59509374,833324.0,,50000,3199.59509374,12037.4,
