VarDiscRet,Bound,VarVanillaIw,AvgNormIw,MaxNormIw,MaxVanillaIw,MinNormIw,VarJ,VarRet,ESSRenyi,ESSClassic,J,VarNormIw,eRenyi2,AvgVanillaIw,AvgRet,VanillaAvgRet,AvgEpLen,MinVanillaIw,AvgDiscRet,BatchSize
102.57411314426895,-0.85178596,,0.009999998,0.01,1.0,0.01,10.077121,102.57411314426895,100.0,100.0,1.1920929e-07,3.5044917e-18,1.0,1.0,2.113864638886298e-15,-16.519798265553323,200.0,1.0,2.113864638886298e-15,100
111.2551924239966,-0.8870981,,0.009999998,0.01,1.0,0.01,10.494886,111.2551924239966,100.0,100.0,,3.5044917e-18,1.0,1.0,-3.801403636316536e-15,-14.300121179921085,200.0,1.0,-3.801403636316536e-15,100
104.82407343217822,-0.8610771,,0.009999998,0.01,1.0,0.01,10.187042,104.82407343217822,100.0,100.0,5.2154064e-08,3.5044917e-18,1.0,1.0,-1.1901590823981679e-15,-13.140750101500696,200.0,1.0,-1.1901590823981679e-15,100
115.37426666606183,-0.9033707,,0.009999998,0.01,1.0,0.01,10.6874,115.37426666606183,100.0,100.0,2.9802322e-08,3.5044917e-18,1.0,1.0,1.3500311979441904e-15,-15.862173492044711,200.0,1.0,1.3500311979441904e-15,100
112.57164382258959,-0.8923312,,0.009999998,0.01,1.0,0.01,10.556795,112.57164382258959,100.0,100.0,-1.1920929e-07,3.5044917e-18,1.0,1.0,-9.237055564881303e-16,-13.331038831491293,200.0,1.0,-9.237055564881303e-16,100
119.17326194445653,-0.91812325,,0.009999998,0.01,1.0,0.01,10.86193,119.17326194445653,100.0,100.0,4.4703484e-08,3.5044917e-18,1.0,1.0,-1.7763568394002505e-15,-14.037100998208722,200.0,1.0,-1.7763568394002505e-15,100
104.15210220411394,-0.8583127,,0.009999998,0.01,1.0,0.01,10.154338,104.15210220411394,100.0,100.0,-2.9802322e-08,3.5044917e-18,1.0,1.0,-1.3500311979441904e-15,-14.318227981935381,200.0,1.0,-1.3500311979441904e-15,100
119.04397828696906,-0.91762525,,0.009999998,0.01,1.0,0.01,10.856036,119.04397828696906,100.0,100.0,5.2154064e-08,3.5044917e-18,1.0,1.0,-5.861977570020827e-16,-15.640677735918155,200.0,1.0,-5.861977570020827e-16,100
119.57434660723729,-0.9196668,,0.009999998,0.01,1.0,0.01,10.880193,119.57434660723729,100.0,100.0,8.195639e-08,3.5044917e-18,1.0,1.0,-1.0658141036401502e-16,-17.386815800114768,200.0,1.0,-1.0658141036401502e-16,100
123.09567403112068,-0.93311024,,0.009999998,0.01,1.0,0.01,11.039236,123.09567403112068,100.0,100.0,-7.4505806e-08,3.5044917e-18,1.0,1.0,-1.3500311979441904e-15,-16.023654977224172,200.0,1.0,-1.3500311979441904e-15,100
117.60888007105213,-0.91207707,,0.009999998,0.01,1.0,0.01,10.790402,117.60888007105213,100.0,100.0,-1.7881393e-07,3.5044917e-18,1.0,1.0,1.1013412404281553e-15,-13.789295706664078,200.0,1.0,1.1013412404281553e-15,100
123.43769956338268,-0.9344059,,0.009999998,0.01,1.0,0.01,11.054562,123.43769956338268,100.0,100.0,2.9802322e-08,3.5044917e-18,1.0,1.0,2.842170943040401e-15,-14.228119884012584,200.0,1.0,2.842170943040401e-15,100
113.42282592884325,-0.89569825,,0.009999998,0.01,1.0,0.01,10.596631,113.42282592884325,100.0,100.0,-2.9802322e-08,3.5044917e-18,1.0,1.0,9.85878045867139e-16,-13.503236214700559,200.0,1.0,9.85878045867139e-16,100
118.47165624549638,-0.91541654,,0.009999998,0.01,1.0,0.01,10.829909,118.47165624549638,100.0,100.0,5.9604645e-08,3.5044917e-18,1.0,1.0,-2.2737367544323206e-15,-13.302354138798062,200.0,1.0,-2.2737367544323206e-15,100
109.20047786464615,-0.87886834,,0.009999998,0.01,1.0,0.01,10.397523,109.20047786464615,100.0,100.0,5.9604645e-08,3.5044917e-18,1.0,1.0,2.842170943040401e-16,-13.295115096924416,200.0,1.0,2.842170943040401e-16,100
115.02565378589082,-0.90200496,,0.009999998,0.01,1.0,0.01,10.671242,115.02565378589082,100.0,100.0,-1.2665987e-07,3.5044917e-18,1.0,1.0,-5.329070518200751e-16,-15.96621968302632,200.0,1.0,-5.329070518200751e-16,100
115.54164851628052,-0.9040256,,0.009999998,0.01,1.0,0.01,10.695149,115.54164851628052,100.0,100.0,7.450581e-09,3.5044917e-18,1.0,1.0,-8.171241461241152e-16,-14.480132697526367,200.0,1.0,-8.171241461241152e-16,100
113.71612398767004,-0.8968558,,0.009999998,0.01,1.0,0.01,10.610324,113.71612398767004,100.0,100.0,-1.1920929e-07,3.5044917e-18,1.0,1.0,2.2382096176443156e-15,-17.048352550553897,200.0,1.0,2.2382096176443156e-15,100
128.63980687322098,-0.95389205,,0.009999998,0.01,1.0,0.01,11.285097,128.63980687322098,100.0,100.0,-1.1920929e-07,3.5044917e-18,1.0,1.0,-2.0605739337042904e-15,-14.940063122676579,200.0,1.0,-2.0605739337042904e-15,100
126.40080190428716,-0.9455543,,0.009999998,0.01,1.0,0.01,11.186457,126.40080190428716,100.0,100.0,1.4901161e-08,3.5044917e-18,1.0,1.0,1.1368683772161603e-15,-13.237313510800911,200.0,1.0,1.1368683772161603e-15,100
129.76391387592005,-0.9580505,,0.009999998,0.01,1.0,0.01,11.334296,129.76391387592005,100.0,100.0,1.4901161e-08,3.5044917e-18,1.0,1.0,-9.237055564881303e-16,-14.481934266071706,200.0,1.0,-9.237055564881303e-16,100
117.32947638027868,-0.9109931,,0.009999998,0.01,1.0,0.01,10.777577,117.32947638027868,100.0,100.0,-2.0861626e-07,3.5044917e-18,1.0,1.0,1.723066134218243e-15,-15.463189550718269,200.0,1.0,1.723066134218243e-15,100
114.94115290721432,-0.90167344,,0.009999998,0.01,1.0,0.01,10.667321,114.94115290721432,100.0,100.0,,3.5044917e-18,1.0,1.0,-1.4210854715202005e-15,-13.720936424278195,200.0,1.0,-1.4210854715202005e-15,100
112.34489195594068,-0.8914321,,0.009999998,0.01,1.0,0.01,10.546158,112.34489195594068,100.0,100.0,,3.5044917e-18,1.0,1.0,-7.993605777301127e-16,-14.628759735554608,200.0,1.0,-7.993605777301127e-16,100
124.78161873944217,-0.9394784,,0.009999998,0.01,1.0,0.01,11.114576,124.78161873944217,100.0,100.0,2.0861626e-07,3.5044917e-18,1.0,1.0,1.5099033134902129e-15,-15.764640635315088,200.0,1.0,1.5099033134902129e-15,100
107.27318265873862,-0.8710781,,0.009999998,0.01,1.0,0.01,10.30536,107.27318265873862,100.0,100.0,8.940697e-08,3.5044917e-18,1.0,1.0,-2.0250467969162854e-15,-17.029495888790176,200.0,1.0,-2.0250467969162854e-15,100
