MaxVanillaIw,BatchSize,VarDiscRet,EpsThisIter,AvgDiscRet,eRenyi2,VarVanillaIw,VarJ,Bound,MinNormIw,AvgVanillaIw,AvgNormIw,ESSClassic,ESSRenyi,AvgEpLen,AvgRet,MinVanillaIw,VarRet,J,Delta,VarNormIw,VanillaAvgRet,MaxNormIw,IterType
6.44927,100,78000.8955094,100,-1067.36997527,1.36171,0.691318,437.403,-1418.77,0.000578279,1.0704,0.01,62.6042400757,73.4368980009,500.0,-1067.36997527,0.0618991,78000.8955094,-960.76,0.2,6.03369e-05,-1067.36997527,0.0602509,1
2.02297,100,81882.1287047,100,-1044.81991152,1.31082,0.354518,326.401,-1411.96,1.33678e-05,0.977318,0.01,73.1286950858,76.2881537031,500.0,-1044.81991152,0.00130646,81882.1287047,-962.945,0.2,3.71164e-05,-1044.81991152,0.0206992,1
4.78946,100,71111.53971,100,-982.401120858,1.4819,0.69227,316.243,-1313.25,0.000487927,0.970245,0.01,57.8694302391,67.4810082644,500.0,-982.401120858,0.0473409,71111.53971,-835.887,0.2,7.35382e-05,-982.401120858,0.0493635,1
2.94862,100,82632.6483192,100,-860.553976432,1.28874,0.415411,252.973,-1209.62,0.000788766,1.10503,0.01,74.8059312908,77.5949384535,500.0,-860.553976432,0.0871613,82632.6483192,-764.103,0.2,3.40194e-05,-860.553976432,0.0266835,1
2.28759,100,47934.2851878,100,-764.856312975,1.13484,0.189722,191.785,-1130.26,0.00184936,0.993536,0.01,84.0140786079,88.1180183244,500.0,-764.856312975,0.18374,47934.2851878,-712.799,0.2,1.92199e-05,-764.856312975,0.0230247,1
1.87029,100,53704.708561,100,-762.141275467,1.09083,0.0843728,188.672,-1136.94,0.00292965,1.01092,0.01,92.4441400196,91.6729750107,500.0,-762.141275467,0.296164,53704.708561,-726.94,0.2,8.25602e-06,-762.141275467,0.0185009,1
1.95279,100,75403.6174661,100,-755.700699653,1.16593,0.186465,187.913,-1113.55,0.000913285,0.973672,0.01,83.7017022724,85.7684574902,500.0,-755.700699653,0.088924,75403.6174661,-689.668,0.2,1.96686e-05,-755.700699653,0.0200559,1
1.57747,100,49623.6589281,100,-670.902126961,1.07572,0.0819059,135.189,-1040.8,0.00153197,1.01218,0.01,92.6657346381,92.9607401213,500.0,-670.902126961,0.155063,49623.6589281,-634.269,0.2,7.99467e-06,-670.902126961,0.0155849,1
2.32915,100,17040.9534096,100,-651.519540442,1.10125,0.119126,103.253,-892.135,0.00385323,0.975724,0.01,88.9777814521,90.8061143115,500.0,-651.519540442,0.375969,17040.9534096,-624.901,0.2,1.25128e-05,-651.519540442,0.023871,1
1.99418,100,30918.89248,100,-639.103504047,1.0573,0.0686479,102.035,-1016.85,0.00362797,1.01686,0.01,93.8327754239,94.5809537597,500.0,-639.103504047,0.368915,30918.89248,-613.427,0.2,6.63898e-06,-639.103504047,0.0196111,1
1.68152,100,7284.15742953,100,-602.950822383,1.08404,0.0956528,72.2575,-780.592,0.0034264,1.00605,0.01,91.4444500079,92.2476972463,500.0,-602.950822383,0.344714,7284.15742953,-586.962,0.2,9.45052e-06,-602.950822383,0.0167141,1
1.55541,100,26197.9044935,100,-612.958264909,1.04647,0.0632776,120.125,-994.321,0.00310874,0.99779,0.01,94.0802219624,95.5589279494,500.0,-612.958264909,0.310187,26197.9044935,-593.188,0.2,6.35582e-06,-612.958264909,0.0155886,1
1.28368,100,27507.8865057,100,-604.057021721,1.02927,0.0276179,106.543,-988.615,0.00517812,0.997674,0.01,97.3265137978,97.1564907599,500.0,-604.057021721,0.516607,27507.8865057,-590.963,0.2,2.77468e-06,-604.057021721,0.0128667,1
2.08208,100,10420.3235273,100,-588.897541733,1.06106,0.0768286,69.7476,-789.628,0.00130468,1.00562,0.01,93.0049000489,94.2452968399,500.0,-588.897541733,0.131201,10420.3235273,-572.984,0.2,7.59722e-06,-588.897541733,0.0207045,1
2.24393,100,6202.4633357,100,-578.800164494,1.06275,0.0857388,67.4627,-752.657,0.00308538,0.986484,0.01,91.9774148857,94.0958040778,500.0,-578.800164494,0.304367,6202.4633357,-566.498,0.2,8.81044e-06,-578.800164494,0.0227468,1
1.54301,100,4394.86775347,100,-571.798469735,1.07594,0.105662,55.1747,-737.877,0.00113905,0.954909,0.01,89.7088856744,92.9424169947,500.0,-571.798469735,0.108769,4394.86775347,-558.071,0.2,1.15876e-05,-571.798469735,0.0161587,1
1.43333,100,3378.75229786,100,-565.304959863,1.03459,0.0430917,57.4519,-709.232,0.0038551,0.982088,0.01,95.7642341173,96.6568465143,500.0,-565.304959863,0.378605,3378.75229786,-560.222,0.2,4.4678e-06,-565.304959863,0.0145947,1
1.86663,100,3601.15136715,100,-549.004757539,1.07113,0.0755954,64.0252,-687.443,0.00453637,1.00879,0.01,93.1497733099,93.3592838789,500.0,-549.004757539,0.457627,3601.15136715,-539.752,0.2,7.42831e-06,-549.004757539,0.0185036,1
2.151,100,3975.81619903,100,-556.492781323,1.06796,0.0932819,60.5735,-706.879,0.00479864,0.975652,0.01,91.156399222,93.6367981572,500.0,-556.492781323,0.46818,3975.81619903,-546.543,0.2,9.79959e-06,-556.492781323,0.0220468,1
1.59337,100,4040.05069135,100,-540.236192066,1.07012,0.0813421,59.7857,-692.981,0.00344854,1.00346,0.01,92.5947377421,93.4473409263,500.0,-540.236192066,0.346045,4040.05069135,-529.33,0.2,8.07828e-06,-540.236192066,0.0158788,1
1.40396,100,2734.22003652,100,-541.733304394,1.03592,0.041097,50.1156,-676.563,0.00435444,0.993781,0.01,96.0433021398,96.5326151987,500.0,-541.733304394,0.432735,2734.22003652,-536.744,0.2,4.1613e-06,-541.733304394,0.0141274,1
1.87051,100,3454.73727138,100,-544.32176597,1.04338,0.0568007,56.9185,-686.327,0.00260816,0.989713,0.01,94.5708779874,95.8420936575,500.0,-544.32176597,0.258133,3454.73727138,-537.794,0.2,5.79876e-06,-544.32176597,0.0188995,1
1.73435,100,2841.5842858,100,-527.735166264,1.05961,0.0690489,53.1877,-660.112,0.00437537,1.00257,0.01,93.6322397934,94.3741321117,500.0,-527.735166264,0.438661,2841.5842858,-519.6,0.2,6.86954e-06,-527.735166264,0.017299,1
2.13667,100,2534.98175618,100,-529.986208213,1.05863,0.0793343,49.9996,-661.868,0.0044058,0.970374,0.01,92.3011732699,94.4612853911,500.0,-529.986208213,0.427528,2534.98175618,-521.687,0.2,8.42524e-06,-529.986208213,0.022019,1
2.21119,100,4421.59876932,100,-526.654944338,1.07406,0.0968558,68.2756,-664.75,0.00355523,1.01768,0.01,91.5261477074,93.1045681196,500.0,-526.654944338,0.36181,4421.59876932,-515.958,0.2,9.3519e-06,-526.654944338,0.0217277,1
2.10531,100,2430.54782244,100,-517.910220742,1.04909,0.0692024,51.6914,-642.006,0.00431198,0.987306,0.01,93.4331754296,95.3211264168,500.0,-517.910220742,0.425725,2430.54782244,-511.607,0.2,7.09934e-06,-517.910220742,0.0213238,1
1.34064,100,2909.22367092,100,-517.072386621,1.03352,0.0369874,50.2924,-654.941,0.00336699,0.989091,0.01,96.3921052606,96.7562700739,500.0,-517.072386621,0.333026,2909.22367092,-512.139,0.2,3.78078e-06,-517.072386621,0.0135543,1
1.50477,100,2183.53274007,100,-513.411658065,1.05596,0.0819101,46.1839,-633.197,0.00280542,0.981535,0.01,92.2363704963,94.7003697878,500.0,-513.411658065,0.275361,2183.53274007,-506.529,0.2,8.5021e-06,-513.411658065,0.0153307,1
7.6936,100,3230.45014956,100,-502.420180827,1.09428,0.559343,66.9759,-634.04,0.0052967,1.09651,0.01,68.4665967586,91.3845675856,500.0,-502.420180827,0.580786,3230.45014956,-491.146,0.2,4.65218e-05,-502.420180827,0.0701647,1
1.76824,100,2028.33768899,100,-503.981574694,1.02196,0.0251336,45.1023,-627.568,0.00625643,1.00789,0.01,97.6091564888,97.8514371034,500.0,-503.981574694,0.630581,2028.33768899,-501.301,0.2,2.47414e-06,-503.981574694,0.0175439,1
1.96289,100,1964.14774982,100,-495.354063255,1.03883,0.0483423,42.575,-620.67,0.00632117,1.01839,0.01,95.5889570792,96.2625679931,500.0,-495.354063255,0.643742,1964.14774982,-490.416,0.2,4.66121e-06,-495.354063255,0.0192744,1
1.69138,100,2378.58176586,100,-488.681132865,1.04208,0.0431401,49.9447,-606.855,0.00541627,1.04869,0.01,96.261690955,95.9615778839,500.0,-488.681132865,0.567999,2378.58176586,-483.813,0.2,3.92271e-06,-488.681132865,0.0161285,1
1.67722,100,3118.33601228,100,-491.584788342,1.09465,0.106961,57.8411,-609.97,0.00244107,0.970549,0.01,89.8944505599,91.35329863,500.0,-491.584788342,0.236918,3118.33601228,-480.864,0.2,1.13551e-05,-491.584788342,0.0172811,1
1.62773,100,2617.33452567,100,-489.563951716,1.04276,0.0457596,51.1932,-613.973,0.00441192,0.968315,0.01,95.3911647294,95.8997045022,500.0,-489.563951716,0.427213,2617.33452567,-484.339,0.2,4.88032e-06,-489.563951716,0.0168099,1
2.80082,100,2416.6082459,100,-489.138218767,1.10188,0.185302,53.9006,-608.478,0.00269613,0.974257,0.01,83.8032072029,90.7537129459,500.0,-489.138218767,0.262672,2416.6082459,-476.801,0.2,1.95224e-05,-489.138218767,0.0287483,1
2.46315,100,2351.11196284,100,-477.361799159,1.07822,0.107435,52.9451,-591.92,0.00426833,0.977312,0.01,89.9801330029,92.7452141499,500.0,-477.361799159,0.417149,2351.11196284,-468.948,0.2,1.12481e-05,-477.361799159,0.0252033,1
1.61602,100,2133.53255523,100,-478.219186428,1.06548,0.0771267,44.7654,-593.197,0.00319257,0.994379,0.01,92.8314684556,93.8541825634,500.0,-478.219186428,0.317462,2133.53255523,-470.792,0.2,7.80011e-06,-478.219186428,0.0162516,1
1.31508,100,1698.92363291,100,-470.166105669,1.02862,0.0282014,40.3136,-582.546,0.0059461,1.00552,0.01,97.3128238564,97.2173267474,500.0,-470.166105669,0.597893,1698.92363291,-467.026,0.2,2.78924e-06,-470.166105669,0.0130786,1
1.41915,100,1757.71209998,100,-467.722219355,1.02518,0.0271442,41.8425,-583.222,0.00541063,0.985852,0.01,97.3094359704,97.544210616,500.0,-467.722219355,0.533408,1757.71209998,-464.926,0.2,2.79289e-06,-467.722219355,0.0143951,1
1.35063,100,1884.95355236,100,-460.281100893,1.02797,0.0271539,43.8941,-576.194,0.0059328,1.02113,0.01,97.4866930666,97.2790173537,500.0,-460.281100893,0.605818,1884.95355236,-457.017,0.2,2.60416e-06,-460.281100893,0.0132268,1
1.57198,100,2155.01659636,100,-461.629941777,1.03843,0.0454581,45.4311,-583.04,0.00500684,0.994701,0.01,95.6494598429,96.2990021125,500.0,-461.629941777,0.498031,2155.01659636,-456.885,0.2,4.59437e-06,-461.629941777,0.0158035,1
1.84334,100,2290.28551227,100,-449.086972073,1.04306,0.0362259,48.4691,-558.151,0.00626565,1.00797,0.01,96.5904970709,95.8720409024,500.0,-449.086972073,0.631557,2290.28551227,-444.382,0.2,3.56555e-06,-449.086972073,0.0182877,1
2.33955,100,1852.70411849,100,-454.218280516,1.03879,0.0719369,42.0098,-562.211,0.00451321,0.986117,0.01,93.1760528712,96.2659814849,500.0,-454.218280516,0.445056,1852.70411849,-449.98,0.2,7.39766e-06,-454.218280516,0.0237249,1
1.53038,100,2027.58559763,100,-456.596043591,1.03358,0.0318238,46.7118,-569.331,0.00658134,1.00858,0.01,96.9958637652,96.7509358371,500.0,-456.596043591,0.663782,2027.58559763,-452.949,0.2,3.12845e-06,-456.596043591,0.0151736,1
2.8211,100,2308.28077418,100,-454.02604239,1.06847,0.116844,53.6395,-567.404,0.00466227,0.999781,0.01,89.627734978,93.5913536247,500.0,-454.02604239,0.466125,2308.28077418,-446.672,0.2,1.16895e-05,-454.02604239,0.0282172,1
1.49114,100,2438.17915712,100,-442.940646759,1.07162,0.0901164,49.782,-549.019,0.00138364,0.991374,0.01,91.6779855368,93.3164957546,500.0,-442.940646759,0.137171,2438.17915712,-434.529,0.2,9.16914e-06,-442.940646759,0.0150412,1
1.55362,100,1750.21273383,100,-442.742219536,1.02506,0.0324404,42.5532,-553.366,0.00442776,1.00134,0.01,96.8963670979,97.5557247267,500.0,-442.742219536,0.443368,1750.21273383,-439.915,0.2,3.2354e-06,-442.742219536,0.0155154,1
1.37322,100,2303.51034206,100,-444.912877805,1.02114,0.0206178,47.591,-555.239,0.00678284,1.00488,0.01,98.0186287352,97.9293666176,500.0,-444.912877805,0.681592,2303.51034206,-442.623,0.2,2.04182e-06,-444.912877805,0.0136656,1
