Bound,VarNormIw,MaxVanillaIw,eRenyi2,AvgEpLen,BatchSize,ESSClassic,MinVanillaIw,AvgNormIw,Delta,J,MaxNormIw,VarRet,IterType,VarVanillaIw,VarJ,VarDiscRet,AvgVanillaIw,EpsThisIter,ESSRenyi,AvgRet,MinNormIw,AvgDiscRet,VanillaAvgRet
-1421.46,7.70883e-07,1.1811,1.00672,500.0,100,99.2426351564,0.55097,0.01,0.2,-1131.82,0.0119206,3540.0707949,1,0.00756775,56.4779,3540.0707949,0.990807,100,99.3320086868,-1134.08399522,0.00556082,-1134.08399522,-1134.08399522
-1459.76,2.95413e-07,1.09757,1.00255,500.0,100,99.7083692264,0.748053,0.01,0.2,-1137.11,0.0109835,2329.5645401,1,0.00294998,39.2164,2329.5645401,0.999297,100,99.7460394013,-1137.98728495,0.00748579,-1137.98728495,-1137.98728495
-1385.09,1.01536e-06,1.61192,1.01068,500.0,100,99.0048065402,0.791521,0.01,0.2,-1129.41,0.0161259,1497.94994445,1,0.0101452,58.7383,1497.94994445,0.999587,100,98.9435463477,-1131.83996691,0.00791848,-1131.83996691,-1131.83996691
-1411.38,2.08615e-07,1.10553,1.00204,500.0,100,99.7938714905,0.870591,0.01,0.2,-1134.31,0.0110311,1478.0732242,1,0.00209533,37.6867,1478.0732242,1.0022,100,99.7961987637,-1134.87969156,0.00868682,-1134.87969156,-1134.87969156
-1368.02,8.98861e-05,9.61272,1.28226,500.0,100,52.9136106136,0.201377,0.01,0.2,-1080.78,0.0982636,4646.70338543,1,0.8602,386.929,4646.70338543,0.978258,100,77.9872854982,-1123.88067324,0.00205852,-1123.88067324,-1123.88067324
-1392.14,6.85183e-07,1.27106,1.00686,500.0,100,99.3262274941,0.820792,0.01,0.2,-1130.49,0.0126741,4379.19999496,1,0.00689133,77.9852,4379.19999496,1.00288,100,99.3189778796,-1132.13992973,0.00818437,-1132.13992973,-1132.13992973
-1532.73,2.17061e-06,1.16536,1.01789,500.0,100,97.8963159116,0.435705,0.01,0.2,-1137.28,0.0117105,24106.7485047,1,0.0214955,91.8764,24106.7485047,0.995138,100,98.2422148571,-1146.73768096,0.00437834,-1146.73768096,-1146.73768096
-1529.75,8.55937e-07,1.1674,1.00848,500.0,100,99.1597430562,0.612757,0.01,0.2,-1135.92,0.011554,12828.5916052,1,0.00873814,84.6669,12828.5916052,1.01039,100,99.1593930816,-1139.94954835,0.00606457,-1139.94954835,-1139.94954835
-1373.27,4.94259e-07,1.23697,1.00506,500.0,100,99.5130413566,0.858052,0.01,0.2,-1127.72,0.0122959,1709.43376459,1,0.00500207,48.6608,1709.43376459,1.006,100,99.496197642,-1128.90547327,0.00852935,-1128.90547327,-1128.90547327
-1519.29,3.38115e-06,1.58357,1.02481,500.0,100,96.7610965278,0.514289,0.01,0.2,-1122.5,0.0156372,20777.1215223,1,0.0346753,122.288,20777.1215223,1.01269,100,97.5791924313,-1133.44820357,0.00507843,-1133.44820357,-1133.44820357
-1528.67,9.42573e-07,1.15798,1.00718,500.0,100,99.0754745253,0.625411,0.01,0.2,-1135.39,0.0116373,9519.59496414,1,0.00933293,75.1263,9519.59496414,0.995065,100,99.2873324322,-1138.59702364,0.00628513,-1138.59702364,-1138.59702364
-1456.99,6.95431e-06,2.58848,1.04608,500.0,100,93.5586868572,0.599668,0.01,0.2,-1115.61,0.0258012,7503.05555814,1,0.0699945,135.87,7503.05555814,1.00324,100,95.5949184294,-1128.85078975,0.00597731,-1128.85078975,-1128.85078975
-1368.52,5.09057e-09,1.02335,1.00006,500.0,100,99.994978025,0.984689,0.01,0.2,-1134.89,0.0102221,22.3988068027,1,5.10195e-05,4.64336,22.3988068027,1.00112,100,99.9938968569,-1134.90649511,0.0098359,-1134.90649511,-1134.90649511
-1486.73,0.000400057,23.67,1.3551,500.0,100,20.1589838826,0.262611,0.01,0.2,-1060.08,0.203067,8730.2179911,1,5.4355,612.08,8730.2179911,1.16562,100,73.7955301167,-1135.47698551,0.00225296,-1135.47698551,-1135.47698551
-1393.28,1.81369e-05,3.65117,1.12906,500.0,100,84.777751954,0.34389,0.01,0.2,-1077.97,0.0349591,19074.8067567,1,0.197837,268.366,19074.8067567,1.04441,100,88.5691190271,-1107.80614802,0.00329266,-1107.80614802,-1107.80614802
-1499.17,1.18473e-05,2.75838,1.106,500.0,100,89.5023848059,0.310074,0.01,0.2,-1086.17,0.0256889,49706.1657829,1,0.136597,257.446,49706.1657829,1.07377,100,90.4160832389,-1119.95003565,0.00288772,-1119.95003565,-1119.95003565
-1505.63,7.73536e-06,2.12713,1.06768,500.0,100,92.8867177783,0.247288,0.01,0.2,-1100.48,0.0219211,42288.6423842,1,0.0728356,171.523,42288.6423842,0.970357,100,93.6613879326,-1130.7805438,0.00254842,-1130.7805438,-1130.7805438
-1425.56,0.000176674,16.2612,1.34764,500.0,100,36.375854529,0.177706,0.01,0.2,-970.293,0.133847,62437.6268957,1,2.60772,552.689,62437.6268957,1.21491,100,74.2035746228,-1061.53290991,0.00146271,-1061.53290991,-1061.53290991
-1461.72,2.21545e-05,2.3033,1.17046,500.0,100,82.0122979839,0.117741,0.01,0.2,-1037.04,0.022922,53091.7889249,1,0.223695,279.05,53091.7889249,1.00484,100,85.4366962309,-1090.18552522,0.00117173,-1090.18552522,-1090.18552522
-1412.56,4.80427e-05,4.73758,1.31254,500.0,100,67.7679918503,0.0703912,0.01,0.2,-963.292,0.0471164,52502.3465361,1,0.485732,375.282,52502.3465361,1.00551,100,76.188123434,-1055.20075955,0.000700058,-1055.20075955,-1055.20075955
-1286.91,8.26905e-05,3.62656,1.67843,500.0,100,54.9862818516,9.29551e-05,0.01,0.2,-843.859,0.0398336,66797.4098382,1,0.685405,340.682,66797.4098382,0.910428,100,59.5794554983,-1008.94064871,1.021e-06,-1008.94064871,-1008.94064871
-1277.94,4.64573e-05,2.28206,1.35151,500.0,100,68.4965587821,0.0174573,0.01,0.2,-822.006,0.0255174,98033.7727198,1,0.371564,225.09,98033.7727198,0.894314,100,73.991402166,-950.152793436,0.000195203,-950.152793436,-950.152793436
