VanillaAvgRet,VarJ,MaxNormIw,VarVanillaIw,AvgNormIw,AvgEpLen,VarNormIw,eRenyi2,MinVanillaIw,J,AvgRet,ESSClassic,BatchSize,AvgVanillaIw,MaxVanillaIw,ESSRenyi,AvgDiscRet,VarRet,Bound,MinNormIw,VarDiscRet
113.74060863682195,191.32033,0.97008276,366.32175,0.01,12.38,0.009407357,89.13213,,639.0096,113.74060863682195,1.062328506484674,100,1.97332,191.42838,1.121929837100533,-1.8900436771218666e-14,14662.916015941015,542.8619,,14662.916015941015
658.7884119342866,1089.2323,0.9734293,177.97404,0.010000002,66.89,0.009471391,78.81938,,4125.176,658.7884119342866,1.0552223559337555,100,1.3707918,133.43689,1.2687234767080946,-4.433786671143025e-14,691826.081433477,3504.126,,691826.081433477
2808.2529328971514,1791.0416,0.010000004,1.2057695e-14,0.01,281.55,1.4631253e-18,1.0,0.99999976,8.392334e-05,2808.2529328971514,100.0,100,1.0,1.0000005,100.0,6.821210263296962e-14,3240232.3416479127,-151.39075,0.009999998,3240232.3416479127
2957.1085518396194,1800.3397,0.010000019,4.25895e-13,0.01,296.43,4.2141514e-17,1.0,0.9999981,0.00048828125,2957.1085518396194,100.0,100,1.0,1.0000019,100.0,-5.184119800105691e-13,3273963.5835764227,-152.17632,0.009999981,3273963.5835764227
3179.6858898446458,272.47244,0.087321386,4.698875,0.01,318.62,0.00038907412,5.415064,4.7368753e-38,1756.7556,3179.6858898446458,20.610764986850093,100,1.0989572,9.596247,18.46700290554632,4.3655745685100554e-13,3153827.3404997005,1409.1936,4.31034e-40,3153827.340499701
4632.796783318846,42.612595,0.03529,1.0915862,0.01,463.5,9.3049624e-05,1.8683078,5.244161e-05,356.70276,4632.796783318846,52.051034991951965,100,1.083108,3.8222878,53.52437026328023,-4.547473508864641e-13,919910.2658115419,246.44516,4.841771e-07,919910.2658115416
4999.635532463538,0.23356205,0.3227352,57.81874,0.01,500.0,0.0019469094,19.877666,,0.30177906,4999.635532463538,4.932327992116987,100,1.7233024,55.617027,5.030771601579869,-4.547473508864641e-13,0.11347627942026979,0.17546643,,0.11347627942026979
4999.7694389943235,0.06866193,0.5018688,0.002229131,0.01,500.0,0.0037293546,1.0000165,,0.19669215,4999.7694389943235,2.6370883703089065,100,0.007731272,0.38800842,99.99835493886691,4.5474735088646414e-14,0.05052253482164192,0.17778799,,0.05052253482164192
4510.263549394321,53.351753,0.033259876,1.1319139,0.010000002,451.3,0.00010741563,2.1103034,1.0193257e-09,479.93182,4510.263549394321,48.463354493077155,100,1.0265331,3.4142365,47.38655110338038,4.911271389573813e-13,1253509.226588424,343.1439,9.929789e-12,1253509.2265884238
4999.713666831023,0.3224296,0.14312145,1.865083,0.01,500.0,0.00060977007,1.0000114,0.00056820613,0.08173542,4999.713666831023,14.211159580976943,100,0.5530521,7.9153624,99.99885560391688,-9.094947017729283e-14,0.09445503691969366,0.05588744,1.0274007e-05,0.09445503691969363
4956.13449111454,6.616967,0.017885149,0.26087406,0.01,495.68,2.5648744e-05,1.2806358,0.0017263995,42.49941,4956.13449111454,79.74973681899033,100,1.0085151,1.8037442,78.08621105653374,-1.0459189070388675e-13,67509.7533233716,17.77035,1.7118233e-05,67509.7533233716
4990.1092948981,1.6104379,0.017180717,0.26261598,0.009999999,499.05,2.4831426e-05,1.2566482,0.0031636732,9.490496,4990.1092948981,80.2677079128513,100,1.0283945,1.7668554,79.5767672792059,-5.547917680814862e-13,5596.363871252847,2.4375377,3.0763225e-05,5596.363871252848
4999.776595840547,0.109380715,0.38526762,6.546477,0.01,500.0,0.0027172987,26.670437,,0.19523777,4999.776595840547,3.5840680060682217,100,0.49083453,18.910265,3.7494698916326192,2.091837814077735e-13,0.036094844576292195,0.11271967,,0.036094844576292195
4999.862250468086,0.08462478,0.2848493,36.515823,0.009999999,500.0,0.0019657423,21.942432,7.029694e-35,0.118859746,4999.862250468086,4.887382992382434,100,1.3629416,38.823296,4.557379882084333,-3.637978807091713e-14,0.01425344966141547,0.07182553,5.1577366e-37,0.01425344966141547
4999.869147997779,0.11922619,0.16658685,5.5088863,0.01,500.0,0.0004248979,1.0000796,0.28130177,0.030277468,4999.869147997779,19.20680257454341,100,1.1386484,18.968384,99.99203745352996,-5.820766091346741e-13,0.01123053232733271,0.021364363,0.0024704884,0.011230532327332714
4999.878273993314,0.07161391,0.51056373,81.05976,0.01,500.0,0.003980868,25.101469,2.7578822e-27,0.10860192,4999.878273993314,2.4745986395708193,100,1.4269665,72.855736,3.9838305814284203,-1.5916157281026244e-12,0.012933441846847795,0.060681768,1.9326888e-29,0.012933441846847797
4999.881569373341,0.044932883,0.4084015,17.654451,0.010000002,500.0,0.0026435289,13.391456,,0.106826454,4999.881569373341,3.6804028218334293,100,0.8172126,33.375084,7.467448096095424,1.8189894035458566e-13,0.013177554668714606,0.07149652,,0.013177554668714606
4999.8746156414445,0.06846826,0.80488575,16.312809,0.009999998,500.0,0.0065052793,20.072727,,0.11703868,4999.8746156414445,1.5289996898324114,100,0.50076216,40.305634,4.9818840751851265,4.5474735088646414e-14,0.014215958865360985,0.07211216,,0.014215958865360985
4999.871672935378,0.00016600048,0.9997787,1.9140705e-06,0.01,500.0,0.009995533,1.000078,,0.12770353,4999.871672935378,1.0004427209511135,100,0.00013838086,0.013835024,99.992204320237,-5.002220859751106e-13,0.011951517085351079,0.11850878,,0.011951517085351079
