VarNormIw,ESSRenyi,AvgNormIw,MaxNormIw,AvgVanillaIw,BatchSize,VarRet,eRenyi2,AvgDiscRet,Delta,EpsThisIter,MaxVanillaIw,VanillaAvgRet,J,MinVanillaIw,VarJ,VarDiscRet,VarVanillaIw,MinNormIw,ESSClassic,AvgRet,AvgEpLen,Bound,IterType
0.000244866,62.1223340634,0.01,0.12157,1.34993,100,8180.64353187,1.60973,139.985848463,0.1,100,16.4111,139.985848463,207.789,0.0815694,281.083,8180.64353187,4.46223,0.000604249,29.2040994376,139.985848463,15.3,11.1751,1
2.75749e-05,76.5157117201,0.01,0.0214327,1.07445,100,11947.9275791,1.30692,192.120539729,0.1,100,2.30283,192.120539729,236.045,0.0941561,117.457,11947.9275791,0.318335,0.000876322,78.5550969351,192.120539729,20.89,68.3142,1
2.8149e-05,80.6384394267,0.01,0.0322637,1.02881,100,16737.9868436,1.2401,226.690775304,0.1,100,3.31932,226.690775304,274.853,0.233633,197.221,16737.9868436,0.297944,0.0022709,78.2059468904,226.690775304,24.58,20.1594,1
3.14536e-05,83.0712753953,0.01,0.0385647,1.00665,100,26481.4847809,1.20379,252.183225616,0.1,100,3.88211,252.183225616,313.203,0.20865,432.596,26481.4847809,0.318732,0.00207272,76.2549029811,252.183225616,27.32,-142.365,1
0.00310116,34.624935279,0.01,0.558064,1.64533,100,8679.52569985,2.88809,249.007655237,0.1,100,91.8202,249.007655237,450.534,0.035272,756.944,8679.52569985,83.9523,0.000214376,3.15442803874,249.007655237,26.97,152.289,1
8.87872e-05,73.5192290821,0.01,0.0789942,1.11919,100,34424.778294,1.36019,308.346052623,0.1,100,8.84097,308.346052623,405.811,0.12094,368.261,34424.778294,1.11214,0.0010806,53.2199780488,308.346052623,33.35,9.93387,1
2.3925e-05,85.7685539527,0.01,0.0311699,0.951998,100,18883.9566916,1.16593,301.198602512,0.1,100,2.96737,301.198602512,336.644,0.00444367,149.512,18883.9566916,0.216833,4.66773e-05,80.8500346852,301.198602512,32.56,101.437,1
7.18258e-05,68.845567801,0.01,0.0506405,0.968407,100,23537.7086016,1.45253,325.33199832,0.1,100,4.90406,325.33199832,417.47,0.0348171,358.376,23537.7086016,0.673591,0.00035953,58.4427921246,325.33199832,35.16,63.7534,1
0.00287063,30.6012810749,0.01,0.536899,1.93801,100,36480.0301899,3.26784,409.856370068,0.1,100,104.052,409.856370068,830.309,0.00435877,1651.52,36480.0301899,107.818,2.24909e-05,3.39913117398,409.856370068,44.28,216.186,1
0.00244781,31.8830970945,0.01,0.493123,1.46046,100,64348.8552586,3.13646,449.315401879,0.1,100,72.0184,449.315401879,1045.81,0.00212267,2995.59,64348.8552586,52.2101,1.45343e-05,3.96301607466,449.315401879,48.5,174.543,1
0.00423857,60.8775985949,0.01,0.654268,2.304,100,90497.5203162,1.64264,486.216996796,0.1,100,150.743,486.216996796,822.867,0.120678,1073.03,90497.5203162,225.0,0.000523775,2.32764894355,486.216996796,52.61,-46.621,1
5.4614e-05,71.9304112564,0.01,0.0434674,1.0329,100,81392.7355496,1.39023,534.55242214,0.1,100,4.48976,534.55242214,671.059,0.054481,534.584,81392.7355496,0.582669,0.000527456,64.9064700541,534.55242214,57.75,120.668,1
0.00223583,38.5969791081,0.01,0.475367,1.80813,100,80759.7417452,2.59088,538.995643498,0.1,100,85.9526,538.995643498,1056.96,0.0248795,2442.92,80759.7417452,73.0971,0.000137598,4.32250029048,538.995643498,58.19,210.731,1
