BatchSize,VarVanillaIw,VarDiscRet,Delta,MaxVanillaIw,AvgRet,AvgVanillaIw,IterType,VarJ,eRenyi2,Bound,ESSClassic,MinVanillaIw,VarNormIw,J,AvgNormIw,AvgDiscRet,ESSRenyi,VarRet,MaxNormIw,MinNormIw,VanillaAvgRet,EpsThisIter,AvgEpLen
100,7.68489,24805.661666,0.7,9.68809,-297.610369948,1.46596,1,53.0686,6.46054,-154.558,22.025534694,2.00441e-25,0.000357595,-85.1444,0.01,-297.610369948,15.4785827222,24805.661666,0.0660868,1.3673e-27,-297.610369948,100,366.19
100,0.54426,9778.10053926,0.7,3.00727,-110.544029648,0.975546,1,103.029,1.5395,-129.114,63.8500576176,0.0290716,5.71888e-05,-95.2306,0.01,-110.544029648,64.9560993484,9778.10053926,0.0308265,0.000298003,-110.544029648,100,149.63
100,0.0723064,4795.83308323,0.7,1.45339,-84.8506644313,1.01166,1,64.7189,1.08984,-111.492,93.4629721999,0.270174,7.06492e-06,-82.9841,0.01,-84.8506644313,91.7567039723,4795.83308323,0.0143664,0.0026706,-84.8506644313,100,118.62
200,0.222692,11798.3424523,0.7,3.70132,-84.8506644313,1.09753,,100.501,1.18872,-138.418,84.5292705232,0.688046,1.84871e-05,-108.644,0.01,-111.779071389,168.247847138,4795.83308323,0.033724,0.00626902,-84.8506644313,100,118.62
200,0.112195,9106.78030228,0.7,1.68974,-97.8325614788,1.02277,1,83.5197,1.11814,-109.199,180.71436155,0.109001,2.68138e-06,-88.7799,0.005,-97.8325614788,178.867870618,9106.78030228,0.00826061,0.000532872,-97.8325614788,100,133.52
200,,8087.48180453,0.7,1.0,-94.8529105213,1.0,2,89.4796,1.0,-122.161,100.0,1.0,3.50449e-18,-94.8529,0.01,-94.8529105213,200.0,8087.48180453,0.01,0.01,-94.8529105213,100,130.06
200,1.23074,10044.484791,0.7,4.09314,-103.0264643,0.934215,1,86.7593,2.21132,-113.125,83.2250627122,1.07431e-05,3.52543e-05,-84.4079,0.005,-103.0264643,90.4436127427,10044.484791,0.0219068,5.7498e-08,-103.0264643,100,139.7
200,,7015.02865686,0.7,1.0,-92.467823777,1.0,2,83.3359,1.0,-119.776,100.0,1.0,3.50449e-18,-92.4678,0.01,-92.467823777,200.0,7015.02865686,0.01,0.01,-92.467823777,100,126.55
200,0.385018,8094.0976936,0.7,3.18805,-93.0859718199,1.05667,1,70.6857,1.3504,-108.97,148.909113059,0.108447,8.62063e-06,-86.5307,0.005,-93.0859718199,148.103941728,8094.0976936,0.0150853,0.000513155,-93.0859718199,100,127.6
200,,7138.86721181,0.7,1.0,-89.0289447749,1.0,2,84.0683,1.0,-116.337,100.0,1.0,3.50449e-18,-89.0289,0.01,-89.0289447749,200.0,7138.86721181,0.01,0.01,-89.0289447749,100,122.54
200,0.0378497,6008.13336882,0.7,1.80789,-85.1388136168,0.976055,1,72.8382,1.08973,-105.046,192.394503529,0.770035,9.93241e-07,-84.888,0.005,-85.1388136168,183.5317968,6008.13336882,0.00926119,0.00394463,-85.1388136168,100,118.17
200,,2567.32095155,0.7,1.0,-78.9033445911,1.0,2,50.4148,1.0,-106.212,100.0,1.0,3.50449e-18,-78.9033,0.01,-78.9033445911,200.0,2567.32095155,0.01,0.01,-78.9033445911,100,111.33
200,0.0536693,1380.56515576,0.7,1.7752,-75.6529551977,1.00214,1,40.2692,1.05237,-96.1386,189.902372763,0.41233,1.33601e-06,-76.3295,0.005,-75.6529551977,190.046460364,1380.56515576,0.00885705,0.00205725,-75.6529551977,100,108.12
200,,7038.02232659,0.7,1.0,-91.2407632892,1.0,2,83.4724,1.0,-118.549,100.0,1.0,3.50449e-18,-91.2408,0.01,-91.2407632892,200.0,7038.02232659,0.01,0.01,-91.2407632892,100,124.88
200,0.441577,8090.00177992,0.7,2.87024,-94.76376919,0.9922,1,82.3862,1.46988,-107.522,138.283510956,0.0258346,1.12137e-05,-84.1108,0.005,-94.76376919,136.065387105,8090.00177992,0.014464,0.000130189,-94.76376919,100,128.79
200,,7102.41020191,0.7,1.0,-89.6010251163,1.0,2,83.8534,1.0,-116.909,100.0,1.0,3.50449e-18,-89.601,0.01,-89.6010251163,200.0,7102.41020191,0.01,0.01,-89.6010251163,100,123.27
200,0.752856,7148.52014411,0.7,3.59542,-86.9758492365,1.0677,1,49.7127,1.70888,-99.9329,120.692549437,0.0124653,1.65101e-05,-74.6906,0.005,-86.9758492365,117.035543272,7148.52014411,0.0168372,5.83741e-05,-86.9758492365,100,120.18
200,,9148.34401203,0.7,1.0,-97.2462844032,1.0,2,95.1675,1.0,-124.555,100.0,1.0,3.50449e-18,-97.2463,0.01,-97.2462844032,200.0,9148.34401203,0.01,0.01,-97.2462844032,100,132.04
200,0.149903,3764.76094911,0.7,1.74365,-75.1979460365,1.01925,1,78.5334,1.15309,-104.739,174.890533498,0.0533402,3.60735e-06,-84.0038,0.005,-75.1979460365,173.446317521,3764.76094911,0.00855361,0.000261664,-75.1979460365,100,105.81
200,,8220.12894983,0.7,1.0,-90.5955674778,1.0,2,90.2105,1.0,-117.904,100.0,1.0,3.50449e-18,-90.5956,0.01,-90.5955674778,200.0,8220.12894983,0.01,0.01,-90.5955674778,100,124.17
200,0.0186201,4936.65045889,0.7,1.8417,-80.4132706308,0.967433,1,78.1656,1.03565,-104.421,196.117843209,0.846739,4.9737e-07,-84.7701,0.005,-80.4132706308,193.115632035,4936.65045889,0.00951848,0.00437621,-80.4132706308,100,112.0
200,,9360.52881462,0.7,1.0,-93.5870517278,1.0,2,96.2649,1.0,-120.895,100.0,1.0,3.50449e-18,-93.5871,0.01,-93.5870517278,200.0,9360.52881462,0.01,0.01,-93.5870517278,100,126.96
200,1.00468,4877.51765972,0.7,13.6344,-81.0614252743,1.026,1,79.7601,1.20299,-105.641,102.583299662,0.491924,2.38602e-05,-84.462,0.005,-81.0614252743,166.25195215,4877.51765972,0.0664445,0.00239729,-81.0614252743,100,112.87
200,,10298.2011583,0.7,1.0,-98.5041601758,1.0,2,100.971,1.0,-125.812,100.0,1.0,3.50449e-18,-98.5042,0.01,-98.5041601758,200.0,10298.2011583,0.01,0.01,-98.5041601758,100,133.2
200,0.190332,3774.56272342,0.7,2.36986,-76.7410126871,0.948472,1,78.4598,1.17973,-105.791,165.218729605,0.0445473,5.28936e-06,-84.818,0.005,-76.7410126871,169.530290834,3774.56272342,0.0124931,0.000234837,-76.7410126871,100,108.32
200,,4931.45026582,0.7,1.0,-79.5489188565,1.0,2,69.8723,1.0,-106.857,100.0,1.0,3.50449e-18,-79.5489,0.01,-79.5489188565,200.0,4931.45026582,0.01,0.01,-79.5489188565,100,110.73
