NatGrad2Norm,BatchSize,AvgEpLen,NatGradInftyNorm,J,VarJ,AvgRet,StepSize
46.4444327820303,100,13.18,29.851774368400644,121.72292428608984,136.82936804950256,121.72292428608984,0.021531105885028864
208.596742857065,100,24.98,140.27403508156905,239.65962234133855,708.1002293207291,239.65962234133855,0.004793938708262677
332.2948897648651,100,35.64,276.41858808113153,346.3114369104116,1071.0825602510392,346.3114369104116,0.003009375198961408
2842.0391069722355,100,74.22,2790.854952850202,732.7224333283491,3421.5824981049263,732.7224333283491,0.0003518600421601339
3275.3344837252625,100,94.37,3241.238568055016,934.3885014227382,3743.7762413055234,934.3885014227382,0.00030531232915870975
68984.5538378891,100,100.14,68982.79479727006,992.6022974396636,3551.3224426280067,992.6022974396636,1.4495998660076273e-05
524346.9378304963,100,105.07,524346.7136969862,1041.7810474128275,3610.2543936438265,1041.7810474128275,1.9071342423349217e-06
19736.439881631217,100,87.98,19730.335311238523,870.316049794868,3373.382685020579,870.316049794868,5.0667699240464536e-05
14327.186151560209,100,94.21,14319.154517714296,933.2346871412545,4310.397283141912,933.2346871412545,6.97973760807946e-05
2158.960112493089,100,103.93,2049.0312306625437,1031.236462100409,4542.243774936925,1031.236462100409,0.0004631859542996541
16800.5943676148,100,106.39,16788.967293902242,1055.1423600889277,3837.71581906874,1055.1423600889277,5.952170370398456e-05
1370.2400226663303,100,108.97,1253.6333966817965,1081.2970108058885,4184.278172709687,1081.2970108058885,0.0007297991471991267
145328.76391284744,100,123.05,145327.69124404297,1222.76088306807,4145.99524910319,1222.76088306807,6.880950288682648e-06
3905294.233167455,100,120.22,3905294.201610472,1193.8528329975252,3905.2604116178873,1193.8528329975252,2.560626524647115e-07
223878.6247717613,100,123.36,223877.85983242915,1225.7677593326325,3961.4986808225076,1225.7677593326325,4.466706015455808e-06
850113.3501332945,100,122.28,850113.172896257,1215.0820730565442,3802.3773699610015,1215.0820730565442,1.176313723156099e-06
647252.3856502936,100,116.62,647252.1696681983,1157.973504007936,4002.2025965359603,1157.973504007936,1.5449923741807478e-06
47186.77768602325,100,120.37,47183.59501811863,1195.2376534551172,4226.1199273996235,1195.2376534551172,2.1192377378551124e-05
39807.56189111572,100,131.79,39805.48075157734,1309.825475395671,3086.0855702979966,1309.825475395671,2.5120855246931882e-05
5933906.676780025,100,114.4,5933906.638748338,1135.979807622807,4482.774137977822,1135.979807622807,1.6852304130651411e-07
5285722.9455196075,100,134.01,5285722.9255094705,1332.5238449385472,3680.5972223011695,1332.5238449385472,1.8918887923318804e-07
67114715.6062207,100,119.76,67114715.60336906,1189.7169204460802,4315.862427650708,1189.7169204460802,1.4899861989541267e-08
35541499.85967447,100,130.07,35541499.85687641,1293.3675103779976,3812.823590043365,1293.3675103779976,2.8136122672037373e-08
11566677384.802067,100,130.19,11566677384.80205,1294.5944407440256,4265.476837700081,1294.5944407440256,8.645525129921417e-11
47478474930.168236,100,120.1,47478474930.168236,1192.2342229724036,3417.0721686568722,1192.2342229724036,2.1062176101292404e-11
12121665223.160896,100,119.82,12121665223.160887,1190.1534760622308,3801.4452702241524,1190.1534760622308,8.249691619013677e-11
31417525228.10541,100,121.81,31417525228.105404,1210.6948458294664,4463.799505542312,1210.6948458294664,3.182936888693647e-11
811605015.2882012,100,120.83,811605015.2880408,1199.548840727699,3880.2798596279627,1199.548840727699,1.2321264422508524e-09
116841511.72732346,100,127.61,116841511.72652858,1268.1191041718748,3480.1114754594605,1268.1191041718748,8.558602034640994e-09
9784234966.154676,100,126.21,9784234966.154663,1254.1624424145466,3530.1849415943893,1254.1624424145466,1.0220523152389217e-10
