VarNormIw,VarJ,IterType,renyi2,ESSClassic,MinVanillaIw,VarVanillaIw,AvgRet,Bound,ESSRenyi,AvgNormIw,VarRet,MinNormIw,VarDiscRet,AvgDiscRet,J,EpsThisIter,BatchSize,delta,VanillaAvgRet,SamplesThisIter,AvgVanillaIw,MaxVanillaIw,MaxNormIw,AvgEpLen
4.6429385e-10,10079.803,1,nan,1.3217879659832217,2.4641644e-09,0.16563244,4543.699430377619,4218.837,nan,5.0505052e-05,1816422.5063964312,1.3046483e-13,1816422.5063964312,4543.699430377619,868078.5,110,100,0.3,4543.699430377619,50000,0.953918,3.2138727,0.00017015802,454.54545454545456
3.669756e-10,9397.028,1,nan,1.0658190513709889,0.00029162347,0.12762943,4627.989679330964,4219.216,nan,5.144033e-05,1523431.2901399666,1.563744e-08,1523431.2901399666,4627.989679330964,872708.75,108,100,0.3,4627.989679330964,50000,0.9593135,2.565839,0.00013758548,462.962962962963
8.97825e-11,4878.272,1,nan,0.7532509265441728,0.0023883802,0.029195996,4901.009750715861,4235.1323,nan,5.4466233e-05,485156.27535183897,1.3244563e-07,485156.27535183897,4901.009750715861,893247.1,102,100,0.3,4901.009750715861,50000,0.98218465,1.5755391,8.737021e-05,490.19607843137254
6.171581e-10,13638.737,1,nan,1.3070841603717536,1.704137e-10,0.22859979,4308.301124507497,4229.9272,nan,4.7892718e-05,2987280.3192291954,8.854516e-15,2987280.3192291954,4308.301124507497,850921.44,116,100,0.3,4308.301124507497,50000,0.9217416,4.662282,0.00024224725,431.0344827586207
8.631996e-11,4995.7397,1,nan,0.703912737839411,0.00311532,0.028335502,4901.043546845192,4234.9453,nan,5.4466233e-05,483194.8555082751,1.719463e-07,483194.8555082751,4901.043546845192,893084.0,102,100,0.3,4901.043546845192,50000,0.9868182,1.711576,9.4468356e-05,490.19607843137254
5.6009536e-10,14844.577,1,nan,1.4367377536585415,2.828001e-07,0.21315993,4235.099762131481,4225.043,nan,4.708098e-05,3002560.8663270315,1.449632e-11,3002560.8663270315,4235.099762131481,839543.0,118,100,0.3,4235.099762131481,50000,0.91847485,3.9322553,0.00020156722,423.728813559322
4.3770076e-10,10503.716,1,nan,1.0622186956409672,0.00017621924,0.15298384,4543.674940155063,4222.668,nan,5.0505052e-05,1882148.5148825191,9.425821e-09,1882148.5148825191,4543.674940155063,867125.44,110,100,0.3,4543.674940155063,50000,0.94421077,2.6406713,0.00014124732,454.54545454545456
1.7752624e-10,6878.222,1,nan,0.9242026896246247,0.0007394455,0.06063752,4806.5920930985,4234.674,nan,5.34188e-05,931186.8861040577,4.0009834e-08,931186.8861040577,4806.5920930985,887131.1,104,100,0.3,4806.5920930985,50000,0.98726463,1.9320189,0.00010453746,480.7692307692308
2.8516278e-10,8062.8516,1,nan,1.167050232647034,3.9666254e-05,0.09514593,4715.667895145704,4227.2383,nan,5.24109e-05,1212066.8406112748,2.1715634e-09,1212066.8406112748,4715.667895145704,880037.4,106,100,0.3,4715.667895145704,50000,0.9573491,2.3486123,0.00012857681,471.6981132075472
7.9088125e-10,15631.507,1,nan,1.3255968259696929,7.976822e-11,0.32548752,4095.5996928947525,4216.844,nan,4.553734e-05,3583679.1387129524,3.932044e-15,3583679.1387129524,4095.5996928947525,833838.1,122,100,0.3,4095.5996928947525,50000,0.9238027,5.0394945,0.00024841362,409.8360655737705
3.3563916e-10,9560.789,1,nan,0.9131421824560826,0.00023302904,0.1148479,4628.009434716417,4223.7656,nan,5.1440322e-05,1488155.978007995,1.2597513e-08,1488155.978007995,4628.009434716417,871784.4,108,100,0.3,4628.009434716417,50000,0.9515442,2.8871899,0.00015608102,462.962962962963
6.0207034e-10,13673.983,1,nan,1.4642811226855705,1.0157586e-09,0.21684176,4308.301046014573,4225.6685,nan,4.789272e-05,2891316.834081128,5.3523273e-14,2891316.834081128,4308.301046014573,849530.2,116,100,0.3,4308.301046014573,50000,0.90890265,3.928402,0.00020699891,431.0344827586207
3.5767364e-10,9120.001,1,nan,0.8954491254582739,0.00030641258,0.12318154,4627.979728210562,4225.6104,nan,5.144033e-05,1417303.94782112,1.6511146e-08,1417303.94782112,4627.979728210562,873042.4,108,100,0.3,4627.979728210562,50000,0.9546256,2.4994364,0.00013468298,462.962962962963
2.797308e-10,7693.229,1,nan,0.9168902006150569,0.00029878237,0.094060704,4715.323224881263,4220.553,nan,5.24109e-05,1077639.4892365253,1.6293749e-08,1077639.4892365253,4715.323224881263,878923.5,106,100,0.3,4715.323224881263,50000,0.9610713,2.2989376,0.00012536987,471.6981132075472
2.851678e-10,7609.225,1,nan,1.004600729266099,0.00080577127,0.10052919,4715.53160357807,4219.0156,nan,5.2410902e-05,962149.6198277307,4.2915673e-08,962149.6198277307,4715.53160357807,878104.3,106,100,0.3,4715.53160357807,50000,0.9840507,2.2165244,0.0001180529,471.6981132075472
4.5858548e-10,10439.352,1,nan,1.223530004332242,3.0907315e-05,0.15977105,4543.880537544029,4226.0547,nan,5.0505052e-05,1954025.960921292,1.6558552e-09,1954025.960921292,4543.880537544029,868517.25,110,100,0.3,4543.880537544029,50000,0.94270045,2.9312584,0.00015704178,454.54545454545456
6.735554e-10,13139.373,1,nan,1.218411089549759,4.1985574e-17,0.24720177,4308.298569444298,4225.4653,nan,4.7892718e-05,2841631.2544588232,2.1915983e-21,2841631.2544588232,4308.298569444298,852024.8,116,100,0.3,4308.298569444298,50000,0.91750544,4.0334992,0.00021054398,431.0344827586207
2.5141195e-10,8359.663,1,nan,0.8892379058049318,0.00068700773,0.08558065,4715.703829043088,4226.9395,nan,5.2410902e-05,1117507.399904257,3.7236322e-08,1117507.399904257,4715.703829043088,878185.0,106,100,0.3,4715.703829043088,50000,0.9669778,2.3175251,0.00012561156,471.6981132075472
4.547596e-10,11772.252,1,nan,1.0682628158138172,4.9830238e-08,0.16459079,4462.486010355538,4226.45,nan,4.9603175e-05,2140907.6715775095,2.6192752e-12,2140907.6715775095,4462.486010355538,859792.5,112,100,0.3,4462.486010355538,50000,0.9436725,3.6733553,0.00019308615,446.42857142857144
6.134153e-10,14002.9795,1,nan,1.0435664154011424,1.1595157e-08,0.2326114,4234.927460636579,4216.714,nan,4.7080986e-05,2739751.112602752,5.9544063e-13,2739751.112602752,4234.927460636579,840597.75,118,100,0.3,4234.927460636579,50000,0.91681916,4.298177,0.00022072224,423.728813559322
