ESSClassic,Bound,AvgRet,AvgEpLen,VarDiscRet,MaxVanillaIw,eRenyi2,ESSRenyi,AvgDiscRet,VanillaAvgRet,MinNormIw,J,VarRet,AvgVanillaIw,MaxNormIw,BatchSize,VarJ,VarVanillaIw,MinVanillaIw,AvgNormIw,VarNormIw
1.0271274936320889,442.41846,3.197442310920451e-15,8.06,5523.767704460462,125.74993,66.15456,1.511611680761526,3.197442310920451e-15,70.55286922743636,,493.25888,5523.767704460462,1.2744718,0.9866827,100,64.4075,158.09462,,0.01,0.009733223
1.043224712146155,3809.3706,2.842170943040401e-15,27.25,553263.0339135606,40.422318,52.734596,1.8962883402254245,2.842170943040401e-15,262.5307498535118,,4263.6523,553263.0339135606,0.41288528,0.97902054,100,586.0649,16.333956,,0.01,0.009581478
1.0362111985143057,2934.294,-1.0913936421275138e-13,64.78,324587.27243767184,131.22427,56.790314,1.760863665797018,-1.0913936421275138e-13,637.5588115811345,,3295.383,324587.27243767184,1.3358685,0.9823143,100,509.1428,172.15529,,0.01,0.009647013
1.0605996289480444,967.59503,7.219114195322618e-14,77.46,315149.79244657175,107.31909,34.82964,2.871117864632374,7.219114195322618e-14,764.3389756483671,,1246.2357,315149.79244657175,1.1053258,0.9709272,100,310.67624,115.123314,,0.01,0.009422858
1.0569397150904138,3324.6807,-4.5474735088646414e-14,113.55,733094.9158187138,113.97989,45.297237,2.207640150882584,-4.5474735088646414e-14,1125.272471968735,,3809.3298,733094.9158187138,1.171966,0.9725529,100,687.25366,129.87622,,0.01,0.009455837
1.061980108373032,2962.4148,-1.20508047984913e-13,139.43,861329.5368157794,90.71951,44.83566,2.2303675728187224,-1.20508047984913e-13,1384.015227678708,,3485.0613,861329.5368157794,0.9349878,0.97027487,100,748.9453,82.26657,,0.01,0.009410479
1.2544622557496317,1655.9619,5.684341886080802e-14,187.29,1429008.9384744156,287.03827,1.0000017,99.99983310727316,5.684341886080802e-14,1862.452135105507,6.0193642e-21,1756.4998,1429008.9384744156,3.2172925,0.89217335,100,1389.4272,823.01135,1.9366056e-18,0.009999999,0.007951056
1.1364521440137694,1476.1631,2.9103830456733704e-13,156.92,1317271.7358501921,223.48956,25.86224,3.866641119553557,2.9103830456733704e-13,1558.6371659144133,,1967.0509,1317271.7358501921,2.3831303,0.9377983,100,1117.5912,499.05157,,0.010000002,0.008787189
1.0923414674049046,1984.9526,-2.3874235921539367e-13,173.99,1196142.118358249,89.38904,32.504936,3.076455813619429,-2.3874235921539367e-13,1729.3148137009762,1.0809829e-32,2509.3706,1196142.118358249,0.93439746,0.956649,100,715.88715,79.854546,1.0100677e-30,0.01,0.009146108
1.1297450540292018,2049.2773,-7.275957614183426e-14,147.79,1368562.4758543663,291.73563,90.116554,1.1096740307136357,-7.275957614183426e-14,1467.5296237707107,,2983.2756,1368562.4758543663,3.1023157,0.9403802,100,2097.4836,850.78906,,0.01,0.008839956
1.204881655731118,1940.8308,-1.341504685115069e-13,166.36,1515169.995410865,59.569824,43.519768,2.2978063795892973,-1.341504685115069e-13,1653.206363842523,,2623.7754,1515169.995410865,0.65585405,0.9082787,100,1074.3956,35.626266,,0.010000002,0.008282396
1.1400327803929575,2223.692,1.3642420526593923e-13,177.51,1445779.6082695054,1077.2639,9.62914,10.385143536843294,1.3642420526593923e-13,1764.5693068495038,2.938193e-10,2537.4944,1445779.6082695054,11.503056,0.9365024,100,1500.2627,11590.294,3.3798196e-07,0.0100000035,0.008759271
1.1131615017039842,2054.7983,2.569322532508522e-13,180.17,1532973.0932050233,53.32001,57.815598,1.729637057558413,2.569322532508522e-13,1791.1066603444021,,2846.5725,1532973.0932050233,0.56279606,0.94741267,100,1277.7861,28.421497,,0.009999999,0.008973156
1.0637659175655176,2520.2117,2.1145751816220583e-13,175.36,1501111.8506204817,326.31253,37.281807,2.682273424820238,2.1145751816220583e-13,1743.2034211463224,2.3578092e-35,3149.3796,1501111.8506204817,3.3656957,0.96952474,100,1086.4451,1064.2014,7.935668e-33,0.01,0.00939451
1.0996872081776992,2177.967,-1.546140993013978e-13,155.02,1100203.723850716,197.77516,53.75567,1.8602689266027455,-1.546140993013978e-13,1539.7008258840592,,2824.7524,1100203.723850716,2.0742753,0.9534663,100,1383.993,390.86438,,0.009999999,0.009084341
46.03032432861303,272.23618,-2.887645678129047e-13,177.23,1428318.7980407735,4.0217147,2.0040486,49.8989898268878,-2.887645678129047e-13,1761.871607226146,2.6114654e-14,414.52744,1428318.7980407735,0.94252104,0.04266976,100,2207.6995,1.0520892,2.4613612e-12,0.01,0.00011843237
48.262408913465734,62.189453,-6.252776074688882e-14,174.59,1226899.8809391176,8.59128,2.0837104,47.99131321787953,-6.252776074688882e-14,1735.3481785704676,0.0023676746,196.66237,1226899.8809391176,1.191525,0.07210323,100,2176.0903,1.5373346,0.28211433,0.01,0.00010828344
18.56115396040175,373.0265,-2.7057467377744614e-13,192.6,1968298.928598822,25.05564,3.6628852,27.30088300304089,-2.7057467377744614e-13,1915.6905628842135,6.5161854e-05,598.8498,1968298.928598822,1.3643299,0.18364795,100,3550.445,8.249551,0.008890227,0.01,0.00044319165
60.38752037480375,102.48749,-1.8644641386345028e-13,182.57,1771262.6848027366,4.5082045,3.077999,32.48863832123528,-1.8644641386345028e-13,1815.2044216089912,0.0018968564,298.86298,1771262.6848027366,0.9982532,0.04516093,100,1751.9105,0.66028446,0.1893543,0.01,6.625972e-05
59.55920490948292,150.6701,9.322320693172514e-14,159.81,1175154.1043654832,5.387359,3.0259938,33.04699408396102,9.322320693172514e-14,1587.5960937080877,9.334222e-05,309.26636,1175154.1043654832,0.9298769,0.05793626,100,1484.6353,0.59304345,0.008679678,0.010000002,6.8586014e-05
8.29911628573802,472.8177,-1.1709744285326451e-13,164.7,1481940.0136922474,23.745436,50.077835,1.9968914357867589,-1.1709744285326451e-13,1636.5092261143247,2.018605e-15,1197.3364,1481940.0136922474,0.92682153,0.2562029,100,6173.6006,9.587351,1.8708867e-13,0.010000003,0.0011161086
100.0,-112.75157,-5.798028723802417e-13,175.3,1797306.693660834,1.0,1.0,100.0,-5.798028723802417e-13,1742.716876921543,0.01,1.4305115e-06,1797306.693660834,1.0,0.01,100,1333.9166,,1.0,0.009999998,3.5044917e-18
100.0,-96.51279,-2.0804691303055734e-13,153.9,1316881.4489656782,1.0,1.0,100.0,-2.0804691303055734e-13,1528.4232152673262,0.01,3.8146973e-06,1316881.4489656782,1.0,0.01,100,1141.8024,,1.0,0.009999998,3.5044917e-18
100.0,-103.9205,-4.5474735088646414e-14,155.22,1526790.218154704,1.0,1.0,100.0,-4.5474735088646414e-14,1542.038550494455,0.01,-9.536743e-06,1526790.218154704,1.0,0.01,100,1229.4398,,1.0,0.009999998,3.5044917e-18
100.0,-103.05653,-1.7962520360015334e-13,187.86,1501509.5908247049,1.0,1.0,100.0,-1.7962520360015334e-13,1868.0606397811189,0.01,7.6293945e-06,1501509.5908247049,1.0,0.01,100,1219.2188,,1.0,0.009999998,3.5044917e-18
100.0,-103.42525,1.0913936421275138e-13,177.45,1512272.3879115293,1.0,1.0,100.0,1.0913936421275138e-13,1764.0876839361135,0.01,3.8146973e-06,1512272.3879115293,1.0,0.01,100,1223.5807,,1.0,0.009999998,3.5044917e-18
100.0,-117.55555,1.0913936421275138e-13,182.01,1953723.9149603003,1.0,1.0,100.0,1.0913936421275138e-13,1809.8145561912204,0.01,7.1525574e-06,1953723.9149603003,1.0,0.01,100,1390.7504,,1.0,0.009999998,3.5044917e-18
100.0,-111.79863,3.865352482534945e-13,196.2,1767054.2073203707,1.0,1.0,100.0,3.865352482534945e-13,1951.5075564336523,0.01,-7.6293945e-06,1767054.2073203707,1.0,0.01,100,1322.6427,,1.0,0.009999998,3.5044917e-18
100.0,-100.97828,-2.091837814077735e-13,161.96,1441560.1383789077,1.0,1.0,100.0,-2.091837814077735e-13,1609.1151047731264,0.01,-5.722046e-06,1441560.1383789077,1.0,0.01,100,1194.6316,,1.0,0.009999998,3.5044917e-18
100.0,-106.215546,2.955857780762017e-14,177.19,1594971.9170350693,1.0,1.0,100.0,2.955857780762017e-14,1761.4946130620958,0.01,-3.8146973e-06,1594971.9170350693,1.0,0.01,100,1256.5914,,1.0,0.009999998,3.5044917e-18
100.0,-112.64415,-1.546140993013978e-13,174.9,1793883.2561752568,1.0,1.0,100.0,-1.546140993013978e-13,1738.6326871666906,0.01,-3.8146973e-06,1793883.2561752568,1.0,0.01,100,1332.6456,,1.0,0.009999998,3.5044917e-18
100.0,-111.36583,-4.524736141320318e-13,190.8,1753398.9933988382,1.0,1.0,100.0,-4.524736141320318e-13,1897.687348435193,0.01,-5.722046e-06,1753398.9933988382,1.0,0.01,100,1317.5223,,1.0,0.009999998,3.5044917e-18
100.0,-92.20625,-3.1150193535722795e-13,172.76,1201981.0886422326,1.0,1.0,100.0,-3.1150193535722795e-13,1717.0635722094273,0.01,-3.8146973e-06,1201981.0886422326,1.0,0.01,100,1090.8534,,1.0,0.009999998,3.5044917e-18
100.0,-118.41028,5.911715561524034e-14,194.54,1982237.5637814188,1.0,1.0,100.0,5.911715561524034e-14,1935.2021330928794,0.01,-3.8146973e-06,1982237.5637814188,1.0,0.01,100,1400.8622,,1.0,0.009999998,3.5044917e-18
100.0,-103.68858,1.4097167877480388e-13,179.85,1519983.5374290212,1.0,1.0,100.0,1.4097167877480388e-13,1788.064181245797,0.01,-1.9073486e-06,1519983.5374290212,1.0,0.01,100,1226.6963,,1.0,0.009999998,3.5044917e-18
100.0,-107.11448,-2.501110429875553e-13,172.02,1622083.823656738,1.0,1.0,100.0,-2.501110429875553e-13,1710.0287505149731,0.01,2.861023e-06,1622083.823656738,1.0,0.01,100,1267.2264,,1.0,0.009999998,3.5044917e-18
