VarVanillaIw,ESSClassic,AvgVanillaIw,VanillaAvgRet,Bound,J,AvgRet,AvgNormIw,BatchSize,VarRet,IterType,MinVanillaIw,MaxNormIw,MaxVanillaIw,MinNormIw,AvgDiscRet,AvgEpLen,VarJ,VarDiscRet,VarNormIw,eRenyi2,ESSRenyi,EpsThisIter
28519450.0,1.0030233041633247,534.8508,-5.281783424924425,19.152338,23.115032,-5.281783424924425,0.009999996,100,59.494879798161264,1,0.09464205,0.99849176,53404.414,1.7695037e-06,-5.281783424924425,22.25,0.4159372,59.494879798161264,0.009969554,1.5755297,63.47071740092177,100
2.320804,59.14318715916642,1.8237147,-5.281783424924425,-8.777134,-4.734744,-5.281783424924425,0.010000002,200,59.494879798161264,,1.8725043e-05,0.05793739,10.566128,1.0267528e-07,-4.902635152782046,22.25,7.8006673,55.801299278463226,6.977898e-05,1.4839184,134.77829789661158,100
20268658.0,1.0061509695962505,319.3271,-5.79706014108495,18.447205,23.073217,-5.79706014108495,0.005000001,200,94.07323929343423,1,0.010834135,0.9969386,63669.9,1.6964009e-07,-5.79706014108495,23.55,1.1779743,94.07323929343423,0.0049692797,1.7338777,115.34839207360422,100
,100.0,1.0,-7.789651098465247,-19.75708,-7.7896514,-7.789651098465247,0.009999998,200,284.29600675708076,2,1.0,0.01,1.0,0.01,-7.789651098465247,23.72,16.776562,284.29600675708076,3.5044917e-18,1.0,200.0,100
44.785915,21.65451364531819,2.3260841,-5.79706014108495,-16.528736,-5.5821953,-5.79706014108495,0.005,300,94.07323929343423,,1.570601e-05,0.19840395,92.30086,3.376062e-08,-4.976642035305997,23.55,27.244852,43.61492736478965,0.00020693343,1.6733321,179.28300118679823,100
3970854.5,1.016969335300116,116.02393,-4.960359625129417,15.786507,22.917873,-4.960359625129417,0.0033333332,300,161.09439432249184,1,0.15998136,0.9916217,34515.555,4.596217e-06,-4.960359625129417,21.73,4.108492,161.09439432249184,0.003277527,1.4864987,201.81652178829327,100
,100.0,1.0,-5.005608188028947,-7.4815702,-5.005608,-5.005608188028947,0.009999998,300,35.984525650553046,2,1.0,0.01,1.0,0.01,-5.005608188028947,24.56,5.9686418,35.984525650553046,3.5044917e-18,1.0,300.0,100
,200.00000010221265,1.0,-5.8205003468977194,-8.669146,-5.413054,-5.8205003468977194,0.0049999994,300,82.75087922682691,2,1.0,0.005,1.0,0.005,-5.8205003468977194,23.21,7.677242,82.75087922682691,2.179301e-19,1.0,300.0,100
0.97749305,207.071348964805,1.4733876,-4.960359625129417,-8.002194,-4.846642,-4.960359625129417,0.0033333334,400,161.09439432249184,,2.8972445e-05,0.0141413985,6.250728,6.5546104e-08,-5.009400319913988,21.73,7.3595963,34.12607730904711,5.0030767e-06,1.4087981,283.9299686787492,100
6604408.5,1.0149845559926722,129.45679,-4.482453660293752,16.67648,22.944912,-4.482453660293752,0.0025000004,400,33.905979732134305,1,0.15365216,0.9925908,51399.047,2.967248e-06,-4.482453660293752,20.63,4.2078567,33.905979732134305,0.0024629992,1.5313545,261.206655834185,100
