VarVanillaIw,BatchSize,J,AvgDiscRet,Bound,AvgNormIw,VarDiscRet,AvgEpLen,AvgVanillaIw,IterType,AvgRet,eRenyi2,MinVanillaIw,MaxNormIw,EpsThisIter,VarNormIw,ESSClassic,MaxVanillaIw,ESSRenyi,MinNormIw,VanillaAvgRet,VarRet,VarJ
9717569000.0,100,69.779434,13.18965746185299,63.80781,0.01,208.4120917947054,54.52,9858.714,1,13.18965746185299,1.0337993,0.28665933,0.9999054,100,0.009998089,1.0001891995939896,985778.1,96.73057517426213,2.9076747e-07,13.18965746185299,208.4120917947054,0.048468746
0.3662016,200,9.878614,10.88495067760697,4.7893105,0.010000002,147.96747088281577,54.52,1.2917199,,13.18965746185299,1.0333209,1.0144271e-06,0.02700633,100,2.194742e-05,82.15038425985722,3.4884615,193.55071524126788,7.853305e-09,13.18965746185299,208.4120917947054,11.407497
18089294000.0,200,69.77876,11.147690851700135,65.554146,0.005,104.90802946876673,51.31,9511.283,1,11.147690851700135,1.0348014,0.48539326,0.99990076,100,0.0049990015,1.0001984780540163,1902067.9,193.2738078712357,2.5516707e-07,11.147690851700135,104.90802946876673,0.07787978
,200,12.381813,12.381813550380027,3.3820095,0.009999998,302.3165895492581,53.41,1.0,2,12.381813550380027,1.0,1.0,0.01,100,3.5044917e-18,100.0,1.0,200.0,0.01,12.381813550380027,302.3165895492581,17.300098
0.09530853,300,13.295691,14.017076493114494,6.8237963,0.005,203.86368430543246,51.31,1.1256293,,11.147690851700135,1.0342529,5.257436e-07,0.009151259,100,1.8805331e-06,186.07330800809734,2.0601852,290.06445640139134,2.335332e-09,11.147690851700135,104.90802946876673,17.375463
2897287300000.0,300,74.970055,13.986970328671775,71.22342,0.003333333,207.19081804625765,52.38,98274.23,1,13.986970328671775,1.057764,0.29875588,0.99998975,100,0.0033332647,1.0000204872054175,29481966.0,283.6171252477131,1.0133409e-08,13.986970328671775,207.19081804625765,0.010193377
,300,13.7911005,13.791100233406349,7.312771,0.009999998,249.83852886995027,52.84,1.0,2,13.791100233406349,1.0,1.0,0.01,100,3.5044917e-18,100.0,1.0,300.0,0.01,13.791100233406349,249.83852886995027,15.727051
,300,13.609488,13.42787576981308,7.392132,0.0049999994,289.9807204570688,52.85,1.0,2,13.42787576981308,1.0,1.0,0.005,100,2.179301e-19,200.00000010221265,1.0,300.0,0.005,13.42787576981308,289.9807204570688,16.347584
0.26491413,400,12.984531,10.582604458358736,7.765869,0.0033333332,192.314890026862,52.38,1.1990288,,13.986970328671775,1.0568132,3.391904e-08,0.009305349,100,2.047403e-06,253.45285361441535,3.3472142,378.49639353552635,9.429587e-11,13.986970328671775,207.19081804625765,17.25597
122621400000.0,400,74.967224,10.183762925865585,71.727936,0.0025,125.68488618923735,52.14,17509.729,1,10.183762925865585,1.054251,0.2640103,0.9999397,100,0.002499698,1.0001206581321715,7003469.0,379.41630299903954,3.7694804e-08,10.183762925865585,125.68488618923735,0.06844952
