AvgNormIw,VanillaAvgRet,MinVanillaIw,VarVanillaIw,eRenyi2,AvgRet,VarDiscRet,Bound,VarNormIw,ESSRenyi,AvgEpLen,MinNormIw,VarRet,ESSClassic,J,AvgVanillaIw,MaxVanillaIw,MaxNormIw,BatchSize,VarJ,AvgDiscRet
0.01,-4066.23450637783,,537694.8,10116.798,9.094947017729283e-14,4392402.075036766,294496.22,0.010000002,0.00988455057294195,200.0,,4392402.075036766,1.0,4062.8367,73.32768,7332.768,1.0,100,,9.094947017729283e-14
0.01,-7.910332132731261,0.40281075,0.3514917,1.2898706,-4.3520742565306136e-16,52.82464436805272,-0.5787998,3.331305e-05,77.52715541154943,200.0,0.003921486,52.82464436805272,75.19931393030352,0.18288746,1.027189,4.4877324,0.043689452,100,7.8965287,-4.3520742565306136e-16
0.01,-8.449409699709793,,inf,inf,1.5631940186722204e-15,57.85105075015907,1.3318427e+35,0.010000003,,200.0,,57.85105075015907,,8.281697,1.6081761e+34,1.6081761e+36,1.0,100,,1.5631940186722204e-15
0.009999998,-7.292150541803452,1.0,,nan,3.9968028886505636e-16,46.52161714110484,-0.61368704,3.5044917e-18,nan,200.0,0.01,46.52161714110484,100.0,5.2154064e-08,1.0,1.0,0.01,100,6.7864866,3.9968028886505636e-16
0.009999998,-7.880372512872412,1.0,,nan,-4.884981308350689e-16,50.92315946155466,-0.663221,3.5044917e-18,nan,200.0,0.01,50.92315946155466,100.0,,1.0,1.0,0.01,100,7.1002765,-4.884981308350689e-16
0.009999998,-6.766252930862064,1.0,,nan,-6.572520305780927e-16,53.75237697191676,-0.569164,3.5044917e-18,nan,200.0,0.01,53.75237697191676,100.0,-5.9604645e-08,1.0,1.0,0.01,100,7.2948513,-6.572520305780927e-16
0.009999998,-7.108657577013772,1.0,,nan,-8.970602038971265e-16,45.94942840707727,-0.5982755,3.5044917e-18,nan,200.0,0.01,45.94942840707727,100.0,-7.4505806e-08,1.0,1.0,0.01,100,6.7446227,-8.970602038971265e-16
0.009999998,-7.038732342180352,1.0,,nan,-1.0480505352461477e-15,49.76244079205644,-0.5923793,3.5044917e-18,nan,200.0,0.01,49.76244079205644,100.0,-8.195639e-08,1.0,1.0,0.01,100,7.01889,-1.0480505352461477e-15
0.009999998,-8.106367542795978,1.0,,nan,1.6875389974302379e-15,47.474970266971226,-0.6822288,3.5044917e-18,nan,200.0,0.01,47.474970266971226,100.0,1.0058284e-07,1.0,1.0,0.01,100,6.855671,1.6875389974302379e-15
0.009999998,-8.302595966074131,1.0,,nan,3.9968028886505636e-16,54.569512293503045,-0.69837826,3.5044917e-18,nan,200.0,0.01,54.569512293503045,100.0,-7.450581e-09,1.0,1.0,0.01,100,7.350089,3.9968028886505636e-16
