AvgEpLen,MinNormIw,VarJ,VarRet,AvgDiscRet,AvgNormIw,renyi2,ESSClassic,VarVanillaIw,IterType,BatchSize,delta,VanillaAvgRet,Bound,J,VarDiscRet,AvgRet,MaxNormIw,AvgVanillaIw,MaxVanillaIw,VarNormIw,EpsThisIter,SamplesThisIter,MinVanillaIw,ESSRenyi
14.1964792731,,33874.3,5405.98752629,129.592800494,1.57739e-06,nan,1.99620024287,2.91086e+22,1,100,0.5,129.592800494,312.245,80551.2,5405.98752629,129.592800494,0.478946,3.16057e+08,9.59653e+13,7.25047e-07,3522,50000,,nan
14.1482739106,,25896.5,5150.2766435,129.147128412,1.57203e-06,nan,2.00019871775,1.51145e+10,1,100,0.5,129.147128412,334.22,53577.4,5150.2766435,129.147128412,0.496452,219.551,6.93349e+07,7.74899e-07,3534,50000,,nan
14.0056022409,,21269.7,4873.68623805,127.811575581,1.55618e-06,nan,2.01865957719,420605.0,1,100,0.5,127.811575581,293.485,45429.6,4873.68623805,127.811575581,0.218743,2.57017,361275.0,1.54195e-07,3570,50000,,nan
14.9342891278,,26352.5,5837.57907528,136.42874062,1.65937e-06,nan,3.83036301943,550789.0,1,100,0.5,136.42874062,332.369,56059.8,5837.57907528,136.42874062,0.140418,3.57903,302862.0,1.18396e-07,3348,50000,,nan
16.1082474227,,30537.0,6676.04559299,147.366415166,1.78981e-06,nan,1.97204772709,2.46292e+08,1,100,0.5,147.366415166,365.405,64628.1,6676.04559299,147.366415166,0.414723,35.5458,8.23645e+06,6.24435e-07,3104,50000,,nan
18.0115273775,,35527.0,8258.01656377,165.18658997,2.00128e-06,nan,1.99999939434,2.2893e+24,1,100,0.5,165.18658997,414.463,90887.6,8258.01656377,165.18658997,0.499739,3.02864e+09,7.56281e+14,9.99595e-07,2776,50000,,nan
21.3675213675,,17878.0,8985.23488829,196.463004394,2.37417e-06,nan,2.77445534176,2782.71,1,100,0.5,196.463004394,398.417,77402.7,8985.23488829,196.463004394,0.0135232,2.06702,11773.7,3.67114e-09,2340,50000,,nan
23.8777459408,,24117.9,9858.44166974,219.914887378,2.65308e-06,nan,3.48899467945,35005.9,1,100,0.5,219.914887378,434.277,92260.1,9858.44166974,219.914887378,0.0493871,3.25933,60672.4,2.31945e-08,2094,50000,,nan
25.9336099585,,22222.8,10263.1330432,239.123318134,2.88151e-06,nan,1.9311851887,48311.3,1,100,0.5,239.123318134,456.657,86120.1,10263.1330432,239.123318134,0.0521371,3.2013,57923.2,3.91415e-08,1928,50000,,nan
29.7619047619,,30300.0,11547.9904652,274.888544782,3.30688e-06,nan,1.59214230075,21346.6,1,100,0.5,274.888544782,465.175,98102.8,11547.9904652,274.888544782,0.0633676,2.54053,48682.5,3.61674e-08,1680,50000,,nan
33.0250990753,,28126.8,14011.7085551,305.418741943,3.66945e-06,nan,2.20756699807,1.47273e+07,1,100,0.5,305.418741943,643.252,127112.0,14011.7085551,305.418741943,0.26474,19.1401,1.3809e+06,5.41303e-07,1514,50000,,nan
32.2164948454,,20779.1,10495.0878784,297.823078131,3.57961e-06,nan,3.35529948204,14911.3,1,100,0.5,297.823078131,529.627,103768.0,10495.0878784,297.823078131,0.0423495,2.41439,28564.0,3.27773e-08,1552,50000,,nan
32.5097529259,,17980.1,9962.75591505,300.595766942,3.61219e-06,nan,2.33531006666,543.715,1,100,0.5,300.595766942,515.206,95517.4,9962.75591505,300.595766942,0.00482126,1.61292,2152.8,2.72702e-09,1538,50000,,nan
33.9673913043,,16989.9,15153.5761555,314.032556362,3.77415e-06,nan,2.6512015708,429.297,1,100,0.5,314.032556362,549.206,102447.0,15153.5761555,314.032556362,0.00399555,1.53842,1628.66,2.58373e-09,1472,50000,,nan
32.9380764163,,21687.4,13285.5047066,304.547883224,3.65979e-06,nan,1.64647929986,2012.97,1,100,0.5,304.547883224,555.922,103945.0,13285.5047066,304.547883224,0.0209841,1.82527,10465.5,8.09274e-09,1518,50000,,nan
35.0631136045,,35740.8,18101.850517,324.225613133,3.8959e-06,nan,1.05826706221,2.12454e+07,1,100,0.5,324.225613133,602.699,131641.0,18101.850517,324.225613133,0.197721,23.4906,1.19217e+06,5.84376e-07,1426,50000,,nan
36.075036075,,33151.3,18680.5263632,333.657674163,4.00834e-06,nan,1.28618572397,295799.0,1,100,0.5,333.657674163,595.561,132339.0,18680.5263632,333.657674163,0.0962355,6.28253,150836.0,1.20408e-07,1386,50000,,nan
38.1097560976,,34755.4,25517.4094255,352.50594076,4.23442e-06,nan,1.88192515055,371700.0,1,100,0.5,352.50594076,707.3,151316.0,25517.4094255,352.50594076,0.112383,6.03653,160212.0,1.82896e-07,1312,50000,,nan
