Bound,EpsThisIter,AvgEpLen,Delta,VarRet,MaxVanillaIw,IterType,VarDiscRet,ESSRenyi,VanillaAvgRet,MinVanillaIw,AvgVanillaIw,eRenyi2,BatchSize,VarNormIw,VarJ,MinNormIw,VarVanillaIw,AvgDiscRet,ESSClassic,AvgRet,J,AvgNormIw,MaxNormIw
3.23573,100,500.0,0.7,65.3509072746,1.0,2,65.3509072746,500.0,3.56429956083,1.0,1.0,1.0,500,5.43914e-20,15.1013,0.00333333,,3.56429956083,299.999969474,3.56429956083,5.09338,0.00333333,0.00333333
4.80893,100,500.0,0.7,441.937604179,1.0,2,441.937604179,500.0,10.5464870144,1.0,1.0,1.0,500,5.4346e-20,16.9113,0.0025,,10.5464870144,400.0,10.5464870144,6.45666,0.0025,0.0025
45.1727,100,500.0,0.7,167.442844951,2322.4,1,167.442844951,86.4628528579,9.65060854791,0.0117392,56.6343,5.78283,500,0.00015775,2.81697,4.14561e-07,126494.0,9.65060854791,12.388902936,9.65060854791,48.7168,0.002,0.082014
6.03539,100,500.0,0.7,133.294130599,1.0,2,133.294130599,500.0,7.67146530596,1.0,1.0,1.0,500,3.50449e-18,11.4874,0.01,,7.67146530596,100.0,7.67146530596,7.67146,0.01,0.01
7.86455,100,500.0,0.7,425.847085382,1.0,2,425.847085382,500.0,13.29844457,1.0,1.0,1.0,500,2.1793e-19,16.8728,0.005,,13.29844457,200.000000102,13.29844457,10.485,0.005,0.005
11.2994,100,500.0,0.7,755.588388946,1.0,2,755.588388946,500.0,21.6143143045,1.0,1.0,1.0,500,5.43914e-20,21.6024,0.00333333,,21.6143143045,299.999969474,21.6143143045,14.1947,0.00333333,0.00333333
10.6206,100,500.0,0.7,273.127457289,1.0,2,273.127457289,500.0,9.92798283375,1.0,1.0,1.0,500,5.4346e-20,20.5185,0.0025,,9.92798283375,400.0,9.92798283375,13.1281,0.0025,0.0025
66.6478,100,500.0,0.7,157.824441744,160.082,1,157.824441744,499.997735034,6.45956629574,4.329e-08,5.09756,1.0,500,9.42531e-05,41.8802,1.69846e-11,612.294,6.45956629574,20.3947073114,6.45956629574,68.8905,0.002,0.0628074
13.9933,100,500.0,0.7,187.422164931,1.0,2,187.422164931,500.0,17.3031510963,1.0,1.0,1.0,500,3.50449e-18,13.6216,0.01,,17.3031510963,100.0,17.3031510963,17.3032,0.01,0.01
13.6267,100,500.0,0.7,359.7769558,1.0,2,359.7769558,500.0,14.8905216243,1.0,1.0,1.0,500,2.1793e-19,16.5021,0.005,,14.8905216243,200.000000102,14.8905216243,16.0968,0.005,0.005
14.8471,100,500.0,0.7,497.020070209,1.0,2,497.020070209,500.0,18.398177581,1.0,1.0,1.0,500,5.43914e-20,18.6209,0.00333333,,18.398177581,299.999969474,18.398177581,16.864,0.00333333,0.00333333
16.5529,100,500.0,0.7,258.953215949,1.0,2,258.953215949,500.0,22.6063494612,1.0,1.0,1.0,500,5.4346e-20,18.1749,0.0025,,22.6063494612,400.0,22.6063494612,18.2995,0.0025,0.0025
48.7955,100,500.0,0.7,167.226092284,444.57,1,167.226092284,76.4982521216,17.9880399244,5.79396e-09,11.0874,6.5361,500,0.000150679,3.63818,1.04514e-12,4630.77,17.9880399244,12.9552465109,17.9880399244,52.7896,0.002,0.0801937
29.7487,100,500.0,0.7,304.703296543,1.0,2,304.703296543,500.0,33.6658385279,1.0,1.0,1.0,500,3.50449e-18,17.3683,0.01,,33.6658385279,100.0,33.6658385279,33.6658,0.01,0.01
22.9812,100,500.0,0.7,579.774465259,1.0,2,579.774465259,500.0,17.8362945546,1.0,1.0,1.0,500,2.1793e-19,22.371,0.005,,17.8362945546,200.000000102,17.8362945546,25.7511,0.005,0.005
20.4199,100,500.0,0.7,199.076833468,1.0,2,199.076833468,500.0,16.5422968123,1.0,1.0,1.0,500,5.43914e-20,20.4495,0.00333333,,16.5422968123,299.999969474,16.5422968123,22.6815,0.00333333,0.00333333
18.4826,100,500.0,0.7,222.909541046,1.0,2,222.909541046,500.0,13.7202746419,1.0,1.0,1.0,500,5.4346e-20,19.5924,0.0025,,13.7202746419,400.0,13.7202746419,20.4412,0.0025,0.0025
55.2653,100,500.0,0.7,311.120297874,488.115,1,311.120297874,119.44793877,39.2067794053,0.00579684,12.1899,4.18592,500,0.000150242,5.84851,9.51089e-07,5581.26,39.2067794053,12.9919627371,39.2067794053,58.9373,0.002,0.0800851
31.6926,100,500.0,0.7,827.635321285,1.0,2,827.635321285,500.0,37.4482425552,1.0,1.0,1.0,500,3.50449e-18,28.6244,0.01,,37.4482425552,100.0,37.4482425552,37.4482,0.01,0.01
