MinNormIw,VarVanillaIw,VanillaAvgRet,VarRet,AvgVanillaIw,VarDiscRet,Bound,AvgNormIw,AvgEpLen,IterType,EpsThisIter,ESSClassic,MaxNormIw,VarJ,AvgDiscRet,VarNormIw,AvgRet,MinVanillaIw,BatchSize,J,eRenyi2,MaxVanillaIw,ESSRenyi
2.1254471e-05,362974.06,-176.2112522393707,124930.95079595823,60.984344,124930.95079595823,391.40973,0.01,500.0,1,100,1.024363618270417,0.9880353,78.87178,-176.2112522393707,0.009759755,-176.2112522393707,0.129619,100,513.09814,1.6583425,6025.4688,60.30117491788083
8.6128176e-07,1.9556617,-176.2112522393707,124930.95079595823,1.9269208,91443.65418332168,-326.70447,0.009999999,500.0,,100,65.72737496787155,0.04003755,327.76895,-235.54909866877082,5.2670333e-05,-176.2112522393707,0.00016596218,200,-215.95673,1.6357411,7.7149186,122.26873691250526
1.4213524e-05,1001796.75,-208.29435313794914,117369.56820857944,71.69707,117369.56820857944,306.82635,0.005000001,500.0,1,100,1.0261151148909586,0.98719215,100.851006,-208.29435313794914,0.0048721074,-208.29435313794914,0.2038136,200,398.14566,1.5472142,14155.756,129.2645881919933
0.01,,-248.60848509750477,116317.84355885653,1.0,116317.84355885653,-346.12012,0.009999998,500.0,2,100,100.0,0.01,339.34448,-248.60848509750477,3.5044917e-18,-248.60848509750477,1.0,200,-248.60846,1.0,1.0,200.0
2.3099567e-07,0.90113026,-208.29435313794914,117369.56820857944,1.5290903,93637.14632945965,-324.40305,0.005,500.0,,100,144.56285555250435,0.01604367,395.35483,-219.33307440601476,9.635213e-06,-208.29435313794914,7.064264e-05,300,-240.57788,1.4779713,4.906444,202.98093533843272
2.7540675e-06,2786673.2,-228.02156112504795,103036.04575621882,97.35342,103036.04575621882,158.01053,0.0033333336,500.0,1,100,1.0202538985950653,0.9900241,58.531128,-228.02156112504795,0.0032669397,-228.02156112504795,0.080435365,300,236.16187,1.6997672,28914.668,176.49475431843942
0.01,,-172.72818445396314,153542.16215854298,1.0,153542.16215854298,-303.8233,0.009999998,500.0,2,100,100.0,0.01,389.8804,-172.72818445396314,3.5044917e-18,-172.72818445396314,1.0,300,-172.7282,1.0,1.0,300.0
0.005,,-123.21955769585767,120673.1593858123,1.0,120673.1593858123,-240.67212,0.0049999994,500.0,2,100,200.00000010221265,0.005,369.25513,-123.21955769585767,2.179301e-19,-123.21955769585767,1.0,300,-147.97388,1.0,1.0,300.0
6.3064725e-08,2.7806003,-228.02156112504795,103036.04575621882,1.8279911,102285.11372260189,-247.59065,0.0033333334,500.0,,100,163.99224388372718,0.02267032,506.57315,-183.30838731621333,9.245871e-06,-228.02156112504795,3.4584526e-05,400,-150.66304,1.6399982,12.432343,243.90270708602603
4.2371958e-06,3372702.2,-170.1505026663438,101939.72104809458,92.78094,101939.72104809458,381.2472,0.0025,500.0,1,100,1.0208851513659656,0.9897181,121.42174,-170.1505026663438,0.0024487278,-170.1505026663438,0.1572524,400,450.03873,1.7560037,36730.79,227.78994797638927
0.01,,-141.65543698612083,108516.75692011186,1.0,108516.75692011186,-253.1586,0.009999998,500.0,2,100,100.0,0.01,327.76758,-141.65543698612083,3.5044917e-18,-141.65543698612083,1.0,400,-141.65544,1.0,1.0,400.0
0.005,,-184.67017043494906,120731.55020064297,1.0,120731.55020064297,-242.00745,0.0049999994,500.0,2,100,200.00000010221265,0.005,337.5507,-184.67017043494906,2.179301e-19,-184.67017043494906,1.0,400,-163.16281,1.0,1.0,400.0
0.0033333334,,-183.19460341653948,94278.12050296602,1.0,94278.12050296602,-234.21645,0.0033333336,500.0,2,100,299.999969473632,0.0033333334,327.35495,-183.19460341653948,5.4391416e-20,-183.19460341653948,1.0,400,-169.84007,1.0,1.0,400.0
4.328372e-08,0.985235,-170.1505026663438,101939.72104809458,1.57248,97847.93880261076,-277.0774,0.0025,500.0,,100,286.23563229255774,0.01011015,402.4267,-254.58838913930788,2.4902884e-06,-170.1505026663438,2.7225115e-05,500,-205.03644,1.6697233,6.3592033,299.4508181611397
7.6448896e-07,5107070.0,-217.2555191786805,115528.31794853404,102.35719,115528.31794853404,170.8813,0.0020000003,500.0,1,100,1.0256817637820435,0.98739624,69.70272,-217.2555191786805,0.0019498226,-217.2555191786805,0.039125472,500,236.43025,1.9929512,50533.555,250.88422203355097
0.01,,-164.57022221425683,76644.83413553235,1.0,76644.83413553235,-240.68622,0.009999998,500.0,2,100,100.0,0.01,275.46033,-164.57022221425683,3.5044917e-18,-164.57022221425683,1.0,500,-164.57022,1.0,1.0,500.0
