ESSRenyi,MinNormIw,J,SamplesThisIter,AvgEpLen,AvgVanillaIw,VarDiscRet,MaxVanillaIw,ESSClassic,VarVanillaIw,AvgRet,EpsThisIter,Bound,MaxNormIw,VarRet,VarJ,BatchSize,IterType,AvgDiscRet,VanillaAvgRet,renyi2,VarNormIw,delta,AvgNormIw,MinVanillaIw
nan,1.00332e-12,-91.7083,50000,500.0,3.2753,39790.8136165,87.8065,0.658572958465,61.8281,-261.331538481,100,-154.685,0.00144912,39790.8136165,3735.67,100,1,-261.331538481,-261.331538481,nan,1.68399e-08,0.5,5.4054e-05,6.07944e-08
nan,3.92554e-19,35291.1,50000,500.0,13.0016,43493.3006447,5287.62,3.2595371698,9352.2,-169.619713126,100,16.4282,0.0219832,43493.3006447,3096.55,100,1,-169.619713126,-169.619713126,nan,1.61649e-07,0.5,5.40541e-05,9.4421e-14
nan,1.90033e-20,17545.5,50000,500.0,3.57722,42567.0257835,144.822,0.570123388776,85.9275,-166.813740475,100,-67.5239,0.00218834,42567.0257835,3662.96,100,1,-166.813740475,-166.813740475,nan,1.96199e-08,0.5,5.40541e-05,1.25761e-15
nan,5.39869e-16,35689.0,50000,500.0,6.319,39894.3829003,238.016,0.574476444542,356.841,-69.1360619206,100,73.6757,0.00203604,39894.3829003,2168.96,100,1,-69.1360619206,-69.1360619206,nan,2.61117e-08,0.5,5.40541e-05,6.31115e-11
nan,4.92762e-19,16422.1,50000,500.0,13.7675,9439.34351954,1996.84,0.752737344285,4824.17,-83.6146547632,100,6.01788,0.00784002,9439.34351954,1481.69,100,1,-83.6146547632,-83.6146547632,nan,7.43656e-08,0.5,5.4054e-05,1.25506e-13
nan,,52971.5,50000,500.0,1.29683e+16,24258.4525506,4.68199e+19,3.70720467496,inf,-83.8456387866,100,123.706,0.195153,24258.4525506,1218.18,100,1,-83.8456387866,-83.8456387866,nan,8.88248e-06,0.5,5.40541e-05,
nan,1.27927e-28,27626.1,50000,500.0,17.0337,17083.994176,3719.98,1.72175221744,8560.63,-89.8340521564,100,46.883,0.0118048,17083.994176,1135.54,100,1,-89.8340521564,-89.8340521564,nan,8.62073e-08,0.5,5.40541e-05,4.03127e-23
nan,1.51849e-29,32904.6,50000,500.0,14.0239,14459.3101608,1671.35,1.18456556707,2420.75,-14.5115308343,100,132.373,0.0064421,14459.3101608,440.938,100,1,-14.5115308343,-14.5115308343,nan,3.59641e-08,0.5,5.40541e-05,3.93961e-24
nan,,52011.1,50000,500.0,3950.51,17260.8882408,1.60744e+07,3.99999153936,5.64165e+10,-16.9978998105,100,177.142,0.219943,17260.8882408,1103.16,100,1,-16.9978998105,-16.9978998105,nan,1.05623e-05,0.5,5.40541e-05,
nan,6.32371e-20,38523.2,50000,500.0,22.7871,17667.7317725,16522.7,3.58352970386,70316.2,-21.0381927191,100,124.113,0.039194,17667.7317725,740.625,100,1,-21.0381927191,-21.0381927191,nan,3.95672e-07,0.5,5.4054e-05,2.66583e-14
