MinNormIw,VarJ,MaxVanillaIw,ESSRenyi,Bound,MaxNormIw,SamplesThisIter,AvgRet,AvgNormIw,EpsThisIter,VarDiscRet,VanillaAvgRet,VarVanillaIw,delta,VarNormIw,AvgDiscRet,ESSClassic,renyi2,MinVanillaIw,BatchSize,VarRet,IterType,AvgVanillaIw,J,AvgEpLen
,73.7774,6.62184e+21,nan,3.05658,0.33309,50000,-4.55134022352,5.52486e-05,100,35.7093111622,-4.55134022352,inf,0.6,1.83873e-05,-4.55134022352,2.99999812276,nan,,100,35.7093111622,1,1.09834e+18,1721.51,500.0
5.85906e-38,63.2274,849.938,nan,0.186549,0.00556891,50000,-5.07979596142,5.52486e-05,100,30.7238208323,-5.07979596142,1508.8,0.6,6.47734e-08,-5.07979596142,1.34865168655,nan,8.94221e-33,100,30.7238208323,1,8.43215,814.272,500.0
1.88542e-24,59.0094,755.557,nan,3.1797,0.00602944,50000,-1.91551828747,5.52486e-05,100,32.1227012279,-1.91551828747,837.274,0.6,5.33196e-08,-1.91551828747,0.464727537957,nan,2.36264e-19,100,32.1227012279,1,6.92328,1235.68,500.0
,nan,1.56744e+22,nan,nan,0.270051,50000,-2.68171093231,5.52486e-05,100,42.7956391294,-2.68171093231,inf,0.6,1.24394e-05,-2.68171093231,2.91456312631,nan,,100,42.7956391294,1,3.20675e+18,nan,500.0
,66.2073,1.87469e+07,nan,11.8356,0.157641,50000,-2.6010696372,5.52486e-05,100,61.2766102788,-2.6010696372,7.11226e+10,0.6,5.02903e-06,-2.6010696372,2.5100210619,nan,,100,61.2766102788,1,6570.27,3471.57,500.0
,74.9472,3.19082e+08,nan,3.86149,0.333187,50000,-4.12862061305,5.52486e-05,100,49.23123533,-4.12862061305,1.68733e+13,0.6,1.8398e-05,-4.12862061305,2.99999949596,nan,,100,49.23123533,1,52909.8,1808.62,500.0
,179.786,1.19394e+23,nan,3.40087,1.0,50000,-3.8584176073,5.52486e-05,100,28.4653288086,-3.8584176073,inf,0.6,5.52486e-05,-3.8584176073,1.0,nan,,100,28.4653288086,1,6.59637e+18,2650.12,500.0
,107.442,1.97775e+08,nan,5.17295,0.485376,50000,-4.15702979529,5.52486e-05,100,42.2241481353,-4.15702979529,4.32292e+12,0.6,2.60369e-05,-4.15702979529,1.99950600985,nan,,100,42.2241481353,1,22512.1,1971.68,500.0
,112.675,9.48122e+14,nan,8.71085,0.446251,50000,-1.90217260521,5.52486e-05,100,45.0362326284,-1.90217260521,9.98742e+25,0.6,2.2125e-05,-1.90217260521,2.35768052546,nan,,100,45.0362326284,1,1.17383e+11,2874.4,500.0
,148.141,8.55774e+09,nan,4.64578,0.99931,50000,-4.06619180864,5.52486e-05,100,33.1692860229,-4.06619180864,4.04613e+15,0.6,5.51724e-05,-4.06619180864,1.0,nan,,100,33.1692860229,1,473130.0,1514.78,500.0
,54.8424,9.86612e+19,nan,12.6932,0.21053,50000,-3.53894984946,5.52486e-05,100,63.3358080017,-3.53894984946,inf,0.6,9.83368e-06,-3.53894984946,2.24060637045,nan,,100,63.3358080017,1,2.58913e+16,3993.95,500.0
,430.246,3.71085e+24,nan,9.40116,0.989371,50000,-1.98567149833,5.52486e-05,100,77.2061123293,-1.98567149833,inf,0.6,5.40852e-05,-1.98567149833,0.999908974246,nan,,100,77.2061123293,1,2.07222e+20,8090.26,500.0
,nan,107300.0,nan,nan,0.268736,50000,-1.60996947526,5.52486e-05,100,64.3984781156,-1.60996947526,1.96034e+06,0.6,1.22966e-05,-1.60996947526,2.91975954452,nan,,100,64.3984781156,1,22.0595,nan,500.0
