AvgDiscRet,J,MaxNormIw,VarDiscRet,BatchSize,AvgEpLen,VarVanillaIw,MinVanillaIw,AvgVanillaIw,AvgRet,VarRet,ESSRenyi,eRenyi2,MaxVanillaIw,VarJ,AvgNormIw,VarNormIw,ESSClassic,Bound,MinNormIw
116.11656713830943,458.412,0.8518196,5068.280106981779,100,12.62,85.714134,4.8074486e-32,1.0868118,116.11656713830943,5068.280106981779,3.7378228348345686,26.753542,92.57675,466.36606,0.01,0.0072567775,1.3728326084524753,236.48215,4.4234417e-34
359.46141977454266,4657.135,0.9230984,290999.0002143841,100,36.95,48.25108,6.0579563e-15,0.7528723,359.46141977454266,290999.0002143841,4.5644526257651705,21.908432,69.49752,3341.2163,0.0100000035,0.008512644,1.1726745795552516,2687.5115,8.046459e-17
1362.677979810304,4630.3926,0.15641503,2768069.4351710877,100,137.16,27.35962,7.158829e-21,1.6557156,1362.677979810304,2768069.4351710877,9.6341219265267,10.379773,25.89788,1541.9752,0.01,0.0009980183,9.190853617445807,3274.64,4.323707e-23
4460.334705526018,4925.539,0.027450982,1490437.2334884682,100,446.25,0.65960485,0.0031362062,0.977974,4460.334705526018,1490437.2334884682,61.70364902671903,1.6206497,2.6846347,250.91367,0.01,6.896507e-05,59.4263837450317,4389.827,3.20684e-05
4929.359580048031,4976.895,0.017166406,246385.09474608957,100,492.97,0.091063984,0.2321436,0.97230047,4929.359580048031,246385.09474608957,92.25739619623094,1.0839239,1.6690905,167.96019,0.01,9.632647e-06,91.29392495592325,4538.782,0.0023875705
4966.300155759276,4982.377,0.01291474,112924.12916146149,100,496.65,0.026386434,0.52173984,0.9997363,4966.300155759276,112924.12916146149,97.05209994160867,1.0303744,1.2911334,175.3584,0.01,2.6400353e-06,97.45293958340831,4555.223,0.0052187745
4925.571584023129,4984.242,0.015225504,184794.38765936735,100,492.6,0.096042335,0.13367881,0.9416104,4925.571584023129,184794.38765936735,92.85850520818977,1.0769073,1.4336493,98.00391,0.01,1.0832288e-05,90.31468824554952,4547.55,0.0014196828
4927.976786286259,4979.527,0.015457179,251240.45227302343,100,492.85,0.09601369,0.2351089,0.9631026,4927.976786286259,251240.45227302343,92.32529518730396,1.0831268,1.4886849,129.22769,0.010000002,1.0351136e-05,90.70488993423147,4541.575,0.0024411615
4999.9120786580925,4999.9126,0.010005636,0.01075725157085309,100,500.0,9.432953e-08,0.9988808,0.9999627,4999.9120786580925,0.01075725157085309,100.0,1.0,1.0005263,0.10316464,0.01,9.433916e-12,99.9999771109664,4579.102,0.009989181
4999.89273700974,4999.893,0.01,0.030892110141453707,100,500.0,,1.0,1.0,4999.89273700974,0.030892110141453707,100.0,1.0,1.0,0.17489585,0.009999998,3.5044917e-18,100.0,4579.0825,0.01
4972.01628573662,4993.723,0.011880353,77867.69899789427,100,497.22,0.03371494,0.222704,1.0026674,4972.01628573662,77867.69899789427,97.29412498814067,1.0278113,1.1912043,62.16191,0.01,3.3535791e-06,96.78665139031727,4567.101,0.0022211152
4999.905275608027,4999.906,0.010016068,0.011079927066860758,100,500.0,1.2897272e-06,0.99617296,0.99992806,4999.905275608027,0.011079927066860758,99.99992847447743,1.0000007,1.0015347,0.10463158,0.01,1.28992e-10,99.99987792101626,4579.095,0.009962446
4999.896005420205,4999.8965,0.010007133,0.04610230950226658,100,500.0,3.0148033e-07,0.9973573,1.0000342,4999.896005420205,0.04610230950226658,99.99998807907247,1.0000001,1.0007474,0.213305,0.01,3.014602e-11,99.9999694834719,4579.086,0.009973233
4999.893797482848,4999.8945,0.010003273,0.01669266826707663,100,500.0,1.3798632e-08,0.9996663,1.0000021,4999.893797482848,0.01669266826707663,100.0,1.0,1.0003295,0.12855852,0.009999999,1.3798519e-12,100.00000762937867,4579.084,0.009996641
4999.889175508151,4999.8896,0.010008851,0.028744768954059217,100,500.0,1.2167276e-06,0.99403673,0.9998724,4999.889175508151,0.028744768954059217,99.99998807907247,1.0000001,1.0007573,0.16801472,0.010000002,1.2170337e-10,99.99985883833276,4579.079,0.009941637
4982.557675260211,4992.6484,0.011737874,25219.905664580903,100,498.29,0.021064462,0.40952033,1.0014261,4982.557675260211,25219.905664580903,98.26633635576864,1.0176425,1.1754613,65.269936,0.010000002,2.1004512e-06,97.96289903116394,4568.142,0.0040893713
4999.8868551193755,4999.8867,0.01,0.055730903233937625,100,500.0,,1.0,1.0,4999.8868551193755,0.055730903233937625,100.0,1.0,1.0,0.23491299,0.009999998,3.5044917e-18,100.0,4579.076,0.01
4999.912464613315,4999.913,0.010005165,0.02980961842462625,100,500.0,1.0965913e-07,0.9987271,1.0000281,4999.912464613315,0.02980961842462625,99.99998807907247,1.0000001,1.0005447,0.17161267,0.01,1.0965087e-11,100.00000381458999,4579.1025,0.00998699
4999.926417409547,4999.927,0.01,0.005347710828678118,100,500.0,,1.0,1.0,4999.926417409547,0.005347710828678118,100.0,1.0,1.0,0.072752655,0.009999998,3.5044917e-18,100.0,4579.116,0.01
4966.116189085672,4990.2856,0.012775066,114286.11104624139,100,496.63,0.03690942,0.27959856,0.9807965,4966.116189085672,114286.11104624139,96.62858860837503,1.0348904,1.252974,96.5975,0.01,3.8368903e-06,96.34048292868799,4562.197,0.0028507295
4999.906446243112,4999.9067,0.010019397,0.006643329556888939,100,500.0,6.377287e-07,0.9975656,1.0001277,4999.906446243112,0.006643329556888939,99.99994039539075,1.0000006,1.0020677,0.081057936,0.01,6.375673e-11,99.99994660107957,4579.096,0.009974383
