IterType,EpsThisIter,AvgDiscRet,VarVanillaIw,J,AvgRet,VarDiscRet,VarRet,MaxNormIw,BatchSize,ESSRenyi,VarJ,MaxVanillaIw,eRenyi2,MinVanillaIw,VarNormIw,VanillaAvgRet,Bound,MinNormIw,AvgNormIw,AvgEpLen,Delta,ESSClassic,AvgVanillaIw
1,100,-5.06895375081,200.923,23.7854,-5.06895375081,302.594969884,302.594969884,0.0447353,100,43.4442697754,1.34227,34.2015,2.3018,0.0909041,0.000343749,-5.06895375081,19.2493,0.000118902,0.01,500.0,0.4,22.7112174356,7.64529
,100,4.29328852812,14.4003,5.73864,-5.06895375081,35.6563735275,302.594969884,0.019264,200,50.5608667004,4.5271,11.0006,3.95563,0.0292385,4.416e-05,-5.06895375081,0.858731,5.12017e-05,0.01,500.0,0.4,69.5804763449,5.71046
1,100,3.30485156696,908.23,23.7673,3.30485156696,110.905221603,110.905221603,0.0438649,200,64.2758666135,1.8198,96.4924,3.11159,0.0464946,0.000187691,3.30485156696,20.038,2.11362e-05,0.005,500.0,0.4,23.6124646084,10.9988
2,100,-3.15094402176,,-3.15094,-3.15094402176,102.236409911,102.236409911,0.01,200,200.0,10.0605,1.0,1.0,1.0,3.50449e-18,-3.15094402176,-6.50741,0.01,0.01,500.0,0.4,100.0,1.0
,100,-5.4253911801,25.4612,-0.518997,3.30485156696,102.33138037,110.905221603,0.020238,300,36.433291604,14.5382,21.5079,8.23423,0.0103635,2.25434e-05,3.30485156696,-7.32949,9.75162e-06,0.005,500.0,0.4,105.417059524,5.31374
1,100,-12.8581152277,1172.09,23.3106,-12.8581152277,218.084382008,218.084382008,0.0432956,300,92.7655146672,3.82847,131.612,3.23396,0.0591302,0.00012684,-12.8581152277,18.1065,1.94517e-05,0.00333333,500.0,0.4,24.2373967412,10.1328
2,100,-3.6887045563,,-3.6887,-3.6887045563,61.1773711451,61.1773711451,0.01,300,300.0,7.78239,1.0,1.0,1.0,3.50449e-18,-3.6887045563,-5.7258,0.01,0.01,500.0,0.4,100.0,1.0
2,100,-9.51074029613,,-6.59972,-9.51074029613,173.213302316,173.213302316,0.005,300,300.0,11.1578,1.0,1.0,1.0,2.1793e-19,-9.51074029613,-9.98826,0.005,0.005,500.0,0.4,200.000000102,1.0
,100,-8.78359306446,11.5646,-8.54838,-12.8581152277,106.31955389,218.084382008,0.0156092,400,27.3819885273,12.8426,16.9118,14.6081,0.00759809,9.85168e-06,-12.8581152277,-19.123,7.01286e-06,0.00333333,500.0,0.4,159.261403082,3.61151
1,100,-9.20020346999,1668.78,23.3956,-9.20020346999,93.2436376442,93.2436376442,0.0435906,400,109.183760861,4.04698,179.392,3.66355,0.0187628,9.85323e-05,-9.20020346999,18.5988,4.5592e-06,0.0025,500.0,0.4,23.9152629793,10.2885
2,100,-1.14236744505,,-1.14237,-1.14236744505,26.5283500529,26.5283500529,0.01,400,400.0,5.12475,1.0,1.0,1.0,3.50449e-18,-1.14236744505,-2.8322,0.01,0.01,500.0,0.4,100.0,1.0
2,100,-3.98531176717,,-2.56384,-3.98531176717,67.7562287616,67.7562287616,0.005,400,400.0,6.97793,1.0,1.0,1.0,2.1793e-19,-3.98531176717,-4.70634,0.005,0.005,500.0,0.4,200.000000102,1.0
2,100,-0.372351760859,,-1.83334,-0.372351760859,28.398704812,28.398704812,0.00333333,400,400.0,6.54979,1.0,1.0,1.0,5.43914e-20,-0.372351760859,-3.58269,0.00333333,0.00333333,500.0,0.4,299.999969474,1.0
