eRenyi2,Delta,MaxVanillaIw,ESSClassic,MinVanillaIw,AvgDiscRet,AvgVanillaIw,VarNormIw,AvgEpLen,J,AvgRet,ESSRenyi,MaxNormIw,BatchSize,IterType,VanillaAvgRet,AvgNormIw,VarRet,VarVanillaIw,Bound,EpsThisIter,MinNormIw,VarJ,VarDiscRet
3.77067,0.2,5.6094,35.6823769869,6.32159e-11,-297.610369948,1.40294,0.000182071,366.19,-116.109,-297.610369948,26.5204845145,0.0399831,100,1,-297.610369948,0.01,24805.661666,3.58361,-278.118,100,4.50595e-13,114.942,24805.661666
1.48511,0.2,2.97747,62.1925682003,0.000334428,-165.474011625,0.976325,6.1405e-05,217.63,-110.791,-165.474011625,67.3350451099,0.0304967,100,1,-165.474011625,0.01,18440.9686057,0.585319,-212.461,100,3.42537e-06,111.557,18440.9686057
1.01086,0.2,1.1252,99.1024240072,0.693279,-110.455621404,0.992541,9.1485e-07,149.16,-109.567,-110.455621404,98.9257055523,0.0113366,100,1,-110.455621404,0.01,10868.4420895,0.00901252,-193.446,100,0.0069849,101.851,10868.4420895
1.04817,0.2,2.00853,94.4905228895,0.612642,-95.6086393704,1.04916,5.88961e-06,132.13,-91.4389,-95.6086393704,95.4040920021,0.0191441,100,1,-95.6086393704,0.01,7029.38422218,0.0648295,-176.852,100,0.00583934,73.7337,7029.38422218
1.06926,0.2,1.49683,92.8478740977,0.336253,-102.928680766,0.992431,7.78088e-06,140.55,-96.6698,-102.928680766,93.5227168588,0.0150824,100,1,-102.928680766,0.01,9641.86296312,0.0766355,-182.938,100,0.00338817,91.8293,9641.86296312
1.02715,0.2,1.20879,97.3275014109,0.306649,-86.1648718134,0.994983,2.77361e-06,120.92,-83.4253,-86.1648718134,97.3567040575,0.0121488,100,1,-86.1648718134,0.01,4810.5604477,0.0274585,-167.977,100,0.00308195,59.3045,4810.5604477
1.05948,0.2,2.28489,93.9944920258,0.312746,-110.150298927,1.03669,6.45377e-06,148.69,-104.119,-110.150298927,94.3860887599,0.0220403,100,1,-110.150298927,0.01,10815.903948,0.0693599,-190.0,100,0.00301679,91.94,10815.903948
1.04758,0.2,1.26747,95.1114427514,0.2026,-79.5274133939,1.0157,5.19176e-06,113.38,-75.8192,-79.5274133939,95.4585376056,0.0124788,100,1,-79.5274133939,0.01,2628.36112343,0.0535603,-161.206,100,0.00199469,36.8382,2628.36112343
1.01534,0.2,1.74075,98.5473568629,0.673259,-95.6768073834,1.01334,1.48897e-06,131.23,-94.3188,-95.6768073834,98.4894679794,0.0171784,100,1,-95.6768073834,0.01,8036.25062547,0.0152896,-178.385,100,0.00664396,84.6959,8036.25062547
1.06256,0.2,1.35742,93.9345258742,0.311558,-92.6357762279,1.00889,6.52234e-06,126.92,-87.2384,-92.6357762279,94.1124625241,0.0134545,100,1,-92.6357762279,0.01,7058.79820053,0.0663884,-173.236,100,0.00308812,74.9992,7058.79820053
