eRenyi2,AvgDiscRet,VanillaAvgRet,VarJ,BatchSize,MinVanillaIw,MinNormIw,ESSRenyi,VarNormIw,VarRet,ESSClassic,VarDiscRet,AvgRet,AvgVanillaIw,MaxVanillaIw,Bound,AvgNormIw,J,VarVanillaIw,MaxNormIw,AvgEpLen
22.01335,72.25414295235169,72.25414295235169,560.81,100,1.7135711e-12,6.9295007e-15,4.542698050095591,0.004465319,3264.8257332480625,2.2120639437945524,3264.8257332480625,72.25414295235169,2.4728637,161.47566,153.83621,0.01,307.79456,273.0567,0.6529905,8.23
25.703148,147.8205711399554,147.8205711399554,1156.6183,100,,,3.890574043110595,0.0067767776,20418.197229411162,1.4686426633533405,20418.197229411162,147.8205711399554,1.8911303,155.62341,439.7727,0.01,866.38617,242.36285,0.82291216,15.79
13.606976,330.266289095525,330.266289095525,1102.4006,100,2.2459154e-10,1.3203063e-12,7.34917172392274,0.0024727604,84019.13671212363,3.9245961376006364,84019.13671212363,330.266289095525,1.7010564,70.886215,665.5399,0.01,1065.9937,71.55162,0.41671878,34.04
7.1472282,771.2799253454901,771.2799253454901,2299.0247,100,1.3738259e-09,8.379717e-12,13.991437887321913,0.003194546,157173.98701740932,3.0650393616083975,157173.98701740932,771.2799253454901,1.6394658,92.39778,827.72754,0.01,1394.6954,85.86454,0.5635847,78.15
1.5244011,925.2451431701852,925.2451431701852,442.99442,100,0.054319043,0.00044985267,65.59953417384008,3.983395e-05,171795.1911703567,71.71766988437673,171795.1911703567,925.2451431701852,1.2074852,3.0093107,792.9214,0.010000002,1028.7898,0.5807872,0.024922132,93.55
3.9327943,921.1327544891445,921.1327544891445,691.78235,100,6.6941044e-09,5.7159603e-11,25.427213209067897,0.00033819256,156335.5162576674,22.998519112778304,156335.5162576674,921.1327544891445,1.171125,11.507142,919.73663,0.010000002,1238.4734,4.6384263,0.09825716,93.14
2.163147,1035.7521281140744,1035.7521281140744,654.5228,100,0.0003530354,3.4852267e-06,46.22894387855873,9.68685e-05,165268.93434334226,51.04650578241523,165268.93434334226,1035.7521281140744,1.0129482,4.9023857,886.38904,0.009999999,1184.6931,0.9939327,0.048397202,104.6
17.512293,1128.2539526089092,1128.2539526089092,1691.1086,100,6.4941365e-29,7.666306e-31,5.710274536199754,0.00283255,154148.4894322843,3.443260223987738,154148.4894322843,1128.2539526089092,0.84710115,33.046818,1155.133,0.01,2039.1271,20.325823,0.39011654,113.85
1.8128831,1223.5130198900076,1223.5130198900076,907.80396,100,0.0026423247,2.5984533e-05,55.16075353544414,8.6534936e-05,234742.86315405843,53.85911661719557,234742.86315405843,1223.5130198900076,1.0168836,4.924017,979.88184,0.010000002,1366.2875,0.89481646,0.04842262,123.38
1.1395248,1031.4609902171937,1031.4609902171937,393.07172,100,0.128861,0.0012456453,87.75587724566527,1.5451506e-05,147338.20902487004,86.7325142336086,147338.20902487004,1031.4609902171937,1.0344918,1.8384728,871.05615,0.010000002,1050.7334,0.16535787,0.017771749,104.18
