MinNormIw,MaxNormIw,VarVanillaIw,VanillaAvgRet,MaxVanillaIw,AvgRet,VarJ,SamplesThisIter,delta,EpsThisIter,Bound,MinVanillaIw,J,AvgNormIw,AvgEpLen,IterType,AvgVanillaIw,ESSClassic,ESSRenyi,AvgDiscRet,VarRet,VarDiscRet,VarNormIw,BatchSize,renyi2
,0.0044717,409.792,-383.993851538,297.556,-383.993851538,3006.23,50000,0.2,106,-395.573,,-45654.2,5.24109e-05,471.698113208,1,3.48753,0.424571676235,nan,-383.993851538,6889.6567524,6889.6567524,9.25487e-08,100,nan
2.29224e-10,0.000605513,0.828039,-392.367075951,11.9383,-392.367075951,2880.75,50000,0.2,104,-446.255,4.51938e-06,-64285.8,5.34188e-05,480.769230769,1,1.05321,0.548077038224,nan,-392.367075951,4431.43211996,4431.43211996,2.13016e-09,100,nan
2.82247e-36,0.00427765,38.0633,-370.134588424,152.516,-370.134588424,2670.87,50000,0.2,108,-362.088,1.00633e-31,-47929.7,5.14403e-05,462.962962963,1,1.83406,1.20950619953,nan,-370.134588424,8279.08974446,8279.08974446,2.99425e-08,100,nan
,0.00352727,113.464,-364.786445746,204.66,-364.786445746,2205.94,50000,0.2,110,-337.326,,-45676.7,5.0505e-05,454.545454545,1,2.93042,2.59620954714,nan,-364.786445746,10129.3962927,10129.3962927,3.37029e-08,100,nan
3.08125e-05,0.000134856,0.0374436,-402.392079399,2.44884,-402.392079399,754.836,50000,0.2,101,-481.745,0.559521,-71897.5,5.50055e-05,495.04950495,1,0.998839,0.618584619106,3.0975487271,-402.392079399,1345.44235274,1345.44235274,1.13553e-10,100,3.47456
5.9538e-20,0.00434871,22.7557,-379.528710558,130.332,-379.528710558,3053.07,50000,0.2,106,-398.017,1.78437e-15,-54850.1,5.24109e-05,471.698113208,1,1.57077,1.69655283704,nan,-379.528710558,7099.06563899,7099.06563899,2.53342e-08,100,nan
,0.00697317,191.589,-382.40929066,360.068,-382.40929066,3156.85,50000,0.2,107,-391.025,,-47747.7,5.19211e-05,467.289719626,1,2.681,1.31025847686,nan,-382.40929066,7955.57047754,7955.57047754,7.18559e-08,100,nan
,0.00125816,5.43138,-386.270068697,28.415,-386.270068697,3746.64,50000,0.2,105,-408.926,,-54219.5,5.291e-05,476.19047619,1,1.19495,0.409144495276,nan,-386.270068697,6343.25579306,6343.25579306,1.06485e-08,100,nan
3.22987e-15,0.00268287,12.1297,-375.45326738,72.9649,-375.45326738,2473.08,50000,0.2,106,-395.273,8.78415e-11,-55521.8,5.24109e-05,471.698113208,1,1.4254,1.40887723837,nan,-375.45326738,6638.2126169,6638.2126169,1.63991e-08,100,nan
,0.00362838,132.499,-357.73135481,214.109,-357.73135481,2363.84,50000,0.2,112,-305.924,,-41544.2,4.96032e-05,446.428571429,1,2.92706,2.11557289943,nan,-357.73135481,12268.3741717,12268.3741717,3.80512e-08,100,nan
,0.00224828,33.9115,-372.857016972,82.9188,-372.857016972,2794.77,50000,0.2,108,-353.363,,-46730.2,5.14403e-05,462.962962963,1,1.89717,0.664726735497,nan,-372.857016972,9228.82736924,9228.82736924,2.49311e-08,100,nan
3.76236e-28,0.00184824,33.7272,-361.188760075,73.2773,-361.188760075,2270.33,50000,0.2,111,-321.153,1.49167e-23,-45348.0,5.005e-05,450.45045045,1,1.98434,1.22489113419,nan,-361.188760075,11051.9784295,11051.9784295,2.14564e-08,100,nan
3.05483e-42,0.00302165,7.38236,-376.594868423,74.0382,-376.594868423,2344.96,50000,0.2,107,-386.137,7.486e-38,-57805.9,5.19211e-05,467.289719626,1,1.2722,1.69380327895,nan,-376.594868423,7359.1682456,7359.1682456,1.22963e-08,100,nan
8.6432e-09,0.000646872,1.32731,-391.679736614,13.5336,-391.679736614,3024.52,50000,0.2,104,-441.859,0.00018083,-63158.7,5.34188e-05,480.769230769,1,1.11761,0.603758753339,nan,-391.679736614,4892.11883039,4892.11883039,3.03236e-09,100,nan
1.83275e-08,0.000543074,1.31423,-391.787929988,11.1204,-391.787929988,3074.33,50000,0.2,104,-439.857,0.000375288,-62483.5,5.34188e-05,480.769230769,1,1.09385,0.502813966929,nan,-391.787929988,4504.28464805,4504.28464805,3.13433e-09,100,nan
4.24101e-33,0.00137177,15.9284,-370.538908495,46.2006,-370.538908495,3158.24,50000,0.2,109,-372.674,1.42835e-28,-51113.8,5.09684e-05,458.71559633,1,1.7166,0.729023514466,nan,-370.538908495,9390.79466954,9390.79466954,1.40423e-08,100,nan
,0.00233717,36.1595,-372.094821751,91.8164,-372.094821751,3094.59,50000,0.2,108,-368.075,,-49134.3,5.14403e-05,462.962962963,1,2.02085,0.968349322367,nan,-372.094821751,9197.4470745,9197.4470745,2.34295e-08,100,nan
3.37404e-13,0.00258401,28.6771,-371.584248211,91.7464,-371.584248211,2237.57,50000,0.2,108,-354.005,1.19797e-08,-48353.6,5.14403e-05,462.962962963,1,1.82641,1.03606418545,nan,-371.584248211,8647.78560654,8647.78560654,2.2748e-08,100,nan
8.17496e-11,0.00143227,5.57732,-380.264382264,35.6461,-380.264382264,3283.61,50000,0.2,106,-407.242,2.03457e-06,-55837.1,5.24109e-05,471.698113208,1,1.30439,0.85068882409,nan,-380.264382264,6717.35679384,6717.35679384,9.00435e-09,100,nan
2.42476e-21,0.00294293,5.03703,-385.777595227,68.9869,-385.777595227,3600.68,50000,0.2,105,-418.525,5.68404e-17,-57478.9,5.29101e-05,476.19047619,1,1.2403,2.03092624618,nan,-385.777595227,5814.50983586,5814.50983586,9.16642e-09,100,nan
3.20686e-23,0.00229954,8.8086,-375.984302919,62.3849,-375.984302919,2706.49,50000,0.2,106,-399.389,8.69998e-19,-54301.9,5.24109e-05,471.698113208,1,1.42187,1.47641651703,nan,-375.984302919,6440.13517582,6440.13517582,1.19682e-08,100,nan
2.7662e-07,0.00115493,3.36256,-386.485428517,25.976,-386.485428517,3010.63,50000,0.2,105,-421.277,0.00622156,-58693.0,5.29101e-05,476.19047619,1,1.19002,0.681432237439,nan,-386.485428517,5669.14696909,5669.14696909,6.64723e-09,100,nan
,0.0103057,511.008,-379.74092051,735.975,-379.74092051,2029.04,50000,0.2,107,-363.617,,-47093.1,5.19211e-05,467.289719626,1,3.7079,4.15214217102,nan,-379.74092051,8238.98293591,8238.98293591,1.00198e-07,100,nan
5.37177e-06,0.000254948,0.247205,-394.673008979,4.89424,-394.673008979,1869.84,50000,0.2,102,-464.156,0.103122,-68438.4,5.44662e-05,490.196078431,1,1.04559,0.634290341587,nan,-394.673008979,2857.84364595,2857.84364595,6.70798e-10,100,nan
,0.00151383,15.7242,-374.381323109,47.9743,-374.381323109,2475.11,50000,0.2,108,-376.056,,-51617.2,5.14403e-05,462.962962963,1,1.63018,0.757260614871,nan,-374.381323109,8285.29582789,8285.29582789,1.56569e-08,100,nan
3.23014e-27,0.00436319,86.597,-374.687465923,194.515,-374.687465923,2506.5,50000,0.2,108,-347.082,1.44002e-22,-49161.0,5.14403e-05,462.962962963,1,2.29325,1.92259432685,nan,-374.687465923,9305.55387636,9305.55387636,4.35719e-08,100,nan
1.93847e-09,0.00259514,29.188,-378.136494792,90.3915,-378.136494792,2515.71,50000,0.2,107,-380.948,6.75189e-05,-51106.1,5.19211e-05,467.289719626,1,1.80847,1.1592298382,nan,-378.136494792,7932.49666733,7932.49666733,2.40587e-08,100,nan
5.35759e-18,0.00194666,45.4684,-356.192148128,87.2875,-356.192148128,2011.7,50000,0.2,112,-306.914,2.40233e-13,-44630.8,4.96032e-05,446.428571429,1,2.22419,1.34867786359,nan,-356.192148128,12157.133534,12157.133534,2.26143e-08,100,nan
