MaxVanillaIw,BatchSize,VarJ,MinVanillaIw,AvgRet,AvgDiscRet,VanillaAvgRet,EpsThisIter,ESSClassic,Delta,Bound,AvgVanillaIw,VarRet,VarVanillaIw,MaxNormIw,MinNormIw,J,IterType,eRenyi2,VarNormIw,VarDiscRet,AvgNormIw,ESSRenyi,AvgEpLen
2.70837,100,37.1391,0.0342258,-126.939065757,-126.939065757,-126.939065757,100,75.9998600114,0.8,-144.859,0.933818,4609.5786212,0.278157,0.0290031,0.000366514,-116.474,1,1.35804,3.18982e-05,4609.5786212,0.01,73.6356577212,47.82
1.75401,100,8.59299,0.124878,-114.18772141,-114.18772141,-114.18772141,100,85.2808135175,0.8,-129.16,1.0475,1045.21373724,0.191296,0.0167447,0.00119215,-109.265,1,1.1788,1.7434e-05,1045.21373724,0.01,84.8323852575,25.86
1.61602,100,3.51604,0.171931,-108.414755903,-108.414755903,-108.414755903,100,92.7590740591,0.8,-114.734,0.999187,22.0279009689,0.0787221,0.0161733,0.00172071,-107.853,1,1.07101,7.88502e-06,22.0279009689,0.01,93.3695713392,17.9
1.66775,100,4.09123,0.388506,-108.344758758,-108.344758758,-108.344758758,100,92.4598115905,0.8,-114.426,0.97629,21.1311640091,0.0785148,0.0170825,0.00397941,-107.734,1,1.0876,8.23747e-06,21.1311640091,0.01,91.9456192261,18.02
1.33744,100,4.00471,0.331291,-107.456262418,-107.456262418,-107.456262418,100,97.7183349883,0.8,-113.165,1.00081,14.3672390461,0.0236234,0.0133636,0.00331024,-107.288,1,1.02561,2.35853e-06,14.3672390461,0.01,97.5028503104,17.93
1.44822,100,5.86787,0.261317,-108.417733414,-108.417733414,-108.417733414,100,92.0069263905,0.8,-118.577,0.938157,115.931442684,0.0772343,0.0154369,0.00278542,-107.669,1,1.06975,8.77524e-06,115.931442684,0.01,93.4794038167,19.01
1.42415,100,2.92927,0.613065,-106.922429502,-106.922429502,-106.922429502,100,98.3312738548,0.8,-112.532,1.00886,7.25417167733,0.0174471,0.0141165,0.00607684,-106.798,1,1.02398,1.71421e-06,7.25417167733,0.01,97.6585532587,16.85
1.31745,100,4.64839,0.119511,-110.369452498,-110.369452498,-110.369452498,100,96.4763098916,0.8,-130.673,1.04604,1227.25173146,0.0403684,0.0125946,0.00114251,-107.286,1,1.05069,3.68927e-06,1227.25173146,0.01,95.1753087669,22.31
1.63369,100,3.26528,0.322487,-107.486298404,-107.486298404,-107.486298404,100,92.1895014633,0.8,-113.042,1.00325,11.4591282791,0.0861356,0.0162839,0.00321442,-106.957,1,1.08792,8.5578e-06,11.4591282791,0.01,91.9185678924,17.71
1.33916,100,2.72705,0.453263,-107.359682211,-107.359682211,-107.359682211,100,97.4810890909,0.8,-113.077,1.00398,8.26081055963,0.0263092,0.0133386,0.00451467,-107.183,1,1.03139,2.61011e-06,8.26081055963,0.01,96.9569983882,17.05
1.81083,100,3.33543,0.414885,-107.107862209,-107.107862209,-107.107862209,100,95.7301302125,0.8,-112.951,1.03399,8.9289599822,0.048169,0.017513,0.00401245,-106.879,1,1.03981,4.50538e-06,8.9289599822,0.01,96.1710243535,20.53
2.40259,100,2.70562,0.583203,-107.087865912,-107.087865912,-107.087865912,100,95.5322017302,0.8,-112.829,1.01841,7.49585359365,0.0489944,0.0235917,0.00572663,-106.972,1,1.02232,4.72395e-06,7.49585359365,0.01,97.8165107853,17.22
1.46051,100,2.87071,0.637622,-106.459204866,-106.459204866,-106.459204866,100,98.0666540575,0.8,-112.007,0.990678,7.52720488919,0.0195443,0.0147425,0.00643622,-106.316,1,1.0237,1.99139e-06,7.52720488919,0.01,97.6850166028,18.81
1.39403,100,2.50273,0.680764,-107.201088682,-107.201088682,-107.201088682,100,97.8842991058,0.8,-112.997,1.02959,6.94190857525,0.0231437,0.0135397,0.00661199,-107.078,1,1.02066,2.18325e-06,6.94190857525,0.01,97.9753806228,17.44
1.15718,100,2.4068,0.581864,-107.24697023,-107.24697023,-107.24697023,100,98.6801141646,0.8,-113.03,0.997163,6.00367626699,0.0134338,0.0116047,0.0058352,-107.166,1,1.01317,1.35103e-06,6.00367626699,0.01,98.700026144,17.61
1.4847,100,3.0202,0.815683,-105.969024315,-105.969024315,-105.969024315,100,98.0225473852,0.8,-111.473,1.00194,7.04034207685,0.0204565,0.0148182,0.00814102,-105.838,1,1.02339,2.03773e-06,7.04034207685,0.01,97.7143397631,19.56
1.34778,100,3.41742,0.289182,-107.651264488,-107.651264488,-107.651264488,100,96.2884355183,0.8,-114.283,0.991771,23.586674987,0.0382976,0.0135897,0.00291581,-107.33,1,1.03574,3.89358e-06,23.586674987,0.01,96.5493364959,20.07
2.21628,100,2.9995,0.308936,-107.127472477,-107.127472477,-107.127472477,100,92.5834832266,0.8,-112.863,0.994776,7.1970577898,0.080072,0.0222792,0.00310558,-106.841,1,1.05333,8.09152e-06,7.1970577898,0.01,94.9366812121,20.63
1.33195,100,4.10029,0.678567,-106.356279001,-106.356279001,-106.356279001,100,98.675319916,0.8,-112.05,0.990815,12.8957782987,0.0133121,0.013443,0.00684857,-106.261,1,1.01689,1.356e-06,12.8957782987,0.01,98.3386221094,18.46
1.64437,100,3.29618,0.708726,-106.922108344,-106.922108344,-106.922108344,100,97.4287773683,0.8,-112.488,1.04079,8.5936406556,0.0288766,0.0157991,0.00680947,-106.786,1,1.02541,2.66573e-06,8.5936406556,0.01,97.5219841612,20.05
2.40158,100,3.72863,0.684044,-106.22705532,-106.22705532,-106.22705532,100,95.1199922243,0.8,-111.801,1.01352,10.6798612913,0.0532328,0.0236954,0.00674918,-105.972,1,1.04475,5.18219e-06,10.6798612913,0.01,95.716811962,20.74
2.09221,100,5.78169,0.465354,-106.43804461,-106.43804461,-106.43804461,100,92.4835515088,0.8,-111.971,0.957726,16.5521112793,0.0752999,0.0218456,0.00485895,-106.117,1,1.06744,8.20942e-06,16.5521112793,0.01,93.6823705416,20.55
