MaxVanillaIw,VarJ,ESSClassic,AvgEpLen,Bound,MinVanillaIw,J,VarVanillaIw,VanillaAvgRet,EpsThisIter,AvgDiscRet,eRenyi2,MaxNormIw,Delta,BatchSize,ESSRenyi,VarDiscRet,VarRet,AvgNormIw,VarNormIw,AvgRet,AvgVanillaIw,MinNormIw,IterType
160.128,704.753,1.96836405599,17.6,279.293,1.69475e-09,469.657,258.771,161.420861883,100,161.420861883,11.3307,0.706027,0.5,100,8.82561280748,10740.5379436,10740.5379436,0.01,0.00503067,161.420861883,2.26801,7.4724e-12,1
5.90058e+08,0.182875,1.00031760732,17.6,-1.49527e+07,0.00624502,222.459,3.48168e+15,161.420861883,100,203.992538831,9.25173e+10,0.999841,0.5,200,2.16175703627e-09,11663.325184,10740.5379436,0.01,0.0099968,161.420861883,5.90152e+06,1.05821e-11,
580.628,2326.09,1.88912366779,17.68,486.283,2.62203e-08,791.073,1690.13,162.13446394,100,162.13446394,18.1275,0.724969,0.5,200,11.0329571632,19530.1455591,19530.1455591,0.005,0.0026349,162.13446394,4.0045,3.27385e-11,1
1.0,137.617,100.0,25.1,141.526,1.0,231.414,,231.414280483,100,231.414280483,1.0,0.01,0.5,200,200.0,19129.6595984,19129.6595984,0.01,3.50449e-18,231.414280483,1.0,0.01,2
3.81385e+07,19.1563,1.05895184093,17.68,-inf,0.00172227,230.124,7.27327e+12,162.13446394,100,212.516559614,1.02643e-06,0.971585,0.5,300,292274382.652,17045.3319224,19530.1455591,0.005,0.00472025,162.13446394,196269.0,4.38753e-11,
949.347,2795.99,1.9007903318,17.22,493.104,2.15394e-09,793.582,3013.1,157.823046459,100,157.823046459,26.4273,0.723162,0.5,300,11.3518780214,9668.45313978,9668.45313978,0.00333333,0.00174837,157.823046459,4.37591,1.64076e-12,1
1.0,196.756,100.0,22.78,50.8192,1.0,209.784,,209.783805281,100,209.783805281,1.0,0.01,0.5,300,300.0,39103.8055167,39103.8055167,0.01,3.50449e-18,209.783805281,1.0,0.01,2
1.0,170.349,200.000000102,23.01,98.3838,1.0,210.789,,211.793666244,100,211.793666244,1.0,0.005,0.5,300,300.0,19518.2466429,19518.2466429,0.005,2.1793e-19,211.793666244,1.0,0.005,2
4.64265e+08,40.3321,1.87286906001,17.22,-inf,0.00105336,65.0246,8.73233e+14,157.823046459,100,215.7468027,nan,0.661839,0.5,400,nan,22741.4489854,9668.45313978,0.00333333,0.0017746,157.823046459,2.33826e+06,1.50162e-12,
1066.03,3312.85,1.9953155598,15.19,488.681,7.9068e-13,781.691,2850.66,138.866138444,100,138.866138444,33.5068,0.705858,0.5,400,11.9378883161,9773.47665231,9773.47665231,0.0025,0.00124981,138.866138444,3.77564,5.23541e-16,1
