AvgDiscRet,IterType,MinVanillaIw,BatchSize,VarNormIw,AvgNormIw,AvgEpLen,ESSClassic,J,VarRet,VarJ,EpsThisIter,AvgRet,MaxNormIw,MinNormIw,SamplesThisIter,Bound,ESSRenyi,delta,VarDiscRet,VarVanillaIw,MaxVanillaIw,AvgVanillaIw,VanillaAvgRet,renyi2
-180.30945172,1,,100,1.26231e-05,5.40541e-05,500.0,3.99510354126,62380.2,36853.590152,937.589,100,-180.30945172,0.241497,,50000,121.565,nan,0.5,36853.590152,7.43237e+33,5.85992e+18,1.31162e+15,-180.30945172,nan
-223.789921661,1,1.32031e-08,100,1.36547e-08,5.40541e-05,500.0,0.832612680292,3620.94,41335.1491256,2471.43,100,-223.789921661,0.00127213,2.34685e-13,50000,-113.317,nan,0.5,41335.1491256,43.218,71.5689,3.04102,-223.789921661,nan
-196.438766768,1,3.45914e-09,100,1.14228e-08,5.40541e-05,500.0,1.12189350828,-488.849,29824.8995962,949.283,100,-196.438766768,0.00100892,6.40976e-14,50000,-104.426,nan,0.5,29824.8995962,33.268,54.4484,2.91712,-196.438766768,nan
-149.345248515,1,7.29548e-22,100,2.48679e-08,5.40541e-05,500.0,0.511880714499,26067.5,40295.0373104,1677.2,100,-149.345248515,0.00240904,6.46949e-27,50000,22.7031,nan,0.5,40295.0373104,316.233,271.661,6.09554,-149.345248515,nan
-120.10532861,1,3.55837e-12,100,1.58801e-08,5.40541e-05,500.0,0.569698880931,26717.4,47766.9922622,1637.05,100,-120.10532861,0.00107897,5.14329e-17,50000,25.5427,nan,0.5,47766.9922622,76.0102,74.6485,3.73971,-120.10532861,nan
11.3236586663,1,,100,9.18453e-08,5.40541e-05,500.0,2.03587521557,33123.4,13711.0811236,634.099,100,11.3236586663,0.0136012,,50000,128.476,nan,0.5,13711.0811236,4185.4,2903.46,11.539,11.3236586663,nan
-43.0112723464,1,,100,3.59134e-06,5.40541e-05,500.0,2.76038949276,56605.9,29177.1323934,2187.73,100,-43.0112723464,0.107103,,50000,159.312,nan,0.5,29177.1323934,4.06967e+08,1.14013e+06,575.413,-43.0112723464,nan
-47.7779078234,1,1.07375e-07,100,1.23206e-08,5.4054e-05,500.0,0.712270232243,25960.5,33632.5428095,1122.19,100,-47.7779078234,0.000885447,1.94714e-12,50000,48.7524,nan,0.5,33632.5428095,37.4663,48.8279,2.9808,-47.7779078234,nan
-119.430026622,1,1.42383e-27,100,2.29826e-08,5.4054e-05,500.0,0.586873427158,23971.2,31223.4046586,830.765,100,-119.430026622,0.00121789,1.15336e-32,50000,14.6602,nan,0.5,31223.4046586,350.26,150.351,6.67305,-119.430026622,nan
-40.2606345966,1,1.00929e-12,100,1.69879e-08,5.40541e-05,500.0,1.44248433872,25004.3,20531.6860409,597.716,100,-40.2606345966,0.00125918,1.11867e-17,50000,70.0228,nan,0.5,20531.6860409,138.284,113.607,4.8769,-40.2606345966,nan
-9.00416428915,1,,100,2.19681e-07,5.4054e-05,500.0,6.26087108572,42912.7,19377.3299016,1239.24,100,-9.00416428915,0.0220636,,50000,112.376,nan,0.5,19377.3299016,20814.8,6791.51,16.6386,-9.00416428915,nan
-79.6493224579,1,,100,9.63833e-06,5.40541e-05,500.0,3.97127649049,nan,26749.6419605,nan,100,-79.6493224579,0.2104,,50000,nan,nan,0.5,26749.6419605,7.43547e+12,1.84799e+08,47476.8,-79.6493224579,nan
-82.5838852502,1,,100,4.36277e-06,5.4054e-05,500.0,4.00001472252,69592.0,45263.9285143,1385.58,100,-82.5838852502,0.138748,,50000,244.867,nan,0.5,45263.9285143,3.77441e+08,1.29053e+06,502.772,-82.5838852502,nan
-150.426201929,1,8.12099e-11,100,3.64879e-08,5.40541e-05,500.0,5.01902145268,8749.71,21451.7619109,1523.67,100,-150.426201929,0.00662606,8.54687e-16,50000,-55.4602,nan,0.5,21451.7619109,329.421,629.589,5.13606,-150.426201929,nan
-153.224192936,1,2.51145e-08,100,1.80487e-08,5.40541e-05,500.0,0.524901756529,11655.3,28821.0133041,1319.82,100,-153.224192936,0.00102126,3.27679e-13,50000,-54.9616,nan,0.5,28821.0133041,106.023,78.2727,4.1429,-153.224192936,nan
-64.3937106176,1,,100,6.27298e-06,5.40541e-05,500.0,2.67855112089,75900.3,33791.4420533,1104.68,100,-64.3937106176,0.139413,,50000,118.42,nan,0.5,33791.4420533,inf,4.58737e+21,1.77865e+18,-64.3937106176,nan
-45.9504459842,1,1.30454e-10,100,5.76595e-06,5.40541e-05,500.0,2.8712571581,66089.7,44572.3856765,2421.22,100,-45.9504459842,0.138387,1.47351e-17,50000,175.673,nan,0.5,44572.3856765,4.51936e+08,1.22517e+06,478.554,-45.9504459842,nan
-3.85886884293,1,,100,8.88259e-06,5.40541e-05,500.0,3.88327353927,nan,13957.8193238,nan,100,-3.85886884293,0.199735,,50000,nan,nan,0.5,13957.8193238,inf,2.92439e+22,7.91424e+18,-3.85886884293,nan
-40.4624813118,1,,100,5.53218e-06,5.40541e-05,500.0,2.85473769483,83783.1,34029.5252778,1853.92,100,-40.4624813118,0.135164,,50000,250.313,nan,0.5,34029.5252778,4.26304e+17,3.75207e+10,1.50051e+07,-40.4624813118,nan
-70.5364663452,1,5.52703e-19,100,4.33972e-08,5.4054e-05,500.0,1.35791841908,46860.9,51934.438985,1520.09,100,-70.5364663452,0.00768641,3.41936e-24,50000,98.027,nan,0.5,51934.438985,1133.85,1242.43,8.73726,-70.5364663452,nan
