MaxVanillaIw,MinNormIw,AvgNormIw,MinVanillaIw,AvgDiscRet,ESSRenyi,VarJ,AvgVanillaIw,VarDiscRet,BatchSize,AvgRet,VarNormIw,Bound,ESSClassic,MaxNormIw,eRenyi2,AvgEpLen,VarVanillaIw,J,VarRet
3.4777296,1.7433207e-14,0.01,1.9516526e-12,-1704.5819581729843,40.065942577075496,169.3995,1.1195029,4553425.762000742,100,-1704.5819581729843,0.000120355726,-839.15204,45.63039844365094,0.031064946,2.4958854,200.0,1.5084025,-73.28838,4553425.762000742
1.2016828,0.0030379444,0.010000002,0.3077582,-58.09387009076361,95.16627137937755,100.475876,1.0130476,98535.74163062601,100,-58.09387009076361,5.7091916e-06,-520.69653,94.65026772676795,0.011862057,1.0507925,200.0,0.05859145,-26.284746,98535.74163062601
1.2135974,0.0017942097,0.010000002,0.17560977,-67.17691812286184,94.74468282879347,75.668434,0.97875834,152836.6527720337,100,-67.17691812286184,7.652246e-06,-496.69525,92.95777058668088,0.012399358,1.0554682,200.0,0.073306054,-21.336702,152836.6527720337
1.006114,0.009751534,0.009999999,0.97488576,-9.352702953382737,99.99619736826891,8.348396,0.9997256,70.78293730558859,100,-9.352702953382737,3.8745624e-09,-460.0174,99.99617291820164,0.010063902,1.000038,200.0,3.8724447e-05,-9.3348465,70.78293730558859
1.0041094,0.009718596,0.01,0.9720067,-10.867924759226236,99.99669801171432,9.009018,1.0001513,82.64315574048206,100,-10.867924759226236,3.6137546e-09,-484.00754,99.99640338164919,0.0100395745,1.000033,200.0,3.6148496e-05,-10.851545,82.64315574048206
1.0047734,0.009766246,0.009999998,0.97698665,-10.543189391504384,99.99662649091519,8.961509,1.0003707,81.60102766804631,100,-10.543189391504384,3.308947e-09,-490.78433,99.99674353531246,0.01004401,1.0000337,200.0,3.3114018e-05,-10.527565,81.60102766804631
1.0036813,0.0098391725,0.010000002,0.9842082,-9.677678027826145,99.99817613113545,8.916682,1.0002958,80.57384866956006,100,-9.677678027826145,1.708133e-09,-491.9925,99.99829916968403,0.010033846,1.0000182,200.0,1.709142e-05,-9.669387,80.57384866956006
1.0059614,0.009703053,0.01,0.96952575,-11.629510240721638,99.99537489349143,9.548958,0.99919665,92.66601885205851,100,-11.629510240721638,5.154845e-09,-488.59045,99.99488439203279,0.010067702,1.0000463,200.0,5.1465588e-05,-11.606757,92.66601885205851
1.0071867,0.009636657,0.01,0.96346277,-9.548924080837317,99.99535105384457,9.136651,0.9997894,85.00639275384775,100,-9.548924080837317,6.4222387e-09,-487.25662,99.99364749400713,0.010073988,1.0000465,200.0,6.419542e-05,-9.526103,85.00639275384775
1.0133569,0.009833153,0.010000002,0.98342764,-10.004351146367341,99.99657881043927,8.728865,1.0001142,77.23323356429114,100,-10.004351146367341,3.5634002e-09,-480.29068,99.99644520293705,0.010132412,1.0000342,200.0,3.564217e-05,-9.988502,77.23323356429114
1.0034168,0.00987701,0.01,0.9875422,-10.999803251557278,99.99846222381271,9.41918,0.9998392,89.78522712340536,100,-10.999803251557278,1.3934057e-09,-484.08664,99.99863794793237,0.010035782,1.0000154,200.0,1.3929566e-05,-10.992149,89.78522712340536
1.007353,0.009403391,0.01,0.93784076,-10.561258431444687,99.98941533555771,10.289547,0.9973431,109.54835014131454,100,-10.561258431444687,1.4185541e-08,-488.4596,99.98596041970208,0.010100365,1.0001059,200.0,0.00014110275,-10.510236,109.54835014131454
1.0073398,0.009409928,0.01,0.9392066,-10.729216853208118,99.98947492762076,9.043796,0.99810183,83.52960659684656,100,-10.729216853208118,1.8499424e-08,-488.10034,99.98169536291773,0.010092556,1.0001053,200.0,0.00018429257,-10.679094,83.52960659684656
