AvgVanillaIw,eRenyi2,EpsThisIter,AvgRet,VarJ,ESSClassic,VanillaAvgRet,AvgNormIw,Bound,VarNormIw,AvgEpLen,IterType,MaxNormIw,MaxVanillaIw,MinVanillaIw,VarVanillaIw,Delta,ESSRenyi,BatchSize,VarDiscRet,J,VarRet,AvgDiscRet,MinNormIw
1.45891,4.74586,100,-316.368276557,115.61,25.7870274744,-316.368276557,0.01,-215.296,0.000290699,388.84,1,0.0676855,9.87471,1.7301e-14,6.1873,0.4,21.0709813533,100,22064.8357928,-104.0,22064.8357928,-316.368276557,1.18589e-16
0.990522,1.36826,100,-100.312369087,37.213,71.0896135841,-100.312369087,0.01,-136.558,4.10783e-05,138.52,1,0.0220883,2.1879,0.00585891,0.403033,0.4,73.0855551312,100,6625.97168129,-76.7998,6625.97168129,-100.312369087,5.91497e-05
0.993877,1.15051,100,-88.9089894833,44.1346,85.2244837543,-88.9089894833,0.01,-134.364,1.75123e-05,124.37,1,0.0194006,1.92819,0.0474358,0.172985,0.4,86.9176998361,100,4748.09194582,-79.5646,4748.09194582,-88.9089894833,0.00047728
0.963889,1.14251,100,-81.579063482,37.5707,87.2809378863,-81.579063482,0.01,-129.33,1.47198e-05,114.88,1,0.0166781,1.60758,0.131831,0.136759,0.4,87.5269471743,100,3744.9616642,-74.7217,3744.9616642,-81.579063482,0.0013677
0.994123,1.03406,100,-87.1341936378,71.749,96.145183911,-87.1341936378,0.01,-137.456,4.04987e-06,120.91,1,0.0145524,1.44669,0.361538,0.0400241,0.4,96.7065661858,100,6011.18615433,-85.5047,6011.18615433,-87.1341936378,0.00363675
1.00957,1.02101,100,-101.889549623,97.8403,97.4734886871,-101.889549623,0.01,-152.524,2.61819e-06,138.3,1,0.0217529,2.1961,0.782053,0.0266852,0.4,97.9422754563,100,10088.0004884,-100.901,10088.0004884,-101.889549623,0.00774643
0.986288,1.01119,100,-94.6023165989,89.1421,99.0980811906,-94.6023165989,0.01,-145.438,9.19279e-07,129.56,1,0.0141675,1.39732,0.825426,0.00894241,0.4,98.8929694411,100,8112.78632355,-94.0645,8112.78632355,-94.6023165989,0.00836902
0.995134,1.19335,100,-84.6243097606,41.1777,81.7073667311,-84.6243097606,0.01,-130.75,2.26142e-05,118.8,1,0.0178014,1.77148,0.0262841,0.223946,0.4,83.7975227779,100,4889.43014471,-74.9397,4889.43014471,-84.6243097606,0.000264127
0.991602,1.15326,100,-89.4133897701,63.3777,85.3407031509,-89.4133897701,0.01,-136.235,1.73509e-05,123.22,1,0.0161602,1.60245,0.121716,0.170607,0.4,86.7103398204,100,7077.93123767,-81.3711,7077.93123767,-89.4133897701,0.00122747
0.947555,1.69498,100,-95.720641176,42.5228,58.9877003146,-95.720641176,0.01,-140.619,7.02292e-05,130.73,1,0.0249407,2.36327,3.45569e-05,0.63056,0.4,58.9977578538,100,9210.28310968,-74.1049,9210.28310968,-95.720641176,3.64695e-07
1.02245,1.02568,100,-73.7794352266,41.6217,97.6942703936,-73.7794352266,0.01,-124.1,2.38401e-06,105.54,1,0.0140715,1.43874,0.533138,0.0249227,0.4,97.4959263418,100,2545.36496918,-72.3635,2545.36496918,-73.7794352266,0.00521431
1.01074,1.03645,100,-81.979938986,61.9192,95.4046232151,-81.979938986,0.01,-131.934,4.86538e-06,114.99,1,0.0192701,1.94771,0.840346,0.0497045,0.4,96.4836512436,100,4859.68862369,-79.9923,4859.68862369,-81.979938986,0.00831417
1.0069,1.05594,100,-75.5288320404,47.4333,95.0531592914,-75.5288320404,0.01,-124.829,5.25686e-06,106.49,1,0.0148612,1.49637,0.236863,0.0532964,0.4,94.7026363086,100,3750.95420235,-72.331,3750.95420235,-75.5288320404,0.00235241
1.04241,1.06939,100,-86.3493956363,72.0153,92.6878056958,-86.3493956363,0.01,-135.526,7.96874e-06,118.98,1,0.0229154,2.38873,0.576364,0.08659,0.4,93.5110300572,100,7154.79239369,-82.6936,7154.79239369,-86.3493956363,0.00552914
1.03272,1.12923,100,-91.7671495132,69.5096,87.7700397598,-91.7671495132,0.01,-138.155,1.40748e-05,125.56,1,0.0229446,2.36953,0.148897,0.15011,0.4,88.5561505907,100,8217.65496431,-83.8605,8217.65496431,-91.7671495132,0.00144179
0.973363,1.12884,100,-78.7110583404,43.2665,88.2384786647,-78.7110583404,0.01,-126.328,1.34639e-05,110.09,1,0.0158097,1.53886,0.217491,0.127561,0.4,88.5865159721,100,4927.35085786,-72.0474,4927.35085786,-78.7110583404,0.00223442
1.06244,1.1205,100,-92.0194893032,78.2409,73.0987631001,-92.0194893032,0.01,-139.479,3.7173e-05,125.52,1,0.0611739,6.49937,0.735268,0.419603,0.4,89.2459318539,100,9356.15682845,-85.3992,9356.15682845,-92.0194893032,0.00692055
0.961061,1.38011,100,-92.703185391,48.2125,71.5759819441,-92.703185391,0.01,-133.772,4.01128e-05,126.79,1,0.0212191,2.03929,0.0112592,0.370497,0.4,72.4577971265,100,9345.52303461,-73.7534,9345.52303461,-92.703185391,0.000117154
1.02693,1.03188,100,-78.1800670385,61.048,97.1235485722,-78.1800670385,0.01,-128.159,2.99158e-06,109.88,1,0.0178114,1.82911,0.718614,0.0315489,0.4,96.9104131171,100,4921.70962209,-76.2619,4921.70962209,-78.1800670385,0.00699768
1.12261,1.20568,100,-86.553068071,56.569,56.6724569234,-86.553068071,0.01,-132.341,7.72248e-05,119.69,1,0.0896748,10.067,0.119024,0.973236,0.4,82.9410578806,100,7151.88520314,-76.2435,7151.88520314,-86.553068071,0.00106024
0.93007,1.09111,100,-80.4792813396,64.6949,90.4509767517,-80.4792813396,0.01,-129.791,1.06637e-05,111.29,1,0.0162435,1.51076,0.215608,0.0922444,0.4,91.6497985937,100,6128.13240975,-76.4263,6128.13240975,-80.4792813396,0.00231819
0.988701,1.08721,100,-92.9961398949,81.2283,88.9264771917,-92.9961398949,0.01,-140.919,1.25783e-05,126.8,1,0.0312838,3.09303,0.783518,0.122956,0.4,91.9783640638,100,9321.57431988,-87.6485,9321.57431988,-92.9961398949,0.00792472
0.97962,1.14644,100,-89.1652754167,75.9985,85.5970859594,-89.1652754167,0.01,-136.917,1.69963e-05,122.24,1,0.0158316,1.5509,0.093941,0.163106,0.4,87.2266514048,100,8284.89047637,-82.215,8284.89047637,-89.1652754167,0.000958953
0.986367,1.02916,100,-80.3210825768,71.8397,98.2201912431,-80.3210825768,0.01,-130.527,1.83036e-06,111.26,1,0.0154471,1.52365,0.82803,0.0178079,0.4,97.1662252534,100,6136.11076586,-78.6985,6136.11076586,-80.3210825768,0.00839475
1.05575,1.07841,100,-78.6674274307,54.2998,93.9031939602,-78.6674274307,0.01,-127.855,6.55825e-06,110.23,1,0.0163915,1.73053,0.267137,0.0730985,0.4,92.7290669189,100,4918.77434247,-74.8035,4918.77434247,-78.6674274307,0.00253031
1.01548,1.04701,100,-84.3477191526,77.677,95.0619054215,-84.3477191526,0.01,-133.488,5.24707e-06,116.38,1,0.0124825,1.26758,0.391201,0.054108,0.4,95.5103701738,100,7237.05049839,-81.2117,7237.05049839,-84.3477191526,0.00385237
0.986306,1.00918,100,-74.1755652706,58.9464,99.3402265293,-74.1755652706,0.01,-125.016,6.70868e-07,104.33,1,0.0136571,1.34701,0.844026,0.0065262,0.4,99.0902969895,100,3789.62420626,-73.6927,3789.62420626,-74.1755652706,0.00855745
1.0263,1.06232,100,-85.6586178049,72.4319,93.9801098669,-85.6586178049,0.01,-134.729,6.47018e-06,117.89,1,0.0224312,2.30213,0.676311,0.0681504,0.4,94.1333836658,100,7180.18097264,-82.0714,7180.18097264,-85.6586178049,0.00658977
1.0013,1.0943,100,-87.2667389931,72.4235,91.4042720949,-87.2667389931,0.01,-136.543,9.49905e-06,120.69,1,0.0153538,1.53739,0.122535,0.0952385,0.4,91.382427239,100,7136.25916327,-83.1008,7136.25916327,-87.2667389931,0.00122376
0.993015,1.01377,100,-79.5018259898,65.9724,99.3357809984,-79.5018259898,0.01,-130.136,6.75386e-07,111.77,1,0.0137811,1.36848,0.853993,0.00665984,0.4,98.6414268904,100,4920.28966341,-78.6956,4920.28966341,-79.5018259898,0.0086
1.0116,1.07004,100,-87.7664862607,84.9238,93.7180471536,-87.7664862607,0.01,-137.444,6.77076e-06,120.28,1,0.0131737,1.33266,0.187168,0.0692879,0.4,93.4546179701,100,8342.04457964,-84.5957,8342.04457964,-87.7664862607,0.00185022
0.986507,1.06693,100,-72.4314360684,20.6009,91.8205578115,-72.4314360684,0.01,-120.514,8.99805e-06,103.11,1,0.0145063,1.43105,0.131897,0.0875687,0.4,93.7267096846,100,2560.28090461,-67.7442,2560.28090461,-72.4314360684,0.00133701
0.977313,1.0296,100,-66.9109238249,17.2761,95.542387543,-66.9109238249,0.01,-116.634,4.71272e-06,96.51,1,0.0118365,1.15679,0.296905,0.0450131,0.4,97.1255109198,100,1383.29825818,-64.7944,1383.29825818,-66.9109238249,0.00303797
1.01285,1.01798,100,-77.5199197519,68.2171,98.0054422701,-77.5199197519,0.01,-128.135,2.05572e-06,108.49,1,0.0130971,1.32654,0.66186,0.021089,0.4,98.233759025,100,4957.43006874,-76.5891,4957.43006874,-77.5199197519,0.00653462
1.00267,1.00275,100,-67.1442236875,35.0426,99.7302226809,-67.1442236875,0.01,-118.158,2.7324e-07,96.55,1,0.0122618,1.22946,0.952281,0.002747,0.4,99.7255013197,100,1356.61705559,-66.9993,1356.61705559,-67.1442236875,0.00949746
1.02576,1.0283,100,-76.8482641339,55.0449,96.910302996,-76.8482641339,0.01,-127.157,3.22041e-06,108.39,1,0.0169568,1.73936,0.784524,0.0338847,0.4,97.2482637319,100,3804.03163291,-75.3515,3804.03163291,-76.8482641339,0.00764822
1.0205,1.04124,100,-81.1208964938,70.5644,96.6090643887,-81.1208964938,0.01,-131.128,3.54539e-06,112.66,1,0.014738,1.50401,0.592773,0.0369224,0.4,96.0389550098,100,6112.46845965,-78.9967,6112.46845965,-81.1208964938,0.00580866
1.00031,1.01386,100,-64.0492956178,11.4088,98.9578913372,-64.0492956178,0.01,-76.1899,1.06373e-06,92.74,1,0.0137566,1.37609,0.82492,0.010644,0.4,98.6333197019,100,131.58931645,-63.8842,131.58931645,-64.0492956178,0.00824661
