BatchSize,IterType,MinVanillaIw,MaxVanillaIw,VarRet,ESSClassic,VarJ,AvgDiscRet,eRenyi2,MaxNormIw,AvgNormIw,VanillaAvgRet,MinNormIw,VarNormIw,VarVanillaIw,VarDiscRet,AvgEpLen,Delta,ESSRenyi,AvgVanillaIw,AvgRet,EpsThisIter,Bound,J
100,1,2.346399e-16,4.227195,5627599.829885766,31.207635479429634,86.195175,-2380.1889555037224,3.008092,0.041851792,0.01,-2380.1889555037224,2.3230774e-18,0.00022266105,2.2715416,5627599.829885766,200.0,0.9,33.24366490151426,1.0100391,-2380.1889555037224,100,-363.77374,-30.805887
100,1,8.95669e-06,3.4329069,72.9843668245377,45.64411915723624,7.023662,-9.445003544808102,2.3196,0.030029044,0.01,-9.445003544808102,7.834784e-08,0.00012028917,1.5720546,72.9843668245377,200.0,0.9,43.110879229627216,1.1431956,-9.445003544808102,100,-7.9839153,-6.5342045
200,,0.29129833,111648.39,72.9843668245377,3.035508719607992,23.342058,-14.277938200103508,nan,0.39114535,0.010000003,-9.445003544808102,1.0205251e-06,0.0032266066,262890370.0,2640.385557903004,200.0,0.9,nan,2854.3965,-9.445003544808102,100,-inf,-3.2287893
200,1,0.11796692,1.2811799,78799.441466675,183.95150794035885,25.404007,-38.36800894294545,1.0863923,0.0064970287,0.005,-38.36800894294545,0.00059822545,2.192035e-06,0.08523897,78799.441466675,200.0,0.9,184.0955638664684,0.9859737,-38.36800894294545,100,-80.54275,-11.361957
200,2,1.0,1.0,55.52756839726744,100.0,7.41433,-7.988700893327348,1.0,0.01,0.009999998,-7.988700893327348,0.01,3.5044917e-18,,55.52756839726744,200.0,0.9,200.0,1.0,-7.988700893327348,100,-8.878505,-7.988701
200,1,,35.91818,71.62297788980817,6.826340933765319,6.298345,-9.62482269689994,25.780369,0.20952041,0.005,-9.62482269689994,,0.000711012,20.895502,71.62297788980817,200.0,0.9,7.757840918154015,0.8571522,-9.62482269689994,100,-7.282336,-2.8552356
200,2,1.0,1.0,84.231051439093,100.0,9.131743,-9.522923756601672,1.0,0.01,0.009999998,-9.522923756601672,0.01,3.5044917e-18,,84.231051439093,200.0,0.9,200.0,1.0,-9.522923756601672,100,-10.77699,-9.522923
300,,0.027841056,inf,71.62297788980817,nan,nan,-10.50470838512046,nan,nan,nan,-9.62482269689994,nan,nan,nan,84.28121575778297,200.0,0.9,nan,inf,-9.62482269689994,100,nan,nan
300,1,,30.63734,69.04048152228506,12.760212703440247,22.793882,-10.036543945160732,21.062208,0.11254843,0.0033333336,-10.036543945160732,,0.00025095404,18.595913,69.04048152228506,200.0,0.9,14.243520788418518,0.9073824,-10.036543945160732,100,-7.7549286,-4.487688
300,2,1.0,1.0,61.80241649527824,100.0,7.8220453,-8.843563531562415,1.0,0.01,0.009999998,-8.843563531562415,0.01,3.5044917e-18,,61.80241649527824,200.0,0.9,300.0,1.0,-8.843563531562415,100,-9.77285,-8.843563
300,2,1.0,1.0,77.833691737705,200.00000010221265,8.3145075,-9.054954387809,1.0,0.005,0.0049999994,-9.054954387809,0.005,2.179301e-19,,77.833691737705,200.0,0.9,300.0,1.0,-9.054954387809,100,-9.769231,-8.949259
