J,EpsThisIter,Bound,VarVanillaIw,VarNormIw,AvgRet,AvgNormIw,VanillaAvgRet,MaxNormIw,IterType,MinNormIw,VarJ,MinVanillaIw,Delta,AvgVanillaIw,VarRet,VarDiscRet,ESSClassic,AvgDiscRet,AvgEpLen,ESSRenyi,eRenyi2,BatchSize,MaxVanillaIw
-65.676,100,-65.676,,0.01,-312.655652457,0.01,-312.655652457,1.0,1,,,,1.0,1.47035e-40,22544.759899,22544.759899,inf,-312.655652457,384.15,8.92418910826e-15,1.12055e+16,100,1.47035e-38
-57.3445,100,-57.3445,4.30967,0.000272898,-59.1621576886,0.01,-59.1621576886,0.116568,1,1.38105e-08,9.06311,1.73553e-06,1.0,1.25667,51.2485513313,51.2485513313,27.0147038587,-59.1621576886,86.87,,inf,100,14.6488
-51.5058,100,nan,3.31882e+09,0.00948886,-59.1621576886,0.01,-59.1621576886,0.974277,,1.15429e-07,2.40043,0.0682651,1.0,5914.05,51.2485513313,2571.61689484,1.05329993874,-66.5524942788,86.87,nan,nan,200,576193.0
-58.1407,100,-58.1407,1.07051,2.22039e-05,-59.5872593448,0.005,-59.5872593448,0.0356719,1,4.47944e-06,7.71752,0.000983569,1.0,1.09787,49.3024941236,49.3024941236,106.173186997,-59.5872593448,87.31,,inf,200,7.83262
-67.4774,100,-67.4774,,3.50449e-18,-67.4773704126,0.01,-67.4773704126,0.01,2,0.01,50.3571,1.0,1.0,1.0,2561.4571186,2561.4571186,100.0,-67.4773704126,97.22,200.0,1.0,200,1.0
-62.0844,100,nan,5231.44,0.00198305,-59.5872593448,0.005,-59.5872593448,0.625967,,7.86048e-05,10.1545,0.127671,1.0,8.12108,49.3024941236,53.3638318873,2.50233083942,-59.956080517,87.31,nan,nan,300,1016.71
-56.4842,100,-56.4842,,0.00333333,-64.3754432856,0.00333333,-64.3754432856,1.0,1,,,,1.0,1.09303e-37,1321.1847725,1321.1847725,inf,-64.3754432856,93.72,5.86612247831e-21,5.11411e+22,300,3.2791e-35
-69.3599,100,-69.3599,,3.50449e-18,-69.3599080619,0.01,-69.3599080619,0.01,2,0.01,61.5582,1.0,1.0,1.0,3827.68557936,3827.68557936,100.0,-69.3599080619,98.03,300.0,1.0,300,1.0
-70.1671,100,-70.1671,,2.1793e-19,-70.9742106603,0.005,-70.9742106603,0.005,2,0.005,61.5053,1.0,1.0,1.0,3813.22188847,3813.22188847,200.000000102,-70.9742106603,100.99,300.0,1.0,300,1.0
nan,100,nan,nan,nan,-64.3754432856,nan,-64.3754432856,nan,,nan,nan,3.04961e+34,1.0,inf,1321.1847725,1339.48663008,nan,-63.3788825479,93.72,inf,,400,inf
-60.856,100,-60.856,3.38045,2.18243e-05,-63.5752800025,0.0025,-63.5752800025,0.0557573,1,5.4149e-33,14.9851,2.13111e-30,1.0,0.983913,1347.03874083,1347.03874083,89.2227616386,-63.5752800025,92.45,,inf,400,21.9441
-66.6606,100,-66.6606,,3.50449e-18,-66.6606362544,0.01,-66.6606362544,0.01,2,0.01,50.6104,1.0,1.0,1.0,2587.2833699,2587.2833699,100.0,-66.6606362544,95.41,400.0,1.0,400,1.0
-69.117,100,-69.117,,2.1793e-19,-71.5734465076,0.005,-71.5734465076,0.005,2,0.005,56.1884,1.0,1.0,1.0,3778.57197083,3778.57197083,200.000000102,-71.5734465076,101.95,400.0,1.0,400,1.0
-68.7043,100,-68.7043,,5.43914e-20,-67.8786722636,0.00333333,-67.8786722636,0.00333333,2,0.00333333,54.3187,1.0,1.0,1.0,2561.88314136,2561.88314136,299.999969474,-67.8786722636,98.35,400.0,1.0,400,1.0
-61.8271,100,nan,inf,0.00246281,-63.5752800025,0.0025,-63.5752800025,0.992525,,9.63896e-32,2.33235,0.0455703,1.0,1.18193e+27,1347.03874083,62.3018755307,,-60.8619588026,92.45,nan,nan,500,4.69238e+29
-60.8432,100,-60.8432,4.41395,1.49209e-05,-64.1690686411,0.002,-64.1690686411,0.061543,1,7.1708e-05,25.7879,0.0390017,1.0,1.08779,1337.62588528,1337.62588528,105.870257342,-64.1690686411,93.63,,inf,500,33.4731
-62.1285,100,-62.1285,,3.50449e-18,-62.1285095662,0.01,-62.1285095662,0.01,2,0.01,36.2834,1.0,1.0,1.0,1329.7806574,1329.7806574,100.0,-62.1285095662,90.36,500.0,1.0,500,1.0
-64.6311,100,-64.6311,,2.1793e-19,-67.1336606371,0.005,-67.1336606371,0.005,2,0.005,43.9912,1.0,1.0,1.0,2567.11539009,2567.11539009,200.000000102,-67.1336606371,96.89,500.0,1.0,500,1.0
-62.9477,100,-62.9477,,5.43914e-20,-59.5809778528,0.00333333,-59.5809778528,0.00333333,2,0.00333333,36.2525,1.0,1.0,1.0,55.8428915294,55.8428915294,299.999969474,-59.5809778528,87.77,500.0,1.0,500,1.0
-63.7895,100,-63.7895,,5.4346e-20,-66.3148218527,0.0025,-66.3148218527,0.0025,2,0.0025,40.3252,1.0,1.0,1.0,2579.0388311,2579.0388311,400.0,-66.3148218527,95.35,500.0,1.0,500,1.0
