ESSClassic,AvgDiscRet,AvgNormIw,BatchSize,MaxNormIw,VarDiscRet,MinVanillaIw,VarNormIw,AvgVanillaIw,MaxVanillaIw,EpsThisIter,MinNormIw,AvgEpLen,VanillaAvgRet,VarVanillaIw,VarRet,J,VarJ,Bound,eRenyi2,ESSRenyi,IterType,Delta,AvgRet
12.7242182986,-1485.85436731,0.01,100,0.226716,153715.045746,5.00947e-14,0.000692831,1.13738,25.7863,100,4.40439e-16,500.0,-1485.85436731,8.96272,153715.045746,-1007.94,837.505,-1283.78,4.44952,22.4743409746,1,0.7,-1485.85436731
10.1345063028,-1130.32091433,0.01,100,0.265182,44614.0176606,1.67068e-11,0.000895685,1.51176,40.0893,100,1.10512e-13,500.0,-1130.32091433,20.4702,44614.0176606,-890.591,534.712,-1159.99,4.40822,22.6848843625,1,0.7,-1130.32091433
9.98632982641,-1093.74489032,0.01,100,0.248824,35143.3932676,2.97098e-08,0.000910474,0.957841,23.8334,100,3.10175e-10,500.0,-1093.74489032,8.35323,35143.3932676,-775.162,466.76,-1074.08,5.42638,18.4284978655,1,0.7,-1093.74489032
41.0996006053,-899.287636685,0.01,100,0.0527198,88937.6398242,1.05789e-05,0.000144759,0.898481,4.73677,100,1.17742e-07,500.0,-899.287636685,1.16859,88937.6398242,-720.752,165.748,-911.565,2.20713,45.3077473657,1,0.7,-899.287636685
54.7005310349,-761.956490095,0.01,100,0.0394406,72998.5255043,0.0113889,8.36501e-05,0.882217,3.47952,100,0.000129094,500.0,-761.956490095,0.651054,72998.5255043,-684.77,186.485,-851.906,1.69343,59.0516158753,1,0.7,-761.956490095
79.6151550243,-661.410445,0.01,100,0.0354683,23605.582496,0.157365,2.58629e-05,1.01763,3.60935,100,0.0015464,500.0,-661.410445,0.267827,23605.582496,-633.933,99.6642,-775.21,1.21174,82.5257340525,1,0.7,-661.410445
82.6436256653,-664.322859295,0.01,100,0.0220555,39625.1243989,0.21665,2.12136e-05,1.00238,2.21081,100,0.00216135,500.0,-664.322859295,0.213149,39625.1243989,-635.21,88.8117,-774.882,1.18509,84.3821033179,1,0.7,-664.322859295
83.8768441938,-652.586925794,0.01,100,0.0196168,22697.4029385,0.154112,1.94166e-05,1.01286,1.9869,100,0.00152156,500.0,-652.586925794,0.19919,22697.4029385,-627.731,69.5377,-766.032,1.1604,86.1769742117,1,0.7,-652.586925794
58.5396195894,-625.475085421,0.01,100,0.0420771,4626.52842342,0.0248032,7.15399e-05,0.964465,4.05818,100,0.00025717,500.0,-625.475085421,0.665459,4626.52842342,-595.645,68.4982,-672.211,1.61924,61.7574523025,1,0.7,-625.475085421
83.4426393134,-628.165869348,0.01,100,0.0195838,24105.0915122,0.091838,2.00433e-05,0.978518,1.91631,100,0.000938542,500.0,-628.165869348,0.191914,24105.0915122,-597.927,69.0185,-737.12,1.1778,84.9040799182,1,0.7,-628.165869348
71.4377222406,-596.859074528,0.01,100,0.0351765,3869.51726237,0.0806282,4.03859e-05,1.00468,3.53411,100,0.000802526,500.0,-596.859074528,0.407648,3869.51726237,-578.35,66.5242,-644.511,1.34314,74.4522634759,1,0.7,-596.859074528
58.3341772315,-586.910109621,0.01,100,0.0327436,3389.7623477,0.0625112,7.21476e-05,1.03518,3.38954,100,0.00060387,500.0,-586.910109621,0.773126,3389.7623477,-560.397,70.1619,-625.465,1.60783,62.1957528006,1,0.7,-586.910109621
74.7719888604,-580.502978623,0.01,100,0.0233702,2884.06488855,0.075185,3.40807e-05,0.989173,2.31172,100,0.000760079,500.0,-580.502978623,0.333467,2884.06488855,-565.954,47.4963,-625.562,1.24807,80.1237950901,1,0.7,-580.502978623
4.53402692612,-573.701179486,0.01,100,0.461129,2423.86711687,0.00240391,0.00212681,1.30581,60.2146,100,1.84094e-05,500.0,-573.701179486,36.265,2423.86711687,-499.219,290.065,-588.964,3.90188,25.6286492133,1,0.7,-573.701179486
53.3838288617,-565.115937854,0.01,100,0.0429457,2903.58326735,0.026796,8.82046e-05,0.921444,3.95721,100,0.000290804,500.0,-565.115937854,0.74891,2903.58326735,-538.401,75.4216,-597.95,1.73017,57.7979356167,1,0.7,-565.115937854
88.3494641298,-555.293469602,0.01,100,0.0167841,5617.51425242,0.117164,1.33201e-05,0.997974,1.67501,100,0.00117402,500.0,-555.293469602,0.132661,5617.51425242,-544.706,46.5309,-625.698,1.11128,89.9859581448,1,0.7,-555.293469602
67.1595027258,-543.558641469,0.01,100,0.0690805,1443.12045383,0.20845,4.93932e-05,1.03226,7.13093,100,0.00201935,500.0,-543.558641469,0.526319,1443.12045383,-537.035,56.2351,-584.941,1.2037,83.0774621378,1,0.7,-543.558641469
69.2619213012,-540.709827498,0.01,100,0.0299142,1670.34537169,0.082214,4.48278e-05,1.02271,3.05936,100,0.000803883,500.0,-540.709827498,0.46887,1670.34537169,-528.158,59.3229,-577.266,1.39075,71.9037019665,1,0.7,-540.709827498
73.5096918609,-536.394405251,0.01,100,0.025782,2332.58594008,0.084318,3.64005e-05,0.911113,2.34903,100,0.00092544,500.0,-536.394405251,0.30217,2332.58594008,-526.281,50.8799,-575.979,1.28371,77.8992789267,1,0.7,-536.394405251
64.3371068264,-529.895178379,0.01,100,0.0419607,2064.78762272,0.0129343,5.59913e-05,0.990869,4.15776,100,0.000130535,500.0,-529.895178379,0.549734,2064.78762272,-516.988,51.1848,-566.647,1.42517,70.1671820224,1,0.7,-529.895178379
45.9239159155,-527.169459356,0.01,100,0.0520855,1725.79932144,0.0117122,0.000118941,1.0072,5.24607,100,0.000116285,500.0,-527.169459356,1.20661,1725.79932144,-503.687,86.2745,-560.423,1.97396,50.6596142901,1,0.7,-527.169459356
74.8071301333,-526.216202456,0.01,100,0.0310773,1503.43618063,0.0470516,3.40173e-05,0.932306,2.89736,100,0.00050468,500.0,-526.216202456,0.295676,1503.43618063,-519.018,43.165,-563.18,1.20846,82.749997016,1,0.7,-526.216202456
64.9207627973,-508.079166663,0.01,100,0.0401961,1761.76350661,0.00209583,5.45797e-05,1.00133,4.02496,100,2.09304e-05,500.0,-508.079166663,0.547251,1761.76350661,-495.964,57.2738,-544.652,1.43935,69.4756262416,1,0.7,-508.079166663
81.2813623842,-511.634328673,0.01,100,0.0372664,1511.5431882,0.242809,2.32621e-05,1.06212,3.95812,100,0.00228609,500.0,-511.634328673,0.262417,1511.5431882,-504.758,46.2838,-548.97,1.17214,85.3142230307,1,0.7,-511.634328673
66.3779792197,-508.54421725,0.01,100,0.0405334,1907.54586058,0.00968133,5.1164e-05,1.02391,4.15024,100,9.45528e-05,500.0,-508.54421725,0.536396,1907.54586058,-496.199,57.9017,-542.852,1.38891,71.998810063,1,0.7,-508.54421725
58.3427158634,-512.985379498,0.01,100,0.0514691,1717.25621016,0.0724826,7.21222e-05,0.987225,5.08116,100,0.000734206,500.0,-512.985379498,0.702912,1717.25621016,-501.294,52.3489,-548.284,1.37722,72.610277522,1,0.7,-512.985379498
87.6956762829,-509.108557655,0.01,100,0.0173794,2206.42683085,0.112444,1.41724e-05,0.987291,1.71585,100,0.00113891,500.0,-509.108557655,0.138145,2206.42683085,-502.998,46.0316,-551.472,1.12735,88.7033739628,1,0.7,-509.108557655
93.5437215942,-506.373591091,0.01,100,0.0204564,1647.71662947,0.261548,6.97164e-06,1.01439,2.07507,100,0.00257839,500.0,-506.373591091,0.0717367,1647.71662947,-503.939,41.6535,-545.964,1.05888,94.4397823404,1,0.7,-506.373591091
90.8014503119,-505.866991561,0.01,100,0.022248,1606.84547189,0.361751,1.02327e-05,1.02781,2.28667,100,0.00351964,500.0,-505.866991561,0.108097,1606.84547189,-502.044,41.9084,-543.842,1.09838,91.0429676901,1,0.7,-505.866991561
87.4130699854,-509.760765405,0.01,100,0.0249852,1934.82099283,0.228729,1.45449e-05,0.966645,2.41518,100,0.00236621,500.0,-509.760765405,0.135907,1934.82099283,-505.17,47.4098,-547.548,1.13133,88.3916312638,1,0.7,-509.760765405
92.2981233807,-502.952926476,0.01,100,0.018876,1699.18823791,0.254652,8.42888e-06,1.0385,1.96027,100,0.00245212,500.0,-502.952926476,0.0909039,1699.18823791,-499.16,44.2021,-539.948,1.10118,90.8116586011,1,0.7,-502.952926476
86.3959110365,-512.234480578,0.01,100,0.0236015,1461.46620021,0.252425,1.59053e-05,0.944135,2.2283,100,0.0026736,500.0,-512.234480578,0.141779,1461.46620021,-507.051,41.5673,-552.451,1.15871,86.3025603192,1,0.7,-512.234480578
69.8326363929,-502.965301232,0.01,100,0.0279639,2156.18844659,0.0397294,4.36359e-05,0.935082,2.61485,100,0.000424876,500.0,-502.965301232,0.381543,2156.18844659,-490.939,50.303,-540.493,1.34298,74.4612777936,1,0.7,-502.965301232
77.2537091514,-503.591399228,0.01,100,0.0471403,1588.44590693,0.342585,2.97411e-05,0.958431,4.51807,100,0.00357443,500.0,-503.591399228,0.273198,1588.44590693,-497.906,44.801,-541.895,1.1734,85.222427316,1,0.7,-503.591399228
78.6449916128,-499.208694435,0.01,100,0.0292523,1435.75886,0.0722683,2.7428e-05,1.01794,2.97771,100,0.000709947,500.0,-499.208694435,0.284209,1435.75886,-490.205,40.9123,-534.803,1.23674,80.8575600869,1,0.7,-499.208694435
84.6115431031,-495.89643352,0.01,100,0.026218,1245.22337121,0.423166,1.83709e-05,0.996643,2.613,100,0.00424591,500.0,-495.89643352,0.182478,1245.22337121,-490.724,39.1472,-530.87,1.15179,86.8214076055,1,0.7,-495.89643352
91.4592562223,-498.891835372,0.01,100,0.0168031,1360.2503681,0.314976,9.43262e-06,1.00013,1.68052,100,0.00314936,500.0,-498.891835372,0.0943501,1360.2503681,-496.04,37.7094,-535.969,1.08657,92.0324319497,1,0.7,-498.891835372
3.30567165232,-503.889058255,0.01,100,0.5449,1821.97477887,0.0578939,0.00295465,2.13614,116.399,100,0.00027102,500.0,-503.889058255,134.824,1821.97477887,-461.699,141.664,-523.391,2.34286,42.6828229558,1,0.7,-503.889058255
66.2708825079,-501.458259314,0.01,100,0.041615,2154.14703272,0.10484,5.141e-05,1.02592,4.26937,100,0.00102192,500.0,-501.458259314,0.541095,2154.14703272,-488.201,68.1226,-538.196,1.34025,74.6127918576,1,0.7,-501.458259314
6.85880432379,-500.232975529,0.01,100,0.357418,2254.70977907,0.0757713,0.0013717,1.58709,56.7254,100,0.000477424,500.0,-500.232975529,34.5509,2254.70977907,-458.263,139.384,-528.738,2.34047,42.7264160198,1,0.7,-500.232975529
89.6524534411,-494.980223698,0.01,100,0.0167697,1909.53773988,0.295469,1.16584e-05,0.979689,1.64291,100,0.00301594,500.0,-494.980223698,0.111897,1909.53773988,-491.233,45.8588,-533.285,1.10686,90.3458731741,1,0.7,-494.980223698
