eRenyi2,MaxVanillaIw,J,VarVanillaIw,VarNormIw,MinVanillaIw,VarDiscRet,AvgEpLen,ESSClassic,AvgDiscRet,Delta,Bound,VanillaAvgRet,MinNormIw,ESSRenyi,AvgRet,BatchSize,AvgNormIw,MaxNormIw,AvgVanillaIw,EpsThisIter,VarJ,VarRet,IterType
1.0,8.44138,-106.31,0.807518,0.00234508,1.02747e-22,3625.44278469,47.81,4.12944987735,-124.571013543,0.8,-130.863,-124.571013543,5.53697e-24,99.9999880791,-124.571013543,100,0.01,0.4549,0.185565,100,3.59433,3625.44278469,1
1.07514,1.81601,-108.108,0.0855528,8.42554e-06,0.141216,18.2438223921,16.29,92.3009161609,-108.675245727,0.8,-114.666,-108.675245727,0.00140141,93.0108746535,-108.675245727,100,0.01,0.0180219,1.00767,100,3.60708,18.2438223921,1
1.19851,2.15119,-107.813,0.211712,2.22458e-05,0.0391145,24.155084492,16.85,81.9515586237,-109.15293864,0.8,-114.922,-109.15293864,0.000400949,83.4371132374,-109.15293864,100,0.01,0.0220511,0.975549,100,3.57241,24.155084492,1
1.10183,1.70549,-108.071,0.12979,1.35045e-05,0.146225,21.0828763453,16.56,88.2071822174,-108.798581892,0.8,-114.893,-108.798581892,0.00149156,90.7584161835,-108.798581892,100,0.01,0.0173968,0.980348,100,3.55212,21.0828763453,1
1.02747,1.60642,-108.011,0.034428,3.61167e-06,0.590982,9.2633108002,16.93,96.5479004624,-108.16077469,0.8,-113.912,-108.16077469,0.00605303,97.3260480993,-108.16077469,100,0.01,0.0164535,0.976341,100,3.10355,9.2633108002,1
1.03838,1.52014,-107.345,0.0528122,5.41245e-06,0.387919,8.0300729574,15.68,94.9142102497,-107.566577553,0.8,-113.221,-107.566577553,0.00392709,96.3037891095,-107.566577553,100,0.01,0.0153891,0.987803,100,2.7297,8.0300729574,1
1.02811,1.31248,-107.374,0.0211547,2.09245e-06,0.664311,7.08503987792,15.98,97.9705256759,-107.529794844,0.8,-113.217,-107.529794844,0.00660686,97.2658541823,-107.529794844,100,0.01,0.0130532,1.00549,100,2.54401,7.08503987792,1
1.06047,1.83967,-107.485,0.0781218,8.16299e-06,0.244547,9.9795031163,16.33,92.5228753668,-107.845516649,0.8,-113.434,-107.845516649,0.00249977,94.2974522761,-107.845516649,100,0.01,0.0188052,0.978276,100,3.04174,9.9795031163,1
1.02724,1.44857,-107.305,0.0304825,2.94583e-06,0.5288,7.41664654673,16.07,97.1662774022,-107.458472615,0.8,-113.1,-107.458472615,0.0051984,97.3480497567,-107.458472615,100,0.01,0.0142402,1.01724,100,2.69412,7.41664654673,1
1.02238,1.34233,-107.535,0.0263612,2.65381e-06,0.539699,7.98622762404,16.27,97.4399755484,-107.665249577,0.8,-113.394,-107.665249577,0.00541507,97.8110476031,-107.665249577,100,0.01,0.0134683,0.996662,100,2.68684,7.98622762404,1
1.00817,1.14819,-107.098,0.00663163,6.5671e-07,0.681219,5.67561624783,15.43,99.3540527492,-107.143536693,0.8,-112.845,-107.143536693,0.00677897,99.1899718024,-107.143536693,100,0.01,0.0114259,1.0049,100,2.33156,5.67561624783,1
1.07844,1.76327,-107.392,0.102098,1.15733e-05,0.118061,9.71721174181,16.0,89.7202650055,-107.82845992,0.8,-113.342,-107.82845992,0.00125698,92.7262993867,-107.82845992,100,0.01,0.0187732,0.939247,100,3.063,9.71721174181,1
1.0,42.7576,-104.619,22.0168,0.00325243,,6.91484679097,16.05,3.01212868189,-107.54256993,0.8,-110.361,-107.54256993,,99.9996900568,-107.54256993,100,0.01,0.519685,0.822759,100,4.06286,6.91484679097,1
1.07947,1.42848,-107.436,0.0786862,8.24391e-06,0.189496,11.6602243847,15.68,92.4543655803,-107.93988543,0.8,-113.8,-107.93988543,0.00193963,92.6380198722,-107.93988543,100,0.01,0.0146215,0.976974,100,2.5169,11.6602243847,1
1.06246,1.40904,-106.861,0.0643623,6.195e-06,0.323942,7.79028327727,15.69,94.2213586792,-107.246951141,0.8,-112.942,-107.246951141,0.00317813,94.1216176794,-107.246951141,100,0.01,0.0138238,1.01928,100,2.29437,7.79028327727,1
1.04525,1.47052,-106.245,0.0596889,6.26769e-06,0.218393,7.15277714064,16.08,94.1575320543,-106.544404874,0.8,-112.514,-106.544404874,0.00223793,95.6708322508,-106.544404874,100,0.01,0.0150688,0.975872,100,1.96823,7.15277714064,1
1.00955,1.20707,-106.613,0.0110037,1.10852e-06,0.533518,4.74919090834,15.28,98.914501158,-106.667165375,0.8,-112.34,-106.667165375,0.0053549,99.0540597826,-106.667165375,100,0.01,0.0121153,0.996316,100,2.13776,4.74919090834,1
