ESSRenyi,VarDiscRet,BatchSize,AvgNormIw,VarJ,Bound,MinNormIw,AvgRet,VarVanillaIw,MinVanillaIw,MaxVanillaIw,eRenyi2,AvgVanillaIw,J,AvgDiscRet,AvgEpLen,MaxNormIw,VarNormIw,VarRet,ESSClassic
100.0,27.174605873044566,100,0.009999998,5.1867967,-0.43842274,0.01,-5749.877276657166,,1.0,1.0,1.0,1.0,4.4703484e-08,-1.2641976354643702e-12,200.0,0.01,3.5044917e-18,27.174605873044566,100.0
100.0,22.72587433037952,100,0.009999998,4.7432704,-0.40093294,0.01,-5749.1049407773135,,1.0,1.0,1.0,1.0,6.2864274e-08,-1.3733369996771216e-12,200.0,0.01,3.5044917e-18,22.72587433037952,100.0
100.0,27.81892751412377,100,0.009999998,5.2479267,-0.44358996,0.01,-5749.906223878685,,1.0,1.0,1.0,1.0,-1.3038516e-08,4.547473508864641e-13,200.0,0.01,3.5044917e-18,27.818927514123768,100.0
100.0,42.59266393231029,100,0.009999998,6.493592,-0.5488819,0.01,-5749.505903219829,,1.0,1.0,1.0,1.0,-7.450581e-09,-5.729816621169448e-13,200.0,0.01,3.5044917e-18,42.59266393231029,100.0
100.0,48.08213728841605,100,0.009999998,6.8993707,-0.583181,0.01,-5749.89030218021,,1.0,1.0,1.0,1.0,7.4505806e-08,-2.2646418074145915e-12,200.0,0.01,3.5044917e-18,48.082137288416035,100.0
100.0,16.31131037638339,100,0.009999998,4.0184817,-0.33966905,0.01,-5750.236500053134,,1.0,1.0,1.0,1.0,-5.9604645e-08,1.127773430198431e-12,200.0,0.01,3.5044917e-18,16.31131037638339,100.0
100.0,18.342766629980332,100,0.009999998,4.2613773,-0.3602001,0.01,-5750.501149360714,,1.0,1.0,1.0,1.0,7.4505806e-08,-1.6916601452976466e-12,200.0,0.01,3.5044917e-18,18.342766629980332,100.0
100.0,92.20335773516632,100,0.009999998,9.554126,-0.8075788,0.01,-5749.678978306487,,1.0,1.0,1.0,1.0,-1.4901161e-07,-9.094947017729283e-15,200.0,0.01,3.5044917e-18,92.20335773516632,100.0
100.0,21.282153721886846,100,0.009999998,4.590134,-0.38798887,0.01,-5749.32225999319,,1.0,1.0,1.0,1.0,3.7252903e-08,4.638422979041934e-13,200.0,0.01,3.5044917e-18,21.28215372188684,100.0
100.0,39.35829745202009,100,0.009999998,6.2421722,-0.5276302,0.01,-5749.87780434195,,1.0,1.0,1.0,1.0,2.9802322e-08,-6.275513442233204e-13,200.0,0.01,3.5044917e-18,39.35829745202008,100.0
