MaxVanillaIw,AvgRet,AvgDiscRet,VarNormIw,MinNormIw,VarDiscRet,eRenyi2,VarRet,AvgNormIw,VanillaAvgRet,BatchSize,VarJ,Bound,ESSClassic,VarVanillaIw,J,AvgVanillaIw,MaxNormIw,MinVanillaIw,AvgEpLen,ESSRenyi
3.11497,-1.0913936421275138e-13,-1.0913936421275138e-13,0.00013576937,1.3105557e-16,4230828.776786032,2.2637994,4230828.776786032,0.010000002,-1608.5544895009277,100,48.16245,1322.3037,42.65998415131484,1.3370779,1582.5851,0.9923787,0.031388924,1.3005675e-14,200.0,44.17352470436479
1.379369,-3.481659405224491e-15,-3.481659405224491e-15,1.4595056e-05,0.00013702144,82300.77219009776,1.1359863,82300.77219009776,0.01,-39.7113713806938,100,10.2566395,2.9763374,87.37508219088872,0.1449717,28.692139,0.9966409,0.01384018,0.013656118,200.0,88.02922845476037
26.267826,9.592326932761353e-16,9.592326932761353e-16,0.0026955453,,71.24097346165777,22.139418,71.24097346165777,0.01,-10.461532687045638,100,5.5120234,5.5883203,3.6119473764152032,13.030029,8.928421,0.6952634,0.37781116,,200.0,4.516830640647358
50.544804,-5.329070518200751e-16,-5.329070518200751e-16,0.007001745,,53.89620577057288,50.980976,53.89620577057288,0.01,-8.582769544049631,100,12.024597,3.1305413,1.4221256778382247,26.646479,7.5390806,0.6169028,0.8193317,,200.0,1.9615159936239357
77.15237,1.1901590823981679e-15,1.1901590823981679e-15,0.005418091,,48.98482262071703,56.84309,48.98482262071703,0.01,-7.635008167531826,100,6.2631984,2.4328227,1.8301913260491098,68.267944,6.87076,1.1224973,0.68732786,,200.0,1.759228780473892
21.34988,1.4210854715202005e-15,1.4210854715202005e-15,0.00035631013,0.003769025,47.6791653599275,3.4878864,47.6791653599275,0.010000002,-7.222883095553442,100,12.841453,-0.13342363,22.08738904869703,5.185497,0.951145,1.2063714,0.17697601,0.4546844,200.0,28.67065830278724
75.770874,1.021405182655144e-16,1.021405182655144e-16,0.009291505,,42.25932766243851,51.96045,42.25932766243851,0.01,-7.140104779756009,100,3.5907142,2.8455157,1.075431990272616,57.400337,6.786542,0.7859851,0.9640243,,200.0,1.9245407132453132
36.0108,3.730349362740526e-16,3.730349362740526e-16,0.0023088993,,47.67329266606959,23.948038,47.67329266606959,0.01,-7.4842186429784565,100,1.9394195,4.132081,4.191448331540951,40.623444,6.9738193,1.3264347,0.27148563,,200.0,4.175707403564079
14.250265,-3.907985046680551e-16,-3.907985046680551e-16,0.0027836892,,52.08866948244641,26.71487,52.08866948244641,0.01,-7.701985557021527,100,2.96478,3.313466,3.5015814740763203,4.382661,6.4507923,0.39678803,0.35914052,,200.0,3.743233573839632
11.248981,-3.019806626980426e-16,-3.019806626980426e-16,0.00097234244,,55.67402275379512,7.9914217,55.67402275379512,0.01,-8.266655846407815,100,10.336549,2.7240548,9.41071031973678,10.423575,4.4980392,1.0353775,0.108646184,,200.0,12.513417982429498
5.45887,7.549516567451064e-16,7.549516567451064e-16,0.00013428686,0.005946449,44.96329414462152,1.4824382,44.96329414462152,0.010000002,-7.722385040792561,100,7.721518,-0.17034721,42.928768028729685,2.1848116,0.51629245,1.2755287,0.042796917,0.7584866,200.0,67.45643734078463
