VarVanillaIw,VarNormIw,MinNormIw,EpsThisIter,MaxVanillaIw,ESSClassic,AvgDiscRet,Bound,BatchSize,VanillaAvgRet,AvgEpLen,MinVanillaIw,AvgRet,MaxNormIw,ESSRenyi,AvgNormIw,VarRet,VarJ,J,AvgVanillaIw,eRenyi2,VarDiscRet,IterType
11372.469,0.008737945,5.8301243e-06,100,1067.1256,1.1427835801416721,-4.22159139373769,13.769349,100,-4.22159139373769,500.0,0.006651209,-4.22159139373769,0.9353901,21.1210017779835,0.01,174.04021087347013,17.130997,26.549849,11.408348,4.734624,174.04021087347013,1
405.5521,0.0005379033,1.0792281e-06,100,150.3486,15.809671514812788,-2.1817997689800253,-10.790018,200,-4.22159139373769,500.0,0.00093709683,-4.22159139373769,0.17315225,32.710967916329004,0.010000002,174.04021087347013,22.977676,-1.3501965,8.683028,6.114157,168.3332912545719,
4552.8135,0.003229179,9.0449146e-07,100,953.1445,1.5441473252309346,-3.2584336896887733,8.781976,200,-3.2584336896887733,500.0,0.0010739852,-3.2584336896887733,0.8027215,33.01971600221469,0.005000001,198.7560542293897,23.002182,19.003565,5.9369564,6.0569873,198.7560542293897,1
,3.5044917e-18,0.01,100,1.0,100.0,1.5188048866335837,-1.8577927,200,1.5188048866335837,500.0,1.0,1.5188048866335837,0.01,200.0,0.009999998,202.27614862866074,14.151092,1.5188049,1.0,1.0,202.27614862866074,2
14796.249,0.00035972614,1.63588e-07,100,931.1115,13.057300300566625,3.6217795081164934,-18.95048,300,-3.2584336896887733,500.0,0.0010491589,-3.2584336896887733,0.1451817,8.807883944947141,0.005,198.7560542293897,37.398144,1.6193,32.06711,34.060394,261.77571454837124,
8518.613,0.0022622005,6.1636524e-07,100,1599.4547,1.471169637377942,-3.8886465347268886,6.957954,300,-3.8886465347268886,500.0,0.0011960713,-3.8886465347268886,0.8242388,75.0053200918978,0.0033333336,138.1123885555006,39.585888,13.739973,6.468412,3.9997163,138.1123885555006,1
,3.5044917e-18,0.01,100,1.0,100.0,-0.8507658753522555,-3.7913198,300,-0.8507658753522555,500.0,1.0,-0.8507658753522555,0.01,300.0,0.009999998,133.15399771914048,11.481396,-0.8507658,1.0,1.0,133.15399771914048,2
,2.179301e-19,0.005,100,1.0,200.00000010221265,-0.8800554028501141,-2.9446962,300,-0.8800554028501141,500.0,1.0,-0.8800554028501141,0.005,300.0,0.0049999994,165.03272909370102,12.149183,-0.8654106,1.0,1.0,165.03272909370102,2
4096.582,0.00039101043,1.9315743e-07,100,836.07056,8.316322130128736,-0.7270628053050339,-3.5484993,400,-3.8886465347268886,500.0,0.0006252131,-3.8886465347268886,0.25830114,59.3426530199776,0.0033333336,138.1123885555006,30.777637,2.6828158,10.789352,6.7405143,163.5553930500199,
64529.2,0.0022505966,4.0208387e-10,100,5081.111,1.1105087465827534,-4.2180056423688,32.36485,400,-4.2180056423688,500.0,2.1530093e-06,-4.2180056423688,0.9489196,24.041226396568486,0.0025,133.93851575863084,44.367363,44.34402,13.386569,16.638086,133.93851575863084,1
