MinVanillaIw,MinNormIw,J,AvgVanillaIw,renyi2,VarRet,IterType,MaxVanillaIw,AvgNormIw,VarDiscRet,VanillaAvgRet,Bound,ESSRenyi,AvgDiscRet,AvgEpLen,MaxNormIw,ESSClassic,VarJ,EpsThisIter,SamplesThisIter,BatchSize,VarVanillaIw,AvgRet,VarNormIw,delta
,,51118.96,57923180000.0,nan,3707.9092547294586,1,3.58226e+16,6.6469914e-07,3707.9092547294586,49.792065109816946,385.0588,nan,49.792065109816946,5.982292414453219,0.4110833,2.0000000760010526,31980.373,8358,50000,100,1.7840315e+27,49.792065109816946,2.3493516e-07,0.6
,,44929.426,1.0130225e+17,nan,3530.0590857370116,1,7.678508e+22,6.5964804e-07,3530.0590857370116,49.338014892879784,368.10645,nan,49.338014892879784,5.936832106388032,0.5,1.9999999908684731,34362.758,8422,50000,100,inf,49.338014892879784,3.2982337e-07,0.6
,,41829.16,1.9039556e+16,nan,3064.64712513956,1,1.4993518e+22,6.3492064e-07,3064.64712513956,47.11366468360059,367.086,nan,47.11366468360059,5.714285714285714,0.49999556,1.999999885057727,26741.295,8750,50000,100,inf,47.11366468360059,3.1745427e-07,0.6
,,43155.387,5.554088e+16,nan,3362.4685967766623,1,4.226876e+22,6.5699567e-07,3362.4685967766623,49.09931459708942,331.61426,nan,49.09931459708942,5.912961210974456,0.49999914,2.0000000302356673,26835.469,8456,50000,100,inf,49.09931459708942,3.284961e-07,0.6
,,31777.68,503777700000000.0,nan,3542.0239850125354,1,3.9073983e+20,6.446456e-07,3542.0239850125354,47.988578730493124,478.2035,nan,47.988578730493124,5.801810164771409,0.49999973,2.0000000589990625,22735.395,8618,50000,100,inf,47.988578730493124,3.2232188e-07,0.6
,,41532.637,346204450.0,nan,3312.1756276559854,1,264970600000000.0,6.532873e-07,3312.1756276559854,48.76581031019866,321.10748,nan,48.76581031019866,5.87958607714017,0.49999914,2.000000140520049,26247.723,8504,50000,100,9.17337e+22,48.76581031019866,3.266421e-07,0.6
,,218249.5,30662074000000.0,nan,6086.282813811143,1,1.8441259e+19,6.752012e-07,6086.282813811143,50.73702721452836,1157.886,nan,50.73702721452836,6.076810889645114,0.40608996,1.9298654575014504,24355.703,8228,50000,100,inf,50.73702721452836,2.3078609e-07,0.6
,,104344.34,1963356300.0,nan,6611.80790857048,1,1374508500000000.0,7.053778e-07,6611.80790857048,53.45191486982565,1005.4525,nan,53.45191486982565,6.348400203148807,0.4938216,1.9997500363888314,99179.86,7876,50000,100,2.6656318e+24,53.45191486982565,3.4406895e-07,0.6
,,159904.47,2334354700.0,nan,15382.894619729652,1,763192800000000.0,8.0166757e-07,15382.894619729652,62.11695200914779,2112.8232,nan,62.11695200914779,7.215007215007215,0.2620968,1.3409916746763586,133269.66,6930,50000,100,1.3928227e+24,62.11695200914779,1.6426708e-07,0.6
,,392024.84,1.2224239e+16,nan,16389.933813738186,1,7.9145427e+21,7.6354524e-07,16389.933813738186,58.684338722115534,2231.4795,nan,58.684338722115534,6.871907641561298,0.49435484,1.9998165372251537,85812.086,7276,50000,100,inf,58.684338722115534,3.7323412e-07,0.6
,,121594.13,1845653600000000.0,nan,10451.016528111613,1,9.2305764e+20,8.650818e-07,10451.016528111613,67.8156623219315,709.82495,nan,67.8156623219315,7.785736530675802,0.4326491,1.9661892278309256,46342.69,6422,50000,100,inf,67.8156623219315,3.295023e-07,0.6
,,405129.6,1.9901934e+22,nan,44236.969814016746,1,7.291185e+27,1.2552091e-06,44236.969814016746,102.91971788601444,2326.5,nan,102.91971788601444,11.296882060551289,0.4598529,1.9999998948053632,80305.27,4426,50000,100,inf,102.91971788601444,5.3491004e-07,0.6
,,311630.34,88925170000.0,nan,35582.121727252,1,2.0842437e+16,1.4172334e-06,35582.121727252,117.48937032173652,2112.7542,nan,117.48937032173652,12.755102040816327,0.3321737,1.8576374596238907,49819.066,3920,50000,100,1.325671e+27,117.48937032173652,3.3671992e-07,0.6
,,494451.38,3427425300.0,nan,121914.80813437428,1,733832140000000.0,2.3283972e-06,121914.80813437428,199.4711815206944,3252.7456,nan,199.4711815206944,20.955574182732608,0.49852365,2.0000000020913222,66774.836,2386,50000,100,2.5077374e+24,199.4711815206944,1.1573371e-06,0.6
,,688398.56,33.916023,nan,1419296.277272063,1,690497.44,9.712509e-06,1419296.277272063,864.3931051072303,4075.1062,nan,864.3931051072303,87.41258741258741,0.1977373,2.3512168495529036,50313.797,572,50000,100,10675963.0,864.3931051072303,8.7550796e-07,0.6
,,875566.0,0.715005,nan,3424009.4175688387,1,12.189066,4.4091707e-05,3424009.4175688387,3965.16696015984,4571.438,nan,3965.16696015984,396.8253968253968,0.00075165456,2.0084232078024407,8599.373,126,50000,100,0.8893142,3965.16696015984,3.3818237e-09,0.6
