VarDiscRet,BatchSize,EpsThisIter,Bound,ESSClassic,MaxVanillaIw,J,AvgDiscRet,AvgEpLen,VanillaAvgRet,ESSRenyi,MinVanillaIw,IterType,AvgNormIw,AvgRet,VarJ,VarRet,eRenyi2,VarNormIw,Delta,MinNormIw,AvgVanillaIw,VarVanillaIw,MaxNormIw
27085.56038992746,100,100,617.9685,1.1352578086633232,125.49355,812.20996,108.8423725164873,11.89,108.8423725164873,2.1772177004250968,,1,0.01,108.8423725164873,396.17902,27085.56038992746,45.93018,0.008796538,0.9,,1.3380123,157.48238,0.93791026
893295.6105855217,200,100,nan,nan,inf,nan,588.4297932035687,11.89,108.8423725164873,nan,0.007968537,,nan,108.8423725164873,nan,27085.56038992746,nan,nan,0.9,nan,inf,nan,nan
33485.34653469032,200,100,1103.3303,1.6401157771793393,476.46906,1344.1339,122.02386865846918,13.21,122.02386865846918,5.0200658818536885,5.488354e-07,1,0.005,122.02386865846918,3099.548,33485.34653469032,39.840115,0.0030387598,0.9,8.9726837e-10,3.058368,1136.935,0.7789597
435335.5869790325,200,100,282.09863,100.0,1.0,448.7486,448.74862010204873,45.88,448.74862010204873,200.0,1.0,2,0.009999998,448.74862010204873,656.4924,435335.5869790325,1.0,3.5044917e-18,0.9,0.01,1.0,,0.01
666981.5434864439,300,100,-inf,2.267424506907357,1822039.9,221.08311,466.96598074839545,13.21,122.02386865846918,nan,0.0020987722,,0.005,122.02386865846918,328.58923,33485.34653469032,nan,0.0021911005,0.9,7.427339e-10,14128.696,17495503000.0,0.64480114
12768.618672425466,300,100,969.09937,2.1222873862040283,536.95355,1199.2885,128.83002938741356,13.89,128.83002938741356,5.493714584219779,1.3379416e-05,1,0.0033333325,128.83002938741356,5043.73,12768.618672425466,54.60786,0.0015647372,0.9,1.7045076e-08,2.616477,964.09064,0.68406683
1100199.7876636323,300,100,374.2061,100.0,1.0,540.87244,540.8724272159402,55.07,540.8724272159402,300.0,1.0,2,0.009999998,540.8724272159402,1043.6464,1100199.7876636323,1.0,3.5044917e-18,0.9,0.01,1.0,,0.01
730078.1126418565,300,100,400.05444,200.00000010221265,1.0,517.9056,494.9387353043085,50.49,494.9387353043085,300.0,1.0,2,0.0049999994,494.9387353043085,952.1107,730078.1126418565,1.0,2.179301e-19,0.9,0.005,1.0,,0.005
428718.83040417696,400,100,-inf,9.288883176570405,74741.68,228.3928,403.66621301273494,13.89,128.83002938741356,nan,0.0018623585,,0.0033333332,128.83002938741356,684.1421,12768.618672425466,nan,0.00034890382,0.9,5.2639244e-09,1179.322,43672996.0,0.21125607
40859.0698633088,400,100,897.4358,2.430279336134884,591.3173,1138.8668,120.33870169847329,13.04,120.33870169847329,6.452462489818955,7.297845e-08,1,0.0025,120.33870169847329,6203.364,40859.0698633088,61.991837,0.0010250008,0.9,7.8852355e-11,2.3137689,877.97925,0.63891137
806324.0220706688,400,100,398.31403,100.0,1.0,564.97925,564.9792628233822,57.5,564.9792628233822,400.0,1.0,2,0.009999998,564.9792628233822,893.4544,806324.0220706688,1.0,3.5044917e-18,0.9,0.01,1.0,,0.01
1831975.1599296292,400,100,583.61914,200.00000010221265,1.0,701.47015,837.9611063598504,84.74,837.9611063598504,400.0,1.0,2,0.0049999994,837.9611063598504,1150.9073,1831975.1599296292,1.0,2.179301e-19,0.9,0.005,1.0,,0.005
703674.9847949337,400,100,530.81494,299.999969473632,1.0,627.03986,478.1791553239529,48.81,478.1791553239529,400.0,1.0,2,0.0033333336,478.1791553239529,1061.2969,703674.9847949337,1.0,5.4391416e-20,0.9,0.0033333334,1.0,,0.0033333334
1525738.9966817396,500,100,-inf,1.3466458069324152,13702675.0,414.70963,826.9269021805561,13.04,120.33870169847329,nan,0.0016911393,,0.0025,120.33870169847329,974.7626,40859.0698633088,nan,0.0018548517,0.9,1.0596115e-10,39899.984,472470450000.0,0.8585639
47504.200554062096,500,100,1082.6455,1.6939838917709118,1292.9965,1403.2614,119.8432256004381,12.99,119.8432256004381,3.7390437733305126,3.2911169e-15,1,0.0020000003,119.8432256004381,3861.0322,47504.200554062096,133.72403,0.0011790069,0.9,1.9473378e-18,3.3801188,3367.598,0.76505977
1124651.5082029721,500,100,681.00385,100.0,1.0,847.66235,847.6623727607542,85.75,847.6623727607542,500.0,1.0,2,0.009999998,847.6623727607542,1055.1802,1124651.5082029721,1.0,3.5044917e-18,0.9,0.01,1.0,,0.01
1505725.6311296131,500,100,774.1115,200.00000010221265,1.0,891.96265,936.2629069944337,94.61,936.2629069944337,500.0,1.0,2,0.0049999994,936.2629069944337,1141.9277,1505725.6311296131,1.0,2.179301e-19,0.9,0.005,1.0,,0.005
1947522.0990137355,500,100,832.3411,299.999969473632,1.0,928.56616,1001.7731181884791,101.13,1001.7731181884791,500.0,1.0,2,0.0033333336,1001.7731181884791,1230.7294,1947522.0990137355,1.0,5.4391416e-20,0.9,0.0033333334,1.0,,0.0033333334
1401518.5806098485,500,100,839.28485,400.0,1.0,922.61816,904.7742390469436,91.46,904.7742390469436,500.0,1.0,2,0.0024999997,904.7742390469436,1217.7861,1401518.5806098485,1.0,5.434597e-20,0.9,0.0025,1.0,,0.0025
2116060.4994574212,500,100,4132.2456,4.563797313461466,161.65393,4815.4463,1039.1329732470317,104.86,1039.1329732470317,5.951144244055031,,1,0.0020000003,1039.1329732470317,2330.8335,2116060.4994574212,84.017456,0.0004351017,0.9,,0.88259363,84.73296,0.36631566
1406099.8711566203,500,100,4382.6787,100.0,1.0,4549.345,4549.345469673271,455.12,4549.345469673271,500.0,1.0,2,0.009999998,4549.345469673271,1179.847,1406099.8711566203,1.0,3.5044917e-18,0.9,0.01,1.0,,0.01
1089374.0637567444,500,100,4472.9653,200.00000010221265,1.0,4590.8164,4632.287711178896,463.41,4632.287711178896,500.0,1.0,2,0.0049999994,4632.287711178896,1112.1957,1089374.0637567444,1.0,2.179301e-19,0.9,0.005,1.0,,0.005
958075.479078618,500,100,4539.064,299.999969473632,1.0,4635.289,4724.232905766447,472.56,4724.232905766447,500.0,1.0,2,0.0033333336,4724.232905766447,1069.9408,958075.479078618,1.0,5.4391416e-20,0.9,0.0033333334,1.0,,0.0033333334
1263905.6857897097,500,100,4549.6,400.0,1.0,4632.9336,4625.866573903767,462.74,4625.866573903767,500.0,1.0,2,0.0024999997,4625.866573903767,1082.3185,1263905.6857897097,1.0,5.434597e-20,0.9,0.0025,1.0,,0.0025
2391224.74398286,500,100,4873.6177,230.08242166082124,5.2224154,4985.547,4301.793560713979,430.41,4301.793560713979,221.7220709645279,2.098612e-05,1,0.0019999999,4301.793560713979,68.73492,2391224.74398286,2.2550755,4.7019407e-06,0.9,4.03612e-08,1.0399156,1.2711982,0.010043923
492097.2149012703,500,100,4716.66,100.0,1.0,4883.3267,4883.326569951707,488.39,4883.326569951707,500.0,1.0,2,0.009999998,4883.326569951707,697.98016,492097.2149012703,1.0,3.5044917e-18,0.9,0.01,1.0,,0.01
293875.914502056,500,100,4787.899,200.00000010221265,1.0,4905.75,4928.173797005566,492.86,4928.173797005566,500.0,1.0,2,0.0049999994,4928.173797005566,624.14703,293875.914502056,1.0,2.179301e-19,0.9,0.005,1.0,,0.005
60073.032970552624,500,100,4832.6934,299.999969473632,1.0,4928.9185,4975.253443484445,497.56,4975.253443484445,500.0,1.0,2,0.0033333336,4975.253443484445,529.7206,60073.032970552624,1.0,5.4391416e-20,0.9,0.0033333334,1.0,,0.0033333334
