J,AvgDiscRet,eRenyi2,Delta,VarDiscRet,VarNormIw,VarJ,AvgEpLen,EpsThisIter,Bound,VarVanillaIw,MinVanillaIw,AvgNormIw,AvgRet,MaxVanillaIw,ESSRenyi,ESSClassic,AvgVanillaIw,BatchSize,IterType,VarRet,MinNormIw,VanillaAvgRet,MaxNormIw
-1195.15,-1486.51658804,1.97601,0.4,156831.227873,0.000112051,173.875,500.0,100,-1535.09,1.05294,0.000228926,0.01,-1486.51658804,3.98374,50.6070688752,47.4089803291,0.96938,100,1,156831.227873,2.36157e-06,-1486.51658804,0.0410957
-1160.11,-1211.62043306,1.16915,0.4,51251.7750704,1.96698e-05,85.7713,500.0,100,-1424.33,0.201139,0.164832,0.01,-1211.62043306,1.93082,85.5323205741,83.7008644431,1.01123,100,1,51251.7750704,0.00163002,-1211.62043306,0.0190939
-1090.21,-1178.78668407,1.4402,0.4,39314.5332702,0.000106737,360.638,500.0,100,-1382.06,1.02065,0.0432821,0.01,-1178.78668407,7.73884,69.435003267,48.6216390073,0.977871,100,1,39314.5332702,0.000442615,-1178.78668407,0.0791396
-822.491,-1138.27256065,2.57784,0.4,18314.5672072,0.00340679,1228.55,500.0,100,-1208.24,86.3256,0.00727711,0.01,-1138.27256065,93.4384,38.7921262686,2.87958153717,1.59183,100,1,18314.5672072,4.57154e-05,-1138.27256065,0.586987
-1100.76,-1122.87336429,1.12646,0.4,14622.5374664,1.46708e-05,167.51,500.0,100,-1339.75,0.136651,0.264631,0.01,-1122.87336429,2.03198,88.773364418,87.3178807872,0.965115,100,1,14622.5374664,0.00274196,-1122.87336429,0.0210543
-1088.25,-1122.99061209,1.19323,0.4,27385.0997923,5.34717e-05,186.952,500.0,100,-1350.59,0.642956,0.09829,0.01,-1122.99061209,7.4285,83.8059280105,65.3864007724,1.09655,100,1,27385.0997923,0.000896356,-1122.99061209,0.0677442
-1072.39,-1094.24656606,1.10594,0.4,24184.5267273,1.29039e-05,240.131,500.0,100,-1324.7,0.125751,0.24617,0.01,-1094.24656606,1.90207,90.4208197711,88.6722330728,0.987175,100,1,24184.5267273,0.00249368,-1094.24656606,0.0192678
-916.699,-1096.71301483,2.16906,0.4,42155.6265576,0.00103826,835.014,500.0,100,-1270.22,18.0093,0.0473393,0.01,-1096.71301483,42.4756,46.1030064808,8.86620157159,1.31703,100,1,42155.6265576,0.00035944,-1096.71301483,0.322511
-1042.13,-1067.13262689,1.11938,0.4,34136.7242749,1.28616e-05,226.373,500.0,100,-1296.08,0.14207,0.249552,0.01,-1067.13262689,2.68286,89.3350917908,88.7051914529,1.051,100,1,34136.7242749,0.00237442,-1067.13262689,0.0255266
-985.387,-1062.34241773,1.42365,0.4,63475.8163668,4.26272e-05,314.855,500.0,100,-1272.0,0.39643,0.0050526,0.01,-1062.34241773,2.70964,70.2421705502,70.3230248271,0.964361,100,1,63475.8163668,5.23933e-05,-1062.34241773,0.0280978
-820.841,-1028.80097709,2.25297,0.4,64926.5191121,0.000216737,276.6,500.0,100,-1181.25,1.33383,4.32251e-08,0.01,-1028.80097709,4.60329,44.3859306586,31.7895043716,0.784483,100,1,64926.5191121,5.51001e-10,-1028.80097709,0.0586793
-832.302,-900.10827498,1.2427,0.4,108236.701273,3.06556e-05,303.488,500.0,100,-1100.08,0.28428,0.0868197,0.01,-900.10827498,2.20733,80.4701464253,76.7170845353,0.962981,100,1,108236.701273,0.000901573,-900.10827498,0.0229219
-774.557,-871.215933888,1.4448,0.4,126435.302148,6.03043e-05,252.37,500.0,100,-1063.64,0.446857,0.0643116,0.01,-871.215933888,3.55874,69.2139709347,62.616901097,0.860815,100,1,126435.302148,0.000747101,-871.215933888,0.0413415
-715.562,-750.250153425,1.13161,0.4,34567.207406,1.48756e-05,144.729,500.0,100,-970.895,0.162364,0.0899723,0.01,-750.250153425,2.50251,88.3697862129,87.1635510283,1.04474,100,1,34567.207406,0.000861195,-750.250153425,0.0239535
-714.264,-777.35007741,1.30088,0.4,55462.5520172,7.28505e-05,238.105,500.0,100,-988.018,0.843091,0.0940383,0.01,-777.35007741,7.56018,76.8712480675,58.0983414904,1.07577,100,1,55462.5520172,0.000874146,-777.35007741,0.0702767
-674.191,-700.67560032,1.17668,0.4,10903.4597332,1.81804e-05,88.6739,500.0,100,-830.85,0.199597,0.164987,0.01,-700.67560032,2.2731,84.9851160189,84.7468048359,1.04779,100,1,10903.4597332,0.00157462,-700.67560032,0.0216941
-700.579,-736.709155258,1.15868,0.4,61268.4546125,1.63917e-05,179.226,500.0,100,-959.089,0.170058,0.153963,0.01,-736.709155258,1.9646,86.3054638058,86.0378936192,1.01856,100,1,61268.4546125,0.00151158,-736.709155258,0.0192881
-674.662,-694.479619554,1.08534,0.4,26959.605173,1.02132e-05,117.747,500.0,100,-924.806,0.0941352,0.187784,0.01,-694.479619554,1.5187,92.13691291,90.8173842011,0.960053,100,1,26959.605173,0.00195597,-694.479619554,0.0158189
-661.391,-693.328363976,1.1114,0.4,41508.7874359,1.72391e-05,102.729,500.0,100,-914.526,0.151653,0.153218,0.01,-693.328363976,1.60409,89.9768659944,85.4214009786,0.937925,100,1,41508.7874359,0.00163358,-693.328363976,0.0171026
-658.367,-693.588529878,1.13155,0.4,43674.0354394,1.41215e-05,111.637,500.0,100,-913.816,0.139653,0.252936,0.01,-693.588529878,2.2429,88.3746831837,87.7345363217,0.994455,100,1,43674.0354394,0.00254347,-693.588529878,0.0225541
-642.249,-657.850958184,1.13107,0.4,6387.98257194,1.41606e-05,65.8456,500.0,100,-767.821,0.146897,0.298866,0.01,-657.850958184,2.17556,88.4120334516,87.7046809598,1.01851,100,1,6387.98257194,0.00293434,-657.850958184,0.0213602
-625.797,-639.682035938,1.10691,0.4,6195.63945695,1.88996e-05,71.9119,500.0,100,-763.966,0.209657,0.267821,0.01,-639.682035938,3.70912,90.3416698751,84.2384907682,1.05324,100,1,6195.63945695,0.00254282,-639.682035938,0.0352162
-626.204,-637.113497947,1.0483,0.4,21452.248791,6.08866e-06,114.785,500.0,100,-872.029,0.0578291,0.300561,0.01,-637.113497947,1.47531,95.392472683,94.3149331343,0.974569,100,1,21452.248791,0.00308404,-637.113497947,0.015138
-614.223,-621.177884285,1.07051,0.4,2541.53932509,7.38788e-06,48.7753,500.0,100,-717.61,0.0799359,0.548741,0.01,-621.177884285,2.31202,93.413583609,93.1844888104,1.04019,100,1,2541.53932509,0.00527541,-621.177884285,0.022227
-622.171,-633.187606683,1.0978,0.4,7429.06297695,1.27433e-05,81.9399,500.0,100,-753.342,0.118507,0.176766,0.01,-633.187606683,1.65289,91.0912720949,88.7973963416,0.964341,100,1,7429.06297695,0.00183302,-633.187606683,0.0171401
-624.259,-629.579057369,1.04046,0.4,8268.74330979,4.14669e-06,84.4322,500.0,100,-764.15,0.040256,0.524482,0.01,-629.579057369,1.53569,96.1115454735,96.0566494878,0.985291,100,1,8268.74330979,0.00532312,-629.579057369,0.0155861
