Bound,MaxVanillaIw,MinVanillaIw,VarRet,AvgNormIw,BatchSize,VarJ,VarVanillaIw,renyi2,delta,MaxNormIw,AvgEpLen,J,VarNormIw,EpsThisIter,AvgRet,VarDiscRet,AvgDiscRet,ESSRenyi,SamplesThisIter,IterType,AvgVanillaIw,MinNormIw,VanillaAvgRet,ESSClassic
-452.915,1.71171,0.564671,143.840532054,5.55556e-05,100,187.075,0.04669,nan,0.4,9.412e-05,500.0,-72249.5,1.41166e-10,100,-403.377386398,143.840532054,-403.377386398,nan,50000,1,1.01036,3.1049e-05,-403.377386398,0.80613301905
-211.866,9.33307e+19,,11225.3295644,5.00501e-05,100,1705.54,inf,nan,0.4,0.0905274,450.45045045,-26869.4,4.50964e-06,111,-368.621701621,11225.3295644,-368.621701621,nan,50000,1,5.16e+16,,-368.621701621,10.9998910787
-456.728,1.31959,0.731003,41.9576648591,5.55556e-05,100,88.3468,0.0116005,8.47841,0.4,7.41911e-05,500.0,-73017.2,3.66693e-11,100,-406.199258136,41.9576648591,-406.199258136,0.0207909262226,50000,1,0.98813,4.10991e-05,-406.199258136,0.714633089081
-233.53,7.8523e+16,,10056.2805405,5.00501e-05,100,1533.79,3.7069e+30,nan,0.4,0.0692609,450.45045045,-32000.6,2.88399e-06,111,-367.890183359,10056.2805405,-367.890183359,nan,50000,1,5.67432e+13,,-367.890183359,10.0650757433
-283.677,508.855,,9353.3797973,4.96032e-05,100,1892.74,1973.04,nan,0.4,0.00246727,446.428571429,-38580.8,4.63855e-08,112,-361.338575809,9353.3797973,-361.338575809,nan,50000,1,10.2302,,-361.338575809,2.46213467751
-200.991,357.653,,17172.9679207,4.51671e-05,100,1579.85,1256.61,nan,0.4,0.00159088,406.504065041,-27070.8,2.4863e-08,123,-322.88779617,17172.9679207,-322.88779617,nan,50000,1,10.1542,,-322.88779617,2.22592412829
-211.068,591.833,,15744.6630268,4.62963e-05,100,2341.56,1491.03,nan,0.4,0.00291228,416.666666667,-29629.2,3.61041e-08,120,-330.678589777,15744.6630268,-330.678589777,nan,50000,1,9.40832,,-330.678589777,3.33858098671
-240.318,5.83016e+19,,9931.92425358,5.005e-05,100,1434.39,inf,nan,0.4,0.0817342,450.45045045,-28637.5,3.72035e-06,111,-359.583107456,9931.92425358,-359.583107456,nan,50000,1,3.57011e+16,,-359.583107456,10.8678355441
-441.015,10.4063,0.00111435,1274.87323876,5.50055e-05,100,2882.22,0.38049,nan,0.4,0.000669729,495.04950495,-69583.8,1.57599e-09,101,-404.762343803,1274.87323876,-404.762343803,nan,50000,1,0.854676,7.1718e-08,-404.762343803,0.882594672009
-419.922,12.9993,2.72009e-14,1716.57292811,5.50055e-05,100,2584.56,0.809235,nan,0.4,0.000794489,495.04950495,-65159.1,3.02281e-09,101,-390.331091636,1716.57292811,-390.331091636,nan,50000,1,0.899991,1.66246e-18,-390.331091636,0.647582053064
-220.616,6.37012e+13,,11188.0704458,4.91642e-05,100,1710.53,1.99537e+24,nan,0.4,0.0960037,442.477876106,-27414.2,4.53215e-06,113,-345.144218278,11188.0704458,-345.144218278,nan,50000,1,3.26219e+10,,-345.144218278,9.99340428821
-220.092,1.16553e+22,,9966.71674371,5.00501e-05,100,1836.61,inf,nan,0.4,0.0999899,450.45045045,-27740.0,5.00174e-06,111,-348.702985733,9966.71674371,-348.702985733,nan,50000,1,5.83409e+18,,-348.702985733,9.99999967273
-445.122,2.44561,0.00449191,338.773975015,5.55556e-05,100,304.395,0.0881096,nan,0.4,0.000141192,500.0,-70760.8,2.93676e-10,100,-397.524784339,338.773975015,-397.524784339,nan,50000,1,0.962287,2.5933e-07,-397.524784339,0.769799686438
