AvgRet,MinVanillaIw,renyi2,IterType,VarRet,VarVanillaIw,ESSRenyi,ESSClassic,delta,J,MaxNormIw,VarDiscRet,BatchSize,AvgNormIw,Bound,VarNormIw,MaxVanillaIw,SamplesThisIter,AvgVanillaIw,EpsThisIter,MinNormIw,VanillaAvgRet,VarJ,AvgDiscRet,AvgEpLen
-4.55134022352,,nan,1,35.7093111622,1.84274e+28,nan,2.99999964732,0.5,1657.55,0.333333,35.7093111622,100,5.52486e-05,1.6972,1.84142e-05,1.05447e+16,50000,1.74774e+12,100,,-4.55134022352,96.6814,-4.55134022352,500.0
-5.4936381412,,nan,1,29.2725396607,6.72646e+16,nan,2.99999998796,0.5,1080.95,0.33333,29.2725396607,100,5.52486e-05,0.891577,1.84138e-05,2.01463e+10,50000,3.3392e+06,100,,-5.4936381412,88.2992,-5.4936381412,500.0
-3.65542139879,1.23145e-34,nan,1,51.6382651906,4287.85,nan,0.63373161383,0.5,1765.21,0.0102201,51.6382651906,100,5.52486e-05,4.72753,9.08554e-08,2220.24,50000,12.0023,100,5.66853e-40,-3.65542139879,98.7672,-3.65542139879,500.0
-4.68101729846,,nan,1,34.6114605419,inf,nan,2.00182865212,0.5,2530.45,0.194989,34.6114605419,100,5.52486e-05,6.23631,9.44152e-06,4.78483e+19,50000,1.35574e+16,100,,-4.68101729846,46.5327,-4.68101729846,500.0
-4.64765621555,4.97912e-17,nan,1,23.5147371876,9.0731,nan,1.11726235298,0.5,19.7171,0.00152162,23.5147371876,100,5.52486e-05,-2.9826,1.39206e-08,38.8467,50000,1.41049,100,1.95031e-21,-4.64765621555,69.0276,-4.64765621555,500.0
-5.47309297719,,nan,1,44.4077799769,33.9499,nan,0.757103279776,0.5,488.304,0.00127006,44.4077799769,100,5.52486e-05,-2.1296,1.72226e-08,56.3889,50000,2.45297,100,,-5.47309297719,75.3974,-5.47309297719,500.0
-2.04077405124,,nan,1,38.216720175,inf,nan,2.99935721066,0.5,nan,0.328494,38.216720175,100,5.52486e-05,nan,1.78871e-05,6.46926e+24,50000,1.08805e+21,100,,-2.04077405124,nan,-2.04077405124,500.0
-3.4882812144,,nan,1,41.9848113949,206.631,nan,0.703451128248,0.5,998.474,0.00159381,41.9848113949,100,5.52486e-05,2.59405,2.79179e-08,137.117,50000,4.75311,100,,-3.4882812144,50.4635,-3.4882812144,500.0
-2.63591680919,1.90607e-18,nan,1,21.4816212095,522.531,nan,1.79147076178,0.5,900.853,0.00572116,21.4816212095,100,5.52486e-05,1.87881,5.27489e-08,569.421,50000,5.49884,100,1.91509e-23,-2.63591680919,56.0585,-2.63591680919,500.0
-3.09635817977,2.3078e-13,nan,1,33.3809383131,13.8421,nan,1.64843764217,0.5,454.731,0.00147873,33.3809383131,100,5.52486e-05,-1.57911,1.30739e-08,48.1158,50000,1.79771,100,7.09248e-18,-3.09635817977,80.0349,-3.09635817977,500.0
-4.52644457027,7.1424e-12,nan,1,38.9795268023,34.1552,nan,0.847016575256,0.5,509.162,0.00138084,38.9795268023,100,5.52486e-05,-2.10334,1.9544e-08,57.7252,50000,2.30963,100,1.70853e-16,-4.52644457027,65.3555,-4.52644457027,500.0
-1.53048512477,,nan,1,28.9453510441,373.777,nan,0.800341944747,0.5,1271.75,0.0129952,28.9453510441,100,5.52486e-05,3.30331,7.72693e-08,903.829,50000,3.84259,100,,-1.53048512477,184.017,-1.53048512477,500.0
-2.4668627141,,nan,1,32.7567140922,603.383,nan,0.62731607086,0.5,1147.67,0.00570397,32.7567140922,100,5.52486e-05,2.43923,6.34618e-08,556.182,50000,5.38718,100,,-2.4668627141,76.4243,-2.4668627141,500.0
-1.83893281534,,nan,1,49.8277332924,1.86113e+06,nan,1.98717334778,0.5,2620.41,0.08209,49.8277332924,100,5.52486e-05,9.04348,1.06096e-06,108725.0,50000,73.1744,100,,-1.83893281534,85.0234,-1.83893281534,500.0
-3.08279954122,,nan,1,51.4063179985,inf,nan,1.19709351285,0.5,3546.16,0.274789,51.4063179985,100,5.52486e-05,6.52353,1.39373e-05,6.02072e+20,50000,1.21052e+17,100,,-3.08279954122,74.6493,-3.08279954122,500.0
-2.39501428829,3.14473e-30,nan,1,48.8943381905,527516.0,nan,2.7574642384,0.5,2263.36,0.0924913,48.8943381905,100,5.52486e-05,6.07437,1.70522e-06,51443.2,50000,30.729,100,5.65401e-36,-2.39501428829,93.7354,-2.39501428829,500.0
-4.4116733442,3.25991e-32,nan,1,42.9029254185,37.5975,nan,1.34522769268,0.5,689.689,0.00279361,42.9029254185,100,5.52486e-05,-0.621062,2.16846e-08,116.324,50000,2.30051,100,7.82893e-37,-4.4116733442,95.211,-4.4116733442,500.0
-2.20775184108,1.80646e-17,nan,1,33.325138786,188.083,nan,0.833423612827,0.5,1155.69,0.0033758,33.325138786,100,5.52486e-05,1.3998,4.69774e-08,213.603,50000,3.49584,100,2.85494e-22,-2.20775184108,75.2285,-2.20775184108,500.0
-1.32495938841,,nan,1,37.9045496988,5491.29,nan,0.784278294442,0.5,2069.78,0.020474,37.9045496988,100,5.52486e-05,5.44265,1.98517e-07,3405.19,50000,9.18881,100,,-1.32495938841,140.321,-1.32495938841,500.0
-3.21104487836,4.56028e-21,nan,1,32.6342657078,164.858,nan,0.332226329867,0.5,1158.93,0.00409623,32.6342657078,100,5.52486e-05,1.57918,5.34538e-08,227.484,50000,3.06822,100,8.21156e-26,-3.21104487836,185.331,-3.21104487836,500.0
-1.47092979143,,nan,1,41.522101508,7.66671e+26,nan,2.82671308478,0.5,3176.03,0.26418,41.522101508,100,5.52486e-05,8.54506,1.22743e-05,2.08788e+15,50000,4.36644e+11,100,,-1.47092979143,60.6074,-1.47092979143,500.0
-1.59126901275,,nan,1,68.2133805361,7.37576e+14,nan,2.99842671344,0.5,3715.64,0.323786,68.2133805361,100,5.52486e-05,10.6675,1.73833e-05,2.10909e+09,50000,359880.0,100,,-1.59126901275,89.7007,-1.59126901275,500.0
-0.921852163495,,nan,1,89.8919875814,7.59714e+29,nan,2.00000000503,0.5,5400.63,0.499998,89.8919875814,100,5.52486e-05,11.4437,2.76226e-05,8.29204e+16,50000,9.1625e+12,100,,-0.921852163495,202.27,-0.921852163495,500.0
-1.83782441927,1.26868e-28,nan,1,42.2031250428,197.787,nan,0.647598804623,0.5,1756.61,0.0132163,42.2031250428,100,5.52486e-05,4.36713,8.21944e-08,648.315,50000,2.71019,100,2.58627e-33,-1.83782441927,228.644,-1.83782441927,500.0
1.14464104809,,nan,1,72.239788639,1.94482e+09,nan,0.877273225473,0.5,5057.21,0.037891,72.239788639,100,5.52486e-05,12.8805,8.11056e-07,1.85545e+06,50000,2705.42,100,,1.14464104809,102.48,1.14464104809,500.0
0.055479010435,,nan,1,76.4771887422,303292.0,nan,1.84711247296,0.5,3437.59,0.116697,76.4771887422,100,5.52486e-05,12.2456,1.69753e-06,49326.7,50000,23.353,100,,0.055479010435,131.531,0.055479010435,500.0
3.07418626532,,nan,1,73.3577250903,1613.61,nan,2.3649043748,0.5,2946.84,0.0239371,73.3577250903,100,5.52486e-05,12.1301,1.52743e-07,2460.31,50000,5.67858,100,,3.07418626532,59.9196,3.07418626532,500.0
1.17896245314,8.5315e-21,nan,1,81.8459520967,4241.5,nan,0.932719380174,0.5,4402.02,0.148217,81.8459520967,100,5.52486e-05,9.18404,1.38963e-06,8188.6,50000,3.05234,100,1.54424e-25,1.17896245314,846.144,1.17896245314,500.0
1.70027114608,2.22178e-34,nan,1,108.552908841,678.917,nan,1.11788738659,0.5,4462.96,0.0115732,108.552908841,100,5.52486e-05,12.9638,9.51799e-08,977.437,50000,4.66613,100,2.63066e-39,1.70027114608,446.462,1.70027114608,500.0
0.648700391748,,nan,1,64.7972807091,4.54583e+07,nan,0.741059465854,0.5,4506.94,0.0850112,64.7972807091,100,5.52486e-05,10.3802,2.1738e-06,388752.0,50000,252.649,100,,0.648700391748,243.532,0.648700391748,500.0
0.686084050265,,nan,1,62.4959862683,1.5233e+12,nan,2.61969494694,0.5,4471.5,0.150045,62.4959862683,100,5.52486e-05,12.0333,4.27044e-06,8.96145e+07,50000,32997.3,100,,0.686084050265,85.2889,0.686084050265,500.0
3.98566404781,,nan,1,92.9386353279,707862.0,nan,1.32383900148,0.5,5191.44,0.0535534,92.9386353279,100,5.52486e-05,14.9342,9.46244e-07,46319.1,50000,47.7853,100,,3.98566404781,268.003,3.98566404781,500.0
4.16056523976,2.6608e-36,nan,1,134.650976175,9.67088e+07,nan,0.769761905539,0.5,7497.46,0.0955705,134.650976175,100,5.52486e-05,18.5994,2.62658e-06,579911.0,50000,335.242,100,4.38606e-43,4.16056523976,325.107,4.16056523976,500.0
4.34690764954,,nan,1,121.588595837,58162.0,nan,1.42000026454,0.5,5196.37,0.0448954,121.588595837,100,5.52486e-05,18.1813,4.84429e-07,15556.3,50000,19.1437,100,,4.34690764954,242.928,4.34690764954,500.0
3.10034292562,,nan,1,121.390296839,8.72348e+06,nan,0.831064954785,0.5,5896.63,0.0832204,121.390296839,100,5.52486e-05,17.0072,1.99665e-06,173950.0,50000,115.482,100,,3.10034292562,274.526,3.10034292562,500.0
6.32703397584,3.32158e-33,nan,1,90.5456602861,166.102,nan,0.737929456151,0.5,4063.56,0.00814782,90.5456602861,100,5.52486e-05,16.1409,4.85654e-08,476.503,50000,3.23106,100,5.67965e-38,6.32703397584,151.964,6.32703397584,500.0
6.21314069777,1.16642e-22,nan,1,132.930835207,21186.5,nan,1.09656403707,0.5,5717.89,0.0402721,132.930835207,100,5.52486e-05,18.1943,4.61104e-07,8632.47,50000,11.8427,100,5.44159e-28,6.21314069777,308.251,6.21314069777,500.0
8.74531460395,2.15814e-32,nan,1,263.408464247,402.9,nan,0.596594316126,0.5,8012.21,0.00699034,263.408464247,100,5.52486e-05,25.5213,7.22779e-08,521.908,50000,4.12494,100,2.89058e-37,8.74531460395,623.208,8.74531460395,500.0
11.9880166603,2.64253e-29,nan,1,193.589214879,97176.3,nan,0.691656393633,0.5,8159.56,0.0327012,193.589214879,100,5.52486e-05,27.3512,6.44437e-07,12698.5,50000,21.4542,100,6.80503e-35,11.9880166603,349.619,11.9880166603,500.0
12.0207260283,8.63065e-22,nan,1,134.759011067,81.0046,nan,0.521898131786,0.5,5775.8,0.00435466,134.759011067,100,5.52486e-05,21.4759,4.0496e-08,194.761,50000,2.47098,100,1.92972e-26,12.0207260283,293.718,12.0207260283,500.0
