optimgain,entloss,meankl,Var_J,DiscEpRewMean,EpisodesSoFar,TimestepsSoFar,J_hat,TimeElapsed,EpThisIter,EpRewMean,SampleRenyi2,ev_tdlam_before,Step_size,entropy,EpLenMean,surrgain
0.0256815,,0.0095824,273.5133056640625,-837.679049673,100,20000,-687.8909912109375,24.149481773376465,100,-1323.85419401,45.9588,-0.0031156539917,1.0,1.39528,200.0,0.0256815
0.0295395,,0.00968788,765.6591796875,-677.813414298,200,40000,-558.4273681640625,40.01494002342224,100,-1079.83990329,52.3854,-0.00120902061462,1.0,1.36223,200.0,0.0295395
0.0314306,,0.00987233,101.756591796875,-512.917845469,300,60000,-413.5524597167969,56.89242720603943,100,-809.856677484,24.6894,-0.00108516216278,1.0,1.31305,200.0,0.0314306
0.0306625,,0.00976942,78.27046203613281,-372.173613357,400,80000,-284.40118408203125,74.82542777061462,100,-584.627629112,30.4034,-0.00162613391876,1.0,1.2509,200.0,0.0306625
0.0320185,,0.00996124,57.56071090698242,-290.573299539,500,100000,-226.24461364746094,93.95348739624023,100,-456.328785781,24.9599,-0.00432944297791,1.0,1.17692,200.0,0.0320185
0.0299991,,0.00995317,5.955923557281494,-217.269237685,600,120000,-184.58885192871094,113.28455448150635,100,-337.577188611,22.7573,-0.0021892786026,1.0,1.09293,200.0,0.0299991
0.0295579,,0.00998723,11.6243257522583,-174.976550057,700,140000,-147.837890625,133.10913276672363,100,-272.527654033,20.5673,-0.00349318981171,1.0,1.00367,200.0,0.0295579
0.0292421,,0.0100894,1.6802809238433838,-141.631151646,800,160000,-127.63616943359375,152.36340284347534,100,-220.106761448,23.0939,0.00020569562912,1.0,0.909666,200.0,0.0292421
0.027742,,0.0101396,3.183561325073242,-118.979458616,900,180000,-102.8811264038086,172.61567163467407,100,-183.334313079,24.291,0.000666558742523,1.0,0.81333,200.0,0.027742
0.0274621,,0.0101422,7.8586907386779785,-98.2021333173,1000,200000,-81.85958862304688,192.79232931137085,100,-151.32369683,24.3093,0.0017996430397,1.0,0.716544,200.0,0.0274621
0.0243462,,0.0101525,5.139395236968994,-82.7280530744,1100,220000,-70.7358627319336,213.79543542861938,100,-126.173553862,24.2236,0.000732362270355,1.0,0.619469,200.0,0.0243462
0.022372,,0.0101671,6.663273811340332,-70.1109544966,1200,240000,-58.485408782958984,236.42097759246826,100,-106.588146241,24.3325,0.00211554765701,1.0,0.522018,200.0,0.022372
0.0214331,,0.0101301,6.592379093170166,-58.256637688,1300,260000,-51.42463684082031,257.2892487049103,100,-87.9876434627,23.939,0.00335204601288,1.0,0.425218,200.0,0.0214331
0.0185219,,0.0101066,3.1205828189849854,-50.6623544844,1400,280000,-46.292564392089844,279.0150377750397,100,-75.0819768917,23.892,-0.000259876251221,1.0,0.328571,200.0,0.0185219
0.0148698,,0.0101732,5.3195109367370605,-43.4375972714,1500,300000,-31.893260955810547,302.2441375255585,100,-64.0017848428,24.3871,0.00289809703827,1.0,0.231016,200.0,0.0148698
