ESSRenyi,BatchSize,AvgVanillaIw,AvgDiscRet,AvgRet,VarVanillaIw,MaxVanillaIw,ESSClassic,VarJ,IterType,MinVanillaIw,Delta,Bound,VarRet,J,AvgNormIw,AvgEpLen,MinNormIw,MaxNormIw,eRenyi2,EpsThisIter,VarDiscRet,VarNormIw,VanillaAvgRet
11.2663840945,100,2.05388,161.420861883,161.420861883,159.68,124.475,2.59913038743,801.037,1,3.21406e-07,0.4,231.992,10740.5379436,438.345,0.01,17.6,1.56487e-09,0.606049,8.87596,100,10740.5379436,0.00378529,161.420861883
nan,200,31336.3,190.818211585,161.420861883,9.67913e+10,3.11133e+06,1.01437009446,23.8046,,0.00803372,0.4,-inf,10740.5379436,434.438,0.01,17.6,2.56371e-09,0.992884,nan,100,12801.6071236,0.00985691,161.420861883
17.9999311641,200,2.64755,174.464849285,174.464849285,461.032,302.206,3.01007200806,2791.84,1,4.36623e-06,0.4,380.63,20586.1697747,672.882,0.005,19.0,8.24581e-09,0.570728,11.1112,100,20586.1697747,0.00164431,174.464849285
200.0,200,1.0,230.977028048,230.977028048,,1.0,100.0,171.809,2,1.0,0.4,104.509,29816.5471109,230.977,0.01,25.07,0.01,0.01,1.0,100,29816.5471109,3.50449e-18,230.977028048
,300,2189.79,200.597427644,174.464849285,4.03353e+08,229030.0,2.36138995235,48.0448,,0.003309,0.4,-3.34654e+22,20586.1697747,76.8501,0.005,19.0,7.55554e-09,0.522951,inf,100,20183.4683851,0.00210291,174.464849285
13.3680280513,300,3.74854,147.729260501,147.729260501,2148.62,801.576,1.95567570652,2759.99,1,7.22249e-11,0.4,453.885,9522.75922254,793.009,0.00333333,16.14,6.42249e-14,0.712789,22.4416,100,9522.75922254,0.00169899,147.729260501
300.0,300,1.0,209.857384386,209.857384386,,1.0,100.0,127.043,2,1.0,0.4,130.811,16302.9243332,209.857,0.01,22.79,0.01,0.01,1.0,100,16302.9243332,3.50449e-18,209.857384386
300.0,300,1.0,244.574394498,244.574394498,,1.0,200.000000102,149.89,2,1.0,0.4,124.727,28476.4308982,227.216,0.005,26.48,0.005,0.005,1.0,100,28476.4308982,2.1793e-19,244.574394498
nan,400,5.27199e+07,214.575200613,147.729260501,6.44861e+17,1.38456e+10,1.29175237081,200.3,,0.00124754,0.4,-inf,9522.75922254,228.173,0.00333333,16.14,7.88787e-14,0.875422,nan,100,14528.8707143,0.00257796,147.729260501
36.3964029007,400,1.63352,138.592321673,138.592321673,171.431,257.656,6.14583543678,3706.51,1,4.56694e-11,0.4,341.895,9176.61105412,547.419,0.0025,15.16,6.98943e-14,0.394327,10.9901,100,9176.61105412,0.000401534,138.592321673
400.0,400,1.0,216.022715531,216.022715531,,1.0,100.0,121.36,2,1.0,0.4,137.515,14876.9912952,216.023,0.01,23.44,0.01,0.01,1.0,100,14876.9912952,3.50449e-18,216.022715531
400.0,400,1.0,239.515431845,239.515431845,,1.0,200.000000102,135.72,2,1.0,0.4,158.438,22056.4083292,227.769,0.005,25.97,0.005,0.005,1.0,100,22056.4083292,2.1793e-19,239.515431845
400.0,400,1.0,228.011881229,228.011881229,,1.0,299.999969474,133.019,2,1.0,0.4,171.242,16405.962278,227.85,0.00333333,24.74,0.00333333,0.00333333,1.0,100,16405.962278,5.43914e-20,228.011881229
1018.67953824,500,5.55942e+07,239.03183715,138.592321673,1.19869e+18,2.18965e+10,1.03128350629,53.6746,,0.00388115,0.4,-inf,9176.61105412,404.386,0.0025,15.16,1.7453e-13,0.984659,0.490831,100,17321.717147,0.00242397,138.592321673
52.2620318563,500,1.33039,132.50795206,132.50795206,68.7909,177.707,12.5664433065,3389.18,1,8.10255e-13,0.4,278.712,7662.11993282,450.226,0.002,14.48,1.21807e-15,0.267149,9.56717,100,7662.11993282,0.000155465,132.50795206
500.0,500,1.0,254.370363999,254.370363999,,1.0,100.0,191.96,2,1.0,0.4,90.013,37220.9867284,254.37,0.01,27.56,0.01,0.01,1.0,100,37220.9867284,3.50449e-18,254.370363999
500.0,500,1.0,241.7096981,241.7096981,,1.0,200.000000102,154.57,2,1.0,0.4,131.822,10964.479635,248.04,0.005,26.19,0.005,0.005,1.0,100,10964.479635,2.1793e-19,241.7096981
500.0,500,1.0,232.591230927,232.591230927,,1.0,299.999969474,147.725,2,1.0,0.4,147.999,17701.9748297,242.89,0.00333333,25.25,0.00333333,0.00333333,1.0,100,17701.9748297,5.43914e-20,232.591230927
500.0,500,1.0,244.633010139,244.633010139,,1.0,400.0,149.528,2,1.0,0.4,161.147,24206.4279305,243.326,0.0025,26.51,0.0025,0.0025,1.0,100,24206.4279305,5.4346e-20,244.633010139
15.8843825587,500,1.70238,216.071805397,216.071805397,579.27,502.838,2.49403228147,1971.96,1,2.91819e-13,0.4,572.923,13105.4577229,985.309,0.002,23.43,3.42835e-16,0.590745,31.4775,100,13105.4577229,0.000799514,216.071805397
500.0,500,1.0,363.433806703,363.433806703,,1.0,100.0,194.207,2,1.0,0.4,210.821,38097.4298353,363.434,0.01,39.29,0.01,0.01,1.0,100,38097.4298353,3.50449e-18,363.433806703
500.0,500,1.0,380.348748686,380.348748686,,1.0,200.000000102,209.511,2,1.0,0.4,262.149,50434.5969696,371.891,0.005,41.12,0.005,0.005,1.0,100,50434.5969696,2.1793e-19,380.348748686
500.0,500,1.0,347.983336099,347.983336099,,1.0,299.999969474,224.716,2,1.0,0.4,229.509,63961.2893765,363.922,0.00333333,37.6,0.00333333,0.00333333,1.0,100,63961.2893765,5.43914e-20,347.983336099
