script,env,policy,delta,gamma,njobs,seed,capacity,num_episodes,max_iters,iw_norm
pbpomis/run,rllab.cartpole,linear,0.05,1.0,1,10,1,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.05,1.0,1,10,10,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.05,1.0,1,109,1,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.05,1.0,1,109,10,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.05,1.0,1,904,1,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.05,1.0,1,904,10,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.05,1.0,1,160,1,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.05,1.0,1,160,10,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.05,1.0,1,570,1,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.05,1.0,1,570,10,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.1,1.0,1,10,1,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.1,1.0,1,10,10,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.1,1.0,1,109,1,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.1,1.0,1,109,10,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.1,1.0,1,904,1,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.1,1.0,1,904,10,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.1,1.0,1,160,1,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.1,1.0,1,160,10,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.1,1.0,1,570,1,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.1,1.0,1,570,10,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.2,1.0,1,10,1,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.2,1.0,1,10,10,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.2,1.0,1,109,1,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.2,1.0,1,109,10,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.2,1.0,1,904,1,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.2,1.0,1,904,10,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.2,1.0,1,160,1,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.2,1.0,1,160,10,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.2,1.0,1,570,1,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.2,1.0,1,570,10,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.3,1.0,1,10,1,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.3,1.0,1,10,10,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.3,1.0,1,109,1,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.3,1.0,1,109,10,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.3,1.0,1,904,1,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.3,1.0,1,904,10,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.3,1.0,1,160,1,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.3,1.0,1,160,10,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.3,1.0,1,570,1,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.3,1.0,1,570,10,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.4,1.0,1,10,1,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.4,1.0,1,10,10,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.4,1.0,1,109,1,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.4,1.0,1,109,10,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.4,1.0,1,904,1,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.4,1.0,1,904,10,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.4,1.0,1,160,1,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.4,1.0,1,160,10,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.4,1.0,1,570,1,10,500,rows
pbpomis/run,rllab.cartpole,linear,0.4,1.0,1,570,10,10,500,rows
