ESSRenyi,AvgEpLen,AvgVanillaIw,MaxVanillaIw,VarJ,J,EpsThisIter,AvgNormIw,VarNormIw,MinVanillaIw,Delta,VarDiscRet,VarVanillaIw,VarRet,BatchSize,Bound,ESSClassic,AvgRet,VanillaAvgRet,IterType,AvgDiscRet,MaxNormIw,MinNormIw,eRenyi2
0.017929992833255793,200.0,3.2350514e-26,3.2350513e-24,,-3.5996227,100,0.01,0.010000003,,1.0,5156160.471291107,,5156160.471291107,100,-3.5996227,inf,-2329.9978008527473,-2329.9978008527473,1,-2329.9978008527473,1.0,,5577.247
nan,200.0,inf,inf,nan,nan,100,nan,nan,3.091141e+23,1.0,51.24911642197436,nan,5156160.471291107,200,nan,nan,-2329.9978008527473,-2329.9978008527473,,-7.641673087373363,nan,nan,nan
0.34493038233713913,200.0,0.0013363739,0.26727477,,-2.1679401,100,0.005,0.005,,1.0,4675573.581061572,0.0003571791,4675573.581061572,200,-2.1679401,1.0,-2043.7021909365403,-2043.7021909365403,1,-2043.7021909365403,1.0,,579.82715
200.0,200.0,1.0,1.0,7.2976184,-8.59683,100,0.009999998,3.5044917e-18,1.0,1.0,53.793166368403654,,53.793166368403654,200,-8.59683,100.0,-8.596831586803999,-8.596831586803999,2,-8.596831586803999,0.01,0.01,1.0
nan,200.0,inf,inf,nan,nan,100,nan,nan,3.741468,1.0,49.70397257264724,nan,4675573.581061572,300,nan,nan,-2043.7021909365403,-2043.7021909365403,,-8.289920575524757,nan,nan,nan
0.4052671537699937,200.0,2.354983e-19,7.064949e-17,3.6154604e-10,-0.10424438,100,0.0033333334,0.0033333332,,1.0,5967723.43823583,1.6637835e-35,5967723.43823583,300,-0.10424438,1.0,-2773.97919767431,-2773.97919767431,1,-2773.97919767431,1.0,,740.25244
300.0,200.0,1.0,1.0,6.865417,-8.293899,100,0.009999998,3.5044917e-18,1.0,1.0,47.610048228415394,,47.610048228415394,300,-8.293899,100.0,-8.293898750326251,-8.293898750326251,2,-8.293898750326251,0.01,0.01,1.0
300.0,200.0,1.0,1.0,7.062117,-7.770823,100,0.0049999994,2.179301e-19,1.0,1.0,52.59176388746978,,52.59176388746978,300,-7.770823,200.00000010221265,-7.247749120361447,-7.247749120361447,2,-7.247749120361447,0.005,0.005,1.0
nan,200.0,inf,inf,nan,nan,100,nan,nan,1.4154385e+16,1.0,40.66294896885955,nan,5967723.43823583,400,nan,nan,-2773.97919767431,-2773.97919767431,,-6.767117953014069,nan,nan,nan
0.5528840009107873,200.0,0.7691185,307.6474,3.435866e-15,-0.16577308,100,0.0025,0.0025000002,,1.0,5434503.332030912,236.61737,5434503.332030912,400,-0.16577308,1.0,-2551.1676245042613,-2551.1676245042613,1,-2551.1676245042613,1.0,,723.47906
400.0,200.0,1.0,1.0,6.587846,-7.2426066,100,0.009999998,3.5044917e-18,1.0,1.0,43.838099254858555,,43.838099254858555,400,-7.2426066,100.0,-7.242606931397096,-7.242606931397096,2,-7.242606931397096,0.01,0.01,1.0
400.0,200.0,1.0,1.0,6.5197697,-6.8449306,100,0.0049999994,2.179301e-19,1.0,1.0,41.7159424621624,,41.7159424621624,400,-6.8449306,200.00000010221265,-6.447255096348775,-6.447255096348775,2,-6.447255096348775,0.005,0.005,1.0
400.0,200.0,1.0,1.0,6.988674,-7.7730107,100,0.0033333336,5.4391416e-20,1.0,1.0,56.91102334550822,,56.91102334550822,400,-7.7730107,299.999969473632,-9.62916925512553,-9.62916925512553,2,-9.62916925512553,0.0033333334,0.0033333334,1.0
nan,200.0,inf,inf,nan,nan,100,nan,nan,0.0032504743,1.0,53.326660030696296,nan,5434503.332030912,500,nan,nan,-2551.1676245042613,-2551.1676245042613,,-8.877201414150674,nan,nan,nan
0.04176910771477867,200.0,2.328061e-28,1.1640305e-25,,-0.68901676,100,0.002,0.0019999999,,1.0,4926481.603971316,,4926481.603971316,500,-0.68901676,inf,-2275.916601288867,-2275.916601288867,1,-2275.916601288867,1.0,,11970.569
500.0,200.0,1.0,1.0,6.8363943,-8.239357,100,0.009999998,3.5044917e-18,1.0,1.0,47.208377115279674,,47.208377115279674,500,-8.239357,100.0,-8.239357094283154,-8.239357094283154,2,-8.239357094283154,0.01,0.01,1.0
500.0,200.0,1.0,1.0,6.9144936,-8.361524,100,0.0049999994,2.179301e-19,1.0,1.0,49.347777220031084,,49.347777220031084,500,-8.361524,200.00000010221265,-8.483691321241514,-8.483691321241514,2,-8.483691321241514,0.005,0.005,1.0
500.0,200.0,1.0,1.0,7.000621,-8.20894,100,0.0033333336,5.4391416e-20,1.0,1.0,51.78376432691331,,51.78376432691331,500,-8.20894,299.999969473632,-7.903769995107264,-7.903769995107264,2,-7.903769995107264,0.0033333334,0.0033333334,1.0
500.0,200.0,1.0,1.0,7.030334,-8.3528185,100,0.0024999997,5.434597e-20,1.0,1.0,50.93729855868122,,50.93729855868122,500,-8.3528185,400.0,-8.784455958498674,-8.784455958498674,2,-8.784455958498674,0.0025,0.0025,1.0
0.37697694311090285,200.0,5.7191136e-09,2.8595568e-06,5.314571e-10,-0.036226943,100,0.002,0.0019999999,,1.0,54.61535498462691,1.6354136e-14,54.61535498462691,500,-0.036226943,1.0,-8.74033277997933,-8.74033277997933,1,-8.74033277997933,1.0,,1326.3411
500.0,200.0,1.0,1.0,6.5601315,-7.8199415,100,0.009999998,3.5044917e-18,1.0,1.0,43.47003060907192,,43.47003060907192,500,-7.8199415,100.0,-7.819941510165517,-7.819941510165517,2,-7.819941510165517,0.01,0.01,1.0
500.0,200.0,1.0,1.0,6.7861342,-8.411689,100,0.0049999994,2.179301e-19,1.0,1.0,48.85614295334873,,48.85614295334873,500,-8.411689,200.00000010221265,-9.00343660175826,-9.00343660175826,2,-9.00343660175826,0.005,0.005,1.0
500.0,200.0,1.0,1.0,6.6247454,-8.047544,100,0.0033333336,5.4391416e-20,1.0,1.0,39.15441873511321,,39.15441873511321,500,-8.047544,299.999969473632,-7.319250723680044,-7.319250723680044,2,-7.319250723680044,0.0033333334,0.0033333334,1.0
500.0,200.0,1.0,1.0,6.619455,-7.9273105,100,0.0024999997,5.434597e-20,1.0,1.0,43.87227985356052,,43.87227985356052,500,-7.9273105,400.0,-7.566611982681694,-7.566611982681694,2,-7.566611982681694,0.0025,0.0025,1.0
76.21479282599306,200.0,2.327688,9.092526,13.145118,-7.731315,100,0.002,1.1648281e-05,,1.0,49.95173271140768,15.777976,49.95173271140768,500,-7.731315,128.00013458471778,-8.179620924999336,-8.179620924999336,1,-8.179620924999336,0.007812496,,6.560406
500.0,200.0,1.0,1.0,6.871432,-7.161405,100,0.009999998,3.5044917e-18,1.0,1.0,47.69350961247741,,47.69350961247741,500,-7.161405,100.0,-7.161405003001082,-7.161405003001082,2,-7.161405003001082,0.01,0.01,1.0
500.0,200.0,1.0,1.0,7.08256,-7.810589,100,0.0049999994,2.179301e-19,1.0,1.0,52.793799401536674,,52.793799401536674,500,-7.810589,200.00000010221265,-8.459772382133984,-8.459772382133984,2,-8.459772382133984,0.005,0.005,1.0
500.0,200.0,1.0,1.0,7.3037515,-8.389384,100,0.0033333336,5.4391416e-20,1.0,1.0,58.28183315234648,,58.28183315234648,500,-8.389384,299.999969473632,-9.546974957683313,-9.546974957683313,2,-9.546974957683313,0.0033333334,0.0033333334,1.0
500.0,200.0,1.0,1.0,7.2356353,-8.256632,100,0.0024999997,5.434597e-20,1.0,1.0,49.66855437753237,,49.66855437753237,500,-8.256632,400.0,-7.8583742640990515,-7.8583742640990515,2,-7.8583742640990515,0.0025,0.0025,1.0
1.1616198641534348,200.0,6.0599036,1338.9056,6.593971,-7.010626,100,0.0019999996,0.0007786786,0.7071073,1.0,49.588997950717676,7148.745,49.588997950717676,500,-7.010626,2.5604210982304876,-8.45397014180945,-8.45397014180945,1,-8.45397014180945,0.44189006,0.00023337246,430.4334
500.0,200.0,1.0,1.0,7.2200727,-7.2649336,100,0.009999998,3.5044917e-18,1.0,1.0,52.65600467679743,,52.65600467679743,500,-7.2649336,100.0,-7.264933313900483,-7.264933313900483,2,-7.264933313900483,0.01,0.01,1.0
500.0,200.0,1.0,1.0,7.088917,-6.881633,100,0.0049999994,2.179301e-19,1.0,1.0,48.567882197489304,,48.567882197489304,500,-6.881633,200.00000010221265,-6.498331883628905,-6.498331883628905,2,-6.498331883628905,0.005,0.005,1.0
500.0,200.0,1.0,1.0,6.908208,-7.4234824,100,0.0033333336,5.4391416e-20,1.0,1.0,41.31608640134379,,41.31608640134379,500,-7.4234824,299.999969473632,-8.507180859662515,-8.507180859662515,2,-8.507180859662515,0.0033333334,0.0033333334,1.0
500.0,200.0,1.0,1.0,6.9185553,-7.8225584,100,0.0024999997,5.434597e-20,1.0,1.0,46.85298383875736,,46.85298383875736,500,-7.8225584,400.0,-9.019789622234,-9.019789622234,2,-9.019789622234,0.0025,0.0025,1.0
195.02753948230963,200.0,3.3115396,3.553154,7.1452513,-7.782309,100,0.0020000003,2.924304e-07,2.8354963e-38,1.0,47.10242291648618,0.80171937,47.10242291648618,500,-7.782309,465.999961237499,-7.894069996357689,-7.894069996357689,1,-7.894069996357689,0.0021459227,1.7125e-41,2.5637405
500.0,200.0,1.0,1.0,6.253241,-7.3609314,100,0.009999998,3.5044917e-18,1.0,1.0,39.4980048828756,,39.4980048828756,500,-7.3609314,100.0,-7.360932008435145,-7.360932008435145,2,-7.360932008435145,0.01,0.01,1.0
500.0,200.0,1.0,1.0,6.4469275,-7.4376907,100,0.0049999994,2.179301e-19,1.0,1.0,44.45549049094935,,44.45549049094935,500,-7.4376907,200.00000010221265,-7.51445009640496,-7.51445009640496,2,-7.51445009640496,0.005,0.005,1.0
500.0,200.0,1.0,1.0,6.656488,-7.6496296,100,0.0033333336,5.4391416e-20,1.0,1.0,50.03156413175417,,50.03156413175417,500,-7.6496296,299.999969473632,-8.073505294729411,-8.073505294729411,2,-8.073505294729411,0.0033333334,0.0033333334,1.0
500.0,200.0,1.0,1.0,6.888305,-7.854352,100,0.0024999997,5.434597e-20,1.0,1.0,56.93490107759537,,56.93490107759537,500,-7.854352,400.0,-8.468519244425947,-8.468519244425947,2,-8.468519244425947,0.0025,0.0025,1.0
500.0,200.0,1.0,1.0,6.944707,-7.727354,100,0.0020000003,5.431875e-20,1.0,1.0,51.54261958544702,,51.54261958544702,500,-7.727354,500.00000664260017,-7.219357990753849,-7.219357990753849,1,-7.219357990753849,0.002,0.002,1.0
500.0,200.0,1.0,1.0,6.467629,-7.204563,100,0.009999998,3.5044917e-18,1.0,1.0,42.25275308486083,,42.25275308486083,500,-7.204563,100.0,-7.204563272732531,-7.204563272732531,2,-7.204563272732531,0.01,0.01,1.0
500.0,200.0,1.0,1.0,7.0900273,-7.3583965,100,0.0049999994,2.179301e-19,1.0,1.0,59.25194554720527,,59.25194554720527,500,-7.3583965,200.00000010221265,-7.512229960286308,-7.512229960286308,2,-7.512229960286308,0.005,0.005,1.0
500.0,200.0,1.0,1.0,6.9527273,-7.285021,100,0.0033333336,5.4391416e-20,1.0,1.0,44.900980456480134,,44.900980456480134,500,-7.285021,299.999969473632,-7.138270421115027,-7.138270421115027,2,-7.138270421115027,0.0033333334,0.0033333334,1.0
500.0,200.0,1.0,1.0,7.053543,-7.410318,100,0.0024999997,5.434597e-20,1.0,1.0,54.34365852292523,,54.34365852292523,500,-7.410318,400.0,-7.786210544908264,-7.786210544908264,2,-7.786210544908264,0.0025,0.0025,1.0
500.0,200.0,1.0,1.0,7.1140223,-7.675656,100,0.0020000003,5.431875e-20,1.0,1.0,53.16018547890116,,53.16018547890116,500,-7.675656,500.00000664260017,-8.737004270740643,-8.737004270740643,1,-8.737004270740643,0.002,0.002,1.0
500.0,200.0,1.0,1.0,6.6336546,-7.6672764,100,0.009999998,3.5044917e-18,1.0,1.0,44.44987202890712,,44.44987202890712,500,-7.6672764,100.0,-7.667275905778613,-7.667275905778613,2,-7.667275905778613,0.01,0.01,1.0
500.0,200.0,1.0,1.0,6.856411,-7.8977404,100,0.0049999994,2.179301e-19,1.0,1.0,50.413279823994024,,50.413279823994024,500,-7.8977404,200.00000010221265,-8.128205055196286,-8.128205055196286,2,-8.128205055196286,0.005,0.005,1.0
